,,high,low,adjclose,volume
AAPL,2012-01-03,58.92856979370117,58.42856979370117,51.46420669555664,75555200.0
AAPL,2012-01-04,59.2400016784668,58.468570709228516,51.74077606201172,65005500.0
AAPL,2012-01-05,59.7928581237793,58.952857971191406,52.3151969909668,67817400.0
AAPL,2012-01-06,60.39285659790039,59.888572692871094,52.86210250854492,79573200.0
AAPL,2012-01-09,61.10714340209961,60.19285583496094,52.77824783325195,98506100.0
AAPL,2012-01-10,60.85714340209961,60.21428680419922,52.96721267700195,64549100.0
AAPL,2012-01-11,60.407142639160156,59.90142822265625,52.880863189697266,53771200.0
AAPL,2012-01-12,60.41428756713867,59.82143020629883,52.735694885253906,53146800.0
AAPL,2012-01-13,60.06428527832031,59.808570861816406,52.5379753112793,56505400.0
AAPL,2012-01-17,60.855712890625,60.422855377197266,53.149932861328125,60724300.0
AAPL,2012-01-18,61.35285568237305,60.900001525878906,53.70182800292969,69197800.0
AAPL,2012-01-19,61.62428665161133,60.93000030517578,53.53163528442383,65434600.0
AAPL,2012-01-20,61.07143020629883,59.96428680419922,52.59928512573242,103493600.0
AAPL,2012-01-23,61.2071418762207,60.32857131958008,53.48907470703125,76515600.0
AAPL,2012-01-24,60.728572845458984,59.93571472167969,52.61305618286133,136909500.0
AAPL,2012-01-25,64.92142486572266,63.38999938964844,55.89815902709961,239578500.0
AAPL,2012-01-26,64.11285400390625,63.30571365356445,55.644107818603516,80996300.0
AAPL,2012-01-27,64.06857299804688,63.395713806152344,55.975765228271484,74927300.0
AAPL,2012-01-30,64.84285736083984,63.62714385986328,56.6928596496582,94835300.0
AAPL,2012-01-31,65.46286010742188,64.72428894042969,57.12710189819336,97920900.0
AAPL,2012-02-01,65.56999969482422,65.07857513427734,57.090816497802734,67511500.0
AAPL,2012-02-02,65.30999755859375,64.85428619384766,56.9569206237793,46699100.0
AAPL,2012-02-03,65.71428680419922,65.08000183105469,57.52758026123047,71649900.0
AAPL,2012-02-06,66.42571258544922,65.45714569091797,58.064456939697266,62353200.0
AAPL,2012-02-07,67.10713958740234,66.36856842041016,58.67267990112305,79055900.0
AAPL,2012-02-08,68.11285400390625,67.0999984741211,59.65508270263672,101972500.0
AAPL,2012-02-09,70.96428680419922,68.65142822265625,61.718746185302734,221053700.0
AAPL,2012-02-10,71.08856964111328,69.79285430908203,61.75004959106445,157825500.0
AAPL,2012-02-13,71.97571563720703,71.01285552978516,62.89888000488281,129304000.0
AAPL,2012-02-14,72.7942886352539,71.71428680419922,63.75739669799805,115099600.0
AAPL,2012-02-15,75.18428802490234,70.98428344726562,62.28190612792969,376530000.0
AAPL,2012-02-16,72.12714385986328,69.51856994628906,62.85006332397461,236138000.0
AAPL,2012-02-17,72.53857421875,71.47142791748047,62.83880615234375,133951300.0
AAPL,2012-02-21,73.55000305175781,72.01714324951172,64.43194580078125,151398800.0
AAPL,2012-02-22,73.64142608642578,72.72428894042969,64.2054443359375,120825600.0
AAPL,2012-02-23,73.97571563720703,72.78571319580078,64.62464904785156,142006900.0
AAPL,2012-02-24,74.69999694824219,74.0914306640625,65.3780517578125,103768000.0
AAPL,2012-02-27,75.5,73.75428771972656,65.79728698730469,136895500.0
AAPL,2012-02-28,76.48714447021484,75.12142944335938,67.00495910644531,150096800.0
AAPL,2012-02-29,78.2300033569336,76.52857208251953,67.88475036621094,238002800.0
AAPL,2012-03-01,78.31571197509766,76.9671401977539,68.13880920410156,170817500.0
AAPL,2012-03-02,78.11428833007812,77.50285339355469,68.22763061523438,107928100.0
AAPL,2012-03-05,78.21142578125,75.14286041259766,66.723388671875,202281100.0
AAPL,2012-03-06,76.2414321899414,73.74571228027344,66.36044311523438,202559700.0
AAPL,2012-03-07,76.82571411132812,74.75714111328125,66.41426086425781,199630200.0
AAPL,2012-03-08,77.56999969482422,76.01714324951172,67.82844543457031,129114300.0
AAPL,2012-03-09,78.24857330322266,77.58714294433594,68.22640991210938,104729800.0
AAPL,2012-03-12,78.85713958740234,78.14286041259766,69.0811538696289,101820600.0
AAPL,2012-03-13,81.16857147216797,79.39286041259766,71.09600830078125,172713800.0
AAPL,2012-03-14,84.95999908447266,82.19999694824219,73.78417205810547,354711000.0
AAPL,2012-03-15,85.71571350097656,82.6500015258789,73.28107452392578,289929500.0
AAPL,2012-03-16,84.17142486572266,82.57142639160156,73.28233337402344,206371900.0
AAPL,2012-03-19,85.9671401977539,84.1500015258789,75.2258529663086,225309000.0
AAPL,2012-03-20,86.69999694824219,84.49714660644531,75.8340835571289,204165500.0
AAPL,2012-03-21,87.09285736083984,85.91571807861328,75.40106964111328,161010500.0
AAPL,2012-03-22,86.35713958740234,85.07571411132812,75.00560760498047,155967700.0
AAPL,2012-03-23,85.97142791748047,84.9142837524414,74.59387969970703,107622200.0
AAPL,2012-03-26,86.7357177734375,85.03713989257812,75.96172332763672,148935500.0
AAPL,2012-03-27,88.04000091552734,86.58000183105469,76.90032196044922,151782400.0
AAPL,2012-03-28,88.77857208251953,87.18714141845703,77.29329681396484,163865100.0
AAPL,2012-03-29,88.08000183105469,86.74714660644531,76.32215118408203,152059600.0
AAPL,2012-03-30,87.22285461425781,85.41999816894531,75.03187561035156,182759500.0
AAPL,2012-04-02,88.39571380615234,85.76856994628906,77.41969299316406,149587900.0
AAPL,2012-04-03,90.31571197509766,88.93000030517578,78.75751495361328,208639900.0
AAPL,2012-04-04,89.4085693359375,88.14286041259766,78.1305160522461,143245200.0
AAPL,2012-04-05,90.66571807861328,89.05714416503906,79.30314636230469,160324500.0
AAPL,2012-04-09,91.40571594238281,89.32857513427734,79.62226867675781,149384200.0
AAPL,2012-04-10,92.0,89.42857360839844,78.64739227294922,222431300.0
AAPL,2012-04-11,90.98143005371094,89.04856872558594,78.36705017089844,174153700.0
AAPL,2012-04-12,90.19000244140625,88.64286041259766,77.93779754638672,153584200.0
AAPL,2012-04-13,89.24285888671875,86.21571350097656,75.74272155761719,214911200.0
AAPL,2012-04-16,87.18285369873047,82.60713958740234,72.60152435302734,262696700.0
AAPL,2012-04-17,87.14286041259766,81.70143127441406,76.30210876464844,256382000.0
AAPL,2012-04-18,88.60713958740234,86.10142517089844,76.13192749023438,238632800.0
AAPL,2012-04-19,86.38999938964844,83.50285339355469,73.516357421875,208679800.0
AAPL,2012-04-20,84.94571685791016,81.48857116699219,71.70674896240234,257746300.0
AAPL,2012-04-23,82.38143157958984,79.51714324951172,71.54654693603516,241632300.0
AAPL,2012-04-24,81.09857177734375,79.28571319580078,70.11737823486328,269037300.0
