,,high,low,adjclose,volume
ABMD,2012-01-03,19.09000015258789,18.219999313354492,18.25,284300.0
ABMD,2012-01-04,18.5,17.959999084472656,18.110000610351562,180400.0
ABMD,2012-01-05,18.450000762939453,17.68000030517578,18.270000457763672,164500.0
ABMD,2012-01-06,18.489999771118164,17.979999542236328,18.139999389648438,233200.0
ABMD,2012-01-09,18.40999984741211,17.989999771118164,18.209999084472656,186000.0
ABMD,2012-01-10,18.6200008392334,18.1200008392334,18.15999984741211,151700.0
ABMD,2012-01-11,18.3700008392334,18.079999923706055,18.239999771118164,104900.0
ABMD,2012-01-12,18.3700008392334,18.010000228881836,18.31999969482422,142300.0
ABMD,2012-01-13,18.489999771118164,17.829999923706055,17.979999542236328,255600.0
ABMD,2012-01-17,18.350000381469727,17.959999084472656,18.049999237060547,139900.0
ABMD,2012-01-18,18.229999542236328,17.940000534057617,18.200000762939453,164900.0
ABMD,2012-01-19,18.969999313354492,18.239999771118164,18.6299991607666,257300.0
ABMD,2012-01-20,19.0,18.229999542236328,18.610000610351562,162400.0
ABMD,2012-01-23,18.579999923706055,17.780000686645508,17.799999237060547,252000.0
ABMD,2012-01-24,18.079999923706055,17.229999542236328,18.06999969482422,298500.0
ABMD,2012-01-25,18.399999618530273,17.56999969482422,18.389999389648438,253000.0
ABMD,2012-01-26,18.5,17.899999618530273,18.049999237060547,276800.0
ABMD,2012-01-27,18.190000534057617,17.520000457763672,17.649999618530273,631600.0
ABMD,2012-01-30,17.670000076293945,17.09000015258789,17.350000381469727,412900.0
ABMD,2012-01-31,18.829999923706055,17.530000686645508,18.5,741100.0
ABMD,2012-02-01,19.09000015258789,18.309999465942383,19.0,703700.0
ABMD,2012-02-02,20.229999542236328,18.959999084472656,19.239999771118164,983400.0
ABMD,2012-02-03,21.920000076293945,19.75,20.979999542236328,2076900.0
ABMD,2012-02-06,23.229999542236328,21.040000915527344,22.75,983000.0
ABMD,2012-02-07,23.5,20.639999389648438,22.700000762939453,2417300.0
ABMD,2012-02-08,23.670000076293945,23.0,23.549999237060547,1813700.0
ABMD,2012-02-09,23.850000381469727,23.190000534057617,23.190000534057617,824400.0
ABMD,2012-02-10,23.290000915527344,22.700000762939453,23.219999313354492,707200.0
ABMD,2012-02-13,24.739999771118164,23.399999618530273,24.18000030517578,674300.0
ABMD,2012-02-14,24.15999984741211,23.65999984741211,24.0,326200.0
ABMD,2012-02-15,24.25,23.600000381469727,23.729999542236328,344100.0
ABMD,2012-02-16,23.700000762939453,22.899999618530273,23.139999389648438,623500.0
ABMD,2012-02-17,23.290000915527344,22.219999313354492,22.3700008392334,597900.0
ABMD,2012-02-21,22.510000228881836,21.25,21.670000076293945,909100.0
ABMD,2012-02-22,21.639999389648438,21.0,21.329999923706055,451200.0
ABMD,2012-02-23,21.790000915527344,21.190000534057617,21.420000076293945,332400.0
ABMD,2012-02-24,22.200000762939453,21.260000228881836,22.1200008392334,386700.0
ABMD,2012-02-27,22.170000076293945,21.31999969482422,21.899999618530273,225600.0
ABMD,2012-02-28,22.0,21.100000381469727,21.420000076293945,296200.0
ABMD,2012-02-29,21.790000915527344,20.8700008392334,20.8799991607666,412000.0
ABMD,2012-03-01,21.25,20.639999389648438,21.100000381469727,424700.0
ABMD,2012-03-02,21.0,20.219999313354492,20.399999618530273,554400.0
ABMD,2012-03-05,20.440000534057617,20.149999618530273,20.190000534057617,547600.0
ABMD,2012-03-06,20.110000610351562,19.31999969482422,19.540000915527344,792900.0
ABMD,2012-03-07,20.889999389648438,19.690000534057617,20.770000457763672,460300.0
ABMD,2012-03-08,21.510000228881836,20.760000228881836,21.190000534057617,478100.0
ABMD,2012-03-09,21.959999084472656,21.100000381469727,21.8700008392334,429400.0
ABMD,2012-03-12,22.149999618530273,21.799999237060547,21.8700008392334,625000.0
ABMD,2012-03-13,22.479999542236328,21.969999313354492,22.479999542236328,533200.0
ABMD,2012-03-14,22.40999984741211,22.049999237060547,22.190000534057617,388900.0
ABMD,2012-03-15,22.260000228881836,21.639999389648438,21.959999084472656,565200.0
ABMD,2012-03-16,22.729999542236328,21.90999984741211,22.530000686645508,669700.0
ABMD,2012-03-19,22.579999923706055,21.81999969482422,22.40999984741211,516200.0
ABMD,2012-03-20,22.559999465942383,22.0,22.299999237060547,235100.0
ABMD,2012-03-21,23.190000534057617,22.290000915527344,23.100000381469727,782100.0
ABMD,2012-03-22,23.239999771118164,22.739999771118164,22.989999771118164,543400.0
ABMD,2012-03-23,23.049999237060547,22.6200008392334,23.0,303500.0
ABMD,2012-03-26,23.799999237060547,22.899999618530273,23.520000457763672,317100.0
ABMD,2012-03-27,23.489999771118164,22.700000762939453,22.709999084472656,423200.0
ABMD,2012-03-28,23.059999465942383,22.0,22.389999389648438,271500.0
ABMD,2012-03-29,22.350000381469727,21.809999465942383,22.18000030517578,152000.0
ABMD,2012-03-30,22.40999984741211,21.979999542236328,22.190000534057617,193500.0
ABMD,2012-04-02,22.520000457763672,22.100000381469727,22.389999389648438,208100.0
ABMD,2012-04-03,22.549999237060547,22.040000915527344,22.190000534057617,127800.0
ABMD,2012-04-04,21.950000762939453,21.360000610351562,21.549999237060547,319100.0
ABMD,2012-04-05,21.700000762939453,21.299999237060547,21.489999771118164,199200.0
ABMD,2012-04-09,21.43000030517578,21.0,21.170000076293945,199700.0
ABMD,2012-04-10,21.329999923706055,20.360000610351562,20.459999084472656,291900.0
ABMD,2012-04-11,20.979999542236328,20.549999237060547,20.899999618530273,125600.0
ABMD,2012-04-12,21.40999984741211,20.90999984741211,21.040000915527344,193500.0
ABMD,2012-04-13,21.059999465942383,20.549999237060547,20.59000015258789,219900.0
ABMD,2012-04-16,20.719999313354492,20.200000762939453,20.56999969482422,184400.0
ABMD,2012-04-17,21.049999237060547,20.649999618530273,20.889999389648438,203500.0
ABMD,2012-04-18,20.920000076293945,20.56999969482422,20.770000457763672,112900.0
ABMD,2012-04-19,20.84000015258789,20.43000030517578,20.700000762939453,164500.0
ABMD,2012-04-20,21.6200008392334,20.450000762939453,21.399999618530273,427100.0
ABMD,2012-04-23,22.309999465942383,21.010000228881836,22.229999542236328,508600.0
ABMD,2012-04-24,22.8799991607666,22.0,22.790000915527344,438300.0
ABMD,2012-04-25,23.639999389648438,22.989999771118164,23.6200008392334,657600.0
ABMD,2012-04-26,24.59000015258789,23.459999084472656,24.399999618530273,651900.0
ABMD,2012-04-27,24.75,24.18000030517578,24.6200008392334,556400.0
ABMD,2012-04-30,24.700000762939453,24.0,24.329999923706055,569300.0
ABMD,2012-05-01,25.06999969482422,24.040000915527344,24.5,900300.0
ABMD,2012-05-02,24.579999923706055,23.690000534057617,23.899999618530273,776100.0
ABMD,2012-05-03,24.209999084472656,23.40999984741211,23.739999771118164,794300.0
ABMD,2012-05-04,23.540000915527344,23.18000030517578,23.209999084472656,397500.0
ABMD,2012-05-07,23.75,22.8700008392334,23.510000228881836,500800.0
ABMD,2012-05-08,23.5,22.860000610351562,23.110000610351562,439700.0
ABMD,2012-05-09,23.709999084472656,22.75,23.520000457763672,358700.0
ABMD,2012-05-10,24.389999389648438,23.760000228881836,24.0,367000.0
ABMD,2012-05-11,24.0,23.059999465942383,23.190000534057617,451000.0
ABMD,2012-05-14,23.549999237060547,22.530000686645508,23.139999389648438,636900.0
ABMD,2012-05-15,23.829999923706055,22.93000030517578,23.739999771118164,505400.0
ABMD,2012-05-16,26.170000076293945,22.979999542236328,23.219999313354492,1827900.0
