,,high,low,adjclose,volume
ADP,2012-01-03,48.27919387817383,47.761192321777344,39.953739166259766,2898700.0
ADP,2012-01-04,47.92800521850586,47.52414321899414,39.90972137451172,2141400.0
ADP,2012-01-05,48.25285339355469,47.63827896118164,40.203182220458984,2999100.0
ADP,2012-01-06,48.28797149658203,47.70851516723633,40.26187515258789,2486500.0
ADP,2012-01-09,48.1913948059082,47.72607421875,40.10780334472656,2132800.0
ADP,2012-01-10,48.24407196044922,47.76997375488281,40.100467681884766,3083800.0
ADP,2012-01-11,48.08604049682617,47.761192321777344,40.06378173828125,2243400.0
ADP,2012-01-12,48.28797149658203,47.8314323425293,40.320560455322266,2344600.0
ADP,2012-01-13,48.261634826660156,47.72607421875,40.31322479248047,2039000.0
ADP,2012-01-17,49.03424072265625,48.20017623901367,40.83409881591797,2683500.0
ADP,2012-01-18,49.622474670410156,48.858646392822266,41.45035171508789,3069600.0
ADP,2012-01-19,50.01755905151367,49.47322082519531,41.74380874633789,2149600.0
ADP,2012-01-20,50.13169479370117,49.508338928222656,41.66310501098633,2924700.0
ADP,2012-01-23,50.10535430908203,49.402984619140625,41.5824089050293,2606000.0
ADP,2012-01-24,49.947322845458984,49.21861267089844,41.61908721923828,2738300.0
ADP,2012-01-25,50.035118103027344,49.227394104003906,41.758480072021484,3510500.0
ADP,2012-01-26,49.46444320678711,48.84986877441406,40.95148468017578,4397900.0
ADP,2012-01-27,49.227394104003906,48.551361083984375,40.599342346191406,3338500.0
ADP,2012-01-30,48.35820770263672,47.892887115478516,40.27654266357422,4139400.0
ADP,2012-01-31,48.525020599365234,47.82265090942383,40.18850326538086,3566000.0
ADP,2012-02-01,48.70939254760742,48.24407196044922,40.31322479248047,3673200.0
ADP,2012-02-02,48.51624298095703,48.129940032958984,40.217857360839844,3284100.0
ADP,2012-02-03,48.884986877441406,48.49868392944336,40.72405242919922,3307700.0
ADP,2012-02-06,48.577701568603516,48.208953857421875,40.44528579711914,2564200.0
ADP,2012-02-07,48.28797149658203,47.97190475463867,40.25453186035156,3391900.0
ADP,2012-02-08,48.22651290893555,47.84899139404297,40.049102783203125,2478900.0
ADP,2012-02-09,48.20017623901367,47.77875518798828,40.0344352722168,3005200.0
