,,high,low,adjclose,volume
AKAM,2012-01-03,33.20000076293945,32.77000045776367,32.93000030517578,4668400.0
AKAM,2012-01-04,32.810001373291016,32.08000183105469,32.439998626708984,4259700.0
AKAM,2012-01-05,32.939998626708984,32.119998931884766,32.43000030517578,5430100.0
AKAM,2012-01-06,32.88999938964844,32.130001068115234,32.7599983215332,3597800.0
AKAM,2012-01-09,32.779998779296875,31.56999969482422,32.61000061035156,4548500.0
AKAM,2012-01-10,33.34000015258789,32.869998931884766,33.13999938964844,3853700.0
AKAM,2012-01-11,34.2400016784668,33.369998931884766,34.0,4080800.0
AKAM,2012-01-12,34.22999954223633,32.83000183105469,33.56999969482422,4292600.0
AKAM,2012-01-13,33.0,31.81999969482422,32.220001220703125,3756100.0
AKAM,2012-01-17,32.790000915527344,31.93000030517578,32.130001068115234,3209100.0
AKAM,2012-01-18,32.56999969482422,31.959999084472656,32.40999984741211,2932000.0
AKAM,2012-01-19,33.279998779296875,31.8700008392334,32.689998626708984,4509600.0
AKAM,2012-01-20,32.650001525878906,31.489999771118164,32.040000915527344,5398200.0
AKAM,2012-01-23,32.04999923706055,31.010000228881836,31.719999313354492,3404000.0
AKAM,2012-01-24,31.559999465942383,31.229999542236328,31.389999389648438,3141200.0
AKAM,2012-01-25,31.950000762939453,31.34000015258789,31.8700008392334,2319700.0
AKAM,2012-01-26,32.59000015258789,31.229999542236328,31.43000030517578,2728600.0
AKAM,2012-01-27,32.11000061035156,31.079999923706055,32.0099983215332,2830900.0
AKAM,2012-01-30,32.18000030517578,31.40999984741211,32.040000915527344,2559100.0
AKAM,2012-01-31,32.54999923706055,31.969999313354492,32.22999954223633,2858600.0
AKAM,2012-02-01,32.5,31.450000762939453,32.0099983215332,4529800.0
AKAM,2012-02-02,32.83000183105469,32.130001068115234,32.33000183105469,3209400.0
AKAM,2012-02-03,33.70000076293945,32.7400016784668,33.63999938964844,3530000.0
AKAM,2012-02-06,34.25,33.25,33.369998931884766,4160500.0
AKAM,2012-02-07,33.68000030517578,33.0,33.650001525878906,2553800.0
AKAM,2012-02-08,35.59000015258789,33.66999816894531,34.439998626708984,9486000.0
AKAM,2012-02-09,39.13999938964844,37.470001220703125,38.060001373291016,18571000.0
AKAM,2012-02-10,38.779998779296875,37.52000045776367,38.43000030517578,6810600.0
AKAM,2012-02-13,38.88999938964844,37.900001525878906,38.56999969482422,3559500.0
AKAM,2012-02-14,38.72999954223633,38.08000183105469,38.47999954223633,2538900.0
AKAM,2012-02-15,38.86000061035156,38.02000045776367,38.060001373291016,2891500.0
AKAM,2012-02-16,38.560001373291016,37.91999816894531,38.41999816894531,2280600.0
AKAM,2012-02-17,38.459999084472656,37.41999816894531,37.79999923706055,2778300.0
AKAM,2012-02-21,38.0,37.189998626708984,37.43000030517578,2404400.0
AKAM,2012-02-22,37.38999938964844,36.459999084472656,36.61000061035156,3364700.0
AKAM,2012-02-23,36.7599983215332,36.06999969482422,36.52000045776367,4321500.0
AKAM,2012-02-24,37.41999816894531,36.560001373291016,37.209999084472656,2841000.0
AKAM,2012-02-27,37.349998474121094,36.630001068115234,37.06999969482422,2471300.0
AKAM,2012-02-28,37.25,36.459999084472656,36.689998626708984,2592500.0
AKAM,2012-02-29,36.939998626708984,35.84000015258789,36.0,3675200.0
AKAM,2012-03-01,36.2599983215332,35.869998931884766,35.900001525878906,4596700.0
AKAM,2012-03-02,36.75,35.900001525878906,36.29999923706055,2847600.0
AKAM,2012-03-05,36.400001525878906,35.599998474121094,35.77000045776367,2512000.0
AKAM,2012-03-06,35.4900016784668,34.70000076293945,34.869998931884766,3280400.0
AKAM,2012-03-07,35.79999923706055,34.880001068115234,35.54999923706055,2511700.0
AKAM,2012-03-08,36.369998931884766,35.86000061035156,36.119998931884766,2265800.0
AKAM,2012-03-09,36.939998626708984,36.060001373291016,36.84000015258789,2789700.0
AKAM,2012-03-12,37.2400016784668,36.36000061035156,36.630001068115234,2072400.0
AKAM,2012-03-13,37.47999954223633,36.560001373291016,37.470001220703125,2201700.0
AKAM,2012-03-14,37.470001220703125,36.369998931884766,36.65999984741211,2093800.0
AKAM,2012-03-15,37.4900016784668,36.599998474121094,37.349998474121094,2352000.0
AKAM,2012-03-16,37.619998931884766,37.209999084472656,37.36000061035156,2709900.0
AKAM,2012-03-19,37.5,36.65999984741211,37.040000915527344,1816900.0
AKAM,2012-03-20,36.790000915527344,36.18000030517578,36.75,1717400.0
AKAM,2012-03-21,37.150001525878906,36.439998626708984,36.939998626708984,2617200.0
AKAM,2012-03-22,36.900001525878906,36.2400016784668,36.459999084472656,1952500.0
AKAM,2012-03-23,36.650001525878906,36.09000015258789,36.619998931884766,1252700.0
AKAM,2012-03-26,37.95000076293945,36.790000915527344,37.77000045776367,2778200.0
AKAM,2012-03-27,37.970001220703125,37.59000015258789,37.68000030517578,2187300.0
AKAM,2012-03-28,37.810001373291016,36.540000915527344,36.880001068115234,2112300.0
AKAM,2012-03-29,36.959999084472656,36.25,36.91999816894531,1734400.0
AKAM,2012-03-30,37.310001373291016,36.470001220703125,36.70000076293945,1525000.0
AKAM,2012-04-02,36.810001373291016,36.060001373291016,36.72999954223633,2524700.0
AKAM,2012-04-03,36.58000183105469,36.13999938964844,36.380001068115234,1868100.0
AKAM,2012-04-04,37.290000915527344,36.189998626708984,36.47999954223633,3385700.0
AKAM,2012-04-05,36.72999954223633,36.060001373291016,36.33000183105469,1990200.0
AKAM,2012-04-09,35.880001068115234,35.310001373291016,35.689998626708984,1978700.0
AKAM,2012-04-10,36.0099983215332,35.06999969482422,35.119998931884766,2587600.0
AKAM,2012-04-11,36.279998779296875,35.25,35.97999954223633,1912000.0
AKAM,2012-04-12,36.65999984741211,35.97999954223633,36.540000915527344,1681700.0
AKAM,2012-04-13,36.790000915527344,36.099998474121094,36.7599983215332,2237700.0
AKAM,2012-04-16,37.0,36.29999923706055,36.72999954223633,2086100.0
AKAM,2012-04-17,37.81999969482422,37.08000183105469,37.630001068115234,2278900.0
AKAM,2012-04-18,38.63999938964844,37.65999984741211,38.40999984741211,3790600.0
AKAM,2012-04-19,38.90999984741211,37.7400016784668,37.86000061035156,3076400.0
AKAM,2012-04-20,38.09000015258789,37.33000183105469,37.400001525878906,2488700.0
AKAM,2012-04-23,38.369998931884766,36.900001525878906,38.099998474121094,3551900.0
AKAM,2012-04-24,38.2400016784668,37.41999816894531,37.7400016784668,2567300.0
AKAM,2012-04-25,39.09000015258789,37.61000061035156,38.75,6849400.0
AKAM,2012-04-26,36.599998474121094,32.95000076293945,33.150001525878906,17405500.0
AKAM,2012-04-27,34.290000915527344,32.95000076293945,33.18000030517578,9294100.0
AKAM,2012-04-30,33.04999923706055,32.20000076293945,32.59000015258789,5624400.0
AKAM,2012-05-01,34.47999954223633,33.20000076293945,33.61000061035156,6029800.0
AKAM,2012-05-02,34.150001525878906,33.220001220703125,34.09000015258789,4104300.0
AKAM,2012-05-03,34.06999969482422,32.95000076293945,33.279998779296875,3221300.0
AKAM,2012-05-04,33.029998779296875,32.369998931884766,32.560001373291016,3810700.0
AKAM,2012-05-07,32.400001525878906,32.060001373291016,32.279998779296875,2700000.0
AKAM,2012-05-08,32.33000183105469,30.950000762939453,32.279998779296875,4556700.0
AKAM,2012-05-09,32.029998779296875,31.190000534057617,31.93000030517578,3190700.0
AKAM,2012-05-10,32.349998474121094,31.18000030517578,31.3700008392334,3600000.0
AKAM,2012-05-11,31.75,31.06999969482422,31.170000076293945,2670900.0
AKAM,2012-05-14,30.799999237060547,29.6200008392334,29.65999984741211,5456300.0
AKAM,2012-05-15,30.899999618530273,29.8799991607666,30.190000534057617,5644400.0
AKAM,2012-05-16,30.790000915527344,29.139999389648438,29.170000076293945,5193200.0
AKAM,2012-05-17,29.649999618530273,28.649999618530273,29.290000915527344,5610300.0
AKAM,2012-05-18,29.40999984741211,28.3799991607666,28.450000762939453,4036000.0
AKAM,2012-05-21,29.579999923706055,28.1200008392334,29.299999237060547,3000500.0
AKAM,2012-05-22,29.6299991607666,28.920000076293945,29.18000030517578,2276500.0
AKAM,2012-05-23,29.799999237060547,28.219999313354492,29.68000030517578,2185100.0
AKAM,2012-05-24,30.25,29.09000015258789,29.399999618530273,2016800.0
AKAM,2012-05-25,29.729999542236328,29.219999313354492,29.309999465942383,1526600.0
AKAM,2012-05-29,30.010000228881836,29.469999313354492,29.979999542236328,1946000.0
AKAM,2012-05-30,29.989999771118164,29.110000610351562,29.209999084472656,2880000.0
AKAM,2012-05-31,29.440000534057617,28.579999923706055,29.34000015258789,2506600.0
AKAM,2012-06-01,28.760000228881836,28.110000610351562,28.200000762939453,2712200.0
AKAM,2012-06-04,28.729999542236328,28.020000457763672,28.360000610351562,2810600.0
AKAM,2012-06-05,27.56999969482422,25.899999618530273,27.440000534057617,13322800.0
AKAM,2012-06-06,29.030000686645508,27.68000030517578,28.989999771118164,4233400.0
AKAM,2012-06-07,29.969999313354492,28.989999771118164,29.06999969482422,3112200.0
AKAM,2012-06-08,30.209999084472656,28.780000686645508,30.1200008392334,3993200.0
AKAM,2012-06-11,30.479999542236328,29.6299991607666,29.75,3539600.0
AKAM,2012-06-12,30.309999465942383,29.440000534057617,30.260000228881836,4144400.0
AKAM,2012-06-13,30.31999969482422,29.329999923706055,29.559999465942383,3460400.0
AKAM,2012-06-14,30.239999771118164,29.549999237060547,29.950000762939453,2526400.0
AKAM,2012-06-15,31.209999084472656,29.8799991607666,31.139999389648438,4220300.0
AKAM,2012-06-18,31.68000030517578,30.75,31.329999923706055,3139100.0
AKAM,2012-06-19,32.0,31.260000228881836,31.8700008392334,2217600.0
AKAM,2012-06-20,31.940000534057617,31.329999923706055,31.690000534057617,1555600.0
AKAM,2012-06-21,31.719999313354492,30.239999771118164,30.270000457763672,3056500.0
AKAM,2012-06-22,30.899999618530273,30.360000610351562,30.809999465942383,2268200.0
AKAM,2012-06-25,30.479999542236328,29.8799991607666,30.079999923706055,1387900.0
AKAM,2012-06-26,30.6200008392334,30.059999465942383,30.389999389648438,1399800.0
AKAM,2012-06-27,30.81999969482422,30.299999237060547,30.649999618530273,1188300.0
AKAM,2012-06-28,30.68000030517578,29.969999313354492,30.43000030517578,1597800.0
AKAM,2012-06-29,31.75,31.030000686645508,31.75,1949900.0
AKAM,2012-07-02,32.220001220703125,31.280000686645508,31.540000915527344,2194000.0
AKAM,2012-07-03,32.25,31.510000228881836,32.15999984741211,878800.0
AKAM,2012-07-05,32.54999923706055,32.0,32.220001220703125,1663000.0
AKAM,2012-07-06,32.15999984741211,30.920000076293945,31.280000686645508,2574900.0
AKAM,2012-07-09,31.399999618530273,29.959999084472656,29.989999771118164,3091700.0
AKAM,2012-07-10,30.329999923706055,29.3700008392334,29.709999084472656,2835200.0
AKAM,2012-07-11,30.309999465942383,28.989999771118164,29.3700008392334,3619400.0
AKAM,2012-07-12,29.600000381469727,28.56999969482422,29.40999984741211,2406900.0
AKAM,2012-07-13,30.209999084472656,29.399999618530273,30.079999923706055,1881900.0
AKAM,2012-07-16,30.34000015258789,29.639999389648438,30.010000228881836,1611100.0
AKAM,2012-07-17,30.350000381469727,29.459999084472656,30.229999542236328,1892200.0
AKAM,2012-07-18,30.65999984741211,29.690000534057617,29.920000076293945,5520100.0
AKAM,2012-07-19,30.75,29.940000534057617,30.489999771118164,3633600.0
AKAM,2012-07-20,30.440000534057617,29.65999984741211,29.90999984741211,2844400.0
AKAM,2012-07-23,29.239999771118164,28.030000686645508,28.65999984741211,4502000.0
AKAM,2012-07-24,29.09000015258789,28.1200008392334,28.389999389648438,2928000.0
AKAM,2012-07-25,28.84000015258789,27.860000610351562,28.25,5121600.0
AKAM,2012-07-26,35.20000076293945,32.93000030517578,35.040000915527344,13757900.0
AKAM,2012-07-27,36.06999969482422,34.470001220703125,35.86000061035156,6250400.0
AKAM,2012-07-30,36.130001068115234,35.400001525878906,35.81999969482422,3259300.0
AKAM,2012-07-31,35.900001525878906,35.119998931884766,35.18000030517578,3711200.0
AKAM,2012-08-01,35.540000915527344,34.9900016784668,35.130001068115234,2452200.0
AKAM,2012-08-02,35.40999984741211,34.279998779296875,34.689998626708984,3019200.0
AKAM,2012-08-03,35.630001068115234,35.04999923706055,35.47999954223633,1994500.0
AKAM,2012-08-06,36.150001525878906,35.45000076293945,35.81999969482422,2657400.0
AKAM,2012-08-07,36.41999816894531,35.849998474121094,36.34000015258789,2765900.0
