,,high,low,adjclose,volume
ALGN,2012-01-03,24.65999984741211,23.8799991607666,23.950000762939453,372300.0
ALGN,2012-01-04,24.579999923706055,23.799999237060547,24.40999984741211,454700.0
ALGN,2012-01-05,24.610000610351562,23.790000915527344,24.190000534057617,500400.0
ALGN,2012-01-06,24.200000762939453,23.639999389648438,23.709999084472656,591500.0
ALGN,2012-01-09,23.579999923706055,22.389999389648438,22.670000076293945,1853700.0
ALGN,2012-01-10,23.479999542236328,22.700000762939453,23.329999923706055,1207300.0
ALGN,2012-01-11,24.049999237060547,23.219999313354492,23.950000762939453,638600.0
ALGN,2012-01-12,24.760000228881836,23.899999618530273,24.709999084472656,562900.0
ALGN,2012-01-13,24.6200008392334,23.829999923706055,24.079999923706055,619600.0
ALGN,2012-01-17,25.3799991607666,24.170000076293945,24.90999984741211,757300.0
ALGN,2012-01-18,25.1200008392334,24.510000228881836,24.790000915527344,486900.0
ALGN,2012-01-19,25.329999923706055,24.65999984741211,25.239999771118164,551200.0
ALGN,2012-01-20,25.299999237060547,25.010000228881836,25.200000762939453,351900.0
ALGN,2012-01-23,25.459999084472656,24.8700008392334,25.0,410100.0
ALGN,2012-01-24,25.299999237060547,24.389999389648438,24.90999984741211,848100.0
ALGN,2012-01-25,24.959999084472656,24.530000686645508,24.799999237060547,759400.0
ALGN,2012-01-26,25.209999084472656,24.770000457763672,24.950000762939453,559800.0
ALGN,2012-01-27,25.75,24.540000915527344,25.549999237060547,746100.0
ALGN,2012-01-30,25.75,25.139999389648438,25.3799991607666,1121700.0
ALGN,2012-01-31,24.889999389648438,23.420000076293945,23.559999465942383,2936100.0
ALGN,2012-02-01,24.43000030517578,23.399999618530273,24.3799991607666,1212600.0
ALGN,2012-02-02,24.8700008392334,24.010000228881836,24.75,1013700.0
ALGN,2012-02-03,25.65999984741211,24.8700008392334,25.43000030517578,810200.0
ALGN,2012-02-06,25.920000076293945,25.079999923706055,25.860000610351562,701800.0
ALGN,2012-02-07,26.06999969482422,25.6299991607666,25.920000076293945,540000.0
ALGN,2012-02-08,27.1200008392334,25.510000228881836,27.079999923706055,1274400.0
ALGN,2012-02-09,27.09000015258789,26.0,26.059999465942383,727200.0
ALGN,2012-02-10,26.15999984741211,25.170000076293945,26.020000457763672,370000.0
ALGN,2012-02-13,26.639999389648438,26.200000762939453,26.43000030517578,345900.0
ALGN,2012-02-14,26.469999313354492,26.059999465942383,26.469999313354492,306100.0
ALGN,2012-02-15,26.59000015258789,26.100000381469727,26.360000610351562,343400.0
