,,high,low,adjclose,volume
ALKS,2012-01-03,17.860000610351562,17.280000686645508,17.34000015258789,660300.0
ALKS,2012-01-04,17.670000076293945,17.15999984741211,17.200000762939453,475100.0
ALKS,2012-01-05,17.270000457763672,16.8700008392334,16.979999542236328,652400.0
ALKS,2012-01-06,17.059999465942383,16.670000076293945,16.68000030517578,920100.0
ALKS,2012-01-09,17.479999542236328,16.700000762939453,17.399999618530273,1263400.0
ALKS,2012-01-10,18.15999984741211,17.389999389648438,18.079999923706055,1424700.0
ALKS,2012-01-11,18.200000762939453,17.639999389648438,18.139999389648438,801000.0
ALKS,2012-01-12,18.399999618530273,17.81999969482422,18.18000030517578,623800.0
ALKS,2012-01-13,18.239999771118164,17.739999771118164,18.15999984741211,541100.0
ALKS,2012-01-17,18.6299991607666,18.309999465942383,18.479999542236328,690800.0
ALKS,2012-01-18,18.690000534057617,18.270000457763672,18.600000381469727,635500.0
ALKS,2012-01-19,18.729999542236328,18.079999923706055,18.219999313354492,1484700.0
ALKS,2012-01-20,18.260000228881836,17.799999237060547,18.020000457763672,519800.0
ALKS,2012-01-23,18.100000381469727,17.639999389648438,17.690000534057617,556600.0
ALKS,2012-01-24,17.950000762939453,17.559999465942383,17.950000762939453,968400.0
ALKS,2012-01-25,19.1299991607666,18.030000686645508,19.049999237060547,3167600.0
ALKS,2012-01-26,19.280000686645508,18.8700008392334,19.280000686645508,1475200.0
ALKS,2012-01-27,19.270000457763672,18.860000610351562,19.100000381469727,720300.0
ALKS,2012-01-30,19.8700008392334,18.809999465942383,18.860000610351562,2444700.0
ALKS,2012-01-31,18.989999771118164,18.40999984741211,18.809999465942383,1328800.0
ALKS,2012-02-01,19.09000015258789,18.559999465942383,18.729999542236328,1415600.0
ALKS,2012-02-02,19.18000030517578,18.75,19.0,1560200.0
ALKS,2012-02-03,19.530000686645508,18.889999389648438,19.149999618530273,1538800.0
ALKS,2012-02-06,19.56999969482422,18.809999465942383,19.5,1045700.0
ALKS,2012-02-07,19.469999313354492,19.079999923706055,19.260000228881836,775000.0
ALKS,2012-02-08,19.3799991607666,18.65999984741211,18.8799991607666,820100.0
ALKS,2012-02-09,19.049999237060547,18.440000534057617,18.469999313354492,572700.0
ALKS,2012-02-10,18.329999923706055,17.899999618530273,17.979999542236328,801300.0
ALKS,2012-02-13,18.760000228881836,18.049999237060547,18.760000228881836,739800.0
ALKS,2012-02-14,18.690000534057617,18.360000610351562,18.489999771118164,572000.0
ALKS,2012-02-15,18.739999771118164,18.25,18.329999923706055,582900.0
ALKS,2012-02-16,18.760000228881836,18.239999771118164,18.56999969482422,573600.0
ALKS,2012-02-17,18.56999969482422,18.1200008392334,18.3799991607666,406000.0
ALKS,2012-02-21,18.459999084472656,17.65999984741211,17.700000762939453,543300.0
ALKS,2012-02-22,17.700000762939453,17.110000610351562,17.280000686645508,774700.0
ALKS,2012-02-23,17.700000762939453,17.200000762939453,17.579999923706055,530400.0
ALKS,2012-02-24,17.6200008392334,17.09000015258789,17.290000915527344,591500.0
ALKS,2012-02-27,17.40999984741211,16.90999984741211,17.170000076293945,529900.0
ALKS,2012-02-28,17.719999313354492,17.1299991607666,17.59000015258789,652300.0
ALKS,2012-02-29,17.989999771118164,17.3799991607666,17.65999984741211,1154800.0
ALKS,2012-03-01,17.8799991607666,17.260000228881836,17.459999084472656,598100.0
ALKS,2012-03-02,17.6299991607666,17.25,17.270000457763672,550200.0
ALKS,2012-03-05,17.34000015258789,16.760000228881836,17.100000381469727,755400.0
ALKS,2012-03-06,17.299999237060547,16.940000534057617,17.25,715700.0
ALKS,2012-03-07,17.469999313354492,16.940000534057617,17.299999237060547,502400.0
ALKS,2012-03-08,17.610000610351562,16.649999618530273,17.25,10585700.0
ALKS,2012-03-09,17.489999771118164,17.0,17.209999084472656,1600300.0
ALKS,2012-03-12,17.459999084472656,16.8700008392334,17.09000015258789,1046900.0
ALKS,2012-03-13,17.459999084472656,17.1200008392334,17.309999465942383,1047200.0
ALKS,2012-03-14,17.399999618530273,16.989999771118164,17.079999923706055,751500.0
ALKS,2012-03-15,17.149999618530273,16.889999389648438,16.889999389648438,766800.0
ALKS,2012-03-16,17.030000686645508,16.5,16.739999771118164,1448700.0
ALKS,2012-03-19,16.950000762939453,16.639999389648438,16.790000915527344,615400.0
ALKS,2012-03-20,16.719999313354492,16.09000015258789,16.139999389648438,1954700.0
ALKS,2012-03-21,16.43000030517578,16.1299991607666,16.190000534057617,885300.0
ALKS,2012-03-22,16.59000015258789,16.059999465942383,16.579999923706055,981800.0
ALKS,2012-03-23,16.59000015258789,16.15999984741211,16.479999542236328,840600.0
ALKS,2012-03-26,17.1299991607666,16.579999923706055,17.020000457763672,1020800.0
ALKS,2012-03-27,17.270000457763672,16.790000915527344,16.979999542236328,741600.0
ALKS,2012-03-28,18.170000076293945,17.34000015258789,17.90999984741211,2867300.0
ALKS,2012-03-29,18.489999771118164,17.690000534057617,18.389999389648438,1984500.0
