,,high,low,adjclose,volume
ALXN,2012-01-03,72.66999816894531,70.13999938964844,70.56999969482422,1489800.0
ALXN,2012-01-04,71.05000305175781,69.81999969482422,70.29000091552734,748900.0
ALXN,2012-01-05,73.05000305175781,70.37000274658203,72.41000366210938,1463000.0
ALXN,2012-01-06,74.68000030517578,72.0,74.44999694824219,1775300.0
ALXN,2012-01-09,76.19999694824219,74.12000274658203,74.2699966430664,1323400.0
ALXN,2012-01-10,75.70999908447266,74.05000305175781,74.68000030517578,1651200.0
ALXN,2012-01-11,75.02999877929688,73.16000366210938,73.63999938964844,1291300.0
ALXN,2012-01-12,74.37999725341797,73.12000274658203,74.31999969482422,681100.0
ALXN,2012-01-13,75.05999755859375,73.30999755859375,74.62000274658203,864100.0
ALXN,2012-01-17,77.31999969482422,74.6500015258789,77.11000061035156,1371900.0
ALXN,2012-01-18,77.58000183105469,76.5,76.98999786376953,1110800.0
ALXN,2012-01-19,77.19000244140625,75.56999969482422,75.69000244140625,1255700.0
ALXN,2012-01-20,75.6500015258789,73.04000091552734,73.58000183105469,1682700.0
ALXN,2012-01-23,75.66999816894531,73.77999877929688,74.33000183105469,1448300.0
ALXN,2012-01-24,74.95999908447266,73.87000274658203,73.9800033569336,1094200.0
ALXN,2012-01-25,75.26000213623047,73.76000213623047,74.94000244140625,1592800.0
ALXN,2012-01-26,75.37999725341797,73.69000244140625,74.94999694824219,949600.0
ALXN,2012-01-27,75.97000122070312,74.41000366210938,75.4000015258789,684500.0
ALXN,2012-01-30,75.62000274658203,73.7300033569336,75.01000213623047,707700.0
ALXN,2012-01-31,76.83000183105469,74.68000030517578,76.76000213623047,1325000.0
ALXN,2012-02-01,78.08000183105469,76.33000183105469,77.3499984741211,851600.0
ALXN,2012-02-02,78.51000213623047,76.80999755859375,77.77999877929688,917300.0
ALXN,2012-02-03,80.97000122070312,78.37999725341797,78.87999725341797,1163200.0
ALXN,2012-02-06,80.08000183105469,78.19999694824219,79.75,897300.0
ALXN,2012-02-07,79.95999908447266,78.4000015258789,78.80999755859375,922000.0
ALXN,2012-02-08,78.86000061035156,75.04000091552734,76.69000244140625,2023800.0
ALXN,2012-02-09,83.0999984741211,76.80999755859375,80.41000366210938,2365200.0
ALXN,2012-02-10,83.87999725341797,81.06999969482422,83.44999694824219,2100800.0
ALXN,2012-02-13,84.83000183105469,83.54000091552734,84.3499984741211,1221300.0
ALXN,2012-02-14,85.4800033569336,83.0,83.38999938964844,1432400.0
ALXN,2012-02-15,84.0,82.51000213623047,83.0,957600.0
ALXN,2012-02-16,84.0,82.2300033569336,83.0,982800.0
ALXN,2012-02-17,82.94000244140625,80.25,81.0,1225900.0
ALXN,2012-02-21,82.5,80.0,81.80999755859375,1175600.0
ALXN,2012-02-22,83.94000244140625,81.16000366210938,83.45999908447266,1700600.0
ALXN,2012-02-23,87.62999725341797,84.31999969482422,85.91000366210938,1810500.0
ALXN,2012-02-24,86.4800033569336,84.2300033569336,84.62999725341797,984900.0
ALXN,2012-02-27,84.5999984741211,83.45999908447266,83.76000213623047,1036400.0
ALXN,2012-02-28,84.86000061035156,82.12999725341797,84.8499984741211,1337500.0
ALXN,2012-02-29,84.94000244140625,83.45999908447266,83.7300033569336,1108300.0
ALXN,2012-03-01,84.68000030517578,83.01000213623047,84.54000091552734,1039600.0
ALXN,2012-03-02,85.27999877929688,83.5199966430664,85.26000213623047,1256900.0
ALXN,2012-03-05,85.83999633789062,83.68000030517578,84.19999694824219,889600.0
ALXN,2012-03-06,84.7300033569336,82.69999694824219,83.27999877929688,964900.0
ALXN,2012-03-07,84.12999725341797,82.62999725341797,83.8499984741211,719700.0
ALXN,2012-03-08,85.45999908447266,83.9000015258789,84.91000366210938,954200.0
ALXN,2012-03-09,85.38999938964844,84.0,84.7300033569336,1051000.0
ALXN,2012-03-12,88.5,84.86000061035156,87.87000274658203,2115900.0
ALXN,2012-03-13,89.8499984741211,88.0,89.51000213623047,1426800.0
ALXN,2012-03-14,89.4800033569336,88.33000183105469,89.16999816894531,1357600.0
ALXN,2012-03-15,89.7699966430664,89.01000213623047,89.5199966430664,1133500.0
ALXN,2012-03-16,89.54000091552734,88.0999984741211,89.01000213623047,1607800.0
ALXN,2012-03-19,89.9000015258789,88.52999877929688,89.80999755859375,912400.0
ALXN,2012-03-20,90.52999877929688,88.9000015258789,90.0199966430664,1509800.0
ALXN,2012-03-21,93.47000122070312,90.0199966430664,92.80000305175781,1706800.0
ALXN,2012-03-22,94.22000122070312,91.63999938964844,94.0199966430664,1566000.0
ALXN,2012-03-23,94.9000015258789,92.44999694824219,93.81999969482422,889400.0
ALXN,2012-03-26,95.01000213623047,92.0,94.30999755859375,1259400.0
ALXN,2012-03-27,94.41000366210938,92.98999786376953,93.27999877929688,1293300.0
ALXN,2012-03-28,93.83000183105469,87.02999877929688,90.22000122070312,3962300.0
ALXN,2012-03-29,91.5,88.73999786376953,91.26000213623047,1514700.0
ALXN,2012-03-30,93.05000305175781,91.5199966430664,92.86000061035156,1694800.0
ALXN,2012-04-02,93.54000091552734,92.26000213623047,93.05000305175781,1529200.0
ALXN,2012-04-03,93.87000274658203,92.5,93.87000274658203,1010800.0
ALXN,2012-04-04,93.73999786376953,91.87999725341797,92.83000183105469,814200.0
ALXN,2012-04-05,93.86000061035156,91.93000030517578,93.66999816894531,661100.0
ALXN,2012-04-09,92.72000122070312,91.52999877929688,91.87999725341797,761300.0
ALXN,2012-04-10,92.16999816894531,88.23999786376953,89.22000122070312,1238400.0
ALXN,2012-04-11,91.12999725341797,89.41999816894531,89.80999755859375,899800.0
ALXN,2012-04-12,90.91999816894531,89.7699966430664,90.0999984741211,675400.0
ALXN,2012-04-13,90.43000030517578,88.81999969482422,89.0199966430664,811400.0
ALXN,2012-04-16,89.5999984741211,87.01000213623047,88.66999816894531,1257800.0
ALXN,2012-04-17,90.19999694824219,88.48999786376953,89.70999908447266,959500.0
ALXN,2012-04-18,91.20999908447266,89.0199966430664,90.36000061035156,677400.0
ALXN,2012-04-19,92.37999725341797,90.30999755859375,90.97000122070312,792900.0
ALXN,2012-04-20,92.58999633789062,91.01000213623047,91.76000213623047,921300.0
ALXN,2012-04-23,91.94000244140625,89.33999633789062,91.94000244140625,1215700.0
ALXN,2012-04-24,93.97000122070312,88.01000213623047,88.9000015258789,2272900.0
