,,high,low,adjclose,volume
APC,2012-01-03,79.12000274658203,77.68000030517578,73.0853271484375,4453100.0
APC,2012-01-04,79.95999908447266,77.91000366210938,74.12608337402344,2368800.0
APC,2012-01-05,81.1500015258789,79.0,75.08322143554688,4618400.0
APC,2012-01-06,81.02999877929688,79.75,74.5907211303711,2937600.0
APC,2012-01-09,81.80999755859375,80.01000213623047,75.05533599853516,2939200.0
APC,2012-01-10,82.47000122070312,80.56999969482422,75.1575698852539,3704900.0
APC,2012-01-11,81.04000091552734,79.0199966430664,74.07964324951172,4154800.0
APC,2012-01-12,80.30999755859375,78.45999908447266,73.1689453125,3624000.0
APC,2012-01-13,78.88999938964844,77.5999984741211,72.49063110351562,3495600.0
APC,2012-01-17,79.9000015258789,78.7699966430664,73.5964126586914,3404400.0
APC,2012-01-18,80.37000274658203,77.70999908447266,74.56282806396484,3740300.0
APC,2012-01-19,80.68000030517578,79.62000274658203,74.14469909667969,3922000.0
APC,2012-01-20,79.98999786376953,78.33000183105469,73.42916870117188,3628800.0
APC,2012-01-23,79.72000122070312,78.33000183105469,73.87520599365234,3477900.0
APC,2012-01-24,79.47000122070312,78.41999816894531,73.40128326416016,2865400.0
APC,2012-01-25,81.20999908447266,78.23999786376953,75.34339904785156,3956400.0
APC,2012-01-26,81.69000244140625,79.0,73.69862365722656,3816100.0
APC,2012-01-27,79.87000274658203,78.79000091552734,73.70791625976562,2413900.0
APC,2012-01-30,80.02999877929688,78.0,74.36767578125,2422300.0
APC,2012-01-31,81.27999877929688,79.81999969482422,75.00888061523438,3728600.0
APC,2012-02-01,81.79000091552734,80.41999816894531,74.8137435913086,2705700.0
APC,2012-02-02,82.33000183105469,80.72000122070312,76.34700012207031,3319800.0
APC,2012-02-03,84.48999786376953,82.12000274658203,78.37277221679688,4757200.0
APC,2012-02-06,83.54000091552734,81.9800033569336,77.00678253173828,4234600.0
APC,2012-02-07,87.55000305175781,83.62000274658203,81.03968811035156,7712100.0
APC,2012-02-08,87.43000030517578,85.27999877929688,80.67729949951172,4394300.0
APC,2012-02-09,88.20999908447266,86.05999755859375,81.27202606201172,4034400.0
APC,2012-02-10,87.2699966430664,85.61000061035156,80.88172912597656,3515800.0
APC,2012-02-13,88.04000091552734,86.29000091552734,81.16051483154297,3329100.0
APC,2012-02-14,87.4800033569336,86.27999877929688,80.89100646972656,3306100.0
APC,2012-02-15,88.5,86.7300033569336,81.3184814453125,3548000.0
APC,2012-02-16,88.37999725341797,86.83999633789062,81.54149627685547,2658500.0
APC,2012-02-17,88.69999694824219,87.29000091552734,81.82025909423828,4118800.0
APC,2012-02-21,87.13999938964844,84.48999786376953,79.67371368408203,7462300.0
APC,2012-02-22,88.27999877929688,86.79000091552734,81.14190673828125,4552700.0
APC,2012-02-23,87.66999816894531,85.62000274658203,81.30918884277344,3124600.0
APC,2012-02-24,88.19999694824219,86.55999755859375,81.12332153320312,3591800.0
APC,2012-02-27,87.44000244140625,85.97000122070312,80.39851379394531,2855400.0
APC,2012-02-28,87.08000183105469,85.43000030517578,79.81307983398438,2839200.0
APC,2012-02-29,86.41000366210938,83.5199966430664,78.16830444335938,4588500.0
APC,2012-03-01,85.86000061035156,84.51000213623047,79.73876190185547,3363600.0
APC,2012-03-02,85.62000274658203,82.25,76.70939636230469,5366200.0
APC,2012-03-05,83.30000305175781,81.68000030517578,77.27622985839844,2816800.0
APC,2012-03-06,82.23999786376953,80.81999969482422,76.0775375366211,3922900.0
APC,2012-03-07,83.11000061035156,81.22000122070312,76.90453338623047,2948400.0
APC,2012-03-08,84.19000244140625,82.81999969482422,77.69441986083984,3082000.0
