,,high,low,adjclose,volume
AWI,2012-01-03,45.91999816894531,44.83000183105469,38.00925827026367,220200.0
AWI,2012-01-04,45.849998474121094,44.599998474121094,38.38951873779297,172600.0
AWI,2012-01-05,46.529998779296875,44.650001525878906,38.98103713989258,319500.0
AWI,2012-01-06,47.43000030517578,45.95000076293945,39.38664627075195,459000.0
AWI,2012-01-09,47.25,46.459999084472656,39.462703704833984,452800.0
AWI,2012-01-10,47.959999084472656,47.13999938964844,40.03731918334961,258300.0
AWI,2012-01-11,48.720001220703125,47.22999954223633,40.37533187866211,392100.0
AWI,2012-01-12,47.88999938964844,46.630001068115234,40.01197052001953,254600.0
AWI,2012-01-13,47.22999954223633,45.81999969482422,39.741554260253906,243800.0
AWI,2012-01-17,48.41999816894531,47.470001220703125,40.544334411621094,197800.0
AWI,2012-01-18,48.720001220703125,47.439998626708984,40.924598693847656,170000.0
AWI,2012-01-19,49.119998931884766,47.93000030517578,41.20344924926758,276400.0
AWI,2012-01-20,48.7599983215332,47.2599983215332,40.23167419433594,201000.0
AWI,2012-01-23,48.25,46.2400016784668,39.48805236816406,244600.0
AWI,2012-01-24,47.45000076293945,45.900001525878906,40.020423889160156,172100.0
AWI,2012-01-25,48.380001068115234,46.40999984741211,40.73869323730469,134300.0
AWI,2012-01-26,48.95000076293945,47.25,40.29927444458008,121700.0
AWI,2012-01-27,47.779998779296875,46.720001220703125,40.130271911621094,105600.0
AWI,2012-01-30,47.130001068115234,46.099998474121094,39.76691436767578,104500.0
AWI,2012-01-31,47.5099983215332,46.290000915527344,39.462703704833984,99100.0
AWI,2012-02-01,48.47999954223633,46.75,40.47673034667969,127400.0
AWI,2012-02-02,48.790000915527344,47.9900016784668,40.82319259643555,82800.0
AWI,2012-02-03,50.13999938964844,48.81999969482422,42.14142990112305,162400.0
AWI,2012-02-06,49.810001373291016,48.779998779296875,41.74427032470703,85100.0
AWI,2012-02-07,49.65999984741211,48.7400016784668,41.56681442260742,71700.0
AWI,2012-02-08,49.599998474121094,48.720001220703125,41.778072357177734,96200.0
AWI,2012-02-09,49.95000076293945,49.0,41.93863296508789,105900.0
AWI,2012-02-10,49.560001373291016,48.59000015258789,41.51611328125,50100.0
AWI,2012-02-13,49.880001068115234,49.279998779296875,41.955528259277344,143900.0
AWI,2012-02-14,49.619998931884766,48.599998474121094,41.431610107421875,200900.0
AWI,2012-02-15,49.43000030517578,48.099998474121094,41.025997161865234,166300.0
AWI,2012-02-16,50.43000030517578,48.25,42.46253967285156,178300.0
AWI,2012-02-17,50.970001220703125,50.25,42.74985122680664,283500.0
AWI,2012-02-21,51.54999923706055,50.34000015258789,42.910400390625,233400.0
AWI,2012-02-22,51.0099983215332,50.16999816894531,42.834354400634766,236100.0
AWI,2012-02-23,51.119998931884766,50.369998931884766,42.70759963989258,123800.0
AWI,2012-02-24,50.9900016784668,49.33000183105469,41.93863296508789,247000.0
AWI,2012-02-27,50.61000061035156,48.34000015258789,42.17523193359375,637300.0
AWI,2012-02-28,50.4900016784668,49.70000076293945,42.5723991394043,235800.0
AWI,2012-02-29,52.439998626708984,50.310001373291016,43.28221893310547,415500.0
AWI,2012-03-01,51.83000183105469,50.84000015258789,43.52727508544922,169000.0
AWI,2012-03-02,51.72999954223633,50.09000015258789,42.834354400634766,160600.0
AWI,2012-03-05,51.709999084472656,50.4900016784668,42.78364944458008,188800.0
AWI,2012-03-06,50.150001525878906,48.93000030517578,41.854122161865234,249200.0
AWI,2012-03-07,50.130001068115234,49.400001525878906,42.082279205322266,154200.0
AWI,2012-03-08,51.0,49.91999816894531,42.78364944458008,217700.0
AWI,2012-03-09,52.45000076293945,50.70000076293945,43.501922607421875,256200.0
AWI,2012-03-12,53.709999084472656,52.0099983215332,44.86241149902344,394500.0
AWI,2012-03-13,57.88999938964844,54.540000915527344,48.27632141113281,1161700.0
AWI,2012-03-14,57.31999969482422,56.31999969482422,48.225616455078125,404700.0
AWI,2012-03-15,57.36000061035156,56.279998779296875,48.27632141113281,514300.0
AWI,2012-03-16,56.47999954223633,55.119998931884766,47.34678649902344,543000.0
AWI,2012-03-19,57.33000183105469,55.970001220703125,47.77775573730469,391400.0
AWI,2012-03-20,57.33000183105469,55.52000045776367,48.32701873779297,328400.0
AWI,2012-03-21,57.27000045776367,56.2400016784668,48.1749153137207,361600.0
AWI,2012-03-22,57.0099983215332,56.18000030517578,47.963661193847656,246400.0
AWI,2012-03-23,56.959999084472656,55.630001068115234,48.01436233520508,264000.0
AWI,2012-03-26,59.779998779296875,56.63999938964844,48.090415954589844,643600.0
AWI,2012-03-27,58.09000015258789,57.09000015258789,48.49602508544922,429500.0
AWI,2012-03-28,58.189998626708984,56.70000076293945,49.12134552001953,319400.0
AWI,2012-03-29,57.97999954223633,57.0,48.47067642211914,621000.0
AWI,2012-03-30,49.709999084472656,48.72999954223633,48.43095397949219,598700.0
AWI,2012-04-02,48.779998779296875,47.400001525878906,47.527278900146484,677700.0
AWI,2012-04-03,48.279998779296875,47.290000915527344,47.16978454589844,272200.0
AWI,2012-04-04,47.439998626708984,46.470001220703125,46.345550537109375,494100.0
AWI,2012-04-05,47.310001373291016,46.529998779296875,46.80235290527344,240100.0
AWI,2012-04-09,46.779998779296875,46.25,46.276039123535156,350800.0
AWI,2012-04-10,46.66999816894531,44.59000015258789,44.32966613769531,461600.0
AWI,2012-04-11,46.22999954223633,45.02000045776367,45.3922233581543,303800.0
AWI,2012-04-12,46.75,45.65999984741211,45.9582633972168,376400.0
AWI,2012-04-13,46.060001373291016,44.72999954223633,44.667301177978516,329600.0
AWI,2012-04-16,45.45000076293945,44.4900016784668,44.587860107421875,469800.0
AWI,2012-04-17,46.08000183105469,45.310001373291016,45.11417007446289,341700.0
AWI,2012-04-18,45.20000076293945,44.25,43.95230484008789,414400.0
AWI,2012-04-19,44.900001525878906,43.529998779296875,43.495506286621094,574700.0
AWI,2012-04-20,44.7400016784668,43.849998474121094,43.704044342041016,429600.0
AWI,2012-04-23,43.29999923706055,42.779998779296875,42.621620178222656,479600.0
AWI,2012-04-24,44.09000015258789,42.84000015258789,43.704044342041016,850700.0
AWI,2012-04-25,45.15999984741211,44.27000045776367,44.438899993896484,265000.0
AWI,2012-04-26,45.650001525878906,44.560001373291016,45.282989501953125,413900.0
AWI,2012-04-27,46.83000183105469,45.7400016784668,46.16680908203125,552200.0
AWI,2012-04-30,45.59000015258789,43.63999938964844,43.73383712768555,840900.0
AWI,2012-05-01,45.66999816894531,43.5,44.687164306640625,568000.0
AWI,2012-05-02,45.54999923706055,44.09000015258789,44.855979919433594,384300.0
AWI,2012-05-03,45.97999954223633,44.72999954223633,45.54118347167969,549500.0
AWI,2012-05-04,46.09000015258789,45.40999984741211,45.332645416259766,465800.0
AWI,2012-05-07,46.130001068115234,45.060001373291016,45.55111312866211,365000.0
AWI,2012-05-08,45.63999938964844,44.59000015258789,44.83612060546875,484100.0
AWI,2012-05-09,45.75,44.380001068115234,45.02479934692383,285000.0
AWI,2012-05-10,46.18000030517578,45.0,45.20354461669922,217200.0
AWI,2012-05-11,46.130001068115234,44.97999954223633,45.78944778442383,209000.0
AWI,2012-05-14,45.779998779296875,45.31999969482422,45.233341217041016,306500.0
AWI,2012-05-15,46.130001068115234,44.790000915527344,45.412086486816406,393500.0
AWI,2012-05-16,46.599998474121094,45.11000061035156,44.846046447753906,277900.0
AWI,2012-05-17,45.13999938964844,43.29999923706055,43.138004302978516,512200.0
AWI,2012-05-18,43.689998626708984,42.56999969482422,43.02877426147461,420600.0
AWI,2012-05-21,43.95000076293945,42.86000061035156,43.53522491455078,378600.0
AWI,2012-05-22,44.959999084472656,43.619998931884766,44.4786262512207,413800.0
AWI,2012-05-23,45.63999938964844,44.0,45.32271194458008,289000.0
AWI,2012-05-24,46.70000076293945,45.29999923706055,46.31576156616211,292900.0
AWI,2012-05-25,47.0,46.34000015258789,46.64346694946289,375100.0
AWI,2012-05-29,48.40999984741211,47.02000045776367,48.06352615356445,456400.0
AWI,2012-05-30,48.08000183105469,46.97999954223633,46.74277114868164,314800.0
AWI,2012-05-31,47.0,45.470001220703125,46.266109466552734,603400.0
AWI,2012-06-01,45.5099983215332,44.380001068115234,44.1707763671875,486000.0
AWI,2012-06-04,44.7400016784668,42.939998626708984,43.44585418701172,329200.0
AWI,2012-06-05,44.75,43.290000915527344,44.37931823730469,222900.0
