,,high,low,adjclose,volume
BBY,2012-01-03,23.8799991607666,23.540000915527344,18.75318717956543,5431600.0
BBY,2012-01-04,23.639999389648438,22.950000762939453,18.39681053161621,7836500.0
BBY,2012-01-05,23.790000915527344,22.850000381469727,18.563119888305664,8463300.0
BBY,2012-01-06,24.600000381469727,23.559999465942383,19.18083953857422,8873400.0
BBY,2012-01-09,24.68000030517578,23.959999084472656,19.49761962890625,6952000.0
BBY,2012-01-10,24.959999084472656,24.389999389648438,19.576807022094727,7090800.0
BBY,2012-01-11,25.030000686645508,24.459999084472656,19.648080825805664,4682900.0
BBY,2012-01-12,24.989999771118164,24.540000915527344,19.60848617553711,3791300.0
BBY,2012-01-13,24.700000762939453,23.979999542236328,19.236276626586914,4295300.0
BBY,2012-01-17,24.75,24.3799991607666,19.37090301513672,3510900.0
BBY,2012-01-18,25.209999084472656,24.31999969482422,19.933183670043945,4546100.0
BBY,2012-01-19,25.3799991607666,25.059999465942383,19.877742767333984,4611900.0
BBY,2012-01-20,25.440000534057617,24.969999313354492,19.798551559448242,4287000.0
BBY,2012-01-23,25.780000686645508,24.950000762939453,20.344993591308594,5514700.0
BBY,2012-01-24,25.610000610351562,25.110000610351562,20.08365821838379,4197600.0
BBY,2012-01-25,25.809999465942383,24.850000381469727,20.36082649230957,4581200.0
BBY,2012-01-26,25.989999771118164,24.940000534057617,19.814395904541016,6562400.0
BBY,2012-01-27,25.489999771118164,24.889999389648438,20.147008895874023,3981400.0
BBY,2012-01-30,25.469999313354492,24.959999084472656,20.0994873046875,3745000.0
BBY,2012-01-31,24.600000381469727,23.68000030517578,18.967012405395508,9743500.0
BBY,2012-02-01,24.3700008392334,23.979999542236328,19.14916229248047,6653200.0
BBY,2012-02-02,24.469999313354492,24.1200008392334,19.24419403076172,3742400.0
BBY,2012-02-03,24.6299991607666,23.799999237060547,18.89573860168457,8449500.0
BBY,2012-02-06,24.719999313354492,23.760000228881836,19.53721046447754,6574000.0
BBY,2012-02-07,25.420000076293945,24.440000534057617,20.0994873046875,7672400.0
BBY,2012-02-08,25.75,25.239999771118164,20.115333557128906,6504900.0
BBY,2012-02-09,25.59000015258789,25.040000915527344,20.075733184814453,4519600.0
BBY,2012-02-10,25.299999237060547,24.920000076293945,19.861907958984375,3456000.0
BBY,2012-02-13,25.450000762939453,25.020000457763672,19.96485710144043,2733400.0
BBY,2012-02-14,25.5,25.139999389648438,20.186599731445312,2780400.0
BBY,2012-02-15,25.700000762939453,25.18000030517578,20.075733184814453,3686300.0
BBY,2012-02-16,25.899999618530273,25.280000686645508,20.4875431060791,3622900.0
BBY,2012-02-17,26.049999237060547,25.690000534057617,20.36082649230957,3311300.0
BBY,2012-02-21,26.290000915527344,25.850000381469727,20.519222259521484,5444100.0
BBY,2012-02-22,26.06999969482422,25.049999237060547,19.861907958984375,5706900.0
BBY,2012-02-23,25.600000381469727,25.030000686645508,19.949024200439453,3938900.0
BBY,2012-02-24,25.329999923706055,24.920000076293945,19.790630340576172,2821700.0
BBY,2012-02-27,25.25,24.65999984741211,19.806472778320312,3013300.0
