,,high,low,adjclose,volume
BLL,2012-01-03,18.219999313354492,17.954999923706055,16.977054595947266,1907200.0
BLL,2012-01-04,18.25,18.030000686645508,16.944334030151367,2722600.0
BLL,2012-01-05,18.225000381469727,17.829999923706055,16.953685760498047,1831000.0
BLL,2012-01-06,18.59000015258789,18.040000915527344,17.35099983215332,2804600.0
BLL,2012-01-09,18.65999984741211,18.385000228881836,17.21544647216797,2728200.0
BLL,2012-01-10,18.635000228881836,18.344999313354492,17.229469299316406,2138600.0
BLL,2012-01-11,18.520000457763672,18.30500030517578,17.252843856811523,1342400.0
BLL,2012-01-12,18.934999465942383,18.709999084472656,17.678203582763672,2309200.0
BLL,2012-01-13,18.850000381469727,18.600000381469727,17.594064712524414,1766800.0
BLL,2012-01-17,18.96500015258789,18.514999389648438,17.360347747802734,1989800.0
BLL,2012-01-18,18.8799991607666,18.44499969482422,17.617433547973633,1423800.0
BLL,2012-01-19,19.174999237060547,18.815000534057617,17.832462310791016,2190800.0
BLL,2012-01-20,19.125,18.924999237060547,17.720273971557617,2045800.0
BLL,2012-01-23,19.049999237060547,18.75,17.6641845703125,1354400.0
BLL,2012-01-24,19.020000457763672,18.795000076293945,17.645484924316406,1842600.0
BLL,2012-01-25,18.940000534057617,18.540000915527344,17.622108459472656,3046600.0
BLL,2012-01-26,19.84000015258789,18.655000686645508,18.398040771484375,4291800.0
BLL,2012-01-27,20.024999618530273,19.545000076293945,18.43543815612793,3930800.0
BLL,2012-01-30,19.68000030517578,19.469999313354492,18.313905715942383,2190000.0
BLL,2012-01-31,19.709999084472656,19.510000228881836,18.351299285888672,2090600.0
BLL,2012-02-01,20.325000762939453,19.725000381469727,18.846776962280273,3917600.0
BLL,2012-02-02,20.145000457763672,19.850000381469727,18.556974411010742,2135600.0
BLL,2012-02-03,20.1200008392334,19.885000228881836,18.60371208190918,2481400.0
BLL,2012-02-06,20.014999389648438,19.81999969482422,18.697200775146484,1849000.0
BLL,2012-02-07,20.104999542236328,19.854999542236328,18.60371208190918,2273600.0
BLL,2012-02-08,20.075000762939453,19.850000381469727,18.627086639404297,2313200.0
BLL,2012-02-09,20.049999237060547,19.799999237060547,18.71589469909668,1854400.0
BLL,2012-02-10,19.934999465942383,19.649999618530273,18.608381271362305,1825200.0
BLL,2012-02-13,20.149999618530273,19.90999984741211,18.678503036499023,1525600.0
BLL,2012-02-14,19.969999313354492,19.80500030517578,18.63642692565918,1077600.0
BLL,2012-02-15,20.03499984741211,19.81999969482422,18.570993423461914,1644200.0
BLL,2012-02-16,20.19499969482422,19.780000686645508,18.846776962280273,1473200.0
BLL,2012-02-17,20.25,20.0,18.748619079589844,1387600.0
BLL,2012-02-21,20.2450008392334,20.024999618530273,18.809383392333984,1086600.0
BLL,2012-02-22,20.165000915527344,19.81999969482422,18.556974411010742,1467200.0
BLL,2012-02-23,19.985000610351562,19.850000381469727,18.627086639404297,2037400.0
BLL,2012-02-24,20.094999313354492,19.829999923706055,18.594362258911133,1484800.0
BLL,2012-02-27,20.014999389648438,19.735000610351562,18.65045166015625,1644600.0
BLL,2012-02-28,20.114999771118164,19.920000076293945,18.7769775390625,1722000.0
BLL,2012-02-29,20.219999313354492,19.93000030517578,18.78166389465332,3000600.0
BLL,2012-03-01,20.190000534057617,19.90999984741211,18.734806060791016,2099400.0
BLL,2012-03-02,20.05500030517578,19.815000534057617,18.655136108398438,1732600.0
BLL,2012-03-05,19.920000076293945,19.764999389648438,18.598909378051758,1916200.0
BLL,2012-03-06,19.684999465942383,19.540000915527344,18.406784057617188,4373800.0
BLL,2012-03-07,19.774999618530273,19.610000610351562,18.491125106811523,1876400.0
BLL,2012-03-08,20.03499984741211,19.780000686645508,18.68325424194336,2606800.0
BLL,2012-03-09,20.065000534057617,19.80500030517578,18.612964630126953,1344600.0
BLL,2012-03-12,19.940000534057617,19.760000228881836,18.598909378051758,1796200.0
BLL,2012-03-13,20.225000381469727,19.854999542236328,18.922245025634766,1996600.0
BLL,2012-03-14,20.260000228881836,20.075000762939453,18.884756088256836,1938400.0
BLL,2012-03-15,20.360000610351562,20.114999771118164,19.039400100708008,1421400.0
BLL,2012-03-16,20.69499969482422,20.309999465942383,19.395538330078125,5150600.0
BLL,2012-03-19,20.895000457763672,20.68000030517578,19.395538330078125,1738400.0
BLL,2012-03-20,20.774999618530273,20.53499984741211,19.33930778503418,1817800.0
BLL,2012-03-21,20.725000381469727,20.53499984741211,19.250267028808594,1646400.0
BLL,2012-03-22,20.510000228881836,20.2549991607666,19.133119583129883,1801200.0
BLL,2012-03-23,20.565000534057617,20.344999313354492,19.254955291748047,1979200.0
BLL,2012-03-26,20.770000457763672,20.604999542236328,19.46114158630371,1769600.0
BLL,2012-03-27,21.225000381469727,20.670000076293945,19.84539794921875,3198200.0
BLL,2012-03-28,21.2450008392334,21.065000534057617,19.887569427490234,3619400.0
BLL,2012-03-29,21.405000686645508,20.940000534057617,20.032835006713867,2873600.0
BLL,2012-03-30,21.4950008392334,21.264999389648438,20.093759536743164,2944400.0
BLL,2012-04-02,21.584999084472656,21.270000457763672,20.19684600830078,2709000.0
BLL,2012-04-03,21.78499984741211,21.514999389648438,20.40772247314453,3316400.0
BLL,2012-04-04,21.850000381469727,21.514999389648438,20.440523147583008,3229600.0
BLL,2012-04-05,21.81999969482422,21.645000457763672,20.417095184326172,2258200.0
BLL,2012-04-09,21.725000381469727,21.469999313354492,20.351491928100586,3116400.0
BLL,2012-04-10,21.700000762939453,21.15999984741211,19.892253875732422,3719400.0
BLL,2012-04-11,21.78499984741211,21.344999313354492,20.02346420288086,2515400.0
BLL,2012-04-12,21.5049991607666,21.34000015258789,20.060956954956055,3612400.0
BLL,2012-04-13,21.53499984741211,21.360000610351562,20.042213439941406,2842400.0
BLL,2012-04-16,21.434999465942383,21.075000762939453,20.04689598083496,3511000.0
BLL,2012-04-17,21.645000457763672,21.344999313354492,20.22028160095215,1859200.0
BLL,2012-04-18,21.6299991607666,21.485000610351562,20.164043426513672,2374400.0
BLL,2012-04-19,21.78499984741211,21.520000457763672,20.290576934814453,3077600.0
BLL,2012-04-20,21.850000381469727,21.645000457763672,20.393661499023438,1606000.0
BLL,2012-04-23,21.604999542236328,21.270000457763672,20.08907127380371,2060800.0
BLL,2012-04-24,21.559999465942383,21.354999542236328,20.13124656677246,1569600.0
BLL,2012-04-25,21.719999313354492,21.459999084472656,20.14999008178711,3515600.0
BLL,2012-04-26,21.364999771118164,20.7549991607666,19.507999420166016,5576200.0
BLL,2012-04-27,21.010000228881836,20.7549991607666,19.578290939331055,2654200.0
BLL,2012-04-30,21.0,20.825000762939453,19.568920135498047,4776000.0
BLL,2012-05-01,21.110000610351562,20.860000610351562,19.601722717285156,2150400.0
