,,high,low,adjclose,volume
BLUE,2013-06-19,27.0,24.950000762939453,26.90999984741211,5305200.0
BLUE,2013-06-20,26.389999389648438,25.030000686645508,26.09000015258789,336400.0
BLUE,2013-06-21,26.219999313354492,25.5,25.5,149200.0
BLUE,2013-06-24,25.459999084472656,24.719999313354492,25.100000381469727,162700.0
BLUE,2013-06-25,25.5,25.0,25.209999084472656,143000.0
BLUE,2013-06-26,25.489999771118164,24.729999542236328,25.06999969482422,236800.0
BLUE,2013-06-27,25.299999237060547,24.209999084472656,25.0,173100.0
BLUE,2013-06-28,25.3799991607666,24.0,24.969999313354492,155300.0
BLUE,2013-07-01,26.399999618530273,25.0,26.260000228881836,56100.0
BLUE,2013-07-02,30.260000228881836,25.780000686645508,30.0,95100.0
BLUE,2013-07-03,31.139999389648438,28.59000015258789,30.049999237060547,72200.0
BLUE,2013-07-05,30.989999771118164,29.260000228881836,29.270000457763672,28000.0
BLUE,2013-07-08,30.719999313354492,29.3799991607666,29.989999771118164,39800.0
BLUE,2013-07-09,30.489999771118164,29.1299991607666,29.469999313354492,76600.0
BLUE,2013-07-10,30.149999618530273,29.3799991607666,30.0,38500.0
BLUE,2013-07-11,30.84000015258789,29.989999771118164,30.219999313354492,44400.0
BLUE,2013-07-12,30.979999542236328,29.709999084472656,30.649999618530273,66700.0
BLUE,2013-07-15,33.20000076293945,32.0099983215332,32.5,333300.0
BLUE,2013-07-16,36.130001068115234,32.7400016784668,35.0,325000.0
BLUE,2013-07-17,36.25,34.0,34.779998779296875,146300.0
BLUE,2013-07-18,35.400001525878906,33.0,34.66999816894531,108800.0
BLUE,2013-07-19,35.5,33.40999984741211,33.9900016784668,131600.0
BLUE,2013-07-22,35.0099983215332,31.450000762939453,32.59000015258789,79200.0
BLUE,2013-07-23,33.95000076293945,32.54999923706055,33.56999969482422,72800.0
BLUE,2013-07-24,34.15999984741211,31.639999389648438,31.760000228881836,87100.0
BLUE,2013-07-25,31.700000762939453,29.649999618530273,30.510000228881836,406300.0
BLUE,2013-07-26,31.979999542236328,30.270000457763672,30.520000457763672,121100.0
BLUE,2013-07-29,31.940000534057617,30.3700008392334,30.850000381469727,103800.0
BLUE,2013-07-30,33.099998474121094,31.110000610351562,32.11000061035156,122700.0
BLUE,2013-07-31,32.29999923706055,31.020000457763672,31.1299991607666,102900.0
BLUE,2013-08-01,32.70000076293945,31.030000686645508,31.299999237060547,90400.0
BLUE,2013-08-02,32.220001220703125,30.920000076293945,31.549999237060547,125900.0
BLUE,2013-08-05,31.989999771118164,31.309999465942383,31.549999237060547,53100.0
BLUE,2013-08-06,31.700000762939453,29.530000686645508,29.899999618530273,58300.0
BLUE,2013-08-07,30.149999618530273,26.700000762939453,27.200000762939453,109900.0
BLUE,2013-08-08,29.3799991607666,26.520000457763672,29.09000015258789,134000.0
BLUE,2013-08-09,29.25,27.75,28.40999984741211,42900.0
BLUE,2013-08-12,28.709999084472656,27.5,28.40999984741211,32400.0
BLUE,2013-08-13,29.440000534057617,28.3799991607666,29.170000076293945,68300.0
BLUE,2013-08-14,30.93000030517578,29.0,30.040000915527344,107400.0
BLUE,2013-08-15,30.299999237060547,28.040000915527344,29.06999969482422,104400.0
BLUE,2013-08-16,30.0,28.56999969482422,29.239999771118164,53100.0
BLUE,2013-08-19,29.610000610351562,28.719999313354492,29.0,202500.0
BLUE,2013-08-20,29.270000457763672,26.520000457763672,26.809999465942383,61600.0
BLUE,2013-08-21,27.860000610351562,24.040000915527344,25.850000381469727,196100.0
BLUE,2013-08-22,26.920000076293945,25.219999313354492,25.559999465942383,90400.0
BLUE,2013-08-23,26.790000915527344,25.65999984741211,26.020000457763672,35200.0
BLUE,2013-08-26,26.209999084472656,25.450000762939453,25.6299991607666,36200.0
BLUE,2013-08-27,25.600000381469727,24.3799991607666,24.459999084472656,61400.0
BLUE,2013-08-28,26.68000030517578,24.260000228881836,24.43000030517578,49600.0
BLUE,2013-08-29,26.600000381469727,24.65999984741211,25.479999542236328,98200.0
BLUE,2013-08-30,26.3700008392334,24.559999465942383,24.899999618530273,95600.0
BLUE,2013-09-03,25.649999618530273,24.6299991607666,25.420000076293945,38800.0
BLUE,2013-09-04,26.43000030517578,24.729999542236328,26.0,73500.0
BLUE,2013-09-05,26.239999771118164,24.799999237060547,25.809999465942383,67000.0
