,,high,low,adjclose,volume
CBS,2012-01-03,28.139999389648438,27.239999771118164,24.964797973632812,7291700.0
CBS,2012-01-04,27.959999084472656,27.18000030517578,25.541536331176758,7570100.0
CBS,2012-01-05,28.1299991607666,27.329999923706055,25.605623245239258,4316400.0
CBS,2012-01-06,28.06999969482422,27.6200008392334,25.440837860107422,5528800.0
CBS,2012-01-09,28.170000076293945,27.65999984741211,25.495763778686523,4866400.0
CBS,2012-01-10,28.6200008392334,27.84000015258789,26.191516876220703,7566600.0
CBS,2012-01-11,28.639999389648438,27.899999618530273,25.770404815673828,4985700.0
CBS,2012-01-12,28.309999465942383,27.780000686645508,25.706321716308594,4765400.0
CBS,2012-01-13,27.959999084472656,27.440000534057617,25.404216766357422,4369100.0
CBS,2012-01-17,28.510000228881836,27.93000030517578,25.715476989746094,3514700.0
CBS,2012-01-18,28.31999969482422,27.84000015258789,25.898574829101562,5486200.0
CBS,2012-01-19,28.850000381469727,28.209999084472656,26.392925262451172,4839900.0
CBS,2012-01-20,28.8700008392334,27.809999465942383,25.669696807861328,7581300.0
CBS,2012-01-23,29.010000228881836,27.93000030517578,26.40208625793457,8144400.0
CBS,2012-01-24,28.950000762939453,28.290000915527344,26.21898078918457,8403800.0
CBS,2012-01-25,29.0,28.270000457763672,26.328842163085938,8478600.0
CBS,2012-01-26,29.18000030517578,28.59000015258789,26.292213439941406,5892500.0
CBS,2012-01-27,28.959999084472656,28.520000457763672,26.40208625793457,4473800.0
CBS,2012-01-30,28.780000686645508,28.15999984741211,26.25560188293457,5923500.0
CBS,2012-01-31,29.360000610351562,28.389999389648438,26.072511672973633,5523600.0
CBS,2012-02-01,29.6200008392334,28.8799991607666,26.466163635253906,7002100.0
CBS,2012-02-02,29.31999969482422,28.239999771118164,26.64009666442871,8832800.0
CBS,2012-02-03,29.610000610351562,29.040000915527344,26.987979888916016,7018600.0
CBS,2012-02-06,29.639999389648438,29.209999084472656,27.12529754638672,4157900.0
CBS,2012-02-07,29.93000030517578,29.280000686645508,27.37247657775879,7677100.0
CBS,2012-02-08,30.079999923706055,29.520000457763672,27.21684455871582,4552700.0
CBS,2012-02-09,29.8799991607666,29.18000030517578,27.25346565246582,5736500.0
CBS,2012-02-10,30.0,29.100000381469727,27.37247657775879,5107200.0
CBS,2012-02-13,30.3799991607666,30.06999969482422,27.656265258789062,6001600.0
CBS,2012-02-14,30.309999465942383,29.540000915527344,27.271778106689453,5530900.0
CBS,2012-02-15,29.90999984741211,29.200000762939453,27.070369720458984,8429900.0
CBS,2012-02-16,29.469999313354492,28.219999313354492,26.823192596435547,14015200.0
CBS,2012-02-17,29.8700008392334,29.350000381469727,27.08867835998535,8171900.0
CBS,2012-02-21,30.059999465942383,29.43000030517578,27.042905807495117,4857500.0
CBS,2012-02-22,29.850000381469727,29.389999389648438,26.942203521728516,4680000.0
CBS,2012-02-23,29.610000610351562,29.270000457763672,26.951353073120117,7255000.0
CBS,2012-02-24,29.93000030517578,29.469999313354492,27.23515510559082,5573900.0
CBS,2012-02-27,30.15999984741211,29.200000762939453,27.308387756347656,3748400.0
CBS,2012-02-28,30.09000015258789,29.59000015258789,27.454866409301758,5411500.0
CBS,2012-02-29,30.31999969482422,29.809999465942383,27.37247657775879,10969000.0
CBS,2012-03-01,30.549999237060547,29.81999969482422,27.784435272216797,9150800.0
CBS,2012-03-02,30.520000457763672,30.059999465942383,27.729507446289062,5475400.0
CBS,2012-03-05,30.260000228881836,29.610000610351562,27.34501075744629,5549200.0
CBS,2012-03-06,29.489999771118164,28.850000381469727,26.621788024902344,7167600.0
CBS,2012-03-07,29.8799991607666,29.100000381469727,27.271778106689453,6892800.0
CBS,2012-03-08,30.670000076293945,29.90999984741211,28.05254364013672,8755800.0
CBS,2012-03-09,30.989999771118164,30.489999771118164,28.30054473876953,6888300.0
CBS,2012-03-12,31.0,30.3799991607666,28.070911407470703,3866900.0
CBS,2012-03-13,31.43000030517578,30.549999237060547,28.778196334838867,10211400.0
CBS,2012-03-14,31.799999237060547,31.280000686645508,28.870052337646484,9455900.0
CBS,2012-03-15,31.600000381469727,31.09000015258789,28.952716827392578,6885900.0
CBS,2012-03-16,31.75,31.459999084472656,29.01701545715332,5909000.0
CBS,2012-03-19,32.04999923706055,31.31999969482422,29.228281021118164,4917300.0
CBS,2012-03-20,31.709999084472656,31.389999389648438,29.118061065673828,5786100.0
CBS,2012-03-21,31.850000381469727,31.3799991607666,28.98946189880371,5101600.0
CBS,2012-03-22,31.520000457763672,31.15999984741211,28.870052337646484,4594900.0
CBS,2012-03-23,31.979999542236328,31.34000015258789,29.246654510498047,5464600.0
CBS,2012-03-26,32.560001373291016,31.979999542236328,29.779407501220703,7896200.0
CBS,2012-03-27,32.61000061035156,32.279998779296875,29.8528995513916,5058300.0
CBS,2012-03-28,32.65999984741211,32.13999938964844,29.60489273071289,8141100.0
CBS,2012-03-29,32.90999984741211,31.93000030517578,30.15601921081543,7633600.0
CBS,2012-03-30,33.939998626708984,32.959999084472656,31.148046493530273,15510600.0
CBS,2012-04-02,33.9900016784668,33.400001525878906,30.99190330505371,8158300.0
CBS,2012-04-03,34.16999816894531,33.41999816894531,31.120502471923828,6675600.0
CBS,2012-04-04,33.58000183105469,32.7599983215332,30.302995681762695,8367100.0
CBS,2012-04-05,33.45000076293945,32.790000915527344,30.615299224853516,7203300.0
CBS,2012-04-09,32.7599983215332,31.360000610351562,29.889638900756836,8820000.0
CBS,2012-04-10,32.560001373291016,31.25,28.750638961791992,12247100.0
CBS,2012-04-11,31.8799991607666,31.489999771118164,29.062944412231445,6601600.0
CBS,2012-04-12,32.209999084472656,31.399999618530273,29.5589656829834,8680900.0
CBS,2012-04-13,32.630001068115234,31.959999084472656,29.862083435058594,6798600.0
CBS,2012-04-16,32.650001525878906,32.09000015258789,29.678375244140625,6928100.0
CBS,2012-04-17,33.040000915527344,32.279998779296875,30.14683723449707,7407000.0
CBS,2012-04-18,33.04999923706055,32.43000030517578,30.23868751525879,6464100.0
CBS,2012-04-19,33.400001525878906,32.7599983215332,30.569366455078125,10225600.0
CBS,2012-04-20,33.689998626708984,33.189998626708984,30.596927642822266,5024300.0
CBS,2012-04-23,32.95000076293945,32.2599983215332,30.00905418395996,5815000.0
CBS,2012-04-24,32.959999084472656,32.36000061035156,29.898818969726562,5094100.0
CBS,2012-04-25,33.439998626708984,32.84000015258789,30.55099105834961,3963000.0
CBS,2012-04-26,34.20000076293945,33.150001525878906,31.350133895874023,6639800.0
CBS,2012-04-27,34.560001373291016,33.97999954223633,31.533842086791992,12078500.0
CBS,2012-04-30,33.9900016784668,33.27000045776367,30.66122055053711,7761700.0
CBS,2012-05-01,33.93000030517578,33.209999084472656,30.697961807250977,9398600.0
CBS,2012-05-02,35.0,33.619998931884766,31.405242919921875,14825000.0
CBS,2012-05-03,34.470001220703125,33.77000045776367,31.28584098815918,5142300.0
CBS,2012-05-04,33.90999984741211,33.130001068115234,30.514257431030273,7134100.0
CBS,2012-05-07,33.27000045776367,32.369998931884766,30.28461265563965,7112000.0
CBS,2012-05-08,33.0099983215332,31.93000030517578,30.22031593322754,12351100.0
CBS,2012-05-09,33.29999923706055,32.209999084472656,30.257068634033203,12483200.0
CBS,2012-05-10,33.58000183105469,32.939998626708984,30.339733123779297,9100100.0
CBS,2012-05-11,33.470001220703125,32.77000045776367,30.128461837768555,5118000.0
CBS,2012-05-14,32.38999938964844,31.709999084472656,29.182353973388672,8269800.0
CBS,2012-05-15,32.11000061035156,31.510000228881836,29.366064071655273,10631800.0
CBS,2012-05-16,32.470001220703125,31.760000228881836,29.191545486450195,5147400.0
CBS,2012-05-17,31.829999923706055,29.979999542236328,27.574892044067383,15811700.0
CBS,2012-05-18,30.950000762939453,29.809999465942383,28.070911407470703,11285700.0
CBS,2012-05-21,31.540000915527344,30.40999984741211,28.934350967407227,6384300.0
CBS,2012-05-22,31.760000228881836,30.940000534057617,28.631221771240234,6744900.0
CBS,2012-05-23,31.610000610351562,30.68000030517578,28.88842010498047,6476100.0
CBS,2012-05-24,31.950000762939453,31.360000610351562,29.053762435913086,4808000.0
CBS,2012-05-25,31.809999465942383,31.309999465942383,28.98946189880371,5050500.0
CBS,2012-05-29,32.529998779296875,31.610000610351562,29.724300384521484,8024000.0
CBS,2012-05-30,31.940000534057617,31.260000228881836,28.97109031677246,5812800.0
CBS,2012-05-31,32.2599983215332,30.969999313354492,29.32013702392578,7276700.0
CBS,2012-06-01,31.299999237060547,30.309999465942383,27.85964584350586,8354900.0
CBS,2012-06-04,30.729999542236328,29.950000762939453,28.126020431518555,7023000.0
CBS,2012-06-05,31.530000686645508,30.219999313354492,28.906787872314453,8040500.0
CBS,2012-06-06,32.13999938964844,31.700000762939453,29.32931900024414,6305400.0
CBS,2012-06-07,32.66999816894531,31.65999984741211,29.246395111083984,5037100.0
CBS,2012-06-08,32.25,31.3799991607666,29.70711898803711,4302900.0
CBS,2012-06-11,32.720001220703125,31.530000686645508,29.09896469116211,4220100.0
CBS,2012-06-12,32.529998779296875,31.639999389648438,29.90983009338379,4855400.0
CBS,2012-06-13,32.060001373291016,31.229999542236328,28.942323684692383,8599200.0
CBS,2012-06-14,31.84000015258789,31.299999237060547,29.237178802490234,5698700.0
CBS,2012-06-15,31.950000762939453,31.440000534057617,29.135828018188477,8074800.0
CBS,2012-06-18,31.700000762939453,30.989999771118164,29.145036697387695,6846100.0
CBS,2012-06-19,32.18000030517578,31.559999465942383,29.439895629882812,3448200.0
CBS,2012-06-20,32.5,31.829999923706055,29.504405975341797,6720100.0
CBS,2012-06-21,32.38999938964844,31.649999618530273,29.246395111083984,8584000.0
CBS,2012-06-22,31.920000076293945,31.34000015258789,28.979177474975586,7529200.0
CBS,2012-06-25,31.469999313354492,30.729999542236328,28.647464752197266,7574900.0
CBS,2012-06-26,31.920000076293945,31.1299991607666,29.080533981323242,4480900.0
CBS,2012-06-27,32.16999816894531,31.719999313354492,29.46754264831543,3924300.0
CBS,2012-06-28,31.850000381469727,31.440000534057617,29.264827728271484,6939300.0
CBS,2012-06-29,32.779998779296875,32.130001068115234,30.204687118530273,6953200.0
CBS,2012-07-02,33.11000061035156,32.540000915527344,30.40740394592285,3888000.0
CBS,2012-07-03,33.0,32.63999938964844,30.241554260253906,1990200.0
CBS,2012-07-05,32.880001068115234,32.41999816894531,30.020408630371094,3326700.0
CBS,2012-07-06,32.65999984741211,32.189998626708984,30.00197410583496,3494100.0
CBS,2012-07-09,32.709999084472656,32.04999923706055,29.661041259765625,2898200.0
CBS,2012-07-10,32.45000076293945,31.420000076293945,29.09896469116211,4624400.0
CBS,2012-07-11,31.639999389648438,30.780000686645508,28.490814208984375,7624000.0
CBS,2012-07-12,30.8700008392334,29.850000381469727,28.205171585083008,11532600.0
CBS,2012-07-13,31.399999618530273,30.639999389648438,28.83174705505371,3402900.0
CBS,2012-07-16,31.540000915527344,30.6200008392334,29.025249481201172,6619100.0
CBS,2012-07-17,32.040000915527344,30.969999313354492,29.45832633972168,5310800.0
CBS,2012-07-18,32.040000915527344,31.469999313354492,29.080533981323242,6141000.0
CBS,2012-07-19,32.04999923706055,31.450000762939453,29.264827728271484,5504700.0
CBS,2012-07-20,31.639999389648438,31.350000381469727,29.016033172607422,6300600.0
CBS,2012-07-23,31.040000915527344,30.520000457763672,28.444747924804688,6375300.0
CBS,2012-07-24,31.18000030517578,30.610000610351562,28.472383499145508,4771900.0
CBS,2012-07-25,31.34000015258789,30.8700008392334,28.665889739990234,6063000.0
CBS,2012-07-26,32.7400016784668,31.59000015258789,30.066478729248047,7179600.0
CBS,2012-07-27,33.72999954223633,32.810001373291016,30.93262481689453,5451400.0
CBS,2012-07-30,33.88999938964844,33.349998474121094,30.91419219970703,3972400.0
CBS,2012-07-31,33.84000015258789,32.880001068115234,30.831268310546875,7727800.0
CBS,2012-08-01,33.7400016784668,33.02000045776367,30.471904754638672,4231300.0
CBS,2012-08-02,33.630001068115234,32.65999984741211,30.444272994995117,7429000.0
CBS,2012-08-03,35.18000030517578,34.27000045776367,32.305572509765625,10781300.0
CBS,2012-08-06,35.880001068115234,35.02000045776367,32.71099090576172,6712000.0
CBS,2012-08-07,35.900001525878906,35.63999938964844,32.84920883178711,4778700.0
CBS,2012-08-08,35.68000030517578,35.34000015258789,32.84920883178711,6225000.0
CBS,2012-08-09,35.83000183105469,35.45000076293945,32.775489807128906,4699100.0
CBS,2012-08-10,35.7400016784668,35.41999816894531,32.886070251464844,4505000.0
CBS,2012-08-13,35.75,35.34000015258789,32.913719177246094,3603700.0
CBS,2012-08-14,36.189998626708984,35.65999984741211,33.17171859741211,5294000.0
CBS,2012-08-15,36.06999969482422,35.63999938964844,33.23622131347656,5067700.0
CBS,2012-08-16,36.25,35.91999816894531,33.20856475830078,5119900.0
CBS,2012-08-17,36.099998474121094,35.7400016784668,33.13486099243164,4700300.0
CBS,2012-08-20,36.08000183105469,35.619998931884766,33.24543380737305,3088500.0
CBS,2012-08-21,36.43000030517578,35.7400016784668,33.39285659790039,4120500.0
CBS,2012-08-22,36.279998779296875,35.970001220703125,33.26384735107422,3530400.0
CBS,2012-08-23,36.290000915527344,35.869998931884766,33.13486099243164,4818800.0
CBS,2012-08-24,36.630001068115234,35.810001373291016,33.678489685058594,4205600.0
CBS,2012-08-27,36.75,36.380001068115234,33.59556579589844,3638800.0
CBS,2012-08-28,36.40999984741211,36.08000183105469,33.49422073364258,2912600.0
CBS,2012-08-29,36.45000076293945,36.040000915527344,33.33757400512695,3479800.0
CBS,2012-08-30,36.2599983215332,35.75,33.17171859741211,3683400.0
CBS,2012-08-31,36.43000030517578,35.88999938964844,33.48500442504883,3729100.0
CBS,2012-09-04,36.38999938964844,35.900001525878906,33.116424560546875,3540300.0
CBS,2012-09-05,36.0,35.310001373291016,32.766292572021484,9069500.0
CBS,2012-09-06,36.72999954223633,35.869998931884766,33.94047546386719,5310700.0
CBS,2012-09-07,37.02000045776367,36.5099983215332,34.227073669433594,3883400.0
CBS,2012-09-10,37.11000061035156,36.720001220703125,34.11613464355469,4018000.0
CBS,2012-09-11,36.88999938964844,36.439998626708984,34.0606689453125,5481500.0
CBS,2012-09-12,36.83000183105469,36.09000015258789,33.43197250366211,6290600.0
CBS,2012-09-13,37.099998474121094,35.900001525878906,34.1623649597168,7719700.0
CBS,2012-09-14,37.81999969482422,36.849998474121094,34.3472785949707,5768200.0
CBS,2012-09-17,37.150001525878906,36.7400016784668,34.32878112792969,7419000.0
CBS,2012-09-18,37.11000061035156,36.529998779296875,33.8110237121582,5019600.0
CBS,2012-09-19,37.2599983215332,36.52000045776367,34.264060974121094,5415600.0
CBS,2012-09-20,37.150001525878906,36.54999923706055,33.93122863769531,7697100.0
CBS,2012-09-21,38.31999969482422,36.95000076293945,35.04069519042969,14054100.0
CBS,2012-09-24,37.779998779296875,37.04999923706055,34.43048858642578,8538700.0
CBS,2012-09-25,37.709999084472656,36.2599983215332,33.59837341308594,7988200.0
CBS,2012-09-26,36.33000183105469,35.4900016784668,32.886478424072266,11529100.0
CBS,2012-09-27,36.290000915527344,35.63999938964844,33.24705505371094,6113000.0
CBS,2012-09-28,36.349998474121094,35.689998626708984,33.58913803100586,9620300.0
