,,high,low,adjclose,volume
CDK,2014-09-22,32.5,30.25,29.557266235351562,6300.0
CDK,2014-09-23,32.0,31.100000381469727,29.890974044799805,40400.0
CDK,2014-09-24,33.59000015258789,31.75,31.44512367248535,532400.0
CDK,2014-09-25,33.70000076293945,31.469999313354492,30.272357940673828,693000.0
CDK,2014-09-26,34.35499954223633,31.1200008392334,29.671682357788086,628300.0
CDK,2014-09-29,32.0,30.75,29.318906784057617,1059300.0
CDK,2014-09-30,31.799999237060547,30.200000762939453,29.166349411010742,36993900.0
CDK,2014-10-01,31.350000381469727,30.1299991607666,29.557266235351562,9871200.0
CDK,2014-10-02,31.299999237060547,30.0,28.889846801757812,9190500.0
CDK,2014-10-03,29.989999771118164,29.0,28.184282302856445,5041300.0
CDK,2014-10-06,29.709999084472656,29.0,28.050806045532227,5002600.0
CDK,2014-10-07,29.149999618530273,27.139999389648438,26.220155715942383,6923200.0
CDK,2014-10-08,28.1200008392334,26.4950008392334,26.52526092529297,9502200.0
CDK,2014-10-09,27.360000610351562,26.149999618530273,25.29529571533203,7992100.0
CDK,2014-10-10,26.549999237060547,25.850000381469727,24.789966583251953,4866600.0
CDK,2014-10-13,27.790000915527344,25.809999465942383,24.95682144165039,3644400.0
CDK,2014-10-14,26.31999969482422,25.81999969482422,24.770898818969727,3675400.0
CDK,2014-10-15,25.989999771118164,25.049999237060547,24.322769165039062,4842900.0
CDK,2014-10-16,25.860000610351562,25.0,24.046266555786133,2888400.0
CDK,2014-10-17,26.950000762939453,25.200000762939453,25.42878532409668,2877000.0
CDK,2014-10-20,27.260000228881836,26.079999923706055,25.934118270874023,2651000.0
CDK,2014-10-21,28.100000381469727,26.850000381469727,26.725492477416992,3339300.0
CDK,2014-10-22,28.3700008392334,27.549999237060547,26.811302185058594,1746100.0
CDK,2014-10-23,29.899999618530273,26.440000534057617,27.73615837097168,5925400.0
CDK,2014-10-24,29.6200008392334,28.93000030517578,28.003124237060547,1319900.0
CDK,2014-10-27,30.100000381469727,28.549999237060547,28.403575897216797,3807800.0
CDK,2014-10-28,33.34000015258789,31.0,31.483257293701172,8609700.0
CDK,2014-10-29,33.099998474121094,32.04499816894531,30.853971481323242,3373400.0
CDK,2014-10-30,32.93000030517578,31.829999923706055,31.130474090576172,1618800.0
CDK,2014-10-31,33.880001068115234,32.43000030517578,32.03626251220703,2889000.0
CDK,2014-11-03,33.72999954223633,33.2599983215332,32.04579544067383,2896400.0
