,,high,low,adjclose,volume
CHD,2012-01-03,23.024999618530273,22.510000228881836,18.45106315612793,1764200.0
CHD,2012-01-04,22.614999771118164,22.104999542236328,18.21533966064453,1550400.0
CHD,2012-01-05,22.655000686645508,22.264999389648438,18.349458694458008,1773800.0
CHD,2012-01-06,23.135000228881836,22.565000534057617,18.63800811767578,2018200.0
CHD,2012-01-09,23.104999542236328,22.850000381469727,18.670516967773438,956000.0
CHD,2012-01-10,23.100000381469727,22.28499984741211,18.207218170166016,3656200.0
CHD,2012-01-11,22.719999313354492,22.325000762939453,18.29662322998047,2158800.0
CHD,2012-01-12,22.7549991607666,22.469999313354492,18.410419464111328,1307800.0
CHD,2012-01-13,22.71500015258789,22.5,18.41854476928711,1207000.0
CHD,2012-01-17,22.8799991607666,22.635000228881836,18.564857482910156,1058400.0
CHD,2012-01-18,23.18000030517578,22.799999237060547,18.808700561523438,1239600.0
CHD,2012-01-19,23.385000228881836,23.020000457763672,18.99565315246582,1381800.0
CHD,2012-01-20,23.5,23.084999084472656,18.829023361206055,1252800.0
CHD,2012-01-23,23.274999618530273,23.0049991607666,18.772123336791992,1140600.0
CHD,2012-01-24,22.9950008392334,22.6200008392334,18.60955810546875,1383400.0
CHD,2012-01-25,23.075000762939453,22.90999984741211,18.65427017211914,929200.0
CHD,2012-01-26,23.43000030517578,22.889999389648438,18.650203704833984,1196800.0
CHD,2012-01-27,23.049999237060547,22.764999389648438,18.503894805908203,985400.0
CHD,2012-01-30,22.709999084472656,22.3799991607666,18.410419464111328,1448600.0
CHD,2012-01-31,22.975000381469727,22.575000762939453,18.438865661621094,1378200.0
CHD,2012-02-01,22.989999771118164,22.655000686645508,18.650203704833984,1318800.0
CHD,2012-02-02,23.125,22.729999542236328,18.593307495117188,1203200.0
CHD,2012-02-03,23.200000762939453,22.834999084472656,18.572982788085938,1780000.0
CHD,2012-02-06,22.924999237060547,22.540000915527344,18.38603973388672,2223000.0
CHD,2012-02-07,23.96500015258789,23.024999618530273,19.357357025146484,4010400.0
CHD,2012-02-08,24.0,23.670000076293945,19.341102600097656,2127200.0
CHD,2012-02-09,23.850000381469727,23.53499984741211,19.345165252685547,1424800.0
CHD,2012-02-10,23.844999313354492,23.520000457763672,19.276077270507812,1024200.0
CHD,2012-02-13,23.989999771118164,23.700000762939453,19.389867782592773,953800.0
CHD,2012-02-14,23.959999084472656,23.56999969482422,19.284202575683594,2186800.0
CHD,2012-02-15,23.9950008392334,23.600000381469727,19.389867782592773,1213800.0
CHD,2012-02-16,23.96500015258789,23.719999313354492,19.50482177734375,1220400.0
CHD,2012-02-17,23.78499984741211,23.579999923706055,19.4103946685791,1003200.0
CHD,2012-02-21,23.7549991607666,23.584999084472656,19.484294891357422,1191000.0
CHD,2012-02-22,23.729999542236328,23.524999618530273,19.422712326049805,1393400.0
CHD,2012-02-23,23.94499969482422,23.43000030517578,19.627986907958984,1182800.0
CHD,2012-02-24,23.985000610351562,23.69499969482422,19.64851188659668,925400.0
CHD,2012-02-27,23.915000915527344,23.635000228881836,19.562297821044922,1196600.0
CHD,2012-02-28,23.975000381469727,23.780000686645508,19.619766235351562,1695400.0
CHD,2012-02-29,23.9950008392334,23.729999542236328,19.5992488861084,2175400.0
CHD,2012-03-01,24.100000381469727,23.78499984741211,19.669036865234375,2284000.0
CHD,2012-03-02,24.235000610351562,23.899999618530273,19.722414016723633,1544200.0
CHD,2012-03-05,24.165000915527344,23.885000228881836,19.763469696044922,766000.0
CHD,2012-03-06,23.975000381469727,23.709999084472656,19.500713348388672,1149600.0
CHD,2012-03-07,23.90999984741211,23.649999618530273,19.615665435791016,1366800.0
CHD,2012-03-08,24.25,23.989999771118164,19.79631233215332,1480000.0
CHD,2012-03-09,24.5,24.145000457763672,19.981046676635742,1464800.0
CHD,2012-03-12,24.559999465942383,24.260000228881836,20.06315803527832,1638600.0
CHD,2012-03-13,24.59000015258789,24.334999084472656,20.18631935119629,1667200.0
CHD,2012-03-14,24.649999618530273,24.264999389648438,20.017993927001953,1246000.0
CHD,2012-03-15,24.540000915527344,24.235000610351562,19.919466018676758,1604400.0
CHD,2012-03-16,24.489999771118164,24.165000915527344,19.894834518432617,3318000.0
CHD,2012-03-19,24.395000457763672,24.174999237060547,19.972841262817383,1422600.0
CHD,2012-03-20,24.4950008392334,24.18000030517578,20.0015811920166,1284400.0
CHD,2012-03-21,24.6200008392334,24.385000228881836,20.075475692749023,1590600.0
CHD,2012-03-22,24.665000915527344,24.299999237060547,20.219167709350586,1210400.0
CHD,2012-03-23,24.69499969482422,24.309999465942383,20.124738693237305,800400.0
CHD,2012-03-26,24.795000076293945,24.600000381469727,20.358747482299805,980800.0
CHD,2012-03-27,24.8700008392334,24.635000228881836,20.247901916503906,1151200.0
CHD,2012-03-28,24.704999923706055,24.530000686645508,20.28074836730957,1014400.0
CHD,2012-03-29,24.735000610351562,24.405000686645508,20.28074836730957,989000.0
CHD,2012-03-30,24.80500030517578,24.59000015258789,20.194534301757812,1205800.0
CHD,2012-04-02,24.954999923706055,24.635000228881836,20.33821678161621,1644000.0
CHD,2012-04-03,24.979999542236328,24.75,20.50654411315918,1299400.0
CHD,2012-04-04,24.94499969482422,24.71500015258789,20.36285400390625,1187600.0
CHD,2012-04-05,24.920000076293945,24.729999542236328,20.412118911743164,1048000.0
CHD,2012-04-09,24.924999237060547,24.610000610351562,20.44085693359375,1032000.0
CHD,2012-04-10,24.920000076293945,24.579999923706055,20.202743530273438,1356600.0
CHD,2012-04-11,24.96500015258789,24.700000762939453,20.453170776367188,1306400.0
CHD,2012-04-12,25.1299991607666,24.7549991607666,20.59686279296875,1330800.0
CHD,2012-04-13,25.280000686645508,24.979999542236328,20.572229385375977,1424600.0
CHD,2012-04-16,25.21500015258789,24.975000381469727,20.57632827758789,1841000.0
