,,high,low,adjclose,volume
CMA,2012-01-03,26.889999389648438,26.25,23.17089080810547,3141200.0
CMA,2012-01-04,26.850000381469727,26.31999969482422,23.240262985229492,2459400.0
CMA,2012-01-05,27.729999542236328,26.280000686645508,23.743221282958984,3354300.0
CMA,2012-01-06,28.030000686645508,27.06999969482422,24.211490631103516,4031600.0
CMA,2012-01-09,28.40999984741211,27.860000610351562,24.59305191040039,3690600.0
CMA,2012-01-10,28.989999771118164,28.3700008392334,24.70578384399414,3099600.0
CMA,2012-01-11,28.799999237060547,28.18000030517578,24.905237197875977,2530400.0
CMA,2012-01-12,29.270000457763672,28.360000610351562,25.37351417541504,2798100.0
CMA,2012-01-13,29.549999237060547,28.6200008392334,25.529603958129883,2997100.0
CMA,2012-01-17,29.829999923706055,29.209999084472656,25.451560974121094,2998900.0
CMA,2012-01-18,29.81999969482422,29.110000610351562,25.503583908081055,3788800.0
CMA,2012-01-19,29.649999618530273,28.5,24.87055206298828,6185200.0
CMA,2012-01-20,30.010000228881836,28.760000228881836,25.651004791259766,7039400.0
CMA,2012-01-23,29.8700008392334,29.25,25.581632614135742,5155300.0
CMA,2012-01-24,29.719999313354492,29.06999969482422,25.668352127075195,4130500.0
CMA,2012-01-25,30.18000030517578,28.670000076293945,25.312803268432617,7291200.0
CMA,2012-01-26,29.530000686645508,27.6299991607666,24.18547821044922,8099600.0
CMA,2012-01-27,28.209999084472656,27.649999618530273,24.298213958740234,3121600.0
CMA,2012-01-30,28.030000686645508,27.420000076293945,24.133447647094727,3363800.0
CMA,2012-01-31,28.18000030517578,27.459999084472656,23.994705200195312,3531000.0
CMA,2012-02-01,28.299999237060547,27.809999465942383,24.358915328979492,3924700.0
CMA,2012-02-02,28.350000381469727,27.899999618530273,24.541027069091797,3206000.0
CMA,2012-02-03,30.079999923706055,28.549999237060547,26.084592819213867,7579600.0
CMA,2012-02-06,30.5,29.6299991607666,25.824440002441406,2944900.0
CMA,2012-02-07,30.239999771118164,29.489999771118164,26.093263626098633,3632700.0
CMA,2012-02-08,30.520000457763672,29.989999771118164,26.43146514892578,2701900.0
CMA,2012-02-09,30.729999542236328,30.350000381469727,26.388103485107422,3086600.0
CMA,2012-02-10,30.309999465942383,29.90999984741211,26.136625289916992,2442200.0
CMA,2012-02-13,30.450000762939453,30.040000915527344,26.14529800415039,1987700.0
CMA,2012-02-14,30.1200008392334,29.6299991607666,26.015220642089844,2327800.0
CMA,2012-02-15,30.3799991607666,29.540000915527344,25.72905158996582,2677200.0
CMA,2012-02-16,30.489999771118164,29.440000534057617,26.43146514892578,2277700.0
CMA,2012-02-17,31.43000030517578,30.440000534057617,27.012468338012695,3883200.0
CMA,2012-02-21,31.219999313354492,30.639999389648438,26.665599822998047,2990600.0
CMA,2012-02-22,30.280000686645508,29.440000534057617,25.572959899902344,4119200.0
CMA,2012-02-23,29.780000686645508,29.170000076293945,25.74639320373535,2433400.0
CMA,2012-02-24,29.920000076293945,29.190000534057617,25.425539016723633,1958600.0
CMA,2012-02-27,29.6200008392334,28.760000228881836,25.55560874938965,2582300.0
CMA,2012-02-28,29.6200008392334,29.290000915527344,25.538270950317383,1665100.0
CMA,2012-02-29,30.0,29.299999237060547,25.74639320373535,2613600.0
CMA,2012-03-01,30.399999618530273,29.799999237060547,26.16263771057129,2490100.0
CMA,2012-03-02,30.190000534057617,29.489999771118164,25.642333984375,3726400.0
CMA,2012-03-05,29.610000610351562,28.959999084472656,25.23476219177246,3129400.0
CMA,2012-03-06,28.829999923706055,28.360000610351562,24.7578125,2986400.0
CMA,2012-03-07,29.84000015258789,28.639999389648438,25.529603958129883,3617900.0
CMA,2012-03-08,30.219999313354492,29.56999969482422,26.049901962280273,3242600.0
CMA,2012-03-09,30.75,30.010000228881836,26.396772384643555,2404500.0
CMA,2012-03-12,30.530000686645508,29.90999984741211,26.41411781311035,1647900.0
CMA,2012-03-13,31.809999465942383,30.489999771118164,27.632164001464844,4138200.0
CMA,2012-03-14,32.33000183105469,31.40999984741211,27.927968978881836,3465600.0
CMA,2012-03-15,33.58000183105469,32.0099983215332,29.206911087036133,6264400.0
CMA,2012-03-16,34.0,33.08000183105469,28.885005950927734,3851800.0
CMA,2012-03-19,33.709999084472656,32.689998626708984,28.97200584411621,2353600.0
CMA,2012-03-20,33.29999923706055,32.459999084472656,28.885005950927734,2449400.0
CMA,2012-03-21,33.29999923706055,32.349998474121094,28.441295623779297,3772400.0
CMA,2012-03-22,32.400001525878906,31.950000762939453,28.006275177001953,2545300.0
CMA,2012-03-23,32.45000076293945,31.8799991607666,28.09326934814453,3401700.0
CMA,2012-03-26,32.7599983215332,32.41999816894531,28.50218391418457,1929300.0
CMA,2012-03-27,33.0,32.22999954223633,28.12807846069336,2726400.0
CMA,2012-03-28,32.650001525878906,32.0,28.34558868408203,2698100.0
CMA,2012-03-29,32.43000030517578,31.6299991607666,28.12807846069336,2759700.0
CMA,2012-03-30,32.65999984741211,31.93000030517578,28.15418243408203,2310700.0
CMA,2012-04-02,32.4900016784668,31.709999084472656,28.09326934814453,3210800.0
CMA,2012-04-03,32.599998474121094,31.920000076293945,28.319480895996094,3846000.0
CMA,2012-04-04,32.290000915527344,31.829999923706055,27.85837173461914,2754900.0
CMA,2012-04-05,32.08000183105469,31.239999771118164,27.579959869384766,2342700.0
CMA,2012-04-09,31.350000381469727,30.700000762939453,27.118846893310547,2952100.0
CMA,2012-04-10,31.25,30.3700008392334,26.44021987915039,3168200.0
CMA,2012-04-11,30.989999771118164,30.56999969482422,26.675127029418945,3391800.0
CMA,2012-04-12,31.440000534057617,30.6200008392334,27.27545166015625,2658800.0
CMA,2012-04-13,31.309999465942383,30.540000915527344,26.579421997070312,3504400.0
CMA,2012-04-16,31.110000610351562,30.43000030517578,26.84913444519043,3342800.0
CMA,2012-04-17,32.689998626708984,31.530000686645508,27.797470092773438,5570000.0
CMA,2012-04-18,31.84000015258789,31.209999084472656,27.397249221801758,4305400.0
CMA,2012-04-19,32.11000061035156,31.299999237060547,27.527759552001953,3426100.0
CMA,2012-04-20,32.130001068115234,31.540000915527344,27.492956161499023,2078500.0
CMA,2012-04-23,31.600000381469727,31.079999923706055,27.327651977539062,1651700.0
CMA,2012-04-24,32.0,31.43000030517578,27.727867126464844,2144100.0
CMA,2012-04-25,32.400001525878906,31.709999084472656,27.87577247619629,2790900.0
CMA,2012-04-26,32.38999938964844,31.799999237060547,28.180280685424805,1830600.0
CMA,2012-04-27,32.59000015258789,31.959999084472656,28.284683227539062,1864200.0
CMA,2012-04-30,32.43000030517578,31.799999237060547,27.85837173461914,2024700.0
CMA,2012-05-01,32.880001068115234,32.02000045776367,28.34558868408203,2127600.0
CMA,2012-05-02,32.54999923706055,31.860000610351562,28.249879837036133,2516900.0
CMA,2012-05-03,32.68000030517578,32.189998626708984,28.12807846069336,2185700.0
CMA,2012-05-04,32.15999984741211,31.549999237060547,27.640857696533203,2553200.0
CMA,2012-05-07,32.25,31.559999465942383,27.701766967773438,1763800.0
CMA,2012-05-08,31.719999313354492,31.06999969482422,27.336349487304688,2581200.0
CMA,2012-05-09,31.579999923706055,30.780000686645508,27.29285430908203,2330000.0
CMA,2012-05-10,32.0099983215332,31.469999313354492,27.492956161499023,1650200.0
CMA,2012-05-11,31.760000228881836,31.020000457763672,27.414655685424805,2793400.0
CMA,2012-05-14,31.219999313354492,30.520000457763672,26.55332374572754,2279600.0
CMA,2012-05-15,30.860000610351562,30.1200008392334,26.248817443847656,2062600.0
CMA,2012-05-16,30.81999969482422,30.0,26.118310928344727,1572200.0
CMA,2012-05-17,30.239999771118164,29.65999984741211,25.935598373413086,2834500.0
CMA,2012-05-18,30.09000015258789,29.139999389648438,25.448387145996094,4023600.0
CMA,2012-05-21,29.68000030517578,29.100000381469727,25.587587356567383,3235600.0
CMA,2012-05-22,30.059999465942383,29.3799991607666,25.805097579956055,2637100.0
CMA,2012-05-23,30.010000228881836,29.229999542236328,26.022602081298828,1965100.0
CMA,2012-05-24,30.260000228881836,29.56999969482422,26.301015853881836,2686700.0
CMA,2012-05-25,30.739999771118164,30.209999084472656,26.448925018310547,2042900.0
CMA,2012-05-29,31.079999923706055,30.6200008392334,27.00574493408203,2151500.0
CMA,2012-05-30,30.65999984741211,29.940000534057617,26.153108596801758,2744500.0
CMA,2012-05-31,30.75,29.760000228881836,26.46632194519043,2404500.0
CMA,2012-06-01,29.729999542236328,28.65999984741211,24.95247459411621,3458500.0
CMA,2012-06-04,28.84000015258789,27.8799991607666,24.343448638916016,3297000.0
CMA,2012-06-05,28.639999389648438,28.040000915527344,24.526155471801758,3334000.0
CMA,2012-06-06,28.700000762939453,28.25,24.88286590576172,3388200.0
CMA,2012-06-07,29.399999618530273,28.8700008392334,25.17867660522461,2245600.0
CMA,2012-06-08,29.489999771118164,28.579999923706055,25.65718650817871,1663600.0
CMA,2012-06-11,29.84000015258789,28.5,24.813264846801758,2312900.0
CMA,2012-06-12,29.280000686645508,28.399999618530273,25.465789794921875,3035300.0
CMA,2012-06-13,29.440000534057617,28.84000015258789,25.325864791870117,1926500.0
CMA,2012-06-14,29.729999542236328,29.010000228881836,25.88555335998535,1757800.0
CMA,2012-06-15,29.989999771118164,29.469999313354492,26.200374603271484,2205400.0
CMA,2012-06-18,29.989999771118164,29.579999923706055,25.938024520874023,1393200.0
CMA,2012-06-19,30.450000762939453,29.850000381469727,26.445240020751953,1856200.0
CMA,2012-06-20,30.399999618530273,29.700000762939453,26.42774200439453,2114700.0
CMA,2012-06-21,30.56999969482422,29.729999542236328,26.034221649169922,3188200.0
CMA,2012-06-22,30.420000076293945,29.700000762939453,26.480220794677734,2018600.0
CMA,2012-06-25,29.889999389648438,29.1200008392334,25.527000427246094,2189100.0
CMA,2012-06-26,29.809999465942383,29.139999389648438,25.903039932250977,2034500.0
CMA,2012-06-27,29.90999984741211,29.399999618530273,26.139162063598633,2129000.0
CMA,2012-06-28,30.09000015258789,29.209999084472656,26.287826538085938,2305000.0
CMA,2012-06-29,30.8700008392334,30.43000030517578,26.85625457763672,1967300.0
CMA,2012-07-02,31.1200008392334,30.559999465942383,27.19731903076172,1667000.0
CMA,2012-07-03,31.559999465942383,30.979999542236328,27.590845108032227,1521400.0
CMA,2012-07-05,31.440000534057617,30.770000457763672,26.934965133666992,1369500.0
CMA,2012-07-06,30.75,30.329999923706055,26.75131607055664,971400.0
CMA,2012-07-09,30.65999984741211,30.1200008392334,26.558931350708008,949200.0
CMA,2012-07-10,30.709999084472656,29.809999465942383,26.23535919189453,1535400.0
CMA,2012-07-11,30.450000762939453,29.8700008392334,26.515195846557617,1393500.0
CMA,2012-07-12,30.209999084472656,29.889999389648438,26.147903442382812,1929500.0
CMA,2012-07-13,30.84000015258789,29.950000762939453,26.838769912719727,1727600.0
CMA,2012-07-16,30.969999313354492,30.440000534057617,26.943708419799805,2000500.0
CMA,2012-07-17,32.11000061035156,30.670000076293945,27.97563362121582,6242100.0
CMA,2012-07-18,31.950000762939453,31.350000381469727,27.65206527709961,2378400.0
CMA,2012-07-19,31.700000762939453,30.8799991607666,27.28476905822754,2716700.0
CMA,2012-07-20,31.030000686645508,30.600000381469727,26.812536239624023,2987000.0
CMA,2012-07-23,30.399999618530273,29.850000381469727,26.33155632019043,2289000.0
CMA,2012-07-24,30.280000686645508,29.510000228881836,26.104183197021484,2669000.0
CMA,2012-07-25,30.15999984741211,29.75,26.095434188842773,1803200.0
CMA,2012-07-26,30.530000686645508,30.100000381469727,26.663864135742188,2059600.0
CMA,2012-07-27,31.020000457763672,30.31999969482422,26.952455520629883,1879200.0
CMA,2012-07-30,30.790000915527344,30.3799991607666,26.646377563476562,929600.0
CMA,2012-07-31,30.520000457763672,30.1200008392334,26.419002532958984,1746700.0
CMA,2012-08-01,30.56999969482422,29.989999771118164,26.392765045166016,1458600.0
CMA,2012-08-02,30.1299991607666,29.31999969482422,26.0429630279541,1988400.0
CMA,2012-08-03,30.889999389648438,30.110000610351562,26.812536239624023,2115000.0
CMA,2012-08-06,31.030000686645508,30.350000381469727,26.567668914794922,1354700.0
CMA,2012-08-07,30.770000457763672,30.389999389648438,26.655126571655273,1633700.0
CMA,2012-08-08,30.649999618530273,30.15999984741211,26.75131607055664,1182200.0
CMA,2012-08-09,30.670000076293945,30.329999923706055,26.795045852661133,1226600.0
CMA,2012-08-10,30.8799991607666,30.329999923706055,26.943708419799805,1156800.0
CMA,2012-08-13,30.889999389648438,30.399999618530273,26.934965133666992,947100.0
CMA,2012-08-14,31.030000686645508,30.600000381469727,26.821279525756836,993000.0
CMA,2012-08-15,31.1200008392334,30.6200008392334,27.1361083984375,1025200.0
CMA,2012-08-16,31.219999313354492,30.829999923706055,27.004924774169922,1830700.0
CMA,2012-08-17,31.59000015258789,30.90999984741211,27.5471248626709,1899800.0
CMA,2012-08-20,31.530000686645508,31.09000015258789,27.24979019165039,1350900.0
CMA,2012-08-21,31.530000686645508,30.8799991607666,27.092370986938477,2163900.0
CMA,2012-08-22,31.190000534057617,30.860000610351562,27.048654556274414,1627200.0
CMA,2012-08-23,30.959999084472656,30.479999542236328,26.707595825195312,1257800.0
CMA,2012-08-24,30.829999923706055,30.399999618530273,26.891244888305664,1857000.0
CMA,2012-08-27,30.950000762939453,30.6200008392334,26.838769912719727,1119600.0
CMA,2012-08-28,31.15999984741211,30.579999923706055,27.1361083984375,1660400.0
CMA,2012-08-29,31.350000381469727,31.030000686645508,27.3284969329834,1370900.0
CMA,2012-08-30,31.149999618530273,30.739999771118164,27.1098690032959,1364000.0
CMA,2012-08-31,31.260000228881836,30.639999389648438,26.85625457763672,2917100.0
CMA,2012-09-04,30.920000076293945,30.479999542236328,26.865005493164062,2976700.0
CMA,2012-09-05,30.709999084472656,30.459999084472656,26.68135643005371,2349600.0
CMA,2012-09-06,31.719999313354492,30.68000030517578,27.704538345336914,2920600.0
CMA,2012-09-07,32.4900016784668,31.760000228881836,28.185518264770508,2298500.0
CMA,2012-09-10,32.27000045776367,31.639999389648438,27.722026824951172,2333900.0
CMA,2012-09-11,31.93000030517578,31.530000686645508,27.730764389038086,1921000.0
CMA,2012-09-12,32.369998931884766,31.65999984741211,28.26675796508789,1858600.0
CMA,2012-09-13,33.189998626708984,32.09000015258789,29.08392906188965,3113400.0
CMA,2012-09-14,33.380001068115234,32.54999923706055,29.022411346435547,3277400.0
CMA,2012-09-17,32.9900016784668,32.27000045776367,28.47764015197754,3338600.0
CMA,2012-09-18,32.380001068115234,32.029998779296875,28.196470260620117,1275400.0
CMA,2012-09-19,32.400001525878906,31.90999984741211,28.091026306152344,1468600.0
CMA,2012-09-20,31.739999771118164,31.290000915527344,27.836214065551758,1801700.0
CMA,2012-09-21,32.20000076293945,31.25,27.475955963134766,2143700.0
CMA,2012-09-24,31.690000534057617,31.059999465942383,27.721982955932617,2129600.0
CMA,2012-09-25,31.709999084472656,30.760000228881836,27.036623001098633,2241400.0
CMA,2012-09-26,30.899999618530273,30.579999923706055,27.001480102539062,2121800.0
CMA,2012-09-27,31.25,30.610000610351562,27.32658576965332,1766800.0
CMA,2012-09-28,31.209999084472656,30.760000228881836,27.28265380859375,1599200.0
CMA,2012-10-01,31.540000915527344,30.969999313354492,27.273868560791016,1878700.0
CMA,2012-10-02,31.239999771118164,30.549999237060547,27.089345932006836,2199800.0
CMA,2012-10-03,31.389999389648438,30.780000686645508,27.44080924987793,2080700.0
CMA,2012-10-04,31.739999771118164,31.270000457763672,27.844999313354492,1890300.0
CMA,2012-10-05,32.13999938964844,31.6200008392334,27.941650390625,2132700.0
CMA,2012-10-08,31.729999542236328,31.510000228881836,27.74834632873535,1166200.0
CMA,2012-10-09,31.760000228881836,31.280000686645508,27.62533187866211,1557200.0
CMA,2012-10-10,31.549999237060547,31.110000610351562,27.45838165283203,1699900.0
CMA,2012-10-11,31.799999237060547,31.479999542236328,27.739561080932617,1553900.0
CMA,2012-10-12,31.229999542236328,30.510000228881836,27.142066955566406,2116400.0
CMA,2012-10-15,31.15999984741211,30.790000915527344,27.133275985717773,1825200.0
CMA,2012-10-16,31.149999618530273,30.780000686645508,27.273868560791016,2926200.0
CMA,2012-10-17,30.860000610351562,30.010000228881836,26.6236515045166,5529800.0
CMA,2012-10-18,30.09000015258789,29.600000381469727,26.052515029907227,4915500.0
CMA,2012-10-19,29.90999984741211,29.3700008392334,25.859209060668945,3590300.0
CMA,2012-10-22,29.780000686645508,29.209999084472656,25.982219696044922,2479800.0
CMA,2012-10-23,29.5,28.8700008392334,25.780126571655273,2806200.0
CMA,2012-10-24,29.6200008392334,29.059999465942383,25.62196922302246,2779700.0
CMA,2012-10-25,29.6299991607666,29.350000381469727,25.982219696044922,2036500.0
CMA,2012-10-26,29.649999618530273,29.209999084472656,25.674684524536133,2007500.0
CMA,2012-10-31,29.860000610351562,29.1299991607666,26.193099975585938,2219400.0
CMA,2012-11-01,30.520000457763672,29.59000015258789,26.81696319580078,2200300.0
CMA,2012-11-02,30.68000030517578,30.200000762939453,26.56214141845703,1644400.0
CMA,2012-11-05,30.260000228881836,29.889999389648438,26.35126304626465,2041600.0
CMA,2012-11-06,30.239999771118164,29.969999313354492,26.49184799194336,4671200.0
CMA,2012-11-07,29.889999389648438,28.690000534057617,25.314441680908203,3681900.0
CMA,2012-11-08,29.170000076293945,28.469999313354492,25.03325653076172,2509200.0
CMA,2012-11-09,28.770000457763672,28.350000381469727,24.989322662353516,2794100.0
CMA,2012-11-12,28.770000457763672,28.3799991607666,25.138704299926758,1401100.0
CMA,2012-11-13,28.809999465942383,28.31999969482422,24.936603546142578,2383400.0
CMA,2012-11-14,28.530000686645508,27.81999969482422,24.488483428955078,2446400.0
CMA,2012-11-15,28.190000534057617,27.729999542236328,24.620288848876953,2371800.0
CMA,2012-11-16,28.309999465942383,27.719999313354492,24.64664649963379,2480000.0
CMA,2012-11-19,28.719999313354492,28.43000030517578,25.18263053894043,2211500.0
CMA,2012-11-20,29.15999984741211,28.440000534057617,25.402297973632812,1813400.0
CMA,2012-11-21,28.90999984741211,28.56999969482422,25.191417694091797,1338400.0
CMA,2012-11-23,29.190000534057617,28.770000457763672,25.6483211517334,429800.0
CMA,2012-11-26,29.8700008392334,28.940000534057617,26.175527572631836,4253900.0
CMA,2012-11-27,30.149999618530273,29.510000228881836,25.99979019165039,5009900.0
CMA,2012-11-28,29.739999771118164,29.209999084472656,26.07887840270996,3690200.0
CMA,2012-11-29,29.950000762939453,29.309999465942383,25.850419998168945,2499800.0
CMA,2012-11-30,29.790000915527344,29.389999389648438,25.99979019165039,3532600.0
CMA,2012-12-03,29.799999237060547,29.06999969482422,25.586822509765625,2460800.0
CMA,2012-12-04,29.190000534057617,28.610000610351562,25.32322120666504,2584900.0
CMA,2012-12-05,29.190000534057617,28.809999465942383,25.402297973632812,2738600.0
CMA,2012-12-06,28.979999542236328,28.729999542236328,25.419870376586914,1723200.0
CMA,2012-12-07,29.149999618530273,28.959999084472656,25.595605850219727,1282600.0
CMA,2012-12-10,29.579999923706055,28.889999389648438,25.7098388671875,1498300.0
CMA,2012-12-11,29.489999771118164,29.270000457763672,25.850419998168945,1940600.0
CMA,2012-12-12,29.68000030517578,29.190000534057617,25.850425720214844,3158200.0
CMA,2012-12-13,29.1299991607666,28.799999237060547,25.49715232849121,2462900.0
CMA,2012-12-14,28.950000762939453,28.6299991607666,25.311691284179688,1234700.0
CMA,2012-12-17,29.3799991607666,28.709999084472656,25.929908752441406,1747900.0
CMA,2012-12-18,30.450000762939453,29.389999389648438,26.866069793701172,3114200.0
CMA,2012-12-19,30.540000915527344,30.139999389648438,26.636445999145508,1774500.0
CMA,2012-12-20,30.489999771118164,30.139999389648438,26.857236862182617,1226600.0
CMA,2012-12-21,30.329999923706055,29.700000762939453,26.65410804748535,2495400.0
CMA,2012-12-24,30.200000762939453,29.799999237060547,26.503965377807617,623400.0
CMA,2012-12-26,30.3700008392334,29.93000030517578,26.73358917236328,1371400.0
CMA,2012-12-27,30.34000015258789,29.729999542236328,26.645275115966797,1515000.0
CMA,2012-12-28,30.299999237060547,29.84000015258789,26.609949111938477,1603100.0
CMA,2012-12-31,30.34000015258789,29.950000762939453,26.7954158782959,1898300.0
CMA,2013-01-02,31.31999969482422,30.729999542236328,27.660921096801758,2220200.0
CMA,2013-01-03,31.829999923706055,31.030000686645508,28.014184951782227,3715200.0
CMA,2013-01-04,32.619998931884766,31.6299991607666,28.782554626464844,4584100.0
CMA,2013-01-07,32.560001373291016,32.0099983215332,28.561756134033203,2842200.0
CMA,2013-01-08,32.29999923706055,31.829999923706055,28.19965934753418,2046800.0
CMA,2013-01-09,32.060001373291016,31.479999542236328,27.908218383789062,2510100.0
CMA,2013-01-10,32.16999816894531,31.579999923706055,28.349790573120117,2740200.0
CMA,2013-01-11,32.040000915527344,31.459999084472656,28.111339569091797,1622900.0
CMA,2013-01-14,31.8799991607666,31.5,28.014184951782227,1805700.0
CMA,2013-01-15,31.93000030517578,31.469999313354492,28.146665573120117,2334000.0
CMA,2013-01-16,33.20000076293945,31.270000457763672,29.188804626464844,4462900.0
CMA,2013-01-17,33.90999984741211,33.16999816894531,29.595069885253906,5570800.0
CMA,2013-01-18,33.849998474121094,33.150001525878906,29.727550506591797,2724100.0
CMA,2013-01-22,33.83000183105469,33.529998779296875,29.842361450195312,2060700.0
CMA,2013-01-23,33.70000076293945,33.43000030517578,29.57740592956543,2396900.0
CMA,2013-01-24,33.81999969482422,33.43000030517578,29.63922691345215,1370400.0
CMA,2013-01-25,33.7400016784668,33.459999084472656,29.771703720092773,1327100.0
CMA,2013-01-28,33.959999084472656,33.54999923706055,29.9041748046875,1724300.0
CMA,2013-01-29,34.02000045776367,33.650001525878906,29.9306697845459,2425400.0
CMA,2013-01-30,34.349998474121094,33.77000045776367,30.29277229309082,3159500.0
CMA,2013-01-31,34.45000076293945,33.599998474121094,30.345760345458984,4051900.0
CMA,2013-02-01,35.209999084472656,34.5,30.96398162841797,3369600.0
CMA,2013-02-04,34.72999954223633,34.22999954223633,30.30160140991211,2099800.0
CMA,2013-02-05,34.95000076293945,34.47999954223633,30.760852813720703,2115500.0
CMA,2013-02-06,35.18000030517578,34.470001220703125,31.034631729125977,2213000.0
CMA,2013-02-07,35.279998779296875,34.86000061035156,30.990478515625,1641800.0
CMA,2013-02-08,35.400001525878906,35.0,31.23776626586914,1480600.0
CMA,2013-02-11,35.25,34.709999084472656,30.96398162841797,2061500.0
CMA,2013-02-12,35.220001220703125,34.93000030517578,30.91098976135254,2152000.0
CMA,2013-02-13,35.400001525878906,34.939998626708984,30.999309539794922,1822000.0
CMA,2013-02-14,35.400001525878906,34.95000076293945,31.19361114501953,2133300.0
CMA,2013-02-15,35.20000076293945,34.72999954223633,30.760852813720703,2634500.0
CMA,2013-02-19,35.560001373291016,34.810001373291016,31.264257431030273,2730400.0
CMA,2013-02-20,35.43000030517578,34.68000030517578,30.654863357543945,3539400.0
