,,high,low,adjclose,volume
CMS,2012-01-03,22.399999618530273,21.739999771118164,16.97093391418457,3668000.0
CMS,2012-01-04,22.040000915527344,21.649999618530273,16.83871841430664,3501600.0
CMS,2012-01-05,21.8799991607666,21.489999771118164,16.978715896606445,2726800.0
CMS,2012-01-06,21.8700008392334,21.610000610351562,16.823165893554688,2139600.0
CMS,2012-01-09,21.760000228881836,21.600000381469727,16.90093231201172,1394200.0
CMS,2012-01-10,22.139999389648438,21.719999313354492,16.916494369506836,1865800.0
CMS,2012-01-11,21.770000457763672,21.549999237060547,16.83871841430664,1654900.0
CMS,2012-01-12,21.770000457763672,21.559999465942383,16.8853759765625,1982500.0
CMS,2012-01-13,21.90999984741211,21.540000915527344,17.040931701660156,2093300.0
CMS,2012-01-17,22.09000015258789,21.6200008392334,16.916494369506836,3306700.0
CMS,2012-01-18,21.809999465942383,21.549999237060547,16.932044982910156,2469100.0
CMS,2012-01-19,21.760000228881836,21.399999618530273,16.68316078186035,2316200.0
CMS,2012-01-20,21.489999771118164,21.25,16.706497192382812,3143900.0
CMS,2012-01-23,21.719999313354492,21.459999084472656,16.877609252929688,2723700.0
CMS,2012-01-24,21.610000610351562,21.360000610351562,16.807605743408203,1744300.0
CMS,2012-01-25,22.170000076293945,21.309999465942383,17.2431583404541,3166600.0
CMS,2012-01-26,22.309999465942383,22.0,17.3520450592041,4271700.0
CMS,2012-01-27,22.260000228881836,21.93000030517578,17.180932998657227,3150700.0
CMS,2012-01-30,21.959999084472656,21.739999771118164,16.947607040405273,6027700.0
CMS,2012-01-31,21.989999771118164,21.729999542236328,16.978715896606445,1940200.0
CMS,2012-02-01,22.1200008392334,21.8799991607666,17.134267807006836,3068200.0
CMS,2012-02-02,22.139999389648438,21.93000030517578,17.14204978942871,2513500.0
CMS,2012-02-03,22.200000762939453,22.010000228881836,17.134267807006836,3701800.0
CMS,2012-02-06,22.030000686645508,21.780000686645508,16.955379486083984,2752200.0
CMS,2012-02-07,22.0,21.760000228881836,17.040931701660156,3161100.0
CMS,2012-02-08,21.81999969482422,21.579999923706055,17.111713409423828,3100000.0
CMS,2012-02-09,21.829999923706055,21.65999984741211,17.10384750366211,2908100.0
CMS,2012-02-10,21.719999313354492,21.540000915527344,17.009485244750977,2921900.0
CMS,2012-02-13,21.850000381469727,21.489999771118164,16.946571350097656,2595800.0
CMS,2012-02-14,21.639999389648438,21.43000030517578,16.993759155273438,2323600.0
CMS,2012-02-15,21.65999984741211,21.43000030517578,16.954435348510742,1784100.0
CMS,2012-02-16,21.780000686645508,21.59000015258789,17.040935516357422,8966400.0
CMS,2012-02-17,21.790000915527344,21.510000228881836,16.938703536987305,3359600.0
CMS,2012-02-21,21.65999984741211,21.420000076293945,16.946571350097656,2054700.0
CMS,2012-02-22,21.6299991607666,21.450000762939453,16.92298126220703,1853500.0
CMS,2012-02-23,21.959999084472656,21.450000762939453,16.8836612701416,3709000.0
CMS,2012-02-24,21.739999771118164,21.469999313354492,17.04880142211914,3179800.0
CMS,2012-02-27,21.739999771118164,21.479999542236328,17.00162124633789,1747400.0
CMS,2012-02-28,21.719999313354492,21.31999969482422,16.867931365966797,2379100.0
CMS,2012-02-29,21.540000915527344,21.209999084472656,16.83648109436035,2142500.0
CMS,2012-03-01,21.5,21.270000457763672,16.77356719970703,1959900.0
CMS,2012-03-02,21.489999771118164,21.1200008392334,16.83648109436035,3155600.0
CMS,2012-03-05,21.579999923706055,21.299999237060547,16.954435348510742,2513700.0
CMS,2012-03-06,21.510000228881836,21.329999923706055,16.83648109436035,2104200.0
CMS,2012-03-07,21.6200008392334,21.309999465942383,16.970163345336914,2518900.0
CMS,2012-03-08,21.790000915527344,21.639999389648438,17.056663513183594,1966900.0
CMS,2012-03-09,22.010000228881836,21.6200008392334,17.213945388793945,2039400.0
CMS,2012-03-12,22.18000030517578,21.8799991607666,17.418399810791016,2348800.0
CMS,2012-03-13,22.350000381469727,22.09000015258789,17.410537719726562,3372300.0
CMS,2012-03-14,22.209999084472656,21.799999237060547,17.166759490966797,2069800.0
CMS,2012-03-15,21.889999389648438,21.59000015258789,17.1824893951416,1753100.0
CMS,2012-03-16,21.860000610351562,21.600000381469727,17.02520751953125,2695800.0
CMS,2012-03-19,21.860000610351562,21.579999923706055,17.00162124633789,2878200.0
CMS,2012-03-20,21.84000015258789,21.5,17.135305404663086,1462400.0
CMS,2012-03-21,21.8799991607666,21.68000030517578,17.151029586791992,2291300.0
CMS,2012-03-22,21.829999923706055,21.600000381469727,17.158897399902344,1801300.0
CMS,2012-03-23,21.920000076293945,21.709999084472656,17.22966957092285,1827800.0
CMS,2012-03-26,22.100000381469727,21.860000610351562,17.324037551879883,2210500.0
CMS,2012-03-27,22.09000015258789,21.8700008392334,17.284713745117188,2191400.0
CMS,2012-03-28,22.020000457763672,21.6299991607666,17.1824893951416,2457300.0
CMS,2012-03-29,21.90999984741211,21.420000076293945,17.22966957092285,4691600.0
CMS,2012-03-30,22.06999969482422,21.84000015258789,17.300445556640625,2762500.0
CMS,2012-04-02,22.350000381469727,21.829999923706055,17.536354064941406,3157000.0
CMS,2012-04-03,22.3799991607666,22.100000381469727,17.599266052246094,3548400.0
CMS,2012-04-04,22.31999969482422,22.100000381469727,17.46558952331543,1618200.0
CMS,2012-04-05,22.15999984741211,21.920000076293945,17.410537719726562,2664900.0
CMS,2012-04-09,22.110000610351562,21.90999984741211,17.37908172607422,2494900.0
CMS,2012-04-10,22.049999237060547,21.479999542236328,17.00162124633789,3343200.0
CMS,2012-04-11,21.780000686645508,21.420000076293945,16.92298126220703,3303400.0
CMS,2012-04-12,21.56999969482422,21.350000381469727,16.93084144592285,2656700.0
CMS,2012-04-13,21.65999984741211,21.459999084472656,16.938703536987305,3187900.0
CMS,2012-04-16,21.920000076293945,21.549999237060547,17.213945388793945,2856000.0
CMS,2012-04-17,22.020000457763672,21.739999771118164,17.284713745117188,2085600.0
CMS,2012-04-18,22.06999969482422,21.829999923706055,17.347631454467773,3300200.0
CMS,2012-04-19,22.190000534057617,21.899999618530273,17.3319034576416,2321300.0
CMS,2012-04-20,22.420000076293945,22.040000915527344,17.536354064941406,2414900.0
CMS,2012-04-23,22.200000762939453,21.989999771118164,17.38694190979004,2353000.0
CMS,2012-04-24,22.299999237060547,22.049999237060547,17.489179611206055,1549800.0
CMS,2012-04-25,22.479999542236328,22.200000762939453,17.552087783813477,2729200.0
CMS,2012-04-26,22.709999084472656,22.219999313354492,17.843050003051758,5519000.0
CMS,2012-04-27,22.950000762939453,22.709999084472656,17.953144073486328,5282900.0
CMS,2012-04-30,23.0,22.700000762939453,18.078960418701172,5947500.0
CMS,2012-05-01,23.309999465942383,22.989999771118164,18.27556037902832,4329700.0
CMS,2012-05-02,22.920000076293945,22.610000610351562,17.96567153930664,2235100.0
CMS,2012-05-03,22.760000228881836,22.540000915527344,17.94977569580078,3571300.0
CMS,2012-05-04,22.690000534057617,22.459999084472656,17.854427337646484,2267200.0
CMS,2012-05-07,22.540000915527344,22.389999389648438,17.83059310913086,2387300.0
CMS,2012-05-08,22.639999389648438,22.3799991607666,17.973613739013672,1998500.0
CMS,2012-05-09,22.600000381469727,22.309999465942383,17.854427337646484,2561100.0
CMS,2012-05-10,23.0,22.530000686645508,18.19609832763672,2137600.0
CMS,2012-05-11,23.020000457763672,22.780000686645508,18.148427963256836,1906600.0
CMS,2012-05-14,22.889999389648438,22.6200008392334,18.08485984802246,1583200.0
CMS,2012-05-15,22.75,22.440000534057617,17.886215209960938,2176500.0
CMS,2012-05-16,22.90999984741211,22.56999969482422,18.100753784179688,4865900.0
CMS,2012-05-17,22.899999618530273,22.6200008392334,18.037181854248047,3206500.0
CMS,2012-05-18,22.979999542236328,22.6299991607666,18.021289825439453,5714700.0
CMS,2012-05-21,22.81999969482422,22.639999389648438,18.13253402709961,2576800.0
CMS,2012-05-22,23.139999389648438,22.81999969482422,18.315296173095703,2839000.0
CMS,2012-05-23,23.110000610351562,22.670000076293945,18.188156127929688,3983400.0
CMS,2012-05-24,23.1299991607666,22.889999389648438,18.331180572509766,2448500.0
CMS,2012-05-25,23.25,23.040000915527344,18.370912551879883,1966600.0
CMS,2012-05-29,23.329999923706055,22.959999084472656,18.498044967651367,3858300.0
CMS,2012-05-30,23.290000915527344,22.959999084472656,18.25172233581543,2276700.0
CMS,2012-05-31,23.389999389648438,23.0,18.513938903808594,10868000.0
CMS,2012-06-01,23.239999771118164,23.020000457763672,18.331180572509766,3976600.0
CMS,2012-06-04,23.170000076293945,22.889999389648438,18.355016708374023,3904000.0
