,,high,low,adjclose,volume
COLM,2012-01-03,23.55500030517578,22.829999923706055,20.8074893951416,302400.0
COLM,2012-01-04,23.045000076293945,22.5,20.43098258972168,437000.0
COLM,2012-01-05,22.43000030517578,21.6299991607666,20.127058029174805,928400.0
COLM,2012-01-06,22.2549991607666,21.96500015258789,20.068084716796875,553200.0
COLM,2012-01-09,22.454999923706055,21.940000534057617,20.07715606689453,517800.0
COLM,2012-01-10,22.55500030517578,22.25,20.440053939819336,332000.0
COLM,2012-01-11,22.579999923706055,22.364999771118164,20.435516357421875,412400.0
COLM,2012-01-12,22.524999618530273,22.25,20.353866577148438,710400.0
COLM,2012-01-13,22.799999237060547,22.2549991607666,20.421911239624023,555400.0
COLM,2012-01-17,22.725000381469727,22.1299991607666,20.385616302490234,524000.0
COLM,2012-01-18,22.739999771118164,22.2450008392334,20.562528610229492,350600.0
COLM,2012-01-19,23.05500030517578,22.610000610351562,20.821094512939453,1050800.0
COLM,2012-01-20,23.5,22.924999237060547,21.02522087097168,544600.0
COLM,2012-01-23,23.334999084472656,23.030000686645508,21.020679473876953,353000.0
COLM,2012-01-24,23.985000610351562,22.979999542236328,21.737396240234375,1110400.0
COLM,2012-01-25,24.28499984741211,23.790000915527344,21.955142974853516,318400.0
COLM,2012-01-26,24.270000457763672,23.5,21.63759994506836,550000.0
COLM,2012-01-27,24.0,23.625,21.601318359375,543600.0
COLM,2012-01-30,23.55500030517578,22.905000686645508,20.870990753173828,601600.0
COLM,2012-01-31,23.375,22.420000076293945,20.798410415649414,518600.0
COLM,2012-02-01,23.65999984741211,23.020000457763672,21.33368682861328,496600.0
COLM,2012-02-02,23.979999542236328,23.44499969482422,21.728328704833984,946200.0
COLM,2012-02-03,25.625,23.104999542236328,22.680931091308594,1675800.0
COLM,2012-02-06,25.415000915527344,24.875,22.721750259399414,293800.0
COLM,2012-02-07,25.104999542236328,24.80500030517578,22.585668563842773,339000.0
COLM,2012-02-08,25.1200008392334,24.475000381469727,22.51761817932129,427200.0
COLM,2012-02-09,24.875,24.440000534057617,22.29081916809082,323800.0
COLM,2012-02-10,24.9950008392334,24.1299991607666,22.163801193237305,466800.0
COLM,2012-02-13,24.844999313354492,24.084999084472656,22.363393783569336,537800.0
COLM,2012-02-14,24.860000610351562,24.43000030517578,22.540307998657227,352200.0
COLM,2012-02-15,25.09000015258789,24.334999084472656,22.145662307739258,300800.0
COLM,2012-02-16,24.9950008392334,24.479999542236328,22.640098571777344,234400.0
COLM,2012-02-17,25.110000610351562,24.78499984741211,22.531232833862305,147600.0
COLM,2012-02-21,24.844999313354492,24.290000915527344,22.298858642578125,197600.0
COLM,2012-02-22,24.625,24.280000686645508,22.216846466064453,293600.0
COLM,2012-02-23,24.924999237060547,24.405000686645508,22.563125610351562,261600.0
COLM,2012-02-24,25.709999084472656,24.690000534057617,23.073442459106445,564400.0
COLM,2012-02-27,25.375,24.875,22.781837463378906,287800.0
COLM,2012-02-28,25.454999923706055,24.604999542236328,22.622360229492188,231200.0
COLM,2012-02-29,25.21500015258789,24.790000915527344,22.74993896484375,262600.0
COLM,2012-03-01,25.239999771118164,24.875,22.672481536865234,231400.0
COLM,2012-03-02,24.94499969482422,24.46500015258789,22.307964324951172,275800.0
COLM,2012-03-05,24.625,24.200000762939453,22.38998794555664,171800.0
COLM,2012-03-06,24.454999923706055,24.010000228881836,21.893341064453125,238600.0
COLM,2012-03-07,24.2549991607666,23.90999984741211,21.970800399780273,159200.0
COLM,2012-03-08,24.3799991607666,24.05500030517578,22.052818298339844,100800.0
COLM,2012-03-09,24.764999389648438,24.200000762939453,22.526676177978516,177200.0
COLM,2012-03-12,24.790000915527344,24.385000228881836,22.312532424926758,138200.0
COLM,2012-03-13,25.079999923706055,24.545000076293945,22.83196258544922,196400.0
COLM,2012-03-14,25.125,24.575000762939453,22.51300621032715,138400.0
COLM,2012-03-15,24.770000457763672,24.290000915527344,22.367206573486328,131600.0
COLM,2012-03-16,24.700000762939453,24.34000015258789,22.353534698486328,246000.0
COLM,2012-03-19,24.674999237060547,24.274999618530273,22.326196670532227,367200.0
COLM,2012-03-20,24.55500030517578,24.290000915527344,22.212291717529297,149400.0
COLM,2012-03-21,24.514999389648438,24.295000076293945,22.212291717529297,108600.0
COLM,2012-03-22,24.325000762939453,23.989999771118164,21.979909896850586,179000.0
COLM,2012-03-23,24.155000686645508,23.7549991607666,21.756656646728516,543600.0
COLM,2012-03-26,24.405000686645508,23.8799991607666,21.870561599731445,296400.0
COLM,2012-03-27,24.139999389648438,23.895000457763672,21.852338790893555,400200.0
COLM,2012-03-28,24.059999465942383,23.440000534057617,21.49694061279297,267800.0
COLM,2012-03-29,23.78499984741211,23.165000915527344,21.565282821655273,301000.0
COLM,2012-03-30,23.989999771118164,23.610000610351562,21.619956970214844,267800.0
COLM,2012-04-02,23.709999084472656,23.360000610351562,21.41037368774414,331200.0
COLM,2012-04-03,23.565000534057617,23.139999389648438,21.31468391418457,599200.0
COLM,2012-04-04,23.415000915527344,23.030000686645508,21.282791137695312,412200.0
COLM,2012-04-05,23.55500030517578,23.2450008392334,21.31468391418457,225200.0
COLM,2012-04-09,23.395000457763672,23.0,21.255455017089844,202800.0
COLM,2012-04-10,23.225000381469727,22.94499969482422,21.036746978759766,389400.0
COLM,2012-04-11,23.735000610351562,23.309999465942383,21.59262466430664,326200.0
COLM,2012-04-12,24.420000076293945,23.674999237060547,22.230518341064453,441600.0
COLM,2012-04-13,24.475000381469727,24.09000015258789,22.13482666015625,505000.0
COLM,2012-04-16,24.559999465942383,23.989999771118164,22.084714889526367,212400.0
COLM,2012-04-17,24.844999313354492,24.110000610351562,22.4902286529541,384600.0
COLM,2012-04-18,24.59000015258789,24.280000686645508,22.230518341064453,273800.0
COLM,2012-04-19,24.399999618530273,23.895000457763672,21.843223571777344,256400.0
COLM,2012-04-20,24.454999923706055,23.864999771118164,22.061927795410156,237800.0
COLM,2012-04-23,23.885000228881836,23.459999084472656,21.615406036376953,350000.0
COLM,2012-04-24,23.8799991607666,23.5,21.565282821655273,181600.0
COLM,2012-04-25,24.165000915527344,23.844999313354492,21.85689353942871,251000.0
COLM,2012-04-26,25.05500030517578,23.81999969482422,22.708934783935547,357000.0
COLM,2012-04-27,24.725000381469727,23.03499984741211,22.148500442504883,1036600.0
COLM,2012-04-30,24.364999771118164,23.479999542236328,21.460487365722656,582000.0
COLM,2012-05-01,23.7549991607666,23.395000457763672,21.41037368774414,402000.0
COLM,2012-05-02,24.135000228881836,23.290000915527344,21.920682907104492,236600.0
COLM,2012-05-03,24.209999084472656,23.489999771118164,21.428598403930664,204000.0
COLM,2012-05-04,23.459999084472656,23.184999465942383,21.282791137695312,280000.0
COLM,2012-05-07,23.530000686645508,23.229999542236328,21.428598403930664,268000.0
COLM,2012-05-08,23.3799991607666,22.684999465942383,21.146100997924805,558800.0
COLM,2012-05-09,23.524999618530273,22.8700008392334,21.33290672302246,332000.0
COLM,2012-05-10,23.65999984741211,23.440000534057617,21.424039840698242,262000.0
COLM,2012-05-11,23.80500030517578,23.399999618530273,21.565282821655273,185400.0
COLM,2012-05-14,23.565000534057617,23.1299991607666,21.383028030395508,177400.0
COLM,2012-05-15,23.68000030517578,23.010000228881836,21.332674026489258,385000.0
COLM,2012-05-16,23.739999771118164,23.21500015258789,21.671432495117188,317400.0
COLM,2012-05-17,23.729999542236328,23.415000915527344,21.502058029174805,528200.0
COLM,2012-05-18,23.600000381469727,23.200000762939453,21.433382034301758,476400.0
COLM,2012-05-21,23.979999542236328,23.204999923706055,21.923215866088867,328800.0
COLM,2012-05-22,24.28499984741211,23.780000686645508,22.1063289642334,292000.0
COLM,2012-05-23,24.165000915527344,23.69499969482422,22.037656784057617,214000.0
COLM,2012-05-24,24.350000381469727,24.06999969482422,22.275707244873047,177000.0
COLM,2012-05-25,24.549999237060547,24.149999618530273,22.38557243347168,150600.0
COLM,2012-05-29,24.600000381469727,24.014999389648438,22.211618423461914,269000.0
COLM,2012-05-30,24.165000915527344,23.934999465942383,21.996458053588867,168000.0
COLM,2012-05-31,24.21500015258789,23.80500030517578,22.0147705078125,371800.0
COLM,2012-06-01,23.790000915527344,23.2450008392334,21.460847854614258,278400.0
COLM,2012-06-04,23.729999542236328,23.274999618530273,21.52952003479004,262400.0
COLM,2012-06-05,24.05500030517578,23.295000076293945,21.964412689208984,224400.0
COLM,2012-06-06,24.655000686645508,24.040000915527344,22.554956436157227,295400.0
COLM,2012-06-07,24.940000534057617,24.344999313354492,22.449661254882812,246800.0
COLM,2012-06-08,25.104999542236328,24.354999542236328,22.93033790588379,262200.0
COLM,2012-06-11,25.364999771118164,24.614999771118164,22.554956436157227,358400.0
COLM,2012-06-12,25.024999618530273,24.44499969482422,22.84793472290039,267800.0
COLM,2012-06-13,25.344999313354492,24.65999984741211,22.683137893676758,279400.0
COLM,2012-06-14,24.9950008392334,24.489999771118164,22.591575622558594,277400.0
COLM,2012-06-15,25.145000457763672,24.545000076293945,22.971534729003906,259600.0
COLM,2012-06-18,25.704999923706055,24.829999923706055,23.479673385620117,271400.0
COLM,2012-06-19,26.93000030517578,25.71500015258789,24.299100875854492,681000.0
COLM,2012-06-20,26.7450008392334,26.110000610351562,24.24875259399414,408200.0
COLM,2012-06-21,26.665000915527344,26.170000076293945,24.170927047729492,349000.0
COLM,2012-06-22,26.604999542236328,26.170000076293945,24.32199478149414,1019800.0
COLM,2012-06-25,26.3700008392334,25.924999237060547,23.786394119262695,317800.0
COLM,2012-06-26,26.190000534057617,25.649999618530273,23.758920669555664,182400.0
COLM,2012-06-27,26.229999542236328,25.924999237060547,23.919139862060547,224400.0
COLM,2012-06-28,25.959999084472656,25.614999771118164,23.67194175720215,281400.0
COLM,2012-06-29,26.864999771118164,26.05500030517578,24.546308517456055,476600.0
COLM,2012-07-02,26.924999237060547,26.0,24.18465805053711,297200.0
COLM,2012-07-03,26.920000076293945,26.28499984741211,24.605815887451172,137200.0
COLM,2012-07-05,27.899999618530273,26.774999618530273,25.26502799987793,208200.0
COLM,2012-07-06,27.454999923706055,26.329999923706055,24.921689987182617,267600.0
COLM,2012-07-09,27.239999771118164,26.7450008392334,24.500526428222656,170400.0
COLM,2012-07-10,27.325000762939453,26.739999771118164,24.564619064331055,225200.0
COLM,2012-07-11,26.84000015258789,25.8799991607666,24.111413955688477,364200.0
COLM,2012-07-12,26.614999771118164,25.545000076293945,24.08852767944336,181400.0
COLM,2012-07-13,27.18000030517578,26.375,24.44559669494629,227600.0
COLM,2012-07-16,26.545000076293945,25.915000915527344,23.896259307861328,375800.0
COLM,2012-07-17,26.6200008392334,25.65999984741211,23.919139862060547,316000.0
COLM,2012-07-18,26.895000457763672,25.78499984741211,24.138885498046875,525000.0
COLM,2012-07-19,26.815000534057617,26.2549991607666,24.326574325561523,400000.0
COLM,2012-07-20,26.600000381469727,26.25,24.24875259399414,389600.0
COLM,2012-07-23,26.434999465942383,25.604999542236328,24.024436950683594,362400.0
