,,high,low,adjclose,volume
CZR,2012-02-08,17.899999618530273,9.0,15.390000343322754,11633600.0
CZR,2012-02-09,17.299999237060547,14.119999885559082,14.649999618530273,3150500.0
CZR,2012-02-10,15.350000381469727,14.140000343322754,14.239999771118164,894400.0
CZR,2012-02-13,14.800000190734863,13.130000114440918,13.15999984741211,853600.0
CZR,2012-02-14,13.479999542236328,11.819999694824219,12.59000015258789,902600.0
CZR,2012-02-15,13.1899995803833,12.279999732971191,12.479999542236328,405000.0
CZR,2012-02-16,13.479999542236328,12.319999694824219,12.65999984741211,1058600.0
CZR,2012-02-17,13.239999771118164,12.5600004196167,12.5600004196167,275100.0
CZR,2012-02-21,12.760000228881836,12.300000190734863,12.5,340400.0
CZR,2012-02-22,12.819999694824219,12.0,12.0,207900.0
CZR,2012-02-23,12.229999542236328,10.949999809265137,11.399999618530273,658100.0
CZR,2012-02-24,11.5,10.770000457763672,10.869999885559082,541100.0
CZR,2012-02-27,10.619999885559082,10.359999656677246,10.359999656677246,381600.0
CZR,2012-02-28,11.0,10.359999656677246,10.859999656677246,452000.0
CZR,2012-02-29,11.869999885559082,10.899999618530273,11.319999694824219,640300.0
CZR,2012-03-01,11.569999694824219,10.930000305175781,11.220000267028809,391700.0
CZR,2012-03-02,11.329999923706055,10.949999809265137,11.0,197500.0
CZR,2012-03-05,11.5,11.0,11.279999732971191,548700.0
CZR,2012-03-06,11.25,11.0,11.1899995803833,159100.0
CZR,2012-03-07,11.270000457763672,10.899999618530273,11.180000305175781,105000.0
CZR,2012-03-08,11.279999732971191,10.949999809265137,11.010000228881836,78900.0
CZR,2012-03-09,11.149999618530273,10.989999771118164,11.039999961853027,67700.0
CZR,2012-03-12,11.050000190734863,10.960000038146973,11.050000190734863,85000.0
CZR,2012-03-13,11.149999618530273,10.970000267028809,11.010000228881836,140500.0
CZR,2012-03-14,12.880000114440918,11.0,12.880000114440918,1553800.0
CZR,2012-03-15,13.479999542236328,11.880000114440918,12.520000457763672,1481700.0
CZR,2012-03-16,13.289999961853027,12.279999732971191,12.989999771118164,416800.0
CZR,2012-03-19,13.34000015258789,12.510000228881836,12.930000305175781,332100.0
CZR,2012-03-20,13.199999809265137,12.609999656677246,12.989999771118164,209100.0
CZR,2012-03-21,13.25,12.630000114440918,12.699999809265137,304600.0
CZR,2012-03-22,12.609999656677246,12.380000114440918,12.550000190734863,163300.0
CZR,2012-03-23,12.619999885559082,12.399999618530273,12.5,151500.0
CZR,2012-03-26,13.050000190734863,12.510000228881836,12.899999618530273,360800.0
CZR,2012-03-27,13.25,12.550000190734863,12.979999542236328,382800.0
CZR,2012-03-28,14.300000190734863,13.020000457763672,13.949999809265137,1063000.0
CZR,2012-03-29,14.640000343322754,12.850000381469727,13.84000015258789,913600.0
CZR,2012-03-30,14.75,13.720000267028809,14.739999771118164,5121400.0
CZR,2012-04-02,15.140000343322754,14.609999656677246,15.079999923706055,857200.0
CZR,2012-04-03,15.600000381469727,14.850000381469727,15.15999984741211,550400.0
CZR,2012-04-04,15.420000076293945,14.899999618530273,15.109999656677246,300600.0
CZR,2012-04-05,15.739999771118164,15.109999656677246,15.40999984741211,344200.0
CZR,2012-04-09,15.59000015258789,14.899999618530273,15.390000343322754,291800.0
CZR,2012-04-10,15.680000305175781,15.0,15.220000267028809,509700.0
CZR,2012-04-11,15.430000305175781,15.0,15.279999732971191,211000.0
CZR,2012-04-12,15.680000305175781,15.020000457763672,15.640000343322754,219900.0
CZR,2012-04-13,15.609999656677246,14.489999771118164,14.550000190734863,387900.0
CZR,2012-04-16,14.680000305175781,13.680000305175781,13.829999923706055,331100.0
CZR,2012-04-17,13.920000076293945,13.479999542236328,13.770000457763672,184800.0
CZR,2012-04-18,14.109999656677246,13.5600004196167,13.699999809265137,128900.0
CZR,2012-04-19,13.960000038146973,13.199999809265137,13.270000457763672,158400.0
CZR,2012-04-20,14.15999984741211,12.210000038146973,12.520000457763672,602000.0
CZR,2012-04-23,12.59000015258789,11.949999809265137,12.050000190734863,280300.0
CZR,2012-04-24,12.850000381469727,12.0,12.489999771118164,178400.0
CZR,2012-04-25,12.75,12.229999542236328,12.470000267028809,208000.0
CZR,2012-04-26,13.75,12.319999694824219,13.6899995803833,313700.0
CZR,2012-04-27,14.25,13.34000015258789,14.170000076293945,217000.0
CZR,2012-04-30,14.739999771118164,13.75,14.640000343322754,444400.0
CZR,2012-05-01,15.050000190734863,13.760000228881836,14.75,275000.0
CZR,2012-05-02,14.819999694824219,13.800000190734863,14.75,295000.0
CZR,2012-05-03,14.930000305175781,13.989999771118164,14.050000190734863,165700.0
CZR,2012-05-04,14.050000190734863,13.329999923706055,13.479999542236328,116100.0
CZR,2012-05-07,15.119999885559082,13.100000381469727,13.600000381469727,252800.0
CZR,2012-05-08,14.100000381469727,13.170000076293945,13.380000114440918,90900.0
CZR,2012-05-09,14.25,13.1899995803833,14.050000190734863,191800.0
CZR,2012-05-10,14.300000190734863,13.960000038146973,14.199999809265137,68000.0
CZR,2012-05-11,14.5600004196167,13.9399995803833,14.430000305175781,116500.0
CZR,2012-05-14,14.319999694824219,13.449999809265137,13.75,178000.0
CZR,2012-05-15,13.90999984741211,13.609999656677246,13.779999732971191,84700.0
CZR,2012-05-16,13.960000038146973,13.210000038146973,13.479999542236328,137000.0
CZR,2012-05-17,14.079999923706055,13.40999984741211,13.550000190734863,334900.0
CZR,2012-05-18,13.949999809265137,13.140000343322754,13.59000015258789,310000.0
CZR,2012-05-21,13.930000305175781,13.130000114440918,13.90999984741211,169200.0
CZR,2012-05-22,14.5,13.199999809265137,13.449999809265137,188600.0
CZR,2012-05-23,13.380000114440918,12.5600004196167,12.949999809265137,318000.0
CZR,2012-05-24,13.100000381469727,12.449999809265137,12.720000267028809,210800.0
CZR,2012-05-25,12.800000190734863,12.4399995803833,12.5,121800.0
CZR,2012-05-29,13.399999618530273,12.59000015258789,12.970000267028809,139900.0
CZR,2012-05-30,12.970000267028809,12.399999618530273,12.399999618530273,123800.0
CZR,2012-05-31,12.5,11.850000381469727,12.140000343322754,504200.0
CZR,2012-06-01,12.069999694824219,11.510000228881836,11.569999694824219,386200.0
CZR,2012-06-04,11.850000381469727,11.029999732971191,11.180000305175781,226300.0
CZR,2012-06-05,11.899999618530273,11.119999885559082,11.819999694824219,173100.0
CZR,2012-06-06,12.5,11.859999656677246,12.300000190734863,126700.0
