,,high,low,adjclose,volume
ERIE,2012-01-03,78.61000061035156,76.05000305175781,59.77214431762695,41800.0
ERIE,2012-01-04,76.81999969482422,74.79000091552734,58.58854675292969,57500.0
ERIE,2012-01-05,77.87999725341797,74.3499984741211,58.604122161865234,65600.0
ERIE,2012-01-06,76.37999725341797,75.18000030517578,58.946739196777344,31900.0
ERIE,2012-01-09,76.55999755859375,75.3499984741211,59.10249328613281,17000.0
ERIE,2012-01-10,76.5,75.30999755859375,58.907814025878906,48100.0
ERIE,2012-01-11,75.66999816894531,74.94000244140625,58.518463134765625,18000.0
ERIE,2012-01-12,75.77999877929688,74.69000244140625,58.98567199707031,38600.0
ERIE,2012-01-13,75.72000122070312,74.83000183105469,58.806583404541016,51800.0
ERIE,2012-01-17,76.3499984741211,75.29000091552734,58.658626556396484,43500.0
ERIE,2012-01-18,75.52999877929688,74.51000213623047,58.619693756103516,36200.0
ERIE,2012-01-19,76.1500015258789,74.80999755859375,58.884456634521484,32700.0
ERIE,2012-01-20,76.37000274658203,75.47000122070312,58.970115661621094,26000.0
ERIE,2012-01-23,76.0199966430664,75.16999816894531,58.79099655151367,16500.0
ERIE,2012-01-24,75.44000244140625,74.95999908447266,58.62748336791992,17500.0
ERIE,2012-01-25,75.62999725341797,74.81999969482422,58.565181732177734,21100.0
ERIE,2012-01-26,75.51000213623047,74.19999694824219,58.518463134765625,31600.0
ERIE,2012-01-27,75.83000183105469,74.91999816894531,58.938934326171875,63200.0
ERIE,2012-01-30,76.72000122070312,74.80999755859375,59.21928024291992,55100.0
ERIE,2012-01-31,77.16999816894531,76.05999755859375,59.70207595825195,53600.0
ERIE,2012-02-01,77.1500015258789,76.6500015258789,60.07584762573242,42600.0
ERIE,2012-02-02,77.69000244140625,76.87999725341797,60.45737838745117,33400.0
ERIE,2012-02-03,78.91999816894531,77.81999969482422,61.45412063598633,64700.0
ERIE,2012-02-06,78.79000091552734,78.22000122070312,61.03365707397461,31500.0
ERIE,2012-02-07,80.62999725341797,78.30999755859375,61.345115661621094,24900.0
ERIE,2012-02-08,78.9800033569336,78.27999877929688,61.14263916015625,31600.0
ERIE,2012-02-09,78.91999816894531,78.08999633789062,61.438533782958984,14300.0
ERIE,2012-02-10,78.94999694824219,78.08000183105469,61.376243591308594,25900.0
ERIE,2012-02-13,79.22000122070312,78.25,61.313961029052734,64500.0
ERIE,2012-02-14,78.44000244140625,77.47000122070312,60.59757614135742,48300.0
ERIE,2012-02-15,78.23999786376953,77.1500015258789,60.15371322631836,27300.0
ERIE,2012-02-16,78.0999984741211,77.29000091552734,60.511924743652344,37100.0
ERIE,2012-02-17,77.93000030517578,77.4000015258789,60.44960021972656,34500.0
ERIE,2012-02-21,77.75,77.16000366210938,60.511924743652344,19300.0
ERIE,2012-02-22,77.38999938964844,76.45999908447266,59.61641311645508,26900.0
ERIE,2012-02-23,77.38999938964844,76.75,60.200435638427734,34500.0
ERIE,2012-02-24,77.7300033569336,76.7300033569336,60.40289306640625,14600.0
ERIE,2012-02-27,77.62000274658203,76.48999786376953,60.22378158569336,20300.0
ERIE,2012-02-28,77.04000091552734,76.04000091552734,59.63197326660156,40600.0
ERIE,2012-02-29,76.93000030517578,76.0,59.265995025634766,49200.0
ERIE,2012-03-01,76.56999969482422,75.68000030517578,59.3438606262207,27500.0
ERIE,2012-03-02,76.30999755859375,75.26000213623047,58.93117141723633,16900.0
ERIE,2012-03-05,75.70999908447266,74.88999938964844,58.572975158691406,54700.0
ERIE,2012-03-06,75.41999816894531,73.73999786376953,57.80205535888672,59000.0
ERIE,2012-03-07,75.18000030517578,74.0,58.448368072509766,56700.0
ERIE,2012-03-08,76.44000244140625,75.12000274658203,59.258201599121094,33600.0
ERIE,2012-03-09,76.5999984741211,75.33999633789062,58.95452880859375,56200.0
ERIE,2012-03-12,77.1500015258789,75.83999633789062,59.59305191040039,37100.0
ERIE,2012-03-13,78.06999969482422,76.5199966430664,60.62870788574219,44500.0
ERIE,2012-03-14,78.18000030517578,77.63999938964844,60.644283294677734,25800.0
ERIE,2012-03-15,78.48999786376953,77.33999633789062,61.09591293334961,25900.0
ERIE,2012-03-16,78.44000244140625,77.37000274658203,60.44183349609375,31600.0
ERIE,2012-03-19,78.12999725341797,76.05999755859375,60.06028366088867,33500.0
ERIE,2012-03-20,77.13999938964844,76.5199966430664,59.75657272338867,38800.0
ERIE,2012-03-21,77.0199966430664,76.3499984741211,59.60861587524414,18800.0
ERIE,2012-03-22,76.62999725341797,75.83000183105469,59.118038177490234,31200.0
ERIE,2012-03-23,76.81999969482422,75.79000091552734,59.6397705078125,21800.0
ERIE,2012-03-26,77.8499984741211,76.73999786376953,60.543052673339844,35300.0
ERIE,2012-03-27,78.04000091552734,77.61000061035156,60.496334075927734,28900.0
ERIE,2012-03-28,78.26000213623047,77.31999969482422,60.729923248291016,25000.0
ERIE,2012-03-29,78.0,77.54000091552734,60.519683837890625,22800.0
ERIE,2012-03-30,78.37000274658203,77.25,60.69100570678711,19600.0
ERIE,2012-04-02,77.9800033569336,77.2699966430664,60.47297668457031,41600.0
ERIE,2012-04-03,77.0999984741211,76.13999938964844,60.33415603637695,56500.0
ERIE,2012-04-04,77.1500015258789,76.0999984741211,60.2008171081543,61800.0
ERIE,2012-04-05,77.69000244140625,76.48999786376953,60.812564849853516,28500.0
ERIE,2012-04-09,77.13999938964844,76.22000122070312,60.11455535888672,32400.0
ERIE,2012-04-10,76.76000213623047,75.13999938964844,59.040103912353516,34200.0
ERIE,2012-04-11,75.77999877929688,75.05000305175781,59.393043518066406,30700.0
ERIE,2012-04-12,76.19000244140625,75.2300033569336,59.722415924072266,24700.0
ERIE,2012-04-13,76.23999786376953,75.12999725341797,59.06362533569336,31000.0
ERIE,2012-04-16,76.0,75.33000183105469,59.5577392578125,23000.0
ERIE,2012-04-17,76.66999816894531,76.02999877929688,59.87144088745117,29300.0
ERIE,2012-04-18,75.97000122070312,75.30999755859375,59.087158203125,21400.0
ERIE,2012-04-19,75.93000030517578,75.2699966430664,59.31459045410156,18800.0
ERIE,2012-04-20,76.05999755859375,75.19999694824219,59.13421630859375,14400.0
ERIE,2012-04-23,75.19999694824219,74.16999816894531,58.81267547607422,28300.0
ERIE,2012-04-24,75.75,74.7300033569336,58.85187530517578,28600.0
ERIE,2012-04-25,75.8499984741211,75.13999938964844,59.07931900024414,38300.0
ERIE,2012-04-26,76.86000061035156,75.25,60.05964660644531,41600.0
ERIE,2012-04-27,77.2699966430664,76.13999938964844,60.373382568359375,32200.0
ERIE,2012-04-30,77.05000305175781,76.7699966430664,60.31061935424805,18000.0
ERIE,2012-05-01,77.27999877929688,76.1500015258789,60.11455535888672,42000.0
ERIE,2012-05-02,77.05000305175781,76.27999877929688,60.2243537902832,18300.0
ERIE,2012-05-03,77.12000274658203,76.27999877929688,60.17729568481445,34000.0
ERIE,2012-05-04,75.81999969482422,67.69000244140625,54.76582717895508,97600.0
ERIE,2012-05-07,70.23999786376953,67.30000305175781,53.73841094970703,79000.0
ERIE,2012-05-08,69.79000091552734,68.44000244140625,54.554046630859375,59500.0
ERIE,2012-05-09,70.31999969482422,69.19000244140625,54.92265701293945,33000.0
ERIE,2012-05-10,70.91999816894531,69.9800033569336,55.00108337402344,77000.0
ERIE,2012-05-11,70.69999694824219,69.98999786376953,55.29127883911133,23400.0
ERIE,2012-05-14,70.91000366210938,69.77999877929688,55.29127883911133,49200.0
ERIE,2012-05-15,70.91000366210938,70.0,55.3461799621582,28000.0
ERIE,2012-05-16,71.08999633789062,70.19999694824219,55.29911804199219,37400.0
ERIE,2012-05-17,70.47000122070312,69.68000030517578,54.906986236572266,36600.0
ERIE,2012-05-18,70.5,69.97000122070312,54.883453369140625,55900.0
ERIE,2012-05-21,70.41999816894531,69.97000122070312,55.134429931640625,28300.0
ERIE,2012-05-22,71.30999755859375,70.30000305175781,55.738311767578125,70000.0
ERIE,2012-05-23,71.04000091552734,69.91000366210938,55.67555618286133,39000.0
ERIE,2012-05-24,71.5999984741211,70.38999938964844,56.05986404418945,38600.0
ERIE,2012-05-25,73.0199966430664,71.05999755859375,56.240238189697266,36100.0
ERIE,2012-05-29,72.44000244140625,71.55999755859375,56.75787353515625,37200.0
ERIE,2012-05-30,72.16999816894531,70.9800033569336,56.1069221496582,50000.0
ERIE,2012-05-31,72.02999877929688,71.1500015258789,56.36573028564453,80900.0
ERIE,2012-06-01,71.62999725341797,70.12999725341797,55.0952033996582,74200.0
ERIE,2012-06-04,71.04000091552734,70.25,55.41676330566406,41300.0
ERIE,2012-06-05,71.2699966430664,69.91999816894531,55.18148422241211,81900.0
ERIE,2012-06-06,71.52999877929688,69.76000213623047,55.93437957763672,48600.0
ERIE,2012-06-07,72.01000213623047,70.44000244140625,55.38539505004883,53700.0
ERIE,2012-06-08,71.16000366210938,70.16000366210938,55.55009078979492,29400.0
ERIE,2012-06-11,70.9000015258789,67.86000061035156,53.96586990356445,91400.0
ERIE,2012-06-12,69.0999984741211,68.18000030517578,54.044288635253906,43100.0
ERIE,2012-06-13,69.37999725341797,67.97000122070312,53.550201416015625,64100.0
ERIE,2012-06-14,68.69999694824219,67.9000015258789,53.84038162231445,39400.0
ERIE,2012-06-15,69.81999969482422,68.4800033569336,54.71875762939453,78300.0
ERIE,2012-06-18,70.56999969482422,69.0199966430664,55.02463150024414,38500.0
ERIE,2012-06-19,70.95999908447266,69.97000122070312,55.393226623535156,44500.0
ERIE,2012-06-20,70.77999877929688,70.08999633789062,55.49518966674805,35600.0
ERIE,2012-06-21,70.87999725341797,69.33000183105469,54.405052185058594,56700.0
ERIE,2012-06-22,71.1500015258789,69.4800033569336,55.769691467285156,200500.0
ERIE,2012-06-25,70.87999725341797,69.44999694824219,54.554046630859375,80400.0
ERIE,2012-06-26,70.5999984741211,69.31999969482422,54.47563552856445,37700.0
ERIE,2012-06-27,70.12999725341797,69.23999786376953,54.906986236572266,18900.0
ERIE,2012-06-28,70.55000305175781,69.2699966430664,55.33048629760742,35200.0
ERIE,2012-06-29,71.62999725341797,70.76000213623047,56.161827087402344,25700.0
ERIE,2012-07-02,72.04000091552734,71.54000091552734,56.373565673828125,25600.0
ERIE,2012-07-03,72.05999755859375,71.2699966430664,56.95289611816406,20000.0
ERIE,2012-07-05,72.56999969482422,71.4000015258789,57.18211364746094,27900.0
ERIE,2012-07-06,72.22000122070312,71.37999725341797,56.81855392456055,23600.0
ERIE,2012-07-09,71.51000213623047,70.56999969482422,56.020286560058594,20700.0
ERIE,2012-07-10,71.0,70.26000213623047,55.73576354980469,17600.0
ERIE,2012-07-11,71.3499984741211,70.12000274658203,55.933349609375,28200.0
ERIE,2012-07-12,71.16999816894531,70.33999633789062,55.996578216552734,25400.0
ERIE,2012-07-13,72.12999725341797,70.94999694824219,56.87385559082031,38900.0
ERIE,2012-07-16,72.37000274658203,71.31999969482422,56.7711181640625,26700.0
ERIE,2012-07-17,72.0,71.02999877929688,56.90548324584961,62100.0
ERIE,2012-07-18,73.1500015258789,72.0199966430664,57.150489807128906,26200.0
ERIE,2012-07-19,72.70999908447266,71.8499984741211,57.00032424926758,14400.0
ERIE,2012-07-20,72.55999755859375,71.1500015258789,56.4944953918457,25300.0
ERIE,2012-07-23,71.30000305175781,69.27999877929688,56.028194427490234,21000.0
ERIE,2012-07-24,71.93000030517578,70.36000061035156,56.115116119384766,14600.0
ERIE,2012-07-25,72.2300033569336,71.2300033569336,56.597251892089844,17800.0
ERIE,2012-07-26,72.37999725341797,70.7300033569336,57.01613235473633,19000.0
ERIE,2012-07-27,72.7300033569336,71.08999633789062,56.75531768798828,30400.0
ERIE,2012-07-30,72.33999633789062,71.52999877929688,56.71579360961914,17300.0
ERIE,2012-07-31,71.69999694824219,70.7300033569336,56.344303131103516,16900.0
ERIE,2012-08-01,71.75,70.16000366210938,55.6883430480957,33100.0
ERIE,2012-08-02,70.7699966430664,70.0,55.66461944580078,26000.0
ERIE,2012-08-03,71.08000183105469,65.05999755859375,52.1080436706543,52400.0
ERIE,2012-08-06,66.87000274658203,65.52999877929688,51.965755462646484,35700.0
ERIE,2012-08-07,66.31999969482422,63.79999923706055,50.70121383666992,52400.0
ERIE,2012-08-08,64.44000244140625,61.130001068115234,50.630069732666016,41900.0
ERIE,2012-08-09,65.87000274658203,63.63999938964844,51.349300384521484,30600.0
ERIE,2012-08-10,65.55999755859375,63.4900016784668,50.90669631958008,20900.0
ERIE,2012-08-13,64.68000030517578,63.209999084472656,50.3376350402832,35800.0
ERIE,2012-08-14,64.75,63.04999923706055,49.93456268310547,14700.0
ERIE,2012-08-15,63.810001373291016,62.79999923706055,50.36925506591797,33500.0
ERIE,2012-08-16,64.19000244140625,62.88999938964844,50.124237060546875,29200.0
ERIE,2012-08-17,63.88999938964844,63.060001373291016,50.219093322753906,16000.0
ERIE,2012-08-20,63.869998931884766,63.27000045776367,50.18747329711914,15200.0
ERIE,2012-08-21,63.70000076293945,62.81999969482422,49.9661865234375,14200.0
ERIE,2012-08-22,63.79999923706055,62.529998779296875,49.50776672363281,18000.0
ERIE,2012-08-23,63.349998474121094,62.58000183105469,49.634220123291016,10300.0
ERIE,2012-08-24,63.279998779296875,62.900001525878906,49.823909759521484,8600.0
ERIE,2012-08-27,63.43000030517578,62.880001068115234,49.879241943359375,7800.0
ERIE,2012-08-28,64.11000061035156,62.900001525878906,50.274410247802734,19600.0
ERIE,2012-08-29,64.26000213623047,62.34000015258789,50.464088439941406,28500.0
ERIE,2012-08-30,63.790000915527344,62.79999923706055,50.34555435180664,25500.0
ERIE,2012-08-31,64.19999694824219,63.36000061035156,50.40087127685547,24800.0
ERIE,2012-09-04,64.02999877929688,62.959999084472656,50.211177825927734,29100.0
ERIE,2012-09-05,63.880001068115234,62.72999954223633,49.87131881713867,43100.0
ERIE,2012-09-06,64.33999633789062,62.7599983215332,50.74073028564453,32500.0
ERIE,2012-09-07,64.5199966430664,63.88999938964844,50.661685943603516,17200.0
ERIE,2012-09-10,64.30000305175781,63.61000061035156,50.3060188293457,14400.0
ERIE,2012-09-11,64.69000244140625,63.68000030517578,51.00945281982422,20400.0
ERIE,2012-09-12,64.54000091552734,63.5099983215332,50.709110260009766,28700.0
ERIE,2012-09-13,64.47000122070312,63.599998474121094,50.91460037231445,40000.0
ERIE,2012-09-14,64.56999969482422,63.70000076293945,50.582645416259766,33900.0
ERIE,2012-09-17,64.33999633789062,63.0,50.29811477661133,38700.0
ERIE,2012-09-18,64.1500015258789,63.2400016784668,50.408775329589844,22300.0
ERIE,2012-09-19,64.30000305175781,62.95000076293945,50.029396057128906,18500.0
ERIE,2012-09-20,63.599998474121094,62.599998474121094,49.760684967041016,16300.0
ERIE,2012-09-21,64.5999984741211,62.130001068115234,51.05685806274414,185700.0
