,,high,low,adjclose,volume
ETFC,2012-01-03,8.539999961853027,8.15999984741211,8.405961990356445,6203400.0
ETFC,2012-01-04,8.430000305175781,8.210000038146973,8.346487045288086,4597700.0
ETFC,2012-01-05,8.640000343322754,8.229999542236328,8.50508975982666,5293100.0
ETFC,2012-01-06,8.630000114440918,8.40999984741211,8.405961990356445,3301500.0
ETFC,2012-01-09,8.5600004196167,8.399999618530273,8.425788879394531,2937200.0
ETFC,2012-01-10,8.979999542236328,8.630000114440918,8.802471160888672,6812800.0
ETFC,2012-01-11,9.0600004196167,8.739999771118164,8.941248893737793,5999600.0
ETFC,2012-01-12,9.34000015258789,8.920000076293945,9.169240951538086,5721800.0
ETFC,2012-01-13,9.289999961853027,9.020000457763672,9.159327507019043,7143900.0
ETFC,2012-01-17,9.210000038146973,8.960000038146973,9.11967658996582,5780100.0
ETFC,2012-01-18,9.449999809265137,9.130000114440918,9.278279304504395,4832600.0
ETFC,2012-01-19,9.699999809265137,9.399999618530273,9.5360107421875,6125300.0
ETFC,2012-01-20,9.729999542236328,9.5,9.575660705566406,3631600.0
ETFC,2012-01-23,9.800000190734863,9.5,9.5360107421875,3340100.0
ETFC,2012-01-24,9.600000381469727,9.399999618530273,9.466622352600098,3706900.0
ETFC,2012-01-25,9.550000190734863,9.100000381469727,9.278279304504395,8648000.0
ETFC,2012-01-26,8.699999809265137,7.860000133514404,7.920240879058838,34109400.0
ETFC,2012-01-27,8.220000267028809,7.769999980926514,8.118494033813477,11008000.0
ETFC,2012-01-30,8.350000381469727,8.0,8.197796821594238,7402300.0
ETFC,2012-01-31,8.34000015258789,8.0600004196167,8.118494033813477,6465800.0
ETFC,2012-02-01,8.529999732971191,8.220000267028809,8.4456148147583,10075000.0
ETFC,2012-02-02,8.859999656677246,8.529999732971191,8.772733688354492,11470100.0
ETFC,2012-02-03,9.260000228881836,8.979999542236328,9.109764099121094,9772800.0
ETFC,2012-02-06,9.329999923706055,9.050000190734863,9.13950252532959,5334200.0
ETFC,2012-02-07,9.220000267028809,8.859999656677246,9.020550727844238,6521200.0
ETFC,2012-02-08,9.279999732971191,9.100000381469727,9.050287246704102,7638900.0
ETFC,2012-02-09,9.239999771118164,9.020000457763672,9.109764099121094,4929500.0
ETFC,2012-02-10,9.229999542236328,9.069999694824219,9.129590034484863,4799400.0
ETFC,2012-02-13,9.350000381469727,9.210000038146973,9.228717803955078,5551500.0
ETFC,2012-02-14,9.300000190734863,8.960000038146973,8.990811347961426,5332600.0
ETFC,2012-02-15,9.239999771118164,9.050000190734863,9.08993911743164,5597600.0
ETFC,2012-02-16,9.279999732971191,9.050000190734863,9.179154396057129,4301100.0
ETFC,2012-02-17,9.399999618530273,9.220000267028809,9.268367767333984,3751900.0
ETFC,2012-02-21,9.520000457763672,9.300000190734863,9.417057991027832,5913000.0
ETFC,2012-02-22,9.5,9.319999694824219,9.238629341125488,6675000.0
ETFC,2012-02-23,9.510000228881836,9.149999618530273,9.407144546508789,3191800.0
ETFC,2012-02-24,9.729999542236328,9.460000038146973,9.575660705566406,6355900.0
ETFC,2012-02-27,9.720000267028809,9.470000267028809,9.575660705566406,2741400.0
ETFC,2012-02-28,9.770000457763672,9.579999923706055,9.595486640930176,3253500.0
ETFC,2012-02-29,9.899999618530273,9.609999656677246,9.555834770202637,5065200.0
ETFC,2012-03-01,10.0,9.699999809265137,9.75408935546875,6946800.0
ETFC,2012-03-02,10.020000457763672,9.789999961853027,9.902778625488281,4763300.0
ETFC,2012-03-05,9.949999809265137,9.680000305175781,9.625224113464355,3699100.0
ETFC,2012-03-06,9.550000190734863,9.229999542236328,9.189065933227539,6130500.0
ETFC,2012-03-07,9.5,9.289999961853027,9.317931175231934,3755400.0
ETFC,2012-03-08,9.760000228881836,9.479999542236328,9.595486640930176,7063600.0
ETFC,2012-03-09,9.760000228881836,9.600000381469727,9.58557415008545,5184800.0
ETFC,2012-03-12,9.720000267028809,9.5,9.496358871459961,5437600.0
ETFC,2012-03-13,10.149999618530273,9.619999885559082,9.96225643157959,8811500.0
ETFC,2012-03-14,10.5,10.0600004196167,10.309200286865234,9772200.0
ETFC,2012-03-15,11.09000015258789,10.430000305175781,10.854397773742676,10282000.0
ETFC,2012-03-16,11.130000114440918,10.8100004196167,10.943612098693848,5993100.0
ETFC,2012-03-19,11.5,11.119999885559082,11.122040748596191,10156600.0
ETFC,2012-03-20,11.319999694824219,11.020000457763672,11.122040748596191,3528000.0
ETFC,2012-03-21,11.359999656677246,11.170000076293945,11.161691665649414,3934600.0
ETFC,2012-03-22,11.260000228881836,10.920000076293945,10.933698654174805,3142500.0
ETFC,2012-03-23,11.289999961853027,10.829999923706055,11.171605110168457,4804100.0
ETFC,2012-03-26,11.4399995803833,11.270000457763672,11.260817527770996,5513400.0
ETFC,2012-03-27,11.449999809265137,11.180000305175781,11.092303276062012,3852900.0
ETFC,2012-03-28,11.260000228881836,10.920000076293945,10.933698654174805,4240700.0
ETFC,2012-03-29,10.949999809265137,10.720000267028809,10.804834365844727,3771800.0
ETFC,2012-03-30,11.079999923706055,10.75,10.854397773742676,4224300.0
ETFC,2012-04-02,11.15999984741211,10.850000381469727,10.993175506591797,3512200.0
ETFC,2012-04-03,11.119999885559082,10.779999732971191,10.95352554321289,4109400.0
ETFC,2012-04-04,10.970000267028809,10.6899995803833,10.596667289733887,3458300.0
ETFC,2012-04-05,10.75,10.579999923706055,10.566929817199707,1957300.0
ETFC,2012-04-09,10.470000267028809,10.1899995803833,10.289374351501465,3091100.0
ETFC,2012-04-10,10.470000267028809,10.020000457763672,9.96225643157959,4927600.0
ETFC,2012-04-11,10.449999809265137,10.199999809265137,10.229898452758789,3841500.0
ETFC,2012-04-12,10.6899995803833,10.3100004196167,10.566929817199707,2906900.0
ETFC,2012-04-13,10.640000343322754,9.979999542236328,9.972169876098633,10009500.0
ETFC,2012-04-16,10.350000381469727,9.720000267028809,9.823478698730469,9208300.0
ETFC,2012-04-17,10.229999542236328,9.979999542236328,10.021732330322266,2691800.0
ETFC,2012-04-18,10.069999694824219,9.869999885559082,9.882954597473145,3791600.0
ETFC,2012-04-19,10.140000343322754,9.770000457763672,9.793740272521973,6689600.0
ETFC,2012-04-20,10.649999618530273,10.220000267028809,10.388501167297363,17651000.0
ETFC,2012-04-23,10.399999618530273,10.210000038146973,10.180335998535156,8580000.0
ETFC,2012-04-24,10.479999542236328,10.25,10.319112777709961,5857100.0
ETFC,2012-04-25,10.699999809265137,10.449999809265137,10.576842308044434,4620000.0
ETFC,2012-04-26,11.0,10.600000381469727,10.576842308044434,5889400.0
ETFC,2012-04-27,10.760000228881836,10.520000457763672,10.63631820678711,2679600.0
ETFC,2012-04-30,10.720000267028809,10.529999732971191,10.537192344665527,1738600.0
ETFC,2012-05-01,10.930000305175781,10.5600004196167,10.63631820678711,4767800.0
ETFC,2012-05-02,10.630000114440918,10.359999656677246,10.36867618560791,4376500.0
ETFC,2012-05-03,10.430000305175781,10.130000114440918,10.101033210754395,3481900.0
ETFC,2012-05-04,10.140000343322754,9.899999618530273,9.892867088317871,3227500.0
ETFC,2012-05-07,10.069999694824219,9.800000190734863,9.793740272521973,3249400.0
ETFC,2012-05-08,9.8100004196167,9.529999732971191,9.645049095153809,3797800.0
ETFC,2012-05-09,9.729999542236328,9.390000343322754,9.555834770202637,3868700.0
ETFC,2012-05-10,9.84000015258789,9.5600004196167,9.555834770202637,2600000.0
ETFC,2012-05-11,9.770000457763672,9.210000038146973,9.506271362304688,2815100.0
ETFC,2012-05-14,9.479999542236328,9.210000038146973,9.13950252532959,4539700.0
ETFC,2012-05-15,9.289999961853027,9.0,9.000724792480469,5153100.0
ETFC,2012-05-16,9.319999694824219,8.8100004196167,8.73308277130127,4004600.0
ETFC,2012-05-17,8.90999984741211,8.59000015258789,8.524916648864746,4837300.0
ETFC,2012-05-18,8.729999542236328,8.40999984741211,8.386137962341309,4834600.0
ETFC,2012-05-21,8.649999618530273,8.449999809265137,8.574479103088379,2504900.0
ETFC,2012-05-22,9.020000457763672,8.65999984741211,8.69343090057373,3940900.0
ETFC,2012-05-23,8.9399995803833,8.5,8.822297096252441,4436000.0
ETFC,2012-05-24,9.0,8.609999656677246,8.68351936340332,2561600.0
ETFC,2012-05-25,8.760000228881836,8.489999771118164,8.604217529296875,1822300.0
ETFC,2012-05-29,9.0,8.75,8.832208633422852,4695300.0
ETFC,2012-05-30,8.800000190734863,8.5,8.455526351928711,5766600.0
ETFC,2012-05-31,8.5600004196167,8.3100004196167,8.415875434875488,5520600.0
ETFC,2012-06-01,8.369999885559082,7.960000038146973,7.97971773147583,7280800.0
ETFC,2012-06-04,8.09000015258789,7.739999771118164,7.791376113891602,6844300.0
ETFC,2012-06-05,8.25,7.809999942779541,7.989630699157715,7108400.0
ETFC,2012-06-06,8.369999885559082,8.100000381469727,8.217621803283691,10147900.0
ETFC,2012-06-07,8.529999732971191,8.149999618530273,8.118494033813477,4414700.0
ETFC,2012-06-08,8.199999809265137,8.020000457763672,8.118494033813477,5362600.0
ETFC,2012-06-11,8.359999656677246,7.849999904632568,7.801289081573486,4790400.0
ETFC,2012-06-12,8.020000457763672,7.820000171661377,7.8905029296875,6190400.0
ETFC,2012-06-13,8.170000076293945,7.849999904632568,7.801289081573486,7620500.0
ETFC,2012-06-14,8.020000457763672,7.829999923706055,7.920240879058838,3751600.0
ETFC,2012-06-15,8.029999732971191,7.920000076293945,7.900415897369385,5171200.0
ETFC,2012-06-18,7.949999809265137,7.800000190734863,7.771551609039307,3684800.0
ETFC,2012-06-19,8.09000015258789,7.889999866485596,7.969804763793945,6593700.0
ETFC,2012-06-20,8.329999923706055,8.0,8.09867000579834,4288100.0
ETFC,2012-06-21,8.220000267028809,7.789999961853027,7.761638164520264,4205000.0
ETFC,2012-06-22,7.949999809265137,7.71999979019165,7.751725673675537,5964700.0
ETFC,2012-06-25,7.739999771118164,7.420000076293945,7.404781341552734,3898200.0
ETFC,2012-06-26,7.570000171661377,7.449999809265137,7.434519290924072,3061000.0
ETFC,2012-06-27,7.610000133514404,7.5,7.48408317565918,4065600.0
ETFC,2012-06-28,7.639999866485596,7.389999866485596,7.5435590744018555,6037100.0
ETFC,2012-06-29,8.199999809265137,7.769999980926514,7.969804763793945,11951800.0
ETFC,2012-07-02,8.170000076293945,7.809999942779541,7.9598917961120605,6044200.0
ETFC,2012-07-03,8.199999809265137,7.989999771118164,8.068931579589844,2572800.0
ETFC,2012-07-05,8.149999618530273,7.949999809265137,7.999542236328125,3909800.0
ETFC,2012-07-06,8.029999732971191,7.760000228881836,7.771551609039307,4418100.0
ETFC,2012-07-09,7.809999942779541,7.5,7.48408317565918,5363200.0
ETFC,2012-07-10,7.650000095367432,7.460000038146973,7.46425724029541,5586400.0
ETFC,2012-07-11,7.679999828338623,7.480000019073486,7.583209991455078,4278200.0
ETFC,2012-07-12,7.579999923706055,7.389999866485596,7.414694309234619,5385400.0
ETFC,2012-07-13,7.980000019073486,7.46999979019165,7.801289081573486,6522300.0
ETFC,2012-07-16,8.069999694824219,7.820000171661377,7.969804763793945,5367100.0
ETFC,2012-07-17,8.140000343322754,7.840000152587891,7.9598917961120605,4777300.0
ETFC,2012-07-18,8.09000015258789,7.820000171661377,7.831027030944824,2223800.0
ETFC,2012-07-19,7.989999771118164,7.71999979019165,7.751725673675537,5170500.0
ETFC,2012-07-20,7.739999771118164,7.320000171661377,7.325479507446289,15854300.0
ETFC,2012-07-23,7.289999961853027,7.099999904632568,7.137138366699219,13241200.0
ETFC,2012-07-24,7.25,7.099999904632568,7.117312908172607,7501000.0
ETFC,2012-07-25,7.269999980926514,7.079999923706055,7.117312908172607,6407800.0
ETFC,2012-07-26,7.300000190734863,7.150000095367432,7.196614742279053,3667200.0
ETFC,2012-07-27,7.579999923706055,7.25,7.46425724029541,4623800.0
ETFC,2012-07-30,7.659999847412109,7.460000038146973,7.474170207977295,3480200.0
ETFC,2012-07-31,7.650000095367432,7.489999771118164,7.563384056091309,3207300.0
ETFC,2012-08-01,7.760000228881836,7.570000171661377,7.682336807250977,5305600.0
ETFC,2012-08-02,7.599999904632568,7.25,7.266003608703613,11381200.0
ETFC,2012-08-03,7.960000038146973,7.5,7.791376113891602,8731400.0
ETFC,2012-08-06,8.020000457763672,7.900000095367432,7.8508524894714355,4152400.0
ETFC,2012-08-07,8.149999618530273,7.920000076293945,7.989630699157715,3376400.0
ETFC,2012-08-08,8.09000015258789,7.909999847412109,7.94998025894165,2437000.0
ETFC,2012-08-09,8.619999885559082,8.300000190734863,8.495177268981934,18578300.0
ETFC,2012-08-10,8.529999732971191,8.319999694824219,8.346487045288086,4154100.0
ETFC,2012-08-13,8.539999961853027,8.329999923706055,8.435701370239258,3919400.0
ETFC,2012-08-14,8.8100004196167,8.600000381469727,8.594305038452148,7177300.0
ETFC,2012-08-15,8.760000228881836,8.489999771118164,8.455526351928711,6085100.0
ETFC,2012-08-16,8.600000381469727,8.470000267028809,8.47535228729248,11232500.0
ETFC,2012-08-17,8.649999618530273,8.5,8.495177268981934,3590000.0
ETFC,2012-08-20,8.680000305175781,8.529999732971191,8.604217529296875,2823300.0
ETFC,2012-08-21,8.880000114440918,8.630000114440918,8.604217529296875,5845400.0
ETFC,2012-08-22,8.760000228881836,8.59000015258789,8.653779983520508,4933700.0
ETFC,2012-08-23,8.75,8.369999885559082,8.326662063598633,4306900.0
ETFC,2012-08-24,8.5600004196167,8.260000228881836,8.425788879394531,2892100.0
ETFC,2012-08-27,8.569999694824219,8.34000015258789,8.316749572753906,3072600.0
ETFC,2012-08-28,8.710000038146973,8.34000015258789,8.524916648864746,3346200.0
ETFC,2012-08-29,8.680000305175781,8.5,8.544740676879883,2655000.0
ETFC,2012-08-30,8.550000190734863,8.399999618530273,8.425788879394531,2056400.0
ETFC,2012-08-31,8.680000305175781,8.449999809265137,8.495177268981934,2373000.0
ETFC,2012-09-04,8.630000114440918,8.40999984741211,8.515002250671387,2260200.0
ETFC,2012-09-05,8.630000114440918,8.460000038146973,8.485264778137207,2397800.0
ETFC,2012-09-06,8.869999885559082,8.5600004196167,8.772733688354492,3700500.0
ETFC,2012-09-07,9.0600004196167,8.84000015258789,8.980899810791016,4577700.0
ETFC,2012-09-10,9.0600004196167,8.619999885559082,8.673606872558594,3661600.0
ETFC,2012-09-11,9.010000228881836,8.699999809265137,8.861946105957031,3447500.0
ETFC,2012-09-12,9.329999923706055,8.960000038146973,9.238629341125488,9657000.0
ETFC,2012-09-13,9.640000343322754,9.220000267028809,9.476533889770508,4353000.0
ETFC,2012-09-14,10.09000015258789,9.609999656677246,9.793740272521973,9577700.0
ETFC,2012-09-17,9.880000114440918,9.470000267028809,9.436883926391602,4537500.0
ETFC,2012-09-18,9.489999771118164,9.220000267028809,9.308018684387207,2844200.0
ETFC,2012-09-19,9.420000076293945,9.15999984741211,9.169240951538086,4508700.0
ETFC,2012-09-20,9.270000457763672,8.960000038146973,9.13950252532959,4795200.0
ETFC,2012-09-21,9.34000015258789,9.109999656677246,9.189065933227539,5012800.0
ETFC,2012-09-24,9.239999771118164,9.050000190734863,9.080026626586914,2801300.0
ETFC,2012-09-25,9.270000457763672,8.729999542236328,8.703343391418457,4461800.0
ETFC,2012-09-26,8.819999694824219,8.579999923706055,8.624042510986328,3938000.0
ETFC,2012-09-27,8.920000076293945,8.699999809265137,8.772733688354492,2931200.0
ETFC,2012-09-28,8.869999885559082,8.510000228881836,8.723170280456543,5367200.0
ETFC,2012-10-01,9.149999618530273,8.859999656677246,8.861946105957031,4215700.0
ETFC,2012-10-02,9.050000190734863,8.819999694824219,8.881772994995117,2860600.0
ETFC,2012-10-03,9.100000381469727,8.8100004196167,8.941248893737793,3035300.0
ETFC,2012-10-04,9.130000114440918,9.0,9.050287246704102,2466500.0
ETFC,2012-10-05,9.380000114440918,9.020000457763672,9.040375709533691,4004000.0
ETFC,2012-10-08,9.119999885559082,9.0,8.95116138458252,1440400.0
ETFC,2012-10-09,9.15999984741211,8.970000267028809,8.931336402893066,2577700.0
ETFC,2012-10-10,9.079999923706055,8.930000305175781,8.990811347961426,2756200.0
ETFC,2012-10-11,9.369999885559082,9.069999694824219,9.238629341125488,3436000.0
ETFC,2012-10-12,9.239999771118164,8.890000343322754,8.921422958374023,9091500.0
ETFC,2012-10-15,9.180000305175781,8.979999542236328,9.080026626586914,3151200.0
ETFC,2012-10-16,9.34000015258789,9.130000114440918,9.13950252532959,3423400.0
ETFC,2012-10-17,9.539999961853027,9.210000038146973,9.456707954406738,5019300.0
ETFC,2012-10-18,9.539999961853027,9.34000015258789,9.337756156921387,3997100.0
ETFC,2012-10-19,9.0,8.380000114440918,8.495177268981934,20141700.0
ETFC,2012-10-22,8.640000343322754,8.34000015258789,8.366312026977539,5099600.0
ETFC,2012-10-23,8.449999809265137,8.210000038146973,8.28701114654541,5099200.0
ETFC,2012-10-24,8.470000267028809,8.130000114440918,8.168058395385742,5357700.0
ETFC,2012-10-25,8.420000076293945,8.1899995803833,8.316749572753906,2891600.0
ETFC,2012-10-26,8.40999984741211,8.229999542236328,8.187884330749512,2232200.0
ETFC,2012-10-31,8.4399995803833,8.300000190734863,8.28701114654541,1831800.0
ETFC,2012-11-01,8.619999885559082,8.270000457763672,8.415875434875488,3907700.0
ETFC,2012-11-02,8.649999618530273,8.300000190734863,8.326662063598633,3263700.0
ETFC,2012-11-05,8.890000343322754,8.649999618530273,8.69343090057373,5341200.0
ETFC,2012-11-06,8.829999923706055,8.609999656677246,8.574479103088379,3473000.0
