,,high,low,adjclose,volume
EXP,2012-01-03,26.729999542236328,26.079999923706055,25.083553314208984,463700.0
EXP,2012-01-04,26.510000228881836,25.6299991607666,25.29458999633789,338300.0
EXP,2012-01-05,27.639999389648438,26.010000228881836,26.3017635345459,968000.0
EXP,2012-01-06,27.649999618530273,27.030000686645508,26.3017635345459,906900.0
EXP,2012-01-09,28.0,27.3700008392334,26.359315872192383,580000.0
EXP,2012-01-10,28.510000228881836,27.93000030517578,26.91565704345703,778400.0
EXP,2012-01-11,29.68000030517578,27.989999771118164,28.153057098388672,979700.0
EXP,2012-01-12,30.280000686645508,29.219999313354492,28.52715492248535,891500.0
EXP,2012-01-13,29.6299991607666,28.850000381469727,28.05713653564453,931400.0
EXP,2012-01-17,30.079999923706055,29.600000381469727,28.536745071411133,485400.0
EXP,2012-01-18,30.350000381469727,29.559999465942383,28.99717140197754,1074600.0
EXP,2012-01-19,30.510000228881836,29.920000076293945,28.94920539855957,737800.0
EXP,2012-01-20,30.43000030517578,29.469999313354492,28.47918701171875,727100.0
EXP,2012-01-23,29.950000762939453,28.8799991607666,27.79815101623535,777100.0
EXP,2012-01-24,29.540000915527344,28.59000015258789,28.248977661132812,618200.0
EXP,2012-01-25,29.989999771118164,29.010000228881836,28.613481521606445,845600.0
EXP,2012-01-26,30.15999984741211,29.260000228881836,28.287342071533203,418500.0
EXP,2012-01-27,29.739999771118164,29.209999084472656,28.344892501831055,399900.0
EXP,2012-01-30,29.25,28.770000457763672,27.951616287231445,393300.0
EXP,2012-01-31,29.610000610351562,28.780000686645508,28.210607528686523,341400.0
EXP,2012-02-01,29.780000686645508,29.010000228881836,28.210607528686523,885400.0
EXP,2012-02-02,32.20000076293945,30.1200008392334,29.889240264892578,1644900.0
EXP,2012-02-03,32.52000045776367,31.56999969482422,31.174596786499023,1906500.0
EXP,2012-02-06,33.209999084472656,32.29999923706055,31.337661743164062,759900.0
EXP,2012-02-07,33.33000183105469,32.61000061035156,31.64460563659668,570800.0
EXP,2012-02-08,33.290000915527344,32.56999969482422,31.73094940185547,289500.0
EXP,2012-02-09,33.65999984741211,32.880001068115234,32.17218017578125,481200.0
EXP,2012-02-10,33.22999954223633,32.2599983215332,31.07866859436035,566100.0
EXP,2012-02-13,33.119998931884766,32.619998931884766,31.71174430847168,420900.0
EXP,2012-02-14,32.939998626708984,32.459999084472656,31.539100646972656,401800.0
EXP,2012-02-15,33.97999954223633,32.849998474121094,31.913198471069336,698800.0
EXP,2012-02-16,33.56999969482422,33.209999084472656,32.03789520263672,381600.0
EXP,2012-02-17,33.79999923706055,33.0,31.69257164001465,251000.0
EXP,2012-02-21,33.439998626708984,32.119998931884766,30.877233505249023,478100.0
EXP,2012-02-22,32.150001525878906,31.399999618530273,30.397624969482422,309000.0
EXP,2012-02-23,32.4900016784668,31.59000015258789,30.982751846313477,425400.0
EXP,2012-02-24,32.77000045776367,31.389999389648438,30.397624969482422,275700.0
