,,high,low,adjclose,volume
EXPE,2012-01-03,30.190000534057617,29.5,27.457237243652344,3565000.0
EXPE,2012-01-04,29.65999984741211,28.5,26.8740177154541,3447200.0
EXPE,2012-01-05,28.920000076293945,28.260000228881836,26.633337020874023,3828700.0
EXPE,2012-01-06,29.90999984741211,28.760000228881836,27.077686309814453,4891300.0
EXPE,2012-01-09,29.75,28.3799991607666,26.50373649597168,4720300.0
EXPE,2012-01-10,29.549999237060547,28.780000686645508,27.30912208557129,3227200.0
EXPE,2012-01-11,29.700000762939453,28.84000015258789,27.133228302001953,3199300.0
EXPE,2012-01-12,29.510000228881836,28.59000015258789,26.725906372070312,2923900.0
EXPE,2012-01-13,28.739999771118164,28.020000457763672,26.5407657623291,3684200.0
EXPE,2012-01-17,29.709999084472656,28.8700008392334,27.48500633239746,4236600.0
EXPE,2012-01-18,31.25,29.040000915527344,28.586631774902344,7261800.0
EXPE,2012-01-19,31.43000030517578,30.670000076293945,29.00321388244629,4779200.0
EXPE,2012-01-20,31.40999984741211,30.670000076293945,28.7347469329834,3131800.0
EXPE,2012-01-23,31.6200008392334,30.850000381469727,28.61440658569336,3679100.0
EXPE,2012-01-24,31.530000686645508,30.329999923706055,29.068012237548828,2783500.0
EXPE,2012-01-25,31.59000015258789,31.06999969482422,28.901376724243164,2677200.0
EXPE,2012-01-26,31.579999923706055,30.940000534057617,28.79955291748047,2365600.0
EXPE,2012-01-27,32.15999984741211,31.010000228881836,29.43829917907715,4695200.0
EXPE,2012-01-30,32.06999969482422,31.299999237060547,29.614200592041016,4118800.0
EXPE,2012-01-31,32.439998626708984,31.790000915527344,29.965965270996094,4042300.0
EXPE,2012-02-01,33.060001373291016,32.209999084472656,30.484384536743164,3499400.0
EXPE,2012-02-02,33.22999954223633,32.79999923706055,30.56769561767578,2175300.0
EXPE,2012-02-03,34.25,32.88999938964844,31.6785831451416,4274100.0
EXPE,2012-02-06,34.11000061035156,33.41999816894531,31.07684898376465,3421500.0
EXPE,2012-02-07,34.06999969482422,33.130001068115234,31.511938095092773,3557800.0
EXPE,2012-02-08,34.119998931884766,33.369998931884766,31.150917053222656,4155600.0
EXPE,2012-02-09,34.22999954223633,32.2400016784668,31.6230411529541,8257100.0
EXPE,2012-02-10,33.66999816894531,31.860000610351562,31.049081802368164,7129100.0
EXPE,2012-02-13,34.4900016784668,33.70000076293945,31.854463577270508,3428300.0
EXPE,2012-02-14,34.75,33.70000076293945,31.40085220336914,3924000.0
EXPE,2012-02-15,34.119998931884766,33.25,30.937992095947266,3423000.0
EXPE,2012-02-16,34.0099983215332,32.869998931884766,30.799135208129883,4108400.0
EXPE,2012-02-17,33.52000045776367,32.970001220703125,30.613983154296875,2278500.0
EXPE,2012-02-21,33.31999969482422,32.83000183105469,30.56769561767578,3282500.0
EXPE,2012-02-22,33.439998626708984,32.95000076293945,30.558439254760742,1367400.0
EXPE,2012-02-23,33.560001373291016,32.83000183105469,30.780620574951172,2547700.0
EXPE,2012-02-24,33.380001068115234,32.90999984741211,30.521411895751953,2324100.0
EXPE,2012-02-27,33.40999984741211,32.7599983215332,30.678787231445312,3288500.0
EXPE,2012-02-28,34.400001525878906,33.29999923706055,31.280515670776367,3953400.0
EXPE,2012-02-29,34.2400016784668,33.52000045776367,31.521198272705078,3371700.0
EXPE,2012-03-01,34.470001220703125,33.959999084472656,31.539718627929688,3673400.0
EXPE,2012-03-02,34.290000915527344,33.5,31.14165496826172,2542500.0
EXPE,2012-03-05,33.540000915527344,33.029998779296875,30.910215377807617,2780700.0
EXPE,2012-03-06,33.36000061035156,32.720001220703125,30.336265563964844,3868000.0
EXPE,2012-03-07,33.11000061035156,32.13999938964844,30.447355270385742,3541400.0
EXPE,2012-03-08,33.029998779296875,31.940000534057617,30.001781463623047,5195800.0
EXPE,2012-03-09,32.439998626708984,31.43000030517578,29.43553352355957,6208900.0
EXPE,2012-03-12,32.16999816894531,31.770000457763672,29.788286209106445,3405800.0
EXPE,2012-03-13,32.63999938964844,32.040000915527344,30.196714401245117,2558300.0
EXPE,2012-03-14,32.709999084472656,32.189998626708984,30.085329055786133,2503000.0
EXPE,2012-03-15,33.40999984741211,32.310001373291016,30.883649826049805,3218400.0
EXPE,2012-03-16,33.7400016784668,33.16999816894531,31.199249267578125,3489200.0
EXPE,2012-03-19,34.290000915527344,33.36000061035156,31.700517654418945,2242900.0
EXPE,2012-03-20,34.02000045776367,33.58000183105469,31.384910583496094,1697500.0
EXPE,2012-03-21,34.20000076293945,33.70000076293945,31.5705623626709,1297400.0
EXPE,2012-03-22,34.380001068115234,33.540000915527344,31.765504837036133,1819900.0
EXPE,2012-03-23,34.220001220703125,33.65999984741211,31.691240310668945,1744000.0
EXPE,2012-03-26,35.56999969482422,34.38999938964844,32.89799118041992,3297800.0
EXPE,2012-03-27,34.650001525878906,34.08000183105469,31.67267417907715,5975300.0
EXPE,2012-03-28,34.16999816894531,32.2599983215332,30.205997467041016,12867100.0
EXPE,2012-03-29,33.369998931884766,32.349998474121094,30.865079879760742,6509200.0
EXPE,2012-03-30,33.7400016784668,33.22999954223633,31.041454315185547,4866600.0
EXPE,2012-04-02,33.630001068115234,32.849998474121094,30.93934440612793,3415800.0
EXPE,2012-04-03,33.619998931884766,33.060001373291016,30.865079879760742,2673900.0
EXPE,2012-04-04,33.029998779296875,31.979999542236328,30.001781463623047,3932600.0
EXPE,2012-04-05,32.95000076293945,32.220001220703125,30.540180206298828,2310100.0
EXPE,2012-04-09,32.540000915527344,32.18000030517578,30.029632568359375,2047300.0
EXPE,2012-04-10,32.849998474121094,31.6299991607666,29.43553352355957,3518800.0
EXPE,2012-04-11,32.4900016784668,31.809999465942383,29.602622985839844,3045200.0
EXPE,2012-04-12,32.33000183105469,31.809999465942383,29.723299026489258,3585200.0
EXPE,2012-04-13,32.27000045776367,31.760000228881836,29.52836036682129,2783100.0
EXPE,2012-04-16,31.950000762939453,30.969999313354492,28.97140121459961,2821400.0
EXPE,2012-04-17,31.600000381469727,31.1299991607666,28.943553924560547,2814500.0
EXPE,2012-04-18,31.81999969482422,31.100000381469727,29.23131561279297,3395300.0
EXPE,2012-04-19,31.979999542236328,31.329999923706055,29.287006378173828,3206800.0
EXPE,2012-04-20,31.979999542236328,31.610000610351562,29.64904022216797,3464400.0
EXPE,2012-04-23,31.829999923706055,30.989999771118164,29.138486862182617,2375200.0
EXPE,2012-04-24,31.75,31.15999984741211,29.277727127075195,2313400.0
EXPE,2012-04-25,32.36000061035156,31.440000534057617,30.001781463623047,3147500.0
EXPE,2012-04-26,32.880001068115234,31.56999969482422,30.289548873901367,5905300.0
EXPE,2012-04-27,43.0,39.0,37.41868591308594,24788000.0
EXPE,2012-04-30,43.91999816894531,39.900001525878906,39.590843200683594,12950100.0
EXPE,2012-05-01,42.66999816894531,40.70000076293945,38.65328598022461,8152100.0
EXPE,2012-05-02,42.72999954223633,41.279998779296875,39.40518569946289,4091000.0
EXPE,2012-05-03,42.459999084472656,41.2599983215332,38.45835876464844,6038300.0
EXPE,2012-05-04,41.52000045776367,40.83000183105469,38.040618896484375,3603900.0
