,,high,low,adjclose,volume
F,2012-01-03,11.25,10.989999771118164,8.064752578735352,45709900.0
F,2012-01-04,11.529999732971191,11.069999694824219,8.1879301071167,79725200.0
F,2012-01-05,11.630000114440918,11.239999771118164,8.398066520690918,67877500.0
F,2012-01-06,11.800000190734863,11.520000457763672,8.485016822814941,59840700.0
F,2012-01-09,11.949999809265137,11.699999809265137,8.550230026245117,53981500.0
F,2012-01-10,12.050000190734863,11.630000114440918,8.550230026245117,121750600.0
F,2012-01-11,12.180000305175781,11.649999618530273,8.745872497558594,63806000.0
F,2012-01-12,12.180000305175781,11.890000343322754,8.796594619750977,48687700.0
F,2012-01-13,12.079999923706055,11.84000015258789,8.724132537841797,46366700.0
F,2012-01-17,12.260000228881836,11.960000038146973,8.70964241027832,44398400.0
F,2012-01-18,12.369999885559082,12.0,8.941511154174805,47102700.0
F,2012-01-19,12.720000267028809,12.430000305175781,9.137152671813965,70894200.0
F,2012-01-20,12.640000343322754,12.449999809265137,9.122660636901855,43705700.0
F,2012-01-23,12.84000015258789,12.550000190734863,9.173381805419922,49379700.0
F,2012-01-24,12.859999656677246,12.460000038146973,9.289320945739746,45768400.0
F,2012-01-25,12.979999542236328,12.699999809265137,9.369023323059082,54021600.0
F,2012-01-26,13.050000190734863,12.65999984741211,9.26758098602295,75470700.0
F,2012-01-27,12.529999732971191,11.789999961853027,8.882037162780762,142155300.0
F,2012-01-30,12.4399995803833,12.0,8.94023323059082,57752600.0
F,2012-01-31,12.510000228881836,12.199999809265137,9.034799575805664,46412100.0
F,2012-02-01,12.75,12.289999961853027,8.969329833984375,71669000.0
F,2012-02-02,12.430000305175781,12.199999809265137,8.91840934753418,48347600.0
F,2012-02-03,12.84000015258789,12.390000343322754,9.30395221710205,78851200.0
F,2012-02-06,13.0,12.710000038146973,9.427616119384766,46363300.0
F,2012-02-07,12.970000267028809,12.829999923706055,9.369420051574707,39413500.0
F,2012-02-08,12.960000038146973,12.800000190734863,9.340322494506836,35352500.0
F,2012-02-09,12.899999618530273,12.670000076293945,9.231206893920898,52290500.0
F,2012-02-10,12.65999984741211,12.369999885559082,9.049351692199707,52505500.0
F,2012-02-13,12.739999771118164,12.510000228881836,9.122091293334961,34474400.0
F,2012-02-14,12.579999923706055,12.34000015258789,9.07844352722168,39627900.0
F,2012-02-15,12.569999694824219,12.329999923706055,9.005701065063477,38174800.0
F,2012-02-16,12.770000457763672,12.380000114440918,9.267582893371582,49164400.0
F,2012-02-17,12.880000114440918,12.710000038146973,9.274853706359863,30778000.0
F,2012-02-21,12.760000228881836,12.460000038146973,9.11481761932373,38409800.0
F,2012-02-22,12.510000228881836,12.220000267028809,8.93295955657959,43326000.0
F,2012-02-23,12.4399995803833,12.15999984741211,9.020252227783203,36747600.0
F,2012-02-24,12.460000038146973,12.1899995803833,8.896586418151855,31399300.0
F,2012-02-27,12.359999656677246,11.989999771118164,8.94750690460205,38703400.0
F,2012-02-28,12.350000381469727,12.199999809265137,8.9111328125,30789000.0
F,2012-02-29,12.550000190734863,12.25,9.005701065063477,62093700.0
F,2012-03-01,12.770000457763672,12.449999809265137,9.209383964538574,68262000.0
F,2012-03-02,12.9399995803833,12.680000305175781,9.253033638000488,49063500.0
F,2012-03-05,12.680000305175781,12.40999984741211,9.063899993896484,28433700.0
F,2012-03-06,12.25,12.0,8.794744491577148,57374500.0
F,2012-03-07,12.300000190734863,12.149999618530273,8.903861045837402,28440900.0
F,2012-03-08,12.550000190734863,12.319999694824219,9.063899993896484,37099100.0
F,2012-03-09,12.729999542236328,12.479999542236328,9.151189804077148,36159300.0
F,2012-03-12,12.59000015258789,12.369999885559082,9.042076110839844,30275700.0
F,2012-03-13,12.720000267028809,12.399999618530273,9.238481521606445,42783600.0
F,2012-03-14,12.899999618530273,12.630000114440918,9.369420051574707,47578500.0
F,2012-03-15,13.039999961853027,12.829999923706055,9.383970260620117,55286600.0
F,2012-03-16,12.899999618530273,12.510000228881836,9.100269317626953,77119600.0
F,2012-03-19,12.680000305175781,12.479999542236328,9.187559127807617,52445700.0
F,2012-03-20,12.609999656677246,12.390000343322754,9.122091293334961,40214400.0
