,,high,low,adjclose,volume
FB,2012-05-18,45.0,38.0,38.22999954223633,573576400.0
FB,2012-05-21,36.65999984741211,33.0,34.029998779296875,168192700.0
FB,2012-05-22,33.59000015258789,30.940000534057617,31.0,101786600.0
FB,2012-05-23,32.5,31.360000610351562,32.0,73600000.0
FB,2012-05-24,33.209999084472656,31.770000457763672,33.029998779296875,50237200.0
FB,2012-05-25,32.95000076293945,31.110000610351562,31.90999984741211,37149800.0
FB,2012-05-29,31.690000534057617,28.649999618530273,28.84000015258789,78063400.0
FB,2012-05-30,29.549999237060547,27.860000610351562,28.190000534057617,57267900.0
FB,2012-05-31,29.670000076293945,26.829999923706055,29.600000381469727,111639200.0
FB,2012-06-01,29.149999618530273,27.389999389648438,27.719999313354492,41855500.0
FB,2012-06-04,27.649999618530273,26.440000534057617,26.899999618530273,35230300.0
FB,2012-06-05,27.760000228881836,25.75,25.8700008392334,42473400.0
FB,2012-06-06,27.170000076293945,25.520000457763672,26.809999465942383,61489200.0
FB,2012-06-07,27.350000381469727,26.149999618530273,26.309999465942383,26159500.0
FB,2012-06-08,27.760000228881836,26.440000534057617,27.100000381469727,38034000.0
FB,2012-06-11,28.06999969482422,26.84000015258789,27.010000228881836,28219600.0
FB,2012-06-12,27.770000457763672,26.959999084472656,27.399999618530273,15816800.0
FB,2012-06-13,28.100000381469727,27.100000381469727,27.270000457763672,17102800.0
FB,2012-06-14,28.31999969482422,27.3799991607666,28.290000915527344,16855000.0
FB,2012-06-15,30.100000381469727,28.350000381469727,30.010000228881836,43563800.0
FB,2012-06-18,32.08000183105469,29.40999984741211,31.40999984741211,42978900.0
FB,2012-06-19,32.18000030517578,30.700000762939453,31.90999984741211,30849000.0
FB,2012-06-20,31.93000030517578,31.149999618530273,31.600000381469727,15553600.0
FB,2012-06-21,32.5,31.510000228881836,31.84000015258789,21875300.0
FB,2012-06-22,33.45000076293945,32.060001373291016,33.04999923706055,74834000.0
FB,2012-06-25,33.02000045776367,31.549999237060547,32.060001373291016,24352900.0
FB,2012-06-26,33.439998626708984,32.5,33.099998474121094,24858700.0
FB,2012-06-27,32.900001525878906,31.899999618530273,32.22999954223633,28568000.0
FB,2012-06-28,32.189998626708984,30.899999618530273,31.360000610351562,17713300.0
FB,2012-06-29,31.989999771118164,30.760000228881836,31.100000381469727,19526900.0
FB,2012-07-02,31.729999542236328,30.549999237060547,30.770000457763672,14122000.0
FB,2012-07-03,31.440000534057617,30.799999237060547,31.200000762939453,8763600.0
FB,2012-07-05,31.6299991607666,31.020000457763672,31.469999313354492,10032100.0
FB,2012-07-06,31.899999618530273,31.260000228881836,31.729999542236328,10945600.0
