,,high,low,adjclose,volume
FCNCA,2012-01-03,180.80999755859375,175.27999877929688,172.9217529296875,10900.0
FCNCA,2012-01-04,179.63999938964844,177.2899932861328,170.99278259277344,5700.0
FCNCA,2012-01-05,180.0,175.58999633789062,171.58111572265625,12400.0
FCNCA,2012-01-06,177.83999633789062,175.61000061035156,171.52330017089844,5300.0
FCNCA,2012-01-09,180.0,176.74000549316406,173.60658264160156,4300.0
FCNCA,2012-01-10,184.8699951171875,181.11000061035156,176.83758544921875,11700.0
FCNCA,2012-01-11,184.8699951171875,182.0399932861328,178.19747924804688,4400.0
FCNCA,2012-01-12,186.77000427246094,184.30999755859375,179.3837890625,11700.0
FCNCA,2012-01-13,185.0,183.16000366210938,176.77969360351562,6000.0
FCNCA,2012-01-17,184.8800048828125,180.30999755859375,174.65782165527344,12400.0
FCNCA,2012-01-18,183.52999877929688,178.0800018310547,176.47109985351562,4500.0
FCNCA,2012-01-19,183.08999633789062,178.64999389648438,173.00856018066406,11100.0
FCNCA,2012-01-20,182.47999572753906,177.5399932861328,175.4873046875,5100.0
FCNCA,2012-01-23,181.07000732421875,179.1699981689453,174.07916259765625,1800.0
FCNCA,2012-01-24,182.22999572753906,178.77000427246094,173.4619140625,5100.0
FCNCA,2012-01-25,180.72999572753906,178.58999633789062,173.2400665283203,8600.0
FCNCA,2012-01-26,180.1999969482422,175.6199951171875,169.52679443359375,5500.0
FCNCA,2012-01-27,178.16000366210938,175.00999450683594,170.63597106933594,5400.0
FCNCA,2012-01-30,178.39999389648438,175.6699981689453,170.0187225341797,3900.0
FCNCA,2012-01-31,178.0,174.5500030517578,170.52984619140625,10000.0
FCNCA,2012-02-01,180.49000549316406,174.9600067138672,174.07916259765625,6000.0
FCNCA,2012-02-02,180.27000427246094,178.22000122070312,172.9410400390625,7800.0
FCNCA,2012-02-03,185.0,179.67999267578125,178.27464294433594,15500.0
FCNCA,2012-02-06,184.94000244140625,176.88999938964844,177.86953735351562,6500.0
FCNCA,2012-02-07,184.92999267578125,183.0,176.49996948242188,6300.0
FCNCA,2012-02-08,183.86000061035156,180.92999267578125,174.63861083984375,10900.0
FCNCA,2012-02-09,181.83999633789062,179.0399932861328,172.68069458007812,4100.0
FCNCA,2012-02-10,180.02000427246094,176.9600067138672,173.3943328857422,14100.0
FCNCA,2012-02-13,181.85000610351562,179.94000244140625,174.9568634033203,7900.0
FCNCA,2012-02-14,180.5,179.22999572753906,173.02783203125,1200.0
FCNCA,2012-02-15,180.1199951171875,177.64999389648438,171.91873168945312,4100.0
FCNCA,2012-02-16,180.25,177.17999267578125,173.83804321289062,7300.0
FCNCA,2012-02-17,181.63999938964844,179.14999389648438,173.65475463867188,5600.0
FCNCA,2012-02-21,179.11000061035156,177.39999389648438,172.3527374267578,1700.0
