,,high,low,adjclose,volume
FCX,2012-01-03,39.7400016784668,38.119998931884766,32.21818542480469,18651200.0
FCX,2012-01-04,40.0,39.0,32.48734664916992,13634100.0
FCX,2012-01-05,39.75,38.939998626708984,32.0550537109375,13023200.0
FCX,2012-01-06,39.65999984741211,38.79999923706055,31.704326629638672,9554700.0
FCX,2012-01-09,39.33000183105469,38.790000915527344,31.84299087524414,8245500.0
FCX,2012-01-10,41.189998626708984,40.25,33.11539077758789,15895700.0
FCX,2012-01-11,41.90999984741211,40.040000915527344,34.182315826416016,17221000.0
FCX,2012-01-12,42.689998626708984,41.72999954223633,34.83887481689453,17618100.0
FCX,2012-01-13,42.34000015258789,41.5,34.469566345214844,14081900.0
FCX,2012-01-17,43.290000915527344,42.41999816894531,35.34770965576172,20403000.0
FCX,2012-01-18,44.689998626708984,42.81999969482422,36.49669647216797,25674300.0
FCX,2012-01-19,44.970001220703125,43.310001373291016,36.41462707519531,30009000.0
FCX,2012-01-20,44.34000015258789,42.88999938964844,35.37232208251953,20546600.0
FCX,2012-01-23,44.150001525878906,43.20000076293945,36.012481689453125,19142400.0
FCX,2012-01-24,44.060001373291016,43.02000045776367,36.08635711669922,14899900.0
FCX,2012-01-25,46.349998474121094,43.29999923706055,37.81804275512695,23757700.0
FCX,2012-01-26,48.959999084472656,46.16999816894531,38.16272735595703,30462300.0
FCX,2012-01-27,47.439998626708984,46.06999969482422,37.859066009521484,15510200.0
FCX,2012-01-30,46.2599983215332,45.08000183105469,37.83444595336914,14736400.0
FCX,2012-01-31,46.959999084472656,45.400001525878906,37.924713134765625,18633800.0
FCX,2012-02-01,46.959999084472656,46.09000015258789,37.88368606567383,17131100.0
FCX,2012-02-02,46.79999923706055,45.40999984741211,37.350223541259766,17256300.0
FCX,2012-02-03,46.70000076293945,45.810001373291016,38.14631271362305,16979100.0
FCX,2012-02-06,46.79999923706055,45.70000076293945,38.35149002075195,12693800.0
FCX,2012-02-07,46.5,45.45000076293945,37.54720687866211,15473200.0
FCX,2012-02-08,47.279998779296875,46.27000045776367,38.187347412109375,16542700.0
FCX,2012-02-09,47.25,46.02000045776367,38.097076416015625,14819700.0
FCX,2012-02-10,45.38999938964844,44.400001525878906,36.882423400878906,16386800.0
FCX,2012-02-13,45.54999923706055,44.45000076293945,36.65263366699219,12298700.0
FCX,2012-02-14,44.4900016784668,42.529998779296875,35.25743865966797,28728500.0
FCX,2012-02-15,43.29999923706055,41.95000076293945,34.79784393310547,25396700.0
FCX,2012-02-16,44.4900016784668,41.900001525878906,35.97964859008789,23704500.0
FCX,2012-02-17,44.13999938964844,42.65999984741211,35.32309341430664,17327200.0
FCX,2012-02-21,44.56999969482422,43.529998779296875,36.08635711669922,18395100.0
FCX,2012-02-22,44.52000045776367,43.709999084472656,36.20945358276367,13348600.0
FCX,2012-02-23,44.279998779296875,43.41999816894531,35.93041229248047,13372500.0
FCX,2012-02-24,44.7400016784668,43.79999923706055,36.037105560302734,13327300.0
FCX,2012-02-27,43.65999984741211,43.11000061035156,35.54468536376953,14341600.0
FCX,2012-02-28,44.0,43.310001373291016,35.83193588256836,14070800.0
FCX,2012-02-29,44.22999954223633,42.2599983215332,34.92914581298828,20212500.0
FCX,2012-03-01,43.470001220703125,42.5,35.21639633178711,15082400.0
FCX,2012-03-02,42.880001068115234,41.06999969482422,34.49418258666992,18133000.0
FCX,2012-03-05,41.2599983215332,39.959999084472656,33.197471618652344,29393200.0
FCX,2012-03-06,39.7400016784668,38.650001525878906,32.36854934692383,26602700.0
FCX,2012-03-07,39.63999938964844,38.529998779296875,31.999244689941406,22605800.0
FCX,2012-03-08,39.72999954223633,39.060001373291016,32.41780090332031,16682900.0
FCX,2012-03-09,40.11000061035156,38.650001525878906,31.8268985748291,27650700.0
FCX,2012-03-12,39.38999938964844,37.81999969482422,31.400123596191406,19575400.0
FCX,2012-03-13,39.369998931884766,38.45000076293945,32.08131408691406,22633400.0
FCX,2012-03-14,39.09000015258789,37.75,31.28523063659668,21397800.0
FCX,2012-03-15,38.810001373291016,38.220001220703125,31.473989486694336,19077300.0
FCX,2012-03-16,39.0,38.2599983215332,31.646347045898438,22687300.0
FCX,2012-03-19,39.939998626708984,38.310001373291016,32.12234115600586,16500800.0
FCX,2012-03-20,39.20000076293945,37.900001525878906,32.13055419921875,20492100.0
FCX,2012-03-21,40.189998626708984,39.08000183105469,32.66400909423828,23932800.0
FCX,2012-03-22,39.5,37.95000076293945,31.45758628845215,24719400.0
