,,high,low,adjclose,volume
FLO,2012-01-03,12.833333015441895,12.393333435058594,9.942492485046387,1146300.0
FLO,2012-01-04,12.58666706085205,12.34000015258789,9.969062805175781,2650800.0
FLO,2012-01-05,12.526666641235352,12.34000015258789,9.931864738464355,2108500.0
FLO,2012-01-06,12.566666603088379,12.373332977294922,9.868097305297852,1491900.0
FLO,2012-01-09,12.4399995803833,12.260000228881836,9.804327964782715,1063300.0
FLO,2012-01-10,12.613333702087402,12.353333473205566,9.963748931884766,1121100.0
FLO,2012-01-11,12.686666488647461,12.453332901000977,10.085972785949707,1045300.0
FLO,2012-01-12,12.866666793823242,12.680000305175781,10.213506698608398,1332700.0
FLO,2012-01-13,12.859999656677246,12.699999809265137,10.17630672454834,905700.0
FLO,2012-01-17,13.420000076293945,12.833333015441895,10.638627052307129,1990300.0
FLO,2012-01-18,13.373332977294922,13.286666870117188,10.633313179016113,691600.0
FLO,2012-01-19,13.58666706085205,13.333333015441895,10.771478652954102,967000.0
FLO,2012-01-20,13.486666679382324,13.279999732971191,10.617371559143066,858900.0
FLO,2012-01-23,13.380000114440918,13.220000267028809,10.558917045593262,721900.0
FLO,2012-01-24,13.279999732971191,13.180000305175781,10.527031898498535,918400.0
FLO,2012-01-25,13.34000015258789,13.173333168029785,10.542975425720215,800400.0
FLO,2012-01-26,13.420000076293945,13.186666488647461,10.649252891540527,1312600.0
FLO,2012-01-27,13.333333015441895,13.15333366394043,10.537660598754883,534900.0
FLO,2012-01-30,13.193333625793457,12.979999542236328,10.388871192932129,747000.0
FLO,2012-01-31,13.08666706085205,12.859999656677246,10.282588005065918,742300.0
FLO,2012-02-01,13.006667137145996,12.893333435058594,10.319787979125977,828400.0
FLO,2012-02-02,13.006667137145996,12.899999618530273,10.298530578613281,692400.0
FLO,2012-02-03,13.033333778381348,12.899999618530273,10.314471244812012,950400.0
FLO,2012-02-06,13.0600004196167,12.859999656677246,10.335729598999023,644200.0
FLO,2012-02-07,13.013333320617676,12.90666675567627,10.293217658996582,884500.0
FLO,2012-02-08,12.953332901000977,12.766666412353516,10.245389938354492,960000.0
FLO,2012-02-09,13.066666603088379,12.813333511352539,10.41543960571289,1011000.0
FLO,2012-02-10,12.813333511352539,12.333333015441895,10.04345989227295,2705800.0
FLO,2012-02-13,12.65999984741211,12.460000038146973,9.985004425048828,1408600.0
FLO,2012-02-14,12.520000457763672,12.399999618530273,9.974377632141113,747900.0
FLO,2012-02-15,12.65999984741211,12.493332862854004,10.04345989227295,750600.0
FLO,2012-02-16,12.720000267028809,12.526666641235352,10.117855072021484,673800.0
FLO,2012-02-17,12.74666690826416,12.613333702087402,10.07534122467041,957700.0
FLO,2012-02-21,12.893333435058594,12.633333206176758,10.20287799835205,889800.0
FLO,2012-02-22,12.819999694824219,12.673333168029785,10.20819091796875,611500.0
FLO,2012-02-23,13.039999961853027,12.806666374206543,10.351672172546387,971100.0
FLO,2012-02-24,13.020000457763672,12.853333473205566,10.346357345581055,492300.0
FLO,2012-02-27,13.006667137145996,12.833333015441895,10.32509994506836,635700.0
FLO,2012-02-28,13.0,12.84000015258789,10.261331558227539,828400.0
FLO,2012-02-29,12.933333396911621,12.733333587646484,10.170994758605957,1062300.0
FLO,2012-03-01,13.113333702087402,12.733333587646484,10.410127639770508,1826500.0
FLO,2012-03-02,13.046667098999023,12.853333473205566,10.346357345581055,1302900.0
FLO,2012-03-05,13.213333129882812,12.953332901000977,10.511090278625488,1249800.0
FLO,2012-03-06,13.186666488647461,13.0,10.394181251525879,1268500.0
FLO,2012-03-07,13.066666603088379,12.779999732971191,10.453088760375977,933600.0
FLO,2012-03-08,13.106666564941406,12.91333293914795,10.38882827758789,787200.0
FLO,2012-03-09,13.106666564941406,12.873332977294922,10.506641387939453,503200.0
FLO,2012-03-12,13.239999771118164,13.0600004196167,10.624452590942383,695200.0
FLO,2012-03-13,13.313333511352539,13.146666526794434,10.624452590942383,858400.0
FLO,2012-03-14,13.260000228881836,13.100000381469727,10.581612586975098,802300.0
FLO,2012-03-15,13.399999618530273,13.140000343322754,10.752974510192871,646200.0
FLO,2012-03-16,13.473333358764648,13.34000015258789,10.790457725524902,882000.0
FLO,2012-03-19,13.426666259765625,13.279999732971191,10.731549263000488,594300.0
FLO,2012-03-20,13.539999961853027,13.34666633605957,10.838653564453125,594100.0
FLO,2012-03-21,13.579999923706055,13.373332977294922,10.876138687133789,586200.0
FLO,2012-03-22,13.546667098999023,13.399999618530273,10.817231178283691,610900.0
FLO,2012-03-23,13.506667137145996,13.426666259765625,10.806523323059082,582300.0
FLO,2012-03-26,13.666666984558105,13.513333320617676,10.945757865905762,768400.0
FLO,2012-03-27,13.726666450500488,13.59333324432373,10.924336433410645,1369500.0
FLO,2012-03-28,13.613333702087402,13.393333435058594,10.806523323059082,2099400.0
FLO,2012-03-29,13.65333366394043,13.41333293914795,10.902915000915527,1792900.0
FLO,2012-03-30,13.706666946411133,13.579999923706055,10.908270835876465,908400.0
FLO,2012-04-02,13.833333015441895,13.533333778381348,11.052858352661133,1393500.0
FLO,2012-04-03,14.199999809265137,13.786666870117188,11.293834686279297,1783200.0
FLO,2012-04-04,14.0600004196167,13.9399995803833,11.24563980102539,1746000.0
FLO,2012-04-05,14.033333778381348,13.893333435058594,11.250993728637695,1174800.0
FLO,2012-04-09,14.020000457763672,13.833333015441895,11.24563980102539,768900.0
FLO,2012-04-10,14.006667137145996,13.699999809265137,11.063567161560059,1086900.0
FLO,2012-04-11,13.90666675567627,13.726666450500488,11.063567161560059,686100.0
FLO,2012-04-12,13.933333396911621,13.760000228881836,11.165314674377441,540700.0
FLO,2012-04-13,14.0,13.813333511352539,11.143889427185059,743400.0
FLO,2012-04-16,14.046667098999023,13.853333473205566,11.197444915771484,598500.0
FLO,2012-04-17,14.15999984741211,13.960000038146973,11.347386360168457,558700.0
FLO,2012-04-18,14.106666564941406,13.986666679382324,11.315254211425781,514600.0
FLO,2012-04-19,14.180000305175781,14.013333320617676,11.34203052520752,555400.0
FLO,2012-04-20,14.306666374206543,14.146666526794434,11.459840774536133,603700.0
FLO,2012-04-23,14.140000343322754,13.993332862854004,11.315254211425781,582300.0
FLO,2012-04-24,14.226666450500488,14.079999923706055,11.411645889282227,626100.0
FLO,2012-04-25,14.426666259765625,14.233333587646484,11.470551490783691,924900.0
FLO,2012-04-26,14.393333435058594,14.273333549499512,11.508037567138672,488400.0
FLO,2012-04-27,14.4399995803833,14.306666374206543,11.540167808532715,563200.0
FLO,2012-04-30,14.359999656677246,14.233333587646484,11.486616134643555,562900.0
FLO,2012-05-01,14.326666831970215,13.74666690826416,11.063567161560059,1781200.0
FLO,2012-05-02,13.75333309173584,13.619999885559082,10.993951797485352,805300.0
FLO,2012-05-03,13.720000267028809,13.186666488647461,10.603032112121582,1847700.0
FLO,2012-05-04,13.293333053588867,13.0,10.613739013671875,1023100.0
FLO,2012-05-07,13.286666870117188,13.15999984741211,10.635160446166992,433500.0
FLO,2012-05-08,13.293333053588867,13.133333206176758,10.672646522521973,632200.0
FLO,2012-05-09,13.326666831970215,13.119999885559082,10.62980842590332,556500.0
