,,high,low,adjclose,volume
FWONA,2017-11-02,36.91999816894531,36.16999816894531,36.380001068115234,161200.0
FWONA,2017-11-03,36.77000045776367,35.56999969482422,36.15999984741211,180400.0
FWONA,2017-11-06,37.119998931884766,36.02000045776367,36.91999816894531,78000.0
FWONA,2017-11-07,,,,
FWONA,2017-11-08,,,,
FWONA,2017-11-09,,,,
FWONA,2017-11-10,,,,
FWONA,2017-11-13,,,,
FWONA,2017-11-14,,,,
FWONA,2017-11-15,,,,
FWONA,2017-11-16,,,,
FWONA,2017-11-17,,,,
FWONA,2017-11-20,,,,
FWONA,2017-11-21,,,,
FWONA,2017-11-22,,,,
FWONA,2017-11-24,,,,
FWONA,2017-11-27,,,,
FWONA,2017-11-28,,,,
FWONA,2017-11-29,,,,
FWONA,2017-11-30,,,,
FWONA,2017-12-01,,,,
FWONA,2017-12-04,,,,
FWONA,2017-12-05,,,,
FWONA,2017-12-06,,,,
FWONA,2017-12-07,,,,
FWONA,2017-12-08,,,,
FWONA,2017-12-11,,,,
FWONA,2017-12-12,,,,
FWONA,2017-12-13,,,,
FWONA,2017-12-14,,,,
FWONA,2017-12-15,,,,
FWONA,2017-12-18,,,,
FWONA,2017-12-19,,,,
FWONA,2017-12-20,,,,
FWONA,2017-12-21,,,,
FWONA,2017-12-22,,,,
FWONA,2017-12-26,,,,
FWONA,2017-12-27,,,,
FWONA,2017-12-28,,,,
FWONA,2017-12-29,,,,
FWONA,2018-01-02,33.119998931884766,32.70000076293945,33.029998779296875,273600.0
FWONA,2018-01-03,33.380001068115234,32.369998931884766,32.560001373291016,216700.0
FWONA,2018-01-04,33.11000061035156,31.610000610351562,31.760000228881836,291800.0
FWONA,2018-01-05,32.439998626708984,31.610000610351562,32.40999984741211,242600.0
FWONA,2018-01-08,32.70000076293945,32.220001220703125,32.560001373291016,261300.0
FWONA,2018-01-09,32.86000061035156,32.099998474121094,32.11000061035156,234100.0
FWONA,2018-01-10,32.400001525878906,31.790000915527344,31.8799991607666,308900.0
FWONA,2018-01-11,33.630001068115234,31.93000030517578,32.56999969482422,291800.0
FWONA,2018-01-12,33.2400016784668,32.290000915527344,33.20000076293945,167700.0
FWONA,2018-01-16,33.68000030517578,33.099998474121094,33.22999954223633,176500.0
FWONA,2018-01-17,34.130001068115234,32.959999084472656,33.90999984741211,152900.0
FWONA,2018-01-18,34.279998779296875,33.5,34.0099983215332,193800.0
FWONA,2018-01-19,34.709999084472656,33.88999938964844,34.68000030517578,90500.0
FWONA,2018-01-22,35.540000915527344,34.02000045776367,35.45000076293945,153800.0
FWONA,2018-01-23,35.560001373291016,35.18000030517578,35.5,239700.0
FWONA,2018-01-24,36.619998931884766,35.58000183105469,36.13999938964844,322300.0
FWONA,2018-01-25,36.380001068115234,35.560001373291016,35.63999938964844,139900.0
FWONA,2018-01-26,35.95000076293945,35.45000076293945,35.650001525878906,127600.0
FWONA,2018-01-29,35.779998779296875,35.2400016784668,35.31999969482422,124100.0
FWONA,2018-01-30,36.61000061035156,35.65999984741211,36.029998779296875,137300.0
FWONA,2018-01-31,36.349998474121094,35.54999923706055,35.68000030517578,218700.0
FWONA,2018-02-01,36.61000061035156,35.689998626708984,36.540000915527344,490700.0
FWONA,2018-02-02,37.099998474121094,36.189998626708984,36.56999969482422,146500.0
FWONA,2018-02-05,36.31999969482422,34.959999084472656,35.220001220703125,350900.0
FWONA,2018-02-06,35.34000015258789,33.97999954223633,34.22999954223633,376000.0
FWONA,2018-02-07,34.709999084472656,33.77000045776367,33.93000030517578,213600.0
FWONA,2018-02-08,34.060001373291016,32.65999984741211,32.7400016784668,477300.0
FWONA,2018-02-09,33.08000183105469,30.65999984741211,32.029998779296875,436500.0
FWONA,2018-02-12,33.27000045776367,32.22999954223633,33.0,168800.0
FWONA,2018-02-13,33.63999938964844,32.540000915527344,32.560001373291016,220700.0
FWONA,2018-02-14,33.09000015258789,32.2599983215332,32.65999984741211,270300.0
FWONA,2018-02-15,33.16999816894531,32.41999816894531,32.83000183105469,158400.0
FWONA,2018-02-16,33.27000045776367,32.68000030517578,33.209999084472656,107000.0
FWONA,2018-02-20,33.619998931884766,33.0099983215332,33.54999923706055,143300.0
FWONA,2018-02-21,33.70000076293945,32.77000045776367,33.029998779296875,113300.0
FWONA,2018-02-22,33.38999938964844,32.7400016784668,32.880001068115234,200500.0
FWONA,2018-02-23,33.18000030517578,32.599998474121094,32.939998626708984,89000.0
FWONA,2018-02-26,33.27000045776367,32.900001525878906,33.16999816894531,254000.0
FWONA,2018-02-27,33.380001068115234,32.459999084472656,32.4900016784668,229700.0
FWONA,2018-02-28,32.689998626708984,31.530000686645508,31.56999969482422,344700.0
FWONA,2018-03-01,33.540000915527344,30.520000457763672,30.56999969482422,258700.0
FWONA,2018-03-02,31.520000457763672,29.860000610351562,31.489999771118164,266300.0
FWONA,2018-03-05,31.68000030517578,30.6299991607666,30.68000030517578,203000.0
FWONA,2018-03-06,31.100000381469727,30.3799991607666,30.920000076293945,294700.0
FWONA,2018-03-07,31.709999084472656,30.799999237060547,31.670000076293945,135000.0
