,,high,low,adjclose,volume
G,2012-01-03,15.239999771118164,14.630000114440918,12.608833312988281,915000.0
G,2012-01-04,14.75,14.449999809265137,12.411282539367676,609600.0
G,2012-01-05,14.680000305175781,14.239999771118164,12.55729866027832,1013300.0
G,2012-01-06,14.65999984741211,14.449999809265137,12.471405982971191,447100.0
G,2012-01-09,14.699999809265137,14.390000343322754,12.454228401184082,885800.0
G,2012-01-10,14.760000228881836,14.449999809265137,12.43704891204834,891900.0
G,2012-01-11,14.649999618530273,14.380000114440918,12.488585472106934,1314400.0
G,2012-01-12,14.899999618530273,14.539999961853027,12.522942543029785,1521800.0
G,2012-01-13,14.59000015258789,14.460000038146973,12.454228401184082,873300.0
G,2012-01-17,14.949999809265137,14.640000343322754,12.806384086608887,555900.0
G,2012-01-18,15.15999984741211,14.770000457763672,13.021109580993652,460900.0
G,2012-01-19,15.300000190734863,15.119999885559082,13.038288116455078,346700.0
G,2012-01-20,15.350000381469727,15.0,13.046876907348633,427800.0
G,2012-01-23,15.239999771118164,14.960000038146973,12.857918739318848,362900.0
G,2012-01-24,15.180000305175781,14.850000381469727,12.995342254638672,324800.0
G,2012-01-25,15.359999656677246,15.0,13.12417984008789,668300.0
G,2012-01-26,15.4399995803833,15.25,13.184304237365723,308800.0
G,2012-01-27,15.489999771118164,15.039999961853027,12.926630020141602,549900.0
G,2012-01-30,15.020000457763672,14.699999809265137,12.634600639343262,787600.0
G,2012-01-31,15.710000038146973,14.5600004196167,12.565886497497559,543700.0
G,2012-02-01,15.220000267028809,14.619999885559082,13.01252269744873,1046300.0
G,2012-02-02,15.470000267028809,15.180000305175781,13.038288116455078,359000.0
G,2012-02-03,15.680000305175781,15.050000190734863,13.441977500915527,542400.0
G,2012-02-06,15.630000114440918,15.350000381469727,13.399032592773438,1186600.0
G,2012-02-07,16.299999237060547,15.739999771118164,13.59658145904541,847400.0
G,2012-02-08,16.0,15.350000381469727,13.519279479980469,927300.0
G,2012-02-09,15.770000457763672,15.4399995803833,13.47633171081543,994800.0
G,2012-02-10,15.619999885559082,15.350000381469727,13.192893028259277,536000.0
G,2012-02-13,15.75,15.399999618530273,13.41621208190918,854400.0
G,2012-02-14,15.720000267028809,15.489999771118164,13.459155082702637,868600.0
G,2012-02-15,15.850000381469727,15.460000038146973,13.545047760009766,687900.0
G,2012-02-16,16.0,15.699999809265137,13.62234878540039,394400.0
G,2012-02-17,16.0,15.710000038146973,13.519279479980469,340100.0
G,2012-02-21,15.819999694824219,15.600000381469727,13.527868270874023,566600.0
G,2012-02-22,15.850000381469727,15.609999656677246,13.467743873596191,332600.0
G,2012-02-23,16.170000076293945,15.569999694824219,13.8886137008667,513400.0
G,2012-02-24,16.280000686645508,16.010000228881836,13.837079048156738,365700.0
G,2012-02-27,16.139999389648438,15.859999656677246,13.71683120727539,374000.0
G,2012-02-28,16.049999237060547,15.800000190734863,13.70824146270752,438000.0
G,2012-02-29,16.149999618530273,15.9399995803833,13.75977611541748,367800.0
G,2012-03-01,16.170000076293945,15.979999542236328,13.845666885375977,320300.0
G,2012-03-02,16.219999313354492,15.6899995803833,13.510690689086914,644700.0
G,2012-03-05,15.84000015258789,15.609999656677246,13.441977500915527,450000.0
G,2012-03-06,15.579999923706055,15.1899995803833,13.098413467407227,456600.0
G,2012-03-07,15.399999618530273,15.1899995803833,13.16712474822998,711000.0
G,2012-03-08,15.489999771118164,15.369999885559082,13.201481819152832,421000.0
G,2012-03-09,15.75,15.359999656677246,13.450566291809082,1083000.0
G,2012-03-12,15.800000190734863,15.619999885559082,13.527868270874023,516600.0
G,2012-03-13,16.0,15.760000228881836,13.71683120727539,528900.0
G,2012-03-14,15.989999771118164,15.760000228881836,13.639528274536133,603100.0
G,2012-03-15,16.1299991607666,15.75,13.819899559020996,343700.0
G,2012-03-16,16.15999984741211,15.899999618530273,13.691061973571777,349100.0
G,2012-03-19,16.0,15.720000267028809,13.519279479980469,967100.0
G,2012-03-20,15.779999732971191,15.399999618530273,13.253015518188477,471500.0
G,2012-03-21,15.640000343322754,15.460000038146973,13.381855010986328,348300.0
G,2012-03-22,15.649999618530273,15.4399995803833,13.330320358276367,646000.0
G,2012-03-23,15.899999618530273,15.579999923706055,13.553635597229004,982500.0
G,2012-03-26,16.1200008392334,15.859999656677246,13.819899559020996,761100.0
G,2012-03-27,16.799999237060547,15.979999542236328,14.232179641723633,1984200.0
G,2012-03-28,16.68000030517578,16.260000228881836,14.043216705322266,496400.0
G,2012-03-29,16.399999618530273,16.149999618530273,14.000267028808594,394900.0
G,2012-03-30,16.469999313354492,16.239999771118164,14.000267028808594,416800.0
G,2012-04-02,16.469999313354492,16.06999969482422,14.120516777038574,527600.0
G,2012-04-03,16.530000686645508,16.260000228881836,14.017448425292969,523000.0
G,2012-04-04,16.229999542236328,15.84000015258789,13.725418090820312,628200.0
G,2012-04-05,16.149999618530273,15.850000381469727,13.854254722595215,700500.0
G,2012-04-09,15.930000305175781,15.710000038146973,13.545047760009766,861600.0
G,2012-04-10,15.800000190734863,15.40999984741211,13.30455207824707,563000.0
G,2012-04-11,15.9399995803833,15.5,13.510690689086914,754600.0
G,2012-04-12,15.949999809265137,15.710000038146973,13.691061973571777,422600.0
G,2012-04-13,15.949999809265137,15.739999771118164,13.673883438110352,665800.0
G,2012-04-16,16.15999984741211,15.789999961853027,13.71683120727539,708100.0
G,2012-04-17,16.170000076293945,15.949999809265137,13.802720069885254,438000.0
G,2012-04-18,16.219999313354492,15.859999656677246,13.880024909973145,1008200.0
G,2012-04-19,16.3700008392334,16.010000228881836,13.8886137008667,533800.0
G,2012-04-20,16.34000015258789,16.010000228881836,14.000267028808594,1050900.0
G,2012-04-23,16.280000686645508,15.899999618530273,13.931558609008789,1084500.0
G,2012-04-24,16.450000762939453,16.110000610351562,13.905791282653809,373600.0
G,2012-04-25,16.6200008392334,16.329999923706055,14.043216705322266,578400.0
G,2012-04-26,16.6299991607666,16.280000686645508,14.103340148925781,523200.0
G,2012-04-27,16.700000762939453,16.350000381469727,14.266533851623535,401400.0
G,2012-04-30,16.799999237060547,16.549999237060547,14.326658248901367,656900.0
G,2012-05-01,16.899999618530273,16.559999465942383,14.403959274291992,919900.0
G,2012-05-02,17.020000457763672,15.970000267028809,14.180642127990723,1854600.0
G,2012-05-03,16.700000762939453,16.350000381469727,14.163463592529297,1161500.0
G,2012-05-04,16.649999618530273,16.3799991607666,14.189229965209961,687300.0
G,2012-05-07,16.6200008392334,16.25,13.983092308044434,737000.0
G,2012-05-08,16.489999771118164,15.899999618530273,13.819899559020996,572600.0
G,2012-05-09,16.1299991607666,15.8100004196167,13.77695369720459,306500.0
G,2012-05-10,16.329999923706055,16.030000686645508,13.991681098937988,459400.0
G,2012-05-11,16.520000457763672,16.1299991607666,14.146284103393555,619600.0
G,2012-05-14,16.3799991607666,16.170000076293945,14.034626960754395,585600.0
G,2012-05-15,16.469999313354492,16.299999237060547,14.137696266174316,553500.0
G,2012-05-16,16.579999923706055,16.3799991607666,14.129108428955078,697200.0
G,2012-05-17,16.5,16.309999465942383,14.060395240783691,929300.0
G,2012-05-18,16.520000457763672,16.170000076293945,14.051804542541504,777200.0
G,2012-05-21,16.5,16.209999084472656,13.96591567993164,604000.0
G,2012-05-22,16.770000457763672,15.920000076293945,14.257943153381348,531600.0
G,2012-05-23,16.5,16.139999389648438,14.09475326538086,432000.0
G,2012-05-24,16.450000762939453,16.219999313354492,13.983092308044434,279300.0
G,2012-05-25,16.360000610351562,16.190000534057617,13.95732593536377,262400.0
G,2012-05-29,16.459999084472656,16.239999771118164,13.991681098937988,434000.0
G,2012-05-30,16.229999542236328,15.920000076293945,13.682473182678223,851700.0
G,2012-05-31,15.989999771118164,15.59000015258789,13.390443801879883,442200.0
G,2012-06-01,15.479999542236328,15.289999961853027,13.141359329223633,715300.0
G,2012-06-04,15.460000038146973,14.960000038146973,12.89227294921875,911000.0
G,2012-06-05,15.079999923706055,14.899999618530273,12.89227294921875,737000.0
G,2012-06-06,15.289999961853027,14.960000038146973,13.12417984008789,579600.0
G,2012-06-07,15.529999732971191,15.039999961853027,12.926630020141602,312000.0
