,,high,low,adjclose,volume
GGG,2012-01-03,13.976666450500488,13.526666641235352,11.806644439697266,1164600.0
GGG,2012-01-04,13.883333206176758,13.626667022705078,11.812348365783691,839400.0
GGG,2012-01-05,13.966666221618652,13.5,11.86368179321289,850800.0
GGG,2012-01-06,13.826666831970215,13.399999618530273,11.481535911560059,1568400.0
GGG,2012-01-09,13.476666450500488,13.263333320617676,11.395980834960938,1376700.0
GGG,2012-01-10,13.563333511352539,13.443333625793457,11.535717964172363,1011000.0
GGG,2012-01-11,14.123332977294922,13.793333053588867,11.957793235778809,2128500.0
GGG,2012-01-12,14.039999961853027,13.833333015441895,12.019436836242676,1202400.0
GGG,2012-01-13,13.979999542236328,13.763333320617676,11.942023277282715,813600.0
GGG,2012-01-17,14.16333293914795,13.930000305175781,12.151331901550293,974100.0
GGG,2012-01-18,14.363333702087402,14.056666374206543,12.340566635131836,1386900.0
GGG,2012-01-19,14.703332901000977,14.423333168029785,12.644495964050293,1470300.0
GGG,2012-01-20,14.703332901000977,14.333333015441895,12.357773780822754,752100.0
GGG,2012-01-23,14.623332977294922,14.323333740234375,12.403647422790527,711900.0
GGG,2012-01-24,14.569999694824219,14.180000305175781,12.443790435791016,725100.0
GGG,2012-01-25,14.729999542236328,14.416666984558105,12.592886924743652,664200.0
GGG,2012-01-26,14.796667098999023,14.489999771118164,12.538407325744629,1046400.0
GGG,2012-01-27,14.646666526794434,14.436666488647461,12.558478355407715,882000.0
GGG,2012-01-30,14.920000076293945,14.363333702087402,12.684638023376465,1330200.0
GGG,2012-01-31,15.613333702087402,14.466666221618652,13.1835355758667,3500400.0
GGG,2012-02-01,16.170000076293945,15.453332901000977,13.871672630310059,3102900.0
GGG,2012-02-02,16.15999984741211,15.850000381469727,13.648026466369629,1720500.0
GGG,2012-02-03,16.360000610351562,16.0,14.029370307922363,1090800.0
GGG,2012-02-06,16.47333335876465,16.190000534057617,13.98636531829834,1257900.0
GGG,2012-02-07,16.30666732788086,16.09666633605957,13.9232816696167,1290600.0
GGG,2012-02-08,16.336666107177734,15.963333129882812,13.877406120300293,1144200.0
GGG,2012-02-09,16.219999313354492,15.946666717529297,13.937618255615234,930300.0
GGG,2012-02-10,16.226667404174805,15.8100004196167,13.95195198059082,1137000.0
GGG,2012-02-13,16.68666648864746,16.260000228881836,14.336162567138672,1098000.0
GGG,2012-02-14,16.610000610351562,16.386667251586914,14.273088455200195,633600.0
GGG,2012-02-15,16.66666603088379,16.206666946411133,14.009298324584961,772500.0
GGG,2012-02-16,16.6299991607666,16.196666717529297,14.290287017822266,664500.0
GGG,2012-02-17,16.670000076293945,16.40333366394043,14.192803382873535,549300.0
GGG,2012-02-21,16.753334045410156,16.53333282470703,14.390639305114746,989700.0
GGG,2012-02-22,16.809999465942383,16.586666107177734,14.344761848449707,743100.0
GGG,2012-02-23,17.09000015258789,16.530000686645508,14.651562690734863,1124700.0
GGG,2012-02-24,17.18000030517578,16.80666732788086,14.66876220703125,978900.0
GGG,2012-02-27,17.203332901000977,16.72333335876465,14.783453941345215,1754100.0
GGG,2012-02-28,17.226667404174805,16.983333587646484,14.746179580688477,985500.0
GGG,2012-02-29,17.336666107177734,16.976667404174805,14.674492835998535,1086000.0
GGG,2012-03-01,17.350000381469727,17.0766658782959,14.829324722290039,1085400.0
GGG,2012-03-02,17.316667556762695,16.959999084472656,14.680234909057617,976500.0
GGG,2012-03-05,17.049999237060547,16.790000915527344,14.49386215209961,729300.0
GGG,2012-03-06,16.72333335876465,16.24333381652832,14.037968635559082,691500.0
GGG,2012-03-07,16.53333282470703,16.303333282470703,14.12972354888916,702000.0
GGG,2012-03-08,16.84666633605957,16.53333282470703,14.359100341796875,932700.0
GGG,2012-03-09,17.123332977294922,16.726667404174805,14.66015911102295,579000.0
GGG,2012-03-12,17.126667022705078,16.950000762939453,14.703166007995605,495300.0
GGG,2012-03-13,17.393333435058594,17.0766658782959,14.961219787597656,875700.0
GGG,2012-03-14,17.33333396911621,17.126667022705078,14.823592185974121,569100.0
GGG,2012-03-15,17.433332443237305,17.196666717529297,14.932551383972168,757800.0
GGG,2012-03-16,17.56333351135254,17.309999465942383,15.032903671264648,1122300.0
GGG,2012-03-19,17.56333351135254,17.343334197998047,15.075904846191406,775200.0
GGG,2012-03-20,17.373332977294922,17.10333251953125,14.846531867980957,425100.0
GGG,2012-03-21,17.299999237060547,17.066667556762695,14.843663215637207,557100.0
GGG,2012-03-22,17.0766658782959,16.6200008392334,14.56840991973877,619200.0
GGG,2012-03-23,17.0766658782959,16.746665954589844,14.622885704040527,383400.0
GGG,2012-03-26,17.343334197998047,17.156665802001953,14.89527702331543,560100.0
GGG,2012-03-27,17.69333267211914,17.266666412353516,15.144721984863281,1226400.0
GGG,2012-03-28,17.656665802001953,17.263334274291992,15.007099151611328,907500.0
GGG,2012-03-29,17.5,17.239999771118164,15.009964942932129,467400.0
GGG,2012-03-30,17.75,17.446666717529297,15.213539123535156,1067400.0
GGG,2012-04-02,17.97333335876465,17.44333267211914,15.242205619812012,1226400.0
GGG,2012-04-03,18.010000228881836,17.68666648864746,15.488789558410645,1418100.0
GGG,2012-04-04,18.030000686645508,17.786666870117188,15.503129959106445,1306200.0
GGG,2012-04-05,18.113332748413086,17.913333892822266,15.5318021774292,1462800.0
GGG,2012-04-09,17.889999389648438,17.559999465942383,15.351160049438477,1698000.0
GGG,2012-04-10,17.823333740234375,17.010000228881836,14.763379096984863,1396200.0
GGG,2012-04-11,17.46666717529297,17.25666618347168,14.955486297607422,837000.0
GGG,2012-04-12,17.763334274291992,17.263334274291992,15.285207748413086,1100400.0
GGG,2012-04-13,17.690000534057617,17.450000762939453,15.224735260009766,1130100.0
GGG,2012-04-16,18.286666870117188,17.606666564941406,15.731552124023438,1793100.0
GGG,2012-04-17,18.746665954589844,18.233333587646484,16.126062393188477,1767000.0
GGG,2012-04-18,18.733333587646484,18.46666717529297,16.12894630432129,2480400.0
GGG,2012-04-19,18.886667251586914,18.253334045410156,15.820820808410645,1451700.0
GGG,2012-04-20,18.613332748413086,18.399999618530273,15.904333114624023,1085100.0
GGG,2012-04-23,18.09666633605957,17.836666107177734,15.573173522949219,1536300.0
GGG,2012-04-24,18.479999542236328,18.08333396911621,15.80353832244873,1371600.0
GGG,2012-04-25,18.763334274291992,18.25,16.111656188964844,1306200.0
GGG,2012-04-26,17.649999618530273,16.606666564941406,14.96844482421875,4400100.0
GGG,2012-04-27,18.020000457763672,17.3700008392334,15.492541313171387,1871700.0
GGG,2012-04-30,17.963333129882812,17.709999084472656,15.351436614990234,2397600.0
GGG,2012-05-01,18.053333282470703,17.549999237060547,15.391749382019043,1599600.0
GGG,2012-05-02,18.040000915527344,17.540000915527344,15.463740348815918,1008600.0
GGG,2012-05-03,17.989999771118164,17.713333129882812,15.319761276245117,1594800.0
GGG,2012-05-04,17.803333282470703,17.316667556762695,15.074993133544922,1477200.0
GGG,2012-05-07,17.496665954589844,17.239999771118164,15.063468933105469,902400.0
GGG,2012-05-08,17.546667098999023,17.046667098999023,15.109550476074219,1412100.0
GGG,2012-05-09,17.483333587646484,17.126667022705078,14.942527770996094,1061700.0
GGG,2012-05-10,17.55666732788086,17.260000228881836,15.017396926879883,540000.0
GGG,2012-05-11,17.733333587646484,17.18666648864746,15.109550476074219,992700.0
GGG,2012-05-14,17.290000915527344,16.84666633605957,14.579692840576172,1342800.0
GGG,2012-05-15,17.02666664123535,16.690000534057617,14.536497116088867,699000.0
GGG,2012-05-16,17.016666412353516,16.799999237060547,14.548017501831055,928800.0
GGG,2012-05-17,16.8266658782959,16.3266658782959,14.150620460510254,1608600.0
GGG,2012-05-18,16.56999969482422,16.273332595825195,14.130463600158691,1074900.0
GGG,2012-05-21,16.75666618347168,16.293333053588867,14.441471099853516,960000.0
GGG,2012-05-22,16.976667404174805,16.59000015258789,14.450106620788574,1373100.0
GGG,2012-05-23,16.940000534057617,16.373332977294922,14.548017501831055,1029000.0
GGG,2012-05-24,17.10333251953125,16.786666870117188,14.683357238769531,1257000.0
GGG,2012-05-25,17.156665802001953,16.953332901000977,14.729429244995117,711900.0
GGG,2012-05-29,17.453332901000977,17.113332748413086,14.899330139160156,883200.0
GGG,2012-05-30,17.08333396911621,16.89666748046875,14.70639419555664,728100.0
GGG,2012-05-31,16.983333587646484,16.010000228881836,13.871296882629395,3024300.0
GGG,2012-06-01,15.683333396911621,15.306666374206543,13.410552024841309,2494800.0
GGG,2012-06-04,15.633333206176758,15.323333740234375,13.361597061157227,1905900.0
GGG,2012-06-05,15.603333473205566,15.270000457763672,13.442227363586426,1083300.0
GGG,2012-06-06,16.043333053588867,15.640000343322754,13.810823440551758,1164600.0
GGG,2012-06-07,16.43000030517578,16.09666633605957,13.951925277709961,1078500.0
GGG,2012-06-08,16.293333053588867,15.880000114440918,14.049834251403809,1083600.0
GGG,2012-06-11,16.463333129882812,15.833333015441895,13.689878463745117,837000.0
GGG,2012-06-12,16.15333366394043,15.733333587646484,13.923130989074707,716700.0
GGG,2012-06-13,16.10333251953125,15.420000076293945,13.390392303466797,1608000.0
GGG,2012-06-14,15.670000076293945,15.273333549499512,13.390392303466797,1376400.0
GGG,2012-06-15,15.686666488647461,15.523333549499512,13.531496047973633,1260000.0
GGG,2012-06-18,15.819999694824219,15.533333778381348,13.609248161315918,951300.0
GGG,2012-06-19,16.16666603088379,15.74666690826416,13.7705078125,825900.0
GGG,2012-06-20,15.963333129882812,15.696666717529297,13.649560928344727,562800.0
GGG,2012-06-21,15.793333053588867,15.119999885559082,13.171539306640625,1468200.0
GGG,2012-06-22,15.319999694824219,14.883333206176758,13.030433654785156,1527900.0
GGG,2012-06-25,14.90999984741211,14.696666717529297,12.71943187713623,683700.0
GGG,2012-06-26,14.816666603088379,14.523333549499512,12.72231388092041,614400.0
GGG,2012-06-27,14.936666488647461,14.696666717529297,12.768388748168945,820500.0
GGG,2012-06-28,14.763333320617676,14.396666526794434,12.575451850891113,1702500.0
GGG,2012-06-29,15.399999618530273,14.739999771118164,13.269444465637207,2680800.0
GGG,2012-07-02,15.426666259765625,14.993332862854004,13.088027954101562,1273500.0
GGG,2012-07-03,15.436666488647461,15.046667098999023,13.33568000793457,365700.0
GGG,2012-07-05,15.706666946411133,15.34333324432373,13.430706024169922,742200.0
GGG,2012-07-06,15.386666297912598,14.986666679382324,12.95556354522705,1026300.0
GGG,2012-07-09,15.043333053588867,14.869999885559082,12.915246963500977,771900.0
GGG,2012-07-10,15.036666870117188,14.533333778381348,12.661839485168457,864300.0
GGG,2012-07-11,14.686666488647461,14.333333015441895,12.517860412597656,819000.0
GGG,2012-07-12,14.376667022705078,14.046667098999023,12.391940116882324,709500.0
GGG,2012-07-13,14.583333015441895,14.306666374206543,12.629300117492676,654600.0
GGG,2012-07-16,14.486666679382324,14.123332977294922,12.487464904785156,544800.0
GGG,2012-07-17,14.529999732971191,14.233333587646484,12.57140827178955,526800.0
GGG,2012-07-18,14.829999923706055,14.420000076293945,12.672720909118652,946200.0
GGG,2012-07-19,14.8100004196167,14.5600004196167,12.78271770477295,1146900.0
GGG,2012-07-20,14.666666984558105,14.443333625793457,12.655354499816895,1185300.0
GGG,2012-07-23,14.666666984558105,14.199999809265137,12.681407928466797,760500.0
GGG,2012-07-24,14.616666793823242,13.923333168029785,12.221159934997559,1177800.0
GGG,2012-07-25,14.260000228881836,13.933333396911621,12.267472267150879,844500.0
GGG,2012-07-26,15.416666984558105,13.696666717529297,12.449833869934082,1456200.0
GGG,2012-07-27,15.306666374206543,14.239999771118164,13.179283142089844,1248300.0
GGG,2012-07-30,15.383333206176758,15.0600004196167,13.190860748291016,987900.0
GGG,2012-07-31,15.350000381469727,15.069999694824219,13.280594825744629,1090800.0
GGG,2012-08-01,15.569999694824219,15.133333206176758,13.269014358520508,1399200.0
GGG,2012-08-02,15.236666679382324,14.99666690826416,13.13875961303711,1597500.0
GGG,2012-08-03,15.676666259765625,15.25333309173584,13.558481216430664,443700.0
GGG,2012-08-06,15.883333206176758,15.59000015258789,13.735052108764648,602100.0
GGG,2012-08-07,16.209999084472656,15.84333324432373,14.0476713180542,750300.0
GGG,2012-08-08,16.263334274291992,15.863333702087402,14.091094017028809,794400.0
GGG,2012-08-09,16.33333396911621,16.15333366394043,14.105566024780273,765300.0
GGG,2012-08-10,16.94333267211914,16.446666717529297,14.55712890625,1745700.0
GGG,2012-08-13,16.709999084472656,16.356666564941406,14.348713874816895,1215000.0
GGG,2012-08-14,16.68000030517578,16.25666618347168,14.177931785583496,854400.0
GGG,2012-08-15,16.5,16.273332595825195,14.302403450012207,706500.0
GGG,2012-08-16,16.68666648864746,16.426666259765625,14.467392921447754,627000.0
GGG,2012-08-17,16.90999984741211,16.683332443237305,14.583181381225586,702300.0
GGG,2012-08-20,16.773332595825195,16.503334045410156,14.429768562316895,418800.0
GGG,2012-08-21,16.799999237060547,16.520000457763672,14.522396087646484,908400.0
GGG,2012-08-22,16.850000381469727,16.516666412353516,14.55712890625,659700.0
GGG,2012-08-23,16.899999618530273,16.6299991607666,14.516606330871582,770400.0
GGG,2012-08-24,16.713333129882812,16.489999771118164,14.44423770904541,498000.0
GGG,2012-08-27,16.71666717529297,16.463333129882812,14.3400297164917,572400.0
GGG,2012-08-28,16.6733341217041,16.50666618347168,14.357402801513672,732000.0
GGG,2012-08-29,16.623332977294922,16.3700008392334,14.374767303466797,482700.0
GGG,2012-08-30,16.50666618347168,16.28333282470703,14.180828094482422,429600.0
GGG,2012-08-31,16.586666107177734,16.219999313354492,14.299504280090332,657300.0
GGG,2012-09-04,16.866666793823242,16.22333335876465,14.591863632202148,727200.0
GGG,2012-09-05,16.886667251586914,16.600000381469727,14.539763450622559,1030200.0
GGG,2012-09-06,17.226667404174805,16.866666793823242,14.947903633117676,780900.0
GGG,2012-09-07,17.536666870117188,17.209999084472656,15.014481544494629,483900.0
GGG,2012-09-10,17.343334197998047,17.139999389648438,14.895803451538086,258900.0
GGG,2012-09-11,17.329999923706055,17.0,14.9102783203125,505800.0
GGG,2012-09-12,17.290000915527344,17.040000915527344,14.861064910888672,807600.0
GGG,2012-09-13,17.27666664123535,16.856666564941406,14.976851463317871,594600.0
GGG,2012-09-14,17.513334274291992,17.263334274291992,15.199737548828125,699600.0
GGG,2012-09-17,17.456666946411133,17.25666618347168,15.153426170349121,745200.0
GGG,2012-09-18,17.56333351135254,17.366666793823242,15.101324081420898,1018200.0
GGG,2012-09-19,17.489999771118164,17.176666259765625,15.02316665649414,891300.0
GGG,2012-09-20,17.203332901000977,16.983333587646484,14.829225540161133,711000.0
GGG,2012-09-21,17.463333129882812,16.963333129882812,14.748173713684082,1547400.0
GGG,2012-09-24,17.100000381469727,16.83333396911621,14.817648887634277,643500.0
GGG,2012-09-25,17.170000076293945,16.726667404174805,14.548446655273438,629700.0
GGG,2012-09-26,16.75,16.356666564941406,14.345823287963867,699000.0
GGG,2012-09-27,16.78333282470703,16.41666603088379,14.551335334777832,750900.0
GGG,2012-09-28,16.8266658782959,16.56999969482422,14.554237365722656,578100.0
GGG,2012-10-01,16.80666732788086,16.31999969482422,14.26766586303711,1684800.0
GGG,2012-10-02,16.68000030517578,16.40999984741211,14.31397819519043,624600.0
GGG,2012-10-03,16.56333351135254,16.263334274291992,14.172141075134277,1042800.0
GGG,2012-10-04,16.520000457763672,16.273332595825195,14.258983612060547,1141800.0
GGG,2012-10-05,16.81999969482422,16.43000030517578,14.31397819519043,1514700.0
GGG,2012-10-08,16.426666259765625,16.27666664123535,14.221354484558105,869100.0
GGG,2012-10-09,16.44333267211914,16.016666412353516,13.934783935546875,722400.0
GGG,2012-10-10,16.06999969482422,15.84333324432373,13.79005241394043,648300.0
GGG,2012-10-11,16.040000915527344,15.883333206176758,13.804524421691895,456300.0
GGG,2012-10-12,16.136667251586914,15.726666450500488,13.697422981262207,425400.0
GGG,2012-10-15,15.886666297912598,15.706666946411133,13.775578498840332,393000.0
GGG,2012-10-16,16.176666259765625,15.880000114440918,14.0476713180542,893400.0
GGG,2012-10-17,16.540000915527344,16.16666603088379,14.302403450012207,1106400.0
GGG,2012-10-18,16.386667251586914,16.209999084472656,14.216618537902832,478500.0
GGG,2012-10-19,16.203332901000977,15.930000305175781,13.946187019348145,442500.0
GGG,2012-10-22,16.05666732788086,15.833333015441895,13.87058162689209,639900.0
GGG,2012-10-23,15.829999923706055,15.619999885559082,13.792071342468262,598800.0
GGG,2012-10-24,15.923333168029785,15.543333053588867,13.678661346435547,686100.0
GGG,2012-10-25,15.673333168029785,14.970000267028809,13.640861511230469,2254200.0
GGG,2012-10-26,15.786666870117188,15.529999732971191,13.728094100952148,821700.0
GGG,2012-10-31,16.05666732788086,15.576666831970215,13.975266456604004,786300.0
GGG,2012-11-01,16.636667251586914,16.049999237060547,14.391091346740723,960300.0
GGG,2012-11-02,16.746665954589844,16.293333053588867,14.222433090209961,596700.0
