,,high,low,adjclose,volume
GLW,2012-01-03,13.420000076293945,13.0,10.894488334655762,17778100.0
GLW,2012-01-04,13.25,13.010000228881836,11.003097534179688,10831500.0
GLW,2012-01-05,13.319999694824219,13.020000457763672,11.095001220703125,10257500.0
GLW,2012-01-06,13.65999984741211,13.239999771118164,11.295512199401855,16388100.0
GLW,2012-01-09,13.789999961853027,13.5,11.479315757751465,14144100.0
GLW,2012-01-10,14.050000190734863,13.770000457763672,11.688180923461914,16893200.0
GLW,2012-01-11,14.380000114440918,13.949999809265137,11.963886260986328,17098500.0
GLW,2012-01-12,14.460000038146973,14.010000228881836,11.863628387451172,16015000.0
GLW,2012-01-13,14.130000114440918,13.880000114440918,11.696539878845215,18491200.0
GLW,2012-01-17,14.350000381469727,14.0600004196167,11.821855545043945,12372000.0
GLW,2012-01-18,14.420000076293945,14.09000015258789,11.930468559265137,17593600.0
GLW,2012-01-19,14.59000015258789,14.279999732971191,12.072497367858887,17409000.0
GLW,2012-01-20,14.529999732971191,14.289999961853027,12.047432899475098,16916400.0
GLW,2012-01-23,14.550000190734863,14.069999694824219,12.005661964416504,21393600.0
GLW,2012-01-24,14.619999885559082,14.15999984741211,12.21452522277832,18913600.0
GLW,2012-01-25,13.640000343322754,13.039999961853027,10.90284252166748,60611200.0
GLW,2012-01-26,13.09000015258789,12.579999923706055,10.585365295410156,47477800.0
GLW,2012-01-27,12.699999809265137,12.520000457763672,10.543593406677246,22348800.0
GLW,2012-01-30,12.65999984741211,12.529999732971191,10.535235404968262,22492200.0
GLW,2012-01-31,12.880000114440918,12.619999885559082,10.752460479736328,27149700.0
GLW,2012-02-01,13.09000015258789,12.869999885559082,10.7775239944458,24675300.0
GLW,2012-02-02,13.069999694824219,12.930000305175781,10.810941696166992,18139100.0
GLW,2012-02-03,13.630000114440918,13.0600004196167,11.345640182495117,30629200.0
GLW,2012-02-06,13.829999923706055,13.460000038146973,11.47096061706543,29663700.0
GLW,2012-02-07,13.8100004196167,13.609999656677246,11.487672805786133,21263200.0
GLW,2012-02-08,13.930000305175781,13.699999809265137,11.487672805786133,17441000.0
GLW,2012-02-09,13.850000381469727,13.640000343322754,11.521088600158691,23434300.0
GLW,2012-02-10,13.819999694824219,13.579999923706055,11.362346649169922,17184500.0
GLW,2012-02-13,13.779999732971191,13.5600004196167,11.420831680297852,22374300.0
GLW,2012-02-14,13.6899995803833,13.329999923706055,11.262091636657715,21149700.0
GLW,2012-02-15,13.680000305175781,13.460000038146973,11.295512199401855,16279800.0
GLW,2012-02-16,13.899999618530273,13.489999771118164,11.537796020507812,15168000.0
GLW,2012-02-17,13.970000267028809,13.649999618530273,11.562864303588867,13422000.0
GLW,2012-02-21,14.0,13.739999771118164,11.504379272460938,15692800.0
GLW,2012-02-22,13.720000267028809,13.520000457763672,11.328929901123047,12342300.0
GLW,2012-02-23,13.609999656677246,13.130000114440918,11.345640182495117,17960600.0
GLW,2012-02-24,13.869999885559082,13.600000381469727,11.487672805786133,10233500.0
GLW,2012-02-27,13.65999984741211,13.449999809265137,11.357461929321289,14855600.0
GLW,2012-02-28,13.670000076293945,13.300000190734863,11.206254959106445,20691700.0
GLW,2012-02-29,13.369999885559082,13.020000457763672,10.954237937927246,27308000.0
GLW,2012-03-01,13.100000381469727,12.890000343322754,10.895437240600586,26123700.0
GLW,2012-03-02,13.0600004196167,12.949999809265137,10.912237167358398,23952500.0
