,,high,low,adjclose,volume
GWR,2012-01-03,63.27000045776367,61.349998474121094,61.47999954223633,315800.0
GWR,2012-01-04,61.68000030517578,60.52000045776367,61.5,267600.0
GWR,2012-01-05,62.029998779296875,60.7400016784668,61.869998931884766,269100.0
GWR,2012-01-06,62.5099983215332,61.40999984741211,61.5099983215332,153600.0
GWR,2012-01-09,62.439998626708984,61.380001068115234,62.31999969482422,115900.0
GWR,2012-01-10,64.23999786376953,62.91999816894531,63.099998474121094,249700.0
GWR,2012-01-11,63.529998779296875,62.4900016784668,63.150001525878906,165400.0
GWR,2012-01-12,63.25,62.150001525878906,62.689998626708984,193700.0
GWR,2012-01-13,61.86000061035156,60.869998931884766,61.43000030517578,250000.0
GWR,2012-01-17,62.22999954223633,59.81999969482422,60.220001220703125,398400.0
GWR,2012-01-18,61.060001373291016,59.619998931884766,60.970001220703125,238200.0
GWR,2012-01-19,62.93000030517578,61.209999084472656,62.40999984741211,162600.0
GWR,2012-01-20,62.63999938964844,61.470001220703125,62.29999923706055,191400.0
GWR,2012-01-23,62.86000061035156,61.41999816894531,62.22999954223633,155200.0
GWR,2012-01-24,61.869998931884766,60.880001068115234,61.77000045776367,289000.0
GWR,2012-01-25,63.06999969482422,61.459999084472656,62.5,172500.0
GWR,2012-01-26,62.849998474121094,62.040000915527344,62.16999816894531,232500.0
GWR,2012-01-27,62.9900016784668,61.97999954223633,62.790000915527344,187200.0
GWR,2012-01-30,62.81999969482422,61.75,62.36000061035156,254600.0
GWR,2012-01-31,63.150001525878906,61.7599983215332,62.099998474121094,183000.0
GWR,2012-02-01,63.900001525878906,62.68000030517578,63.400001525878906,261500.0
GWR,2012-02-02,64.83000183105469,63.40999984741211,64.72000122070312,418500.0
GWR,2012-02-03,66.83000183105469,65.5,66.08999633789062,306300.0
GWR,2012-02-06,65.80999755859375,64.6500015258789,64.7300033569336,181800.0
GWR,2012-02-07,64.75,63.560001373291016,63.869998931884766,454300.0
GWR,2012-02-08,64.5,59.150001525878906,61.029998779296875,1158900.0
GWR,2012-02-09,61.040000915527344,60.11000061035156,60.560001373291016,298400.0
GWR,2012-02-10,60.68000030517578,59.5,60.02000045776367,324500.0
GWR,2012-02-13,60.849998474121094,57.5,57.75,756900.0
GWR,2012-02-14,59.099998474121094,57.459999084472656,59.0,479600.0
GWR,2012-02-15,59.650001525878906,57.75,58.06999969482422,369900.0
GWR,2012-02-16,59.040000915527344,57.529998779296875,58.97999954223633,411400.0
GWR,2012-02-17,61.5,58.7599983215332,61.119998931884766,751800.0
GWR,2012-02-21,61.06999969482422,59.33000183105469,59.4900016784668,450400.0
