,,high,low,adjclose,volume
H,2012-01-03,38.689998626708984,38.22999954223633,37.9295539855957,230900.0
H,2012-01-04,38.459999084472656,37.70000076293945,37.34709167480469,218200.0
H,2012-01-05,38.70000076293945,36.95000076293945,38.117130279541016,352400.0
H,2012-01-06,38.95000076293945,37.790000915527344,38.26521682739258,211200.0
H,2012-01-09,39.47999954223633,38.70000076293945,38.68972396850586,278700.0
H,2012-01-10,40.93000030517578,39.650001525878906,39.242584228515625,259300.0
H,2012-01-11,39.59000015258789,38.810001373291016,39.064876556396484,235500.0
H,2012-01-12,39.95000076293945,39.09000015258789,39.0155143737793,231200.0
H,2012-01-13,39.459999084472656,38.84000015258789,38.610748291015625,123800.0
H,2012-01-17,39.959999084472656,39.060001373291016,38.57126235961914,179500.0
H,2012-01-18,39.720001220703125,39.0,39.183345794677734,98800.0
H,2012-01-19,40.189998626708984,39.7599983215332,39.61772918701172,203100.0
H,2012-01-20,40.439998626708984,39.83000183105469,39.83491516113281,148600.0
H,2012-01-23,41.040000915527344,40.18000030517578,40.32853317260742,315500.0
H,2012-01-24,40.970001220703125,40.310001373291016,40.28904724121094,378400.0
H,2012-01-25,41.04999923706055,40.290000915527344,40.4272575378418,212800.0
H,2012-01-26,41.41999816894531,40.790000915527344,40.772789001464844,555600.0
H,2012-01-27,42.400001525878906,40.90999984741211,41.42436599731445,915700.0
H,2012-01-30,42.150001525878906,41.040000915527344,41.42436599731445,202100.0
H,2012-01-31,42.70000076293945,41.72999954223633,42.07594680786133,576600.0
H,2012-02-01,43.459999084472656,42.720001220703125,42.401729583740234,654000.0
H,2012-02-02,43.029998779296875,42.0,42.29313278198242,969900.0
H,2012-02-03,44.36000061035156,43.13999938964844,43.537052154541016,605200.0
H,2012-02-06,44.099998474121094,43.52000045776367,42.97433090209961,369100.0
H,2012-02-07,43.63999938964844,42.40999984741211,42.64854431152344,268600.0
H,2012-02-08,43.560001373291016,43.150001525878906,42.71764373779297,242900.0
H,2012-02-09,43.47999954223633,42.689998626708984,42.19441604614258,368700.0
H,2012-02-10,43.0099983215332,42.099998474121094,42.46096420288086,260100.0
H,2012-02-13,43.599998474121094,43.15999984741211,42.99407196044922,209200.0
H,2012-02-14,43.41999816894531,42.84000015258789,42.757137298583984,339700.0
H,2012-02-15,43.5099983215332,42.43000030517578,42.29313278198242,306800.0
H,2012-02-16,44.4900016784668,42.630001068115234,42.29313278198242,408800.0
H,2012-02-17,43.43000030517578,42.72999954223633,42.401729583740234,339800.0
H,2012-02-21,43.09000015258789,41.90999984741211,41.710662841796875,423200.0
H,2012-02-22,42.2599983215332,41.40999984741211,40.97024154663086,196800.0
H,2012-02-23,42.08000183105469,41.18000030517578,41.49347686767578,220900.0
H,2012-02-24,42.650001525878906,41.95000076293945,41.56257629394531,221400.0
H,2012-02-27,42.369998931884766,41.650001525878906,41.35526657104492,187500.0
H,2012-02-28,42.27000045776367,41.77000045776367,41.32564926147461,169600.0
H,2012-02-29,42.25,41.400001525878906,40.88139343261719,186100.0
H,2012-03-01,41.83000183105469,41.220001220703125,41.03934860229492,216000.0
H,2012-03-02,41.70000076293945,40.79999923706055,40.358158111572266,144400.0
H,2012-03-05,41.099998474121094,40.650001525878906,40.377906799316406,172100.0
H,2012-03-06,40.72999954223633,39.79999923706055,39.37092208862305,221200.0
H,2012-03-07,40.810001373291016,39.86000061035156,40.180458068847656,215300.0
H,2012-03-08,41.22999954223633,40.36000061035156,40.21994400024414,220000.0
H,2012-03-09,41.720001220703125,40.63999938964844,40.575347900390625,517600.0
H,2012-03-12,41.349998474121094,40.560001373291016,40.21006774902344,162300.0
H,2012-03-13,42.13999938964844,40.83000183105469,41.60206985473633,262300.0
H,2012-03-14,41.2400016784668,39.95000076293945,39.538753509521484,3950500.0
H,2012-03-15,40.70000076293945,39.939998626708984,40.1310920715332,900900.0
H,2012-03-16,41.45000076293945,40.47999954223633,40.76292419433594,786700.0
H,2012-03-19,41.4900016784668,41.09000015258789,40.772789001464844,770100.0
H,2012-03-20,41.34000015258789,40.59000015258789,40.52598571777344,538900.0
H,2012-03-21,42.04999923706055,41.09000015258789,41.17755889892578,1092600.0
H,2012-03-22,41.7400016784668,41.0,40.79253387451172,307500.0
H,2012-03-23,41.77000045776367,41.040000915527344,41.147945404052734,433100.0
H,2012-03-26,42.18000030517578,41.61000061035156,41.167686462402344,1002300.0
H,2012-03-27,43.060001373291016,41.90999984741211,42.45109558105469,1265100.0
H,2012-03-28,43.16999816894531,42.380001068115234,42.283267974853516,788200.0
H,2012-03-29,42.630001068115234,41.7599983215332,41.79951477050781,493500.0
H,2012-03-30,42.869998931884766,42.09000015258789,42.1746711730957,544900.0
H,2012-04-02,43.02000045776367,42.33000183105469,42.2536506652832,510100.0
H,2012-04-03,42.88999938964844,42.25,41.97721862792969,427500.0
H,2012-04-04,42.15999984741211,41.439998626708984,41.128196716308594,454000.0
H,2012-04-05,41.91999816894531,41.400001525878906,41.286155700683594,352100.0
H,2012-04-09,41.209999084472656,40.70000076293945,40.318668365478516,356200.0
H,2012-04-10,40.84000015258789,39.33000183105469,39.025386810302734,475000.0
H,2012-04-11,40.029998779296875,39.77000045776367,39.44002914428711,460900.0
H,2012-04-12,40.63999938964844,39.79999923706055,39.9731330871582,424500.0
H,2012-04-13,40.630001068115234,39.970001220703125,40.081729888916016,346600.0
H,2012-04-16,40.97999954223633,40.27000045776367,39.90402603149414,647900.0
H,2012-04-17,41.11000061035156,40.630001068115234,40.3680305480957,349600.0
H,2012-04-18,41.040000915527344,40.540000915527344,40.26930618286133,589700.0
H,2012-04-19,42.959999084472656,41.060001373291016,42.3326301574707,1111300.0
H,2012-04-20,43.060001373291016,42.18000030517578,41.66130828857422,254000.0
H,2012-04-23,41.90999984741211,41.31999969482422,41.17755889892578,258500.0
H,2012-04-24,42.060001373291016,41.63999938964844,41.286155700683594,206800.0
H,2012-04-25,42.45000076293945,42.0,41.513221740722656,280000.0
H,2012-04-26,43.400001525878906,41.95000076293945,42.638668060302734,374500.0
H,2012-04-27,43.58000183105469,42.7400016784668,42.895347595214844,271200.0
H,2012-04-30,43.36000061035156,42.709999084472656,42.48070526123047,251000.0
H,2012-05-01,44.060001373291016,43.02000045776367,43.18164825439453,552700.0
H,2012-05-02,44.13999938964844,42.84000015258789,43.250755310058594,246000.0
H,2012-05-03,42.9900016784668,41.130001068115234,41.01959991455078,1300000.0
H,2012-05-04,41.290000915527344,39.720001220703125,39.9731330871582,845100.0
H,2012-05-07,40.209999084472656,38.9900016784668,38.51202392578125,1168300.0
H,2012-05-08,39.52000045776367,38.400001525878906,38.788455963134766,783000.0
H,2012-05-09,39.59000015258789,38.40999984741211,39.0155143737793,645400.0
H,2012-05-10,40.0099983215332,39.2400016784668,38.83781433105469,439300.0
H,2012-05-11,39.459999084472656,38.81999969482422,38.62062072753906,183000.0
H,2012-05-14,38.599998474121094,37.779998779296875,37.51491928100586,373100.0
H,2012-05-15,38.16999816894531,37.61000061035156,37.64326477050781,580800.0
H,2012-05-16,38.7400016784668,38.119998931884766,37.88019561767578,260600.0
H,2012-05-17,38.4900016784668,36.45000076293945,36.24138259887695,465800.0
H,2012-05-18,36.84000015258789,36.040000915527344,36.09330368041992,307100.0
H,2012-05-21,37.83000183105469,36.70000076293945,37.159507751464844,393900.0
H,2012-05-22,37.959999084472656,37.220001220703125,36.96207046508789,321700.0
H,2012-05-23,37.040000915527344,35.970001220703125,35.92546844482422,807000.0
H,2012-05-24,36.869998931884766,36.13999938964844,36.11304473876953,438200.0
H,2012-05-25,37.15999984741211,36.4900016784668,36.50794219970703,341200.0
H,2012-05-29,37.939998626708984,37.290000915527344,37.4458122253418,246000.0
H,2012-05-30,37.47999954223633,36.84000015258789,36.774497985839844,194700.0
H,2012-05-31,37.439998626708984,36.529998779296875,36.51781463623047,319300.0
H,2012-06-01,36.290000915527344,35.38999938964844,34.938232421875,421900.0
H,2012-06-04,35.790000915527344,34.88999938964844,34.99747085571289,302000.0
H,2012-06-05,36.2599983215332,35.2400016784668,35.67866516113281,284800.0
H,2012-06-06,37.4900016784668,36.2400016784668,36.93244934082031,407800.0
H,2012-06-07,38.22999954223633,37.02000045776367,36.73500061035156,235000.0
H,2012-06-08,37.2400016784668,36.5,36.428958892822266,529200.0
H,2012-06-11,37.47999954223633,36.369998931884766,35.98470687866211,265900.0
H,2012-06-12,36.61000061035156,35.869998931884766,35.76751708984375,250100.0
H,2012-06-13,36.29999923706055,35.72999954223633,35.42197799682617,626000.0
H,2012-06-14,36.459999084472656,35.91999816894531,35.856361389160156,241700.0
H,2012-06-15,36.4900016784668,35.79999923706055,35.412109375,296100.0
H,2012-06-18,35.90999984741211,35.220001220703125,34.97772216796875,598500.0
H,2012-06-19,37.13999938964844,35.4900016784668,36.251258850097656,696100.0
H,2012-06-20,37.97999954223633,36.849998474121094,36.9127082824707,1593200.0
H,2012-06-21,38.0099983215332,36.439998626708984,36.08342742919922,512200.0
H,2012-06-22,37.0,35.970001220703125,36.08342742919922,624800.0
H,2012-06-25,36.16999816894531,35.36000061035156,35.175174713134766,269500.0
H,2012-06-26,36.54999923706055,35.4900016784668,35.81687545776367,403000.0
H,2012-06-27,36.61000061035156,35.970001220703125,36.00445556640625,346300.0
H,2012-06-28,36.380001068115234,35.349998474121094,35.34299850463867,309300.0
H,2012-06-29,37.25,36.540000915527344,36.685646057128906,345900.0
H,2012-07-02,37.369998931884766,36.70000076293945,36.577049255371094,197200.0
H,2012-07-03,37.4900016784668,37.11000061035156,36.73500061035156,59400.0
H,2012-07-05,37.75,36.95000076293945,36.79423522949219,264900.0
H,2012-07-06,37.130001068115234,36.75,36.330238342285156,132500.0
H,2012-07-09,36.709999084472656,35.84000015258789,35.84649658203125,308000.0
H,2012-07-10,36.52000045776367,35.459999084472656,35.12581253051758,135300.0
H,2012-07-11,36.29999923706055,35.529998779296875,35.29364013671875,285800.0
H,2012-07-12,35.310001373291016,34.029998779296875,33.66469955444336,716300.0
H,2012-07-13,34.560001373291016,33.9900016784668,34.099090576171875,401900.0
H,2012-07-16,34.599998474121094,33.790000915527344,33.41789245605469,451000.0
H,2012-07-17,34.25,33.68000030517578,33.565975189208984,705200.0
H,2012-07-18,34.88999938964844,33.79999923706055,34.28666687011719,466300.0
H,2012-07-19,35.599998474121094,34.97999954223633,34.85926055908203,518700.0
H,2012-07-20,35.459999084472656,34.869998931884766,34.42487335205078,234200.0
H,2012-07-23,34.31999969482422,33.93000030517578,33.78317642211914,120900.0
H,2012-07-24,34.310001373291016,33.47999954223633,33.38827896118164,223500.0
H,2012-07-25,34.04999923706055,33.56999969482422,33.30930709838867,233500.0
H,2012-07-26,34.16999816894531,33.47999954223633,33.35865783691406,501800.0
H,2012-07-27,35.27000045776367,33.9900016784668,34.602577209472656,276800.0
H,2012-07-30,35.59000015258789,35.06999969482422,35.08632278442383,419700.0
H,2012-07-31,36.130001068115234,35.40999984741211,35.09619140625,520500.0
H,2012-08-01,37.400001525878906,36.25,36.32036209106445,819700.0
H,2012-08-02,36.939998626708984,35.810001373291016,36.468448638916016,450800.0
H,2012-08-03,38.349998474121094,37.45000076293945,37.218746185302734,198700.0
H,2012-08-06,38.380001068115234,37.40999984741211,37.39645004272461,294000.0
H,2012-08-07,38.650001525878906,38.060001373291016,37.72224044799805,247900.0
H,2012-08-08,38.0,37.43000030517578,37.22861862182617,264600.0
H,2012-08-09,38.41999816894531,37.59000015258789,37.554412841796875,212000.0
H,2012-08-10,38.279998779296875,37.869998931884766,37.495174407958984,238400.0
H,2012-08-13,37.970001220703125,37.439998626708984,37.356964111328125,227100.0
H,2012-08-14,38.150001525878906,37.220001220703125,36.764625549316406,201500.0
H,2012-08-15,37.599998474121094,37.02000045776367,36.902835845947266,190900.0
H,2012-08-16,38.2599983215332,37.27000045776367,37.50505065917969,251100.0
H,2012-08-17,38.11000061035156,37.709999084472656,37.46556091308594,244400.0
H,2012-08-20,38.279998779296875,37.720001220703125,37.416194915771484,142500.0
H,2012-08-21,38.380001068115234,37.720001220703125,37.28785705566406,180700.0
H,2012-08-22,37.88999938964844,37.439998626708984,37.09040832519531,199300.0
H,2012-08-23,37.88999938964844,37.29999923706055,36.89295959472656,202800.0
H,2012-08-24,37.810001373291016,37.09000015258789,37.080543518066406,234400.0
H,2012-08-27,37.779998779296875,37.400001525878906,37.060794830322266,147200.0
H,2012-08-28,38.20000076293945,37.40999984741211,37.48530578613281,167100.0
H,2012-08-29,38.27000045776367,37.95000076293945,37.52479553222656,160100.0
H,2012-08-30,38.040000915527344,37.400001525878906,37.297725677490234,147300.0
H,2012-08-31,38.25,37.63999938964844,37.4458122253418,116200.0
H,2012-09-04,38.5,37.70000076293945,37.9986686706543,245600.0
H,2012-09-05,38.58000183105469,37.95000076293945,37.56428146362305,183900.0
H,2012-09-06,39.70000076293945,38.279998779296875,38.7785758972168,471100.0
H,2012-09-07,39.86000061035156,39.2400016784668,39.14385986328125,403500.0
H,2012-09-10,40.0,39.56999969482422,39.15372848510742,377600.0
H,2012-09-11,39.45000076293945,39.08000183105469,38.62062072753906,561200.0
H,2012-09-12,39.54999923706055,39.06999969482422,38.99576950073242,357500.0
H,2012-09-13,39.97999954223633,39.45000076293945,39.35118103027344,756400.0
H,2012-09-14,41.86000061035156,40.18000030517578,40.97024154663086,1109200.0
H,2012-09-17,41.65999984741211,41.220001220703125,40.84189987182617,233400.0
H,2012-09-18,41.439998626708984,40.959999084472656,40.575347900390625,368200.0
H,2012-09-19,41.79999923706055,41.09000015258789,40.92087936401367,453600.0
H,2012-09-20,41.43000030517578,40.79999923706055,40.30879592895508,396300.0
H,2012-09-21,41.27000045776367,40.349998474121094,39.884281158447266,574700.0
H,2012-09-24,40.25,39.79999923706055,39.538753509521484,459800.0
H,2012-09-25,40.58000183105469,39.689998626708984,39.29194259643555,452300.0
H,2012-09-26,40.0099983215332,39.36000061035156,39.183345794677734,442800.0
H,2012-09-27,40.5,39.869998931884766,39.9731330871582,702200.0
H,2012-09-28,40.439998626708984,39.900001525878906,39.63747787475586,636700.0
H,2012-10-01,40.349998474121094,39.650001525878906,39.14385986328125,515400.0
H,2012-10-02,40.0099983215332,39.02000045776367,38.73908996582031,475300.0
H,2012-10-03,39.68000030517578,38.83000183105469,38.393558502197266,385100.0
H,2012-10-04,39.7400016784668,38.540000915527344,38.255348205566406,1061900.0
H,2012-10-05,39.04999923706055,38.220001220703125,37.9295539855957,639300.0
H,2012-10-08,38.709999084472656,38.099998474121094,37.93942642211914,319600.0
H,2012-10-09,38.40999984741211,37.7599983215332,37.4458122253418,383100.0
H,2012-10-10,38.2400016784668,37.79999923706055,37.48530578613281,426800.0
H,2012-10-11,38.209999084472656,37.7599983215332,37.376705169677734,750600.0
H,2012-10-12,38.279998779296875,37.93000030517578,37.75185775756836,440100.0
H,2012-10-15,38.84000015258789,37.959999084472656,38.28496551513672,278800.0
