,,high,low,adjclose,volume
HIW,2012-01-03,30.719999313354492,29.68000030517578,21.174739837646484,502200.0
HIW,2012-01-04,29.969999313354492,29.610000610351562,21.00506019592285,650600.0
HIW,2012-01-05,30.200000762939453,29.34000015258789,21.195951461791992,414100.0
HIW,2012-01-06,30.399999618530273,29.670000076293945,21.224231719970703,473700.0
HIW,2012-01-09,30.149999618530273,29.780000686645508,21.153532028198242,381500.0
HIW,2012-01-10,30.639999389648438,30.200000762939453,21.542375564575195,440100.0
HIW,2012-01-11,30.93000030517578,30.389999389648438,21.796899795532227,678400.0
HIW,2012-01-12,30.959999084472656,30.3700008392334,21.754478454589844,373300.0
HIW,2012-01-13,30.809999465942383,30.3700008392334,21.73326873779297,400700.0
HIW,2012-01-17,31.25,30.860000610351562,21.9029483795166,643700.0
HIW,2012-01-18,31.93000030517578,30.969999313354492,22.49683380126953,934200.0
HIW,2012-01-19,32.09000015258789,31.6299991607666,22.404924392700195,815300.0
HIW,2012-01-20,32.25,31.610000610351562,22.800844192504883,1502000.0
HIW,2012-01-23,32.75,32.189998626708984,22.998804092407227,594700.0
HIW,2012-01-24,32.7400016784668,32.290000915527344,22.998804092407227,607200.0
HIW,2012-01-25,33.15999984741211,32.45000076293945,23.42300796508789,621100.0
HIW,2012-01-26,33.56999969482422,33.060001373291016,23.444211959838867,422000.0
HIW,2012-01-27,33.470001220703125,32.959999084472656,23.60683250427246,513600.0
HIW,2012-01-30,33.09000015258789,32.70000076293945,23.161413192749023,750500.0
HIW,2012-01-31,33.15999984741211,32.61000061035156,23.394731521606445,691100.0
HIW,2012-02-01,33.599998474121094,33.20000076293945,23.670459747314453,949700.0
HIW,2012-02-02,33.599998474121094,33.16999816894531,23.500776290893555,869600.0
HIW,2012-02-03,33.869998931884766,33.310001373291016,23.797712326049805,999000.0
HIW,2012-02-06,33.900001525878906,33.31999969482422,23.741159439086914,875100.0
HIW,2012-02-07,33.720001220703125,33.25,23.507850646972656,1426800.0
HIW,2012-02-08,33.709999084472656,32.810001373291016,23.70580291748047,1244600.0
HIW,2012-02-09,33.650001525878906,33.13999938964844,23.60683250427246,636400.0
HIW,2012-02-10,33.310001373291016,32.650001525878906,23.203834533691406,658700.0
HIW,2012-02-13,33.45000076293945,32.90999984741211,23.345239639282227,605000.0
HIW,2012-02-14,33.0099983215332,32.5,23.253326416015625,706500.0
HIW,2012-02-15,32.58000183105469,32.16999816894531,23.077842712402344,633400.0
HIW,2012-02-16,32.689998626708984,32.20000076293945,23.256908416748047,948100.0
HIW,2012-02-17,32.79999923706055,32.2599983215332,23.493270874023438,1089800.0
HIW,2012-02-21,32.90999984741211,31.950000762939453,23.120811462402344,702000.0
