,,high,low,adjclose,volume
KEX,2012-01-03,69.29000091552734,64.56999969482422,64.93000030517578,873100.0
KEX,2012-01-04,67.05999755859375,64.41999816894531,67.0199966430664,625300.0
KEX,2012-01-05,66.94999694824219,65.81999969482422,66.70999908447266,525100.0
KEX,2012-01-06,67.47000122070312,66.30000305175781,66.94000244140625,589600.0
KEX,2012-01-09,67.33000183105469,66.25,66.77999877929688,299600.0
KEX,2012-01-10,68.05999755859375,66.75,66.91999816894531,396700.0
KEX,2012-01-11,66.9000015258789,65.81999969482422,66.6500015258789,290200.0
KEX,2012-01-12,67.0,66.31999969482422,66.62999725341797,278300.0
KEX,2012-01-13,67.04000091552734,65.87000274658203,66.86000061035156,295000.0
KEX,2012-01-17,68.04000091552734,67.25,67.70999908447266,353200.0
KEX,2012-01-18,68.48999786376953,67.2699966430664,68.33000183105469,359800.0
KEX,2012-01-19,70.0,68.3499984741211,69.8499984741211,866800.0
KEX,2012-01-20,70.22000122070312,69.52999877929688,70.0,537500.0
KEX,2012-01-23,70.05999755859375,68.0,68.5999984741211,528600.0
KEX,2012-01-24,68.69999694824219,67.44000244140625,67.5,719800.0
KEX,2012-01-25,68.11000061035156,67.30999755859375,67.9800033569336,470100.0
KEX,2012-01-26,68.7699966430664,68.18000030517578,68.43000030517578,353800.0
KEX,2012-01-27,68.48999786376953,67.5999984741211,67.66999816894531,247400.0
KEX,2012-01-30,67.52999877929688,66.87999725341797,67.37999725341797,543700.0
KEX,2012-01-31,67.86000061035156,65.8499984741211,66.7699966430664,602400.0
KEX,2012-02-01,68.0,67.16999816894531,67.56999969482422,416900.0
KEX,2012-02-02,68.05999755859375,66.73999786376953,66.8499984741211,582300.0
KEX,2012-02-03,68.63999938964844,61.20000076293945,67.58000183105469,3843300.0
KEX,2012-02-06,67.25,65.86000061035156,66.72000122070312,526900.0
KEX,2012-02-07,67.36000061035156,65.80999755859375,67.0,689400.0
KEX,2012-02-08,67.18000030517578,66.0,66.44999694824219,328700.0
