,,high,low,adjclose,volume
KHC,2015-07-06,74.29000091552734,71.0,62.88090133666992,3809700.0
KHC,2015-07-07,74.70999908447266,72.95999908447266,64.32020568847656,5794300.0
KHC,2015-07-08,75.5,74.04000091552734,64.98383331298828,4276600.0
KHC,2015-07-09,77.06600189208984,74.5,64.46672821044922,4267100.0
KHC,2015-07-10,77.80000305175781,75.0,66.62997436523438,4983000.0
KHC,2015-07-13,79.69999694824219,77.91000366210938,67.94001007080078,9078900.0
KHC,2015-07-14,79.5,77.6500015258789,67.22466278076172,18746100.0
KHC,2015-07-15,78.16999816894531,76.4000015258789,66.11286163330078,6330500.0
KHC,2015-07-16,78.83999633789062,76.94999694824219,67.87107849121094,5634100.0
KHC,2015-07-17,79.69000244140625,77.26000213623047,68.62946319580078,6100900.0
KHC,2015-07-20,81.19999694824219,79.12999725341797,69.04317474365234,10284500.0
KHC,2015-07-21,80.68000030517578,79.4000015258789,69.13798522949219,6088600.0
KHC,2015-07-22,80.9000015258789,78.58000183105469,67.77625274658203,5201200.0
KHC,2015-07-23,78.56999969482422,76.63999938964844,66.60454559326172,2975400.0
KHC,2015-07-24,77.43000030517578,75.94999694824219,66.3181381225586,3116000.0
KHC,2015-07-27,77.9800033569336,76.29000091552734,67.1600341796875,5774300.0
KHC,2015-07-28,78.6500015258789,77.5,67.97586822509766,1895900.0
KHC,2015-07-29,78.30000305175781,77.0,67.62003326416016,2278600.0
KHC,2015-07-30,79.69000244140625,77.5999984741211,68.74832153320312,3247000.0
KHC,2015-07-31,79.94000244140625,78.86499786376953,68.97399139404297,2685500.0
KHC,2015-08-03,81.02999877929688,79.91000366210938,69.755126953125,2681800.0
KHC,2015-08-04,81.0,79.66999816894531,69.2690658569336,2429600.0
KHC,2015-08-05,81.0,79.8499984741211,69.85059356689453,4324300.0
KHC,2015-08-06,81.19000244140625,79.51000213623047,69.22567749023438,3708600.0
KHC,2015-08-07,79.37999725341797,77.29000091552734,68.09737396240234,3274100.0
KHC,2015-08-10,79.80000305175781,78.56999969482422,68.4011459350586,3252300.0
KHC,2015-08-11,80.4800033569336,77.06999969482422,67.67210388183594,3889100.0
KHC,2015-08-12,78.30999755859375,76.08999633789062,66.56116485595703,3688800.0
KHC,2015-08-13,77.06999969482422,75.80000305175781,65.9535903930664,2917500.0
KHC,2015-08-14,76.73999786376953,75.11699676513672,66.32681274414062,2572800.0
KHC,2015-08-17,76.41000366210938,75.51000213623047,65.78870391845703,2260300.0
KHC,2015-08-18,75.9530029296875,75.05999755859375,65.25927734375,2009700.0
KHC,2015-08-19,75.29000091552734,73.91999816894531,64.90339660644531,3025700.0
KHC,2015-08-20,74.76399993896484,73.77999877929688,64.44341278076172,2207000.0
KHC,2015-08-21,74.25,72.26000213623047,62.72492980957031,5564500.0
KHC,2015-08-24,72.23999786376953,61.41999816894531,61.50982666015625,9844600.0
KHC,2015-08-25,72.4000015258789,70.0,60.93700408935547,4423400.0
KHC,2015-08-26,74.11000061035156,69.52999877929688,64.1483154296875,5356300.0
KHC,2015-08-27,75.25,73.12000274658203,65.25059509277344,5937800.0
KHC,2015-08-28,75.19000244140625,73.81999969482422,64.82530975341797,2150100.0
KHC,2015-08-31,74.43000030517578,72.56999969482422,63.06341552734375,2688400.0
KHC,2015-09-01,72.54000091552734,69.63999938964844,60.8588981628418,4671400.0
KHC,2015-09-02,72.06999969482422,70.30999755859375,62.551334381103516,2986500.0
KHC,2015-09-03,73.88999938964844,71.79000091552734,62.62944412231445,2595300.0
KHC,2015-09-04,71.69000244140625,70.12899780273438,61.249454498291016,2997000.0
KHC,2015-09-08,74.33000183105469,70.80999755859375,64.28719329833984,4450700.0
