,,high,low,adjclose,volume
KLAC,2012-01-03,49.290000915527344,47.38999938964844,30.726526260375977,3310800.0
KLAC,2012-01-04,47.63999938964844,46.880001068115234,30.370441436767578,3049000.0
KLAC,2012-01-05,47.56999969482422,46.75,30.765380859375,3034400.0
KLAC,2012-01-06,48.20000076293945,47.16999816894531,30.901329040527344,2765600.0
KLAC,2012-01-09,48.68000030517578,47.810001373291016,31.192676544189453,2976800.0
KLAC,2012-01-10,49.27000045776367,48.43000030517578,31.445173263549805,2331600.0
KLAC,2012-01-11,49.75,48.439998626708984,31.930727005004883,2718100.0
KLAC,2012-01-12,49.529998779296875,48.72999954223633,31.594066619873047,2937300.0
KLAC,2012-01-13,48.779998779296875,47.689998626708984,31.011390686035156,2309900.0
KLAC,2012-01-17,49.0,48.41999816894531,31.419267654418945,2698000.0
KLAC,2012-01-18,50.279998779296875,48.70000076293945,32.38392639160156,4924800.0
KLAC,2012-01-19,51.45000076293945,50.02000045776367,33.03780746459961,4331500.0
KLAC,2012-01-20,52.0,50.81999969482422,33.34210205078125,4628000.0
KLAC,2012-01-23,51.5,50.54999923706055,32.74000930786133,2917400.0
KLAC,2012-01-24,51.33000183105469,50.310001373291016,33.18671798706055,3203600.0
KLAC,2012-01-25,51.5,50.529998779296875,33.17377471923828,2683700.0
KLAC,2012-01-26,52.11000061035156,50.029998779296875,32.539302825927734,3878300.0
KLAC,2012-01-27,53.04999923706055,50.90999984741211,33.87946701049805,6841800.0
KLAC,2012-01-30,51.95000076293945,50.880001068115234,33.063716888427734,4263100.0
KLAC,2012-01-31,51.779998779296875,50.5,33.08960723876953,3991700.0
KLAC,2012-02-01,52.150001525878906,51.209999084472656,33.471580505371094,2548100.0
KLAC,2012-02-02,51.9900016784668,51.470001220703125,33.36152648925781,1869900.0
KLAC,2012-02-03,52.290000915527344,51.720001220703125,33.65285873413086,2695500.0
KLAC,2012-02-06,51.689998626708984,50.779998779296875,32.90833282470703,2623000.0
KLAC,2012-02-07,51.189998626708984,50.38999938964844,33.0831298828125,2887500.0
KLAC,2012-02-08,51.720001220703125,50.939998626708984,33.22556686401367,1979400.0
KLAC,2012-02-09,51.5,50.54999923706055,32.86948013305664,1943300.0
KLAC,2012-02-10,50.349998474121094,49.209999084472656,31.988985061645508,2910700.0
