,,high,low,adjclose,volume
KSU,2012-01-03,70.08000183105469,68.43000030517578,62.67839813232422,1123500.0
KSU,2012-01-04,70.55999755859375,68.08000183105469,64.08321380615234,972600.0
KSU,2012-01-05,70.27999877929688,69.08999633789062,63.81864929199219,919900.0
KSU,2012-01-06,71.12000274658203,69.5999984741211,63.56324005126953,927100.0
KSU,2012-01-09,71.4000015258789,69.87000274658203,65.02278900146484,671800.0
KSU,2012-01-10,73.9000015258789,72.33000183105469,66.22689056396484,1296600.0
KSU,2012-01-11,72.95999908447266,72.0,66.07183837890625,752500.0
KSU,2012-01-12,73.01000213623047,71.6500015258789,66.21781921386719,659700.0
KSU,2012-01-13,72.19999694824219,70.38999938964844,65.7160873413086,741300.0
KSU,2012-01-17,73.2699966430664,71.41999816894531,65.49715423583984,669800.0
KSU,2012-01-18,72.55000305175781,71.18000030517578,65.39682006835938,893200.0
KSU,2012-01-19,74.7699966430664,72.66999816894531,67.28507232666016,1471800.0
KSU,2012-01-20,73.76000213623047,72.05999755859375,66.94756317138672,945500.0
KSU,2012-01-23,74.0999984741211,71.5199966430664,65.97150421142578,925500.0
KSU,2012-01-24,68.33000183105469,64.06999969482422,60.97254943847656,4906600.0
KSU,2012-01-25,67.56999969482422,66.02999877929688,61.46516036987305,2138000.0
KSU,2012-01-26,68.88999938964844,67.30000305175781,61.62936019897461,913900.0
KSU,2012-01-27,68.86000061035156,67.19000244140625,62.57805633544922,855000.0
KSU,2012-01-30,70.0,67.56999969482422,63.13449478149414,1054200.0
KSU,2012-01-31,70.37000274658203,68.44999694824219,62.61455535888672,1012600.0
KSU,2012-02-01,70.72000122070312,68.4000015258789,62.66013717651367,1203900.0
KSU,2012-02-02,69.38999938964844,68.4800033569336,62.68751907348633,832800.0
KSU,2012-02-03,71.1500015258789,69.52999877929688,64.32035827636719,1044300.0
KSU,2012-02-06,70.27999877929688,69.3499984741211,63.64533996582031,537900.0
KSU,2012-02-07,69.7699966430664,68.6500015258789,63.0980224609375,590400.0
KSU,2012-02-08,69.66000366210938,68.0999984741211,63.02503967285156,619700.0
KSU,2012-02-09,70.56999969482422,68.86000061035156,63.38991928100586,1105900.0
KSU,2012-02-10,69.0199966430664,68.0,62.41382598876953,1144900.0
