,,high,low,adjclose,volume
LEN,2012-01-03,20.255653381347656,19.54768943786621,18.98480796813965,5370300.0
LEN,2012-01-04,19.931169509887695,19.2330379486084,19.290246963500977,3821200.0
LEN,2012-01-05,20.47197723388672,19.301868438720703,19.82475471496582,6371900.0
LEN,2012-01-06,20.580137252807617,20.049163818359375,19.471601486206055,4943000.0
LEN,2012-01-09,20.491641998291016,20.167158126831055,19.738853454589844,4459300.0
LEN,2012-01-10,21.13077735900879,20.285152435302734,19.815216064453125,9201500.0
LEN,2012-01-11,22.153392791748047,20.619468688964844,21.237403869628906,15210500.0
LEN,2012-01-12,22.074729919433594,21.160274505615234,21.17058563232422,9616000.0
LEN,2012-01-13,21.799409866333008,21.170108795166016,21.008323669433594,5065900.0
LEN,2012-01-17,22.045230865478516,21.091445922851562,21.027416229248047,7451400.0
LEN,2012-01-18,22.723697662353516,21.474925994873047,21.95326805114746,9325100.0
LEN,2012-01-19,22.615535736083984,22.12389373779297,21.61920166015625,8332100.0
LEN,2012-01-20,22.359882354736328,21.533924102783203,21.056049346923828,6990700.0
LEN,2012-01-23,22.074729919433594,21.288103103637695,20.76015853881836,6863800.0
LEN,2012-01-24,22.035398483276367,21.052114486694336,21.35193634033203,7895200.0
LEN,2012-01-25,22.704030990600586,21.730579376220703,21.80135726928711,7795900.0
LEN,2012-01-26,22.723697662353516,21.701082229614258,21.16069793701172,6263800.0
LEN,2012-01-27,22.1435604095459,21.396263122558594,21.304128646850586,6585600.0
LEN,2012-01-30,21.848573684692383,21.425762176513672,21.170259475708008,3920000.0
LEN,2012-01-31,22.369714736938477,20.973451614379883,20.548728942871094,6454200.0
LEN,2012-02-01,21.622419357299805,21.13077735900879,20.87383270263672,5060800.0
LEN,2012-02-02,21.691247940063477,21.13077735900879,20.787778854370117,4063200.0
LEN,2012-02-03,23.077678680419922,21.868240356445312,22.317703247070312,8059600.0
LEN,2012-02-06,22.90068817138672,22.084562301635742,21.696168899536133,5350900.0
LEN,2012-02-07,22.78269386291504,22.12389373779297,21.763103485107422,5188400.0
LEN,2012-02-08,23.0186824798584,22.182889938354492,22.346389770507812,6279300.0
LEN,2012-02-09,23.421829223632812,22.66469955444336,22.70018196105957,6377900.0
LEN,2012-02-10,23.235004425048828,22.77286148071289,22.327260971069336,6423700.0
LEN,2012-02-13,23.6971492767334,23.058013916015625,22.910547256469727,6685600.0
LEN,2012-02-14,23.67748260498047,23.107177734375,22.757551193237305,5781900.0
LEN,2012-02-15,23.942970275878906,23.087512969970703,22.528064727783203,7778300.0
LEN,2012-02-16,23.500492095947266,22.713863372802734,22.384634017944336,5980500.0
LEN,2012-02-17,23.1956729888916,22.75319480895996,22.336828231811523,4052100.0
LEN,2012-02-21,23.1956729888916,21.986234664916992,21.543182373046875,5825900.0
LEN,2012-02-22,22.41887855529785,21.6420841217041,21.12244987487793,6737200.0
LEN,2012-02-23,22.458209991455078,21.67158317565918,21.667484283447266,5287100.0
LEN,2012-02-24,22.625368118286133,21.819076538085938,21.399755477905273,4223100.0
LEN,2012-02-27,22.77286148071289,21.76007843017578,21.935226440429688,4995300.0
LEN,2012-02-28,22.586036682128906,21.937068939208984,21.52405548095703,4829600.0
LEN,2012-02-29,23.352998733520508,22.11406135559082,22.355945587158203,9228700.0
LEN,2012-03-01,23.392330169677734,22.77286148071289,22.355945587158203,5470300.0
LEN,2012-03-02,23.067846298217773,22.369714736938477,21.944787979125977,4187500.0
LEN,2012-03-05,22.831857681274414,22.271387100219727,21.858726501464844,3065200.0
LEN,2012-03-06,22.261552810668945,21.828908920288086,21.38062286376953,4223700.0
LEN,2012-03-07,23.352998733520508,22.02556610107422,22.58543586730957,8964700.0
LEN,2012-03-08,24.67059898376465,23.372665405273438,23.60857582092285,8993300.0
LEN,2012-03-09,25.565387725830078,24.621435165405273,24.33528709411621,9455900.0
LEN,2012-03-12,25.496559143066406,24.926254272460938,24.421335220336914,5118200.0
LEN,2012-03-13,26.3028507232666,25.211406707763672,25.52096939086914,6619600.0
LEN,2012-03-14,26.54867172241211,25.77187728881836,25.214982986450195,6950400.0
LEN,2012-03-15,26.55850601196289,25.693214416503906,25.712209701538086,8727500.0
LEN,2012-03-16,26.617502212524414,25.90953826904297,25.40622901916504,6678200.0
