,,high,low,adjclose,volume
LMT,2012-01-03,82.98999786376953,81.7699966430664,63.783538818359375,2273600.0
LMT,2012-01-04,81.44999694824219,80.37000274658203,62.92034149169922,2242700.0
LMT,2012-01-05,80.68000030517578,79.05000305175781,62.267112731933594,2616100.0
LMT,2012-01-06,80.41000366210938,79.6500015258789,62.1971321105957,4274300.0
LMT,2012-01-09,80.3499984741211,79.76000213623047,62.24378204345703,1861500.0
LMT,2012-01-10,81.19999694824219,80.36000061035156,62.69482421875,1846700.0
LMT,2012-01-11,81.12999725341797,80.48999786376953,62.81922912597656,1245900.0
LMT,2012-01-12,81.7699966430664,80.76000213623047,63.52690887451172,1822300.0
LMT,2012-01-13,81.52999877929688,80.80000305175781,63.39472198486328,1475600.0
LMT,2012-01-17,82.0999984741211,81.3499984741211,63.488040924072266,1953700.0
LMT,2012-01-18,82.27999877929688,81.33999633789062,63.9857292175293,1155900.0
LMT,2012-01-19,83.70999908447266,81.8499984741211,65.09779357910156,1959400.0
LMT,2012-01-20,83.44000244140625,82.54000091552734,64.37455749511719,2461700.0
LMT,2012-01-23,82.86000061035156,81.9000015258789,64.18793487548828,1716700.0
LMT,2012-01-24,82.80999755859375,82.12000274658203,63.95463562011719,1139000.0
LMT,2012-01-25,82.2699966430664,81.25,63.55802536010742,2421500.0
LMT,2012-01-26,82.94999694824219,81.29000091552734,64.13351440429688,2733700.0
LMT,2012-01-27,82.55000305175781,81.66000366210938,63.783538818359375,1952500.0
LMT,2012-01-30,82.12999725341797,81.29000091552734,63.77577209472656,3109900.0
LMT,2012-01-31,82.4000015258789,81.69999694824219,64.016845703125,2878600.0
LMT,2012-02-01,83.72000122070312,82.26000213623047,64.95003509521484,2114100.0
LMT,2012-02-02,83.69999694824219,82.9000015258789,64.6778564453125,1298800.0
LMT,2012-02-03,84.7300033569336,83.25,65.78211975097656,3366800.0
LMT,2012-02-06,85.4000015258789,84.33999633789062,66.29537963867188,2028300.0
LMT,2012-02-07,86.63999938964844,85.0,67.36854553222656,2871300.0
LMT,2012-02-08,87.70999908447266,86.13999938964844,68.15399932861328,3394000.0
LMT,2012-02-09,88.06999969482422,87.4000015258789,68.44171142578125,2865000.0
LMT,2012-02-10,87.72000122070312,87.0,68.0528793334961,1928200.0
LMT,2012-02-13,88.25,86.9800033569336,68.61280822753906,2583400.0
LMT,2012-02-14,88.55000305175781,87.66000366210938,68.78389739990234,1676700.0
LMT,2012-02-15,87.91999816894531,86.7699966430664,67.60184478759766,3474000.0
LMT,2012-02-16,87.20999908447266,86.05999755859375,67.18968963623047,2298500.0
LMT,2012-02-17,88.30999755859375,86.62000274658203,68.42616271972656,2734000.0
LMT,2012-02-21,87.9000015258789,86.79000091552734,67.77291870117188,1738700.0
LMT,2012-02-22,88.08999633789062,87.26000213623047,68.13843536376953,1241400.0
LMT,2012-02-23,88.38999938964844,87.56999969482422,68.65946960449219,7431200.0
LMT,2012-02-24,90.1500015258789,88.4000015258789,69.623779296875,7279200.0
LMT,2012-02-27,90.0,89.08000183105469,69.53044128417969,2905000.0
LMT,2012-02-28,88.86000061035156,88.0,69.7585220336914,1866000.0
LMT,2012-02-29,89.30999755859375,88.38999938964844,69.53044128417969,2832200.0
LMT,2012-03-01,88.97000122070312,88.13999938964844,69.4990005493164,1608300.0
LMT,2012-03-02,89.05000305175781,88.30000305175781,69.60122680664062,1334200.0
LMT,2012-03-05,89.08000183105469,88.55999755859375,69.74275970458984,1458500.0
LMT,2012-03-06,88.83999633789062,87.68000030517578,69.03496551513672,1442200.0
LMT,2012-03-07,88.06999969482422,87.41000366210938,69.1765365600586,1280500.0
LMT,2012-03-08,89.0,88.26000213623047,69.5068588256836,1159400.0
LMT,2012-03-09,89.12000274658203,88.22000122070312,69.92364501953125,1177800.0
LMT,2012-03-12,89.29000091552734,88.62000274658203,69.99443054199219,1113600.0
LMT,2012-03-13,89.70999908447266,88.80000305175781,70.50566101074219,1626500.0
LMT,2012-03-14,91.01000213623047,89.77999877929688,71.1112289428711,2039300.0
LMT,2012-03-15,90.68000030517578,89.93000030517578,71.01685333251953,1382000.0
LMT,2012-03-16,90.5,89.25,70.2461166381836,2116300.0
LMT,2012-03-19,89.69000244140625,88.88999938964844,70.43486022949219,900000.0
LMT,2012-03-20,89.55999755859375,88.63999938964844,70.26182556152344,1355500.0
LMT,2012-03-21,89.72000122070312,89.26000213623047,70.34837341308594,1289800.0
LMT,2012-03-22,89.66000366210938,88.83999633789062,70.30903625488281,1412400.0
LMT,2012-03-23,89.87999725341797,89.19999694824219,70.60002899169922,1032600.0
LMT,2012-03-26,90.7699966430664,90.08999633789062,71.28422546386719,1340000.0
LMT,2012-03-27,91.08999633789062,90.55000305175781,71.44937896728516,1119700.0
LMT,2012-03-28,91.08000183105469,89.31999969482422,70.53710174560547,1353700.0
LMT,2012-03-29,89.69000244140625,88.83000183105469,70.48991394042969,1331500.0
LMT,2012-03-30,90.16000366210938,89.5999984741211,70.67079162597656,1275100.0
LMT,2012-04-02,91.61000061035156,89.41000366210938,71.69320678710938,1678000.0
LMT,2012-04-03,91.41999816894531,90.6500015258789,71.62240600585938,1257700.0
LMT,2012-04-04,90.94999694824219,90.26000213623047,71.04828643798828,1632700.0
LMT,2012-04-05,90.7699966430664,89.83000183105469,70.89888000488281,1808400.0
LMT,2012-04-09,89.36000061035156,88.70999908447266,69.78996276855469,1331600.0
LMT,2012-04-10,88.63999938964844,87.66999816894531,68.94847869873047,1441100.0
LMT,2012-04-11,88.94999694824219,88.2300033569336,69.59335327148438,1386800.0
LMT,2012-04-12,90.41000366210938,88.69999694824219,70.91459655761719,1467900.0
LMT,2012-04-13,90.58999633789062,89.29000091552734,70.23038482666016,1481300.0
LMT,2012-04-16,89.80000305175781,89.08000183105469,70.4427261352539,2807200.0
LMT,2012-04-17,90.77999877929688,89.02999877929688,71.25276947021484,1373200.0
LMT,2012-04-18,90.7699966430664,89.93000030517578,71.0718994140625,946800.0
LMT,2012-04-19,90.97000122070312,90.02999877929688,71.04828643798828,1500100.0
LMT,2012-04-20,91.23999786376953,90.31999969482422,71.44151306152344,1118800.0
LMT,2012-04-23,90.73999786376953,89.94000244140625,71.19772338867188,1414300.0
LMT,2012-04-24,91.29000091552734,90.52999877929688,71.66961669921875,1291400.0
LMT,2012-04-25,91.88999938964844,90.62000274658203,71.5516357421875,1843400.0
LMT,2012-04-26,92.23999786376953,91.11000061035156,72.11787414550781,1976200.0
LMT,2012-04-27,92.08999633789062,91.19999694824219,71.80329895019531,1526500.0
LMT,2012-04-30,91.0999984741211,90.45999908447266,71.20558166503906,1146200.0
LMT,2012-05-01,91.0199966430664,90.16000366210938,71.21345520019531,1629300.0
LMT,2012-05-02,90.29000091552734,89.70999908447266,70.84382629394531,2000800.0
LMT,2012-05-03,90.08000183105469,89.2300033569336,70.36407470703125,1459400.0
LMT,2012-05-04,89.55000305175781,87.83000183105469,69.07428741455078,2082600.0
LMT,2012-05-07,88.11000061035156,86.9800033569336,68.66534423828125,2172100.0
LMT,2012-05-08,87.22000122070312,86.25,68.52378845214844,1669100.0
LMT,2012-05-09,86.91000366210938,85.91999816894531,67.59575653076172,1756900.0
LMT,2012-05-10,86.91000366210938,86.0,67.72947692871094,1317200.0
LMT,2012-05-11,86.33000183105469,85.16999816894531,67.0137939453125,1919300.0
LMT,2012-05-14,85.4000015258789,84.16999816894531,67.00592041015625,1186500.0
LMT,2012-05-15,85.37000274658203,84.41999816894531,66.52619171142578,1403600.0
LMT,2012-05-16,85.31999969482422,84.29000091552734,66.32170867919922,1319000.0
LMT,2012-05-17,84.30000305175781,82.77999877929688,65.14203643798828,1398700.0
LMT,2012-05-18,83.77999877929688,82.5999984741211,65.10270690917969,1563200.0
LMT,2012-05-21,83.66000366210938,82.5199966430664,65.77118682861328,1250100.0
LMT,2012-05-22,84.2300033569336,83.08999633789062,65.81837463378906,1532600.0
LMT,2012-05-23,83.4800033569336,82.19000244140625,65.55097961425781,1572500.0
LMT,2012-05-24,83.58000183105469,82.51000213623047,65.56672668457031,5978900.0
LMT,2012-05-25,83.62000274658203,82.62000274658203,65.04763793945312,6308500.0
LMT,2012-05-29,83.69000244140625,82.83000183105469,65.79478454589844,7994200.0
LMT,2012-05-30,83.25,81.5199966430664,65.9062271118164,1959200.0
LMT,2012-05-31,83.47000122070312,82.62000274658203,65.9062271118164,1613900.0
LMT,2012-06-01,82.0199966430664,81.01000213623047,64.64859771728516,1797300.0
LMT,2012-06-04,81.95999908447266,80.44000244140625,64.51327514648438,1506700.0
LMT,2012-06-05,80.91999816894531,80.13999938964844,64.33021545410156,1416600.0
LMT,2012-06-06,82.44000244140625,81.27999877929688,65.57191467285156,3648700.0
LMT,2012-06-07,83.6500015258789,82.69000244140625,66.18479919433594,1777100.0
LMT,2012-06-08,83.41000366210938,82.6500015258789,66.29624938964844,1117400.0
LMT,2012-06-11,83.79000091552734,82.38999938964844,65.63556671142578,886400.0
LMT,2012-06-12,83.79000091552734,82.75,66.35993194580078,1475000.0
LMT,2012-06-13,83.44000244140625,82.4000015258789,65.80274200439453,1132900.0
LMT,2012-06-14,83.5999984741211,82.44000244140625,66.3281021118164,1358200.0
LMT,2012-06-15,83.88999938964844,83.16999816894531,66.42357635498047,1708000.0
LMT,2012-06-18,84.83999633789062,83.33999633789062,67.46632385253906,1500800.0
LMT,2012-06-19,85.61000061035156,84.44000244140625,67.8961410522461,1498700.0
LMT,2012-06-20,85.2699966430664,84.12000274658203,67.29122161865234,1156900.0
LMT,2012-06-21,85.52999877929688,84.2699966430664,67.15589141845703,1618200.0
LMT,2012-06-22,85.5,84.22000122070312,67.93592834472656,1567400.0
LMT,2012-06-25,85.25,84.16999816894531,67.06037902832031,1532200.0
LMT,2012-06-26,84.68000030517578,83.1500015258789,66.36788177490234,1480900.0
LMT,2012-06-27,85.18000030517578,83.43000030517578,67.58572387695312,1245800.0
LMT,2012-06-28,84.75,83.45999908447266,67.28325653076172,1049700.0
LMT,2012-06-29,87.08999633789062,86.0,69.31297302246094,2172800.0
LMT,2012-07-02,87.6500015258789,86.51000213623047,69.37664031982422,1088000.0
LMT,2012-07-03,87.51000213623047,87.08999633789062,69.65523529052734,1076400.0
LMT,2012-07-05,87.54000091552734,86.8499984741211,69.24928283691406,1738700.0
LMT,2012-07-06,87.0,86.11000061035156,69.1378402709961,893000.0
LMT,2012-07-09,87.55000305175781,86.81999969482422,69.55970764160156,1384000.0
LMT,2012-07-10,88.2300033569336,86.70999908447266,69.26521301269531,963200.0
LMT,2012-07-11,87.30000305175781,86.5199966430664,69.12193298339844,1402100.0
LMT,2012-07-12,86.61000061035156,85.6500015258789,68.46923828125,1610200.0
LMT,2012-07-13,87.33000183105469,86.0999984741211,69.44830322265625,1378300.0
LMT,2012-07-16,87.22000122070312,86.16000366210938,69.36073303222656,1118300.0
LMT,2012-07-17,87.80999755859375,86.72000122070312,69.59154510498047,1300400.0
LMT,2012-07-18,88.66999816894531,87.2699966430664,70.52281951904297,1154000.0
LMT,2012-07-19,88.80000305175781,87.7699966430664,70.45120239257812,1234700.0
LMT,2012-07-20,88.48999786376953,87.37999725341797,69.81444549560547,1348300.0
LMT,2012-07-23,87.29000091552734,86.56999969482422,69.17766571044922,1541200.0
LMT,2012-07-24,89.16000366210938,86.93000030517578,69.87811279296875,2029800.0
LMT,2012-07-25,88.22000122070312,86.55999755859375,69.7905502319336,2346300.0
LMT,2012-07-26,88.87000274658203,87.95999908447266,70.4830093383789,1356800.0
LMT,2012-07-27,90.51000213623047,88.6500015258789,71.79638671875,1495600.0
LMT,2012-07-30,89.8499984741211,88.77999877929688,70.90489959716797,1482300.0
LMT,2012-07-31,89.61000061035156,88.97000122070312,71.05612182617188,2256200.0
LMT,2012-08-01,90.0,88.80000305175781,70.80937194824219,3683000.0
LMT,2012-08-02,88.83000183105469,87.47000122070312,70.4034652709961,1395600.0
LMT,2012-08-03,89.55999755859375,88.47000122070312,71.15164947509766,1046300.0
LMT,2012-08-06,89.83999633789062,88.94000244140625,70.8332748413086,837900.0
LMT,2012-08-07,90.5,89.12000274658203,71.89189147949219,1330200.0
LMT,2012-08-08,91.0,89.70999908447266,72.3455810546875,1084200.0
LMT,2012-08-09,90.62999725341797,90.0,72.06700897216797,1066900.0
LMT,2012-08-10,91.1500015258789,90.19999694824219,72.45703125,1010900.0
LMT,2012-08-13,91.18000030517578,90.54000091552734,72.5286865234375,1079700.0
LMT,2012-08-14,91.68000030517578,90.9000015258789,72.71173858642578,1086300.0
LMT,2012-08-15,91.69000244140625,90.72000122070312,72.8390884399414,763400.0
LMT,2012-08-16,92.23999786376953,91.33000183105469,73.26892852783203,4808000.0
LMT,2012-08-17,92.5,91.77999877929688,73.54753112792969,1574200.0
LMT,2012-08-20,93.5,92.12000274658203,74.27980041503906,1570200.0
LMT,2012-08-21,93.98999786376953,93.11000061035156,74.6618881225586,1868700.0
LMT,2012-08-22,93.5,92.66999816894531,74.0489730834961,1614100.0
LMT,2012-08-23,93.0,91.69999694824219,73.38831329345703,1423600.0
LMT,2012-08-24,92.68000030517578,91.69999694824219,73.58731079101562,1483800.0
LMT,2012-08-27,93.0,92.20999908447266,73.4520034790039,945600.0
LMT,2012-08-28,92.69999694824219,91.37999725341797,73.61119842529297,1817900.0
LMT,2012-08-29,92.75,91.81999969482422,73.16544342041016,969800.0
LMT,2012-08-30,91.31999969482422,90.5199966430664,73.17349243164062,908300.0
LMT,2012-08-31,91.76000213623047,90.7699966430664,73.34251403808594,1087400.0
LMT,2012-09-04,91.38999938964844,90.01000213623047,72.85161590576172,959200.0
LMT,2012-09-05,91.58000183105469,90.33999633789062,73.65633392333984,1401900.0
LMT,2012-09-06,92.8499984741211,91.5999984741211,74.70247650146484,1220600.0
LMT,2012-09-07,92.9800033569336,92.02999877929688,74.17940521240234,1161600.0
LMT,2012-09-10,92.4800033569336,91.72000122070312,74.05870819091797,719400.0
LMT,2012-09-11,92.5,91.83000183105469,74.2276840209961,969100.0
LMT,2012-09-12,92.94000244140625,92.26000213623047,74.3725357055664,1086400.0
LMT,2012-09-13,93.44999694824219,91.94999694824219,74.94390106201172,1325200.0
LMT,2012-09-14,93.19999694824219,92.0199966430664,74.45299530029297,1782200.0
LMT,2012-09-17,92.94999694824219,92.0,74.20354461669922,4665600.0
LMT,2012-09-18,92.08999633789062,91.05999755859375,73.84945678710938,1339200.0
LMT,2012-09-19,92.3499984741211,91.55999755859375,74.2276840209961,1353300.0
LMT,2012-09-20,91.88999938964844,91.12000274658203,73.37470245361328,1574100.0
LMT,2012-09-21,91.73999786376953,91.05000305175781,73.46320343017578,2995900.0
LMT,2012-09-24,91.48999786376953,90.38999938964844,73.26203918457031,1503800.0
