,,high,low,adjclose,volume
LOGM,2012-01-03,40.290000915527344,38.2599983215332,37.00374221801758,194800.0
LOGM,2012-01-04,39.16999816894531,37.54999923706055,36.13182830810547,147500.0
LOGM,2012-01-05,38.369998931884766,36.880001068115234,36.56299591064453,115100.0
LOGM,2012-01-06,38.4900016784668,37.349998474121094,36.17015838623047,142700.0
LOGM,2012-01-09,38.630001068115234,37.43000030517578,36.77379608154297,147500.0
LOGM,2012-01-10,38.79999923706055,37.56999969482422,36.42885208129883,162000.0
LOGM,2012-01-11,39.060001373291016,37.4900016784668,37.16663360595703,128200.0
LOGM,2012-01-12,39.72999954223633,38.439998626708984,37.751102447509766,71100.0
LOGM,2012-01-13,39.61000061035156,38.68000030517578,37.89482498168945,89500.0
LOGM,2012-01-17,40.459999084472656,39.56999969482422,38.306827545166016,109600.0
LOGM,2012-01-18,40.7400016784668,39.630001068115234,38.99669647216797,105700.0
LOGM,2012-01-19,42.369998931884766,40.83000183105469,39.43745040893555,79400.0
LOGM,2012-01-20,41.84000015258789,40.849998474121094,39.322471618652344,73100.0
LOGM,2012-01-23,41.61000061035156,40.29999923706055,39.34163284301758,32800.0
LOGM,2012-01-24,41.63999938964844,40.66999816894531,39.303306579589844,95000.0
LOGM,2012-01-25,41.029998779296875,40.0,38.75716018676758,213700.0
LOGM,2012-01-26,41.81999969482422,40.90999984741211,39.562007904052734,95500.0
LOGM,2012-01-27,42.279998779296875,40.70000076293945,39.772796630859375,83900.0
LOGM,2012-01-30,41.2599983215332,39.970001220703125,38.39306640625,63400.0
LOGM,2012-01-31,40.58000183105469,38.689998626708984,38.163108825683594,163200.0
LOGM,2012-02-01,40.34000015258789,39.38999938964844,38.01938247680664,216900.0
LOGM,2012-02-02,41.369998931884766,39.650001525878906,39.62908172607422,160900.0
LOGM,2012-02-03,42.95000076293945,41.900001525878906,40.72136688232422,354700.0
LOGM,2012-02-06,42.619998931884766,41.0099983215332,39.705726623535156,212000.0
LOGM,2012-02-07,41.5099983215332,41.060001373291016,39.38954162597656,117300.0
LOGM,2012-02-08,41.709999084472656,38.439998626708984,37.3199348449707,428500.0
LOGM,2012-02-09,40.150001525878906,38.77000045776367,38.143943786621094,252400.0
LOGM,2012-02-10,39.779998779296875,38.22999954223633,37.760684967041016,160300.0
LOGM,2012-02-13,40.310001373291016,38.869998931884766,37.39657974243164,202400.0
LOGM,2012-02-14,39.0,37.790000915527344,36.802528381347656,350400.0
LOGM,2012-02-15,38.709999084472656,37.310001373291016,36.00727844238281,403700.0
LOGM,2012-02-16,40.22999954223633,36.7400016784668,38.15352249145508,1097500.0
LOGM,2012-02-17,40.20000076293945,38.9900016784668,37.492408752441406,312000.0
LOGM,2012-02-21,39.27000045776367,37.38999938964844,36.802528381347656,380300.0
LOGM,2012-02-22,38.5099983215332,37.540000915527344,36.39052963256836,261400.0
LOGM,2012-02-23,38.709999084472656,37.70000076293945,36.936668395996094,263400.0
LOGM,2012-02-24,38.849998474121094,37.959999084472656,36.42885208129883,212800.0
LOGM,2012-02-27,38.93000030517578,37.33000183105469,36.39052963256836,446100.0
LOGM,2012-02-28,38.290000915527344,37.5099983215332,36.1893196105957,408600.0
