,,high,low,adjclose,volume
LOPE,2012-01-03,16.299999237060547,15.850000381469727,15.979999542236328,447600.0
LOPE,2012-01-04,16.09000015258789,15.800000190734863,16.0,341400.0
LOPE,2012-01-05,16.09000015258789,15.850000381469727,16.0,273400.0
LOPE,2012-01-06,16.139999389648438,15.84000015258789,16.059999465942383,386300.0
LOPE,2012-01-09,16.829999923706055,15.9399995803833,16.670000076293945,441300.0
LOPE,2012-01-10,17.260000228881836,16.440000534057617,16.90999984741211,464400.0
LOPE,2012-01-11,17.75,17.299999237060547,17.469999313354492,601900.0
LOPE,2012-01-12,17.780000686645508,17.329999923706055,17.479999542236328,238300.0
LOPE,2012-01-13,18.139999389648438,17.329999923706055,18.06999969482422,803000.0
LOPE,2012-01-17,18.469999313354492,18.040000915527344,18.079999923706055,612700.0
LOPE,2012-01-18,18.100000381469727,17.15999984741211,17.299999237060547,707800.0
LOPE,2012-01-19,18.489999771118164,16.90999984741211,16.950000762939453,545400.0
LOPE,2012-01-20,17.25,16.8700008392334,17.079999923706055,451700.0
LOPE,2012-01-23,17.25,16.81999969482422,16.959999084472656,239700.0
LOPE,2012-01-24,17.290000915527344,16.90999984741211,17.25,345300.0
LOPE,2012-01-25,17.5,17.059999465942383,17.360000610351562,247300.0
LOPE,2012-01-26,17.520000457763672,17.010000228881836,17.100000381469727,543400.0
LOPE,2012-01-27,17.270000457763672,16.899999618530273,17.030000686645508,370300.0
LOPE,2012-01-30,17.020000457763672,16.690000534057617,16.8799991607666,294500.0
LOPE,2012-01-31,17.0,16.700000762939453,16.780000686645508,131800.0
LOPE,2012-02-01,17.170000076293945,16.81999969482422,17.149999618530273,1194900.0
LOPE,2012-02-02,17.65999984741211,16.670000076293945,16.860000610351562,300500.0
LOPE,2012-02-03,17.25,16.739999771118164,17.100000381469727,520800.0
LOPE,2012-02-06,17.239999771118164,16.90999984741211,17.1200008392334,177500.0
LOPE,2012-02-07,17.270000457763672,16.969999313354492,17.100000381469727,328500.0
LOPE,2012-02-08,17.200000762939453,16.899999618530273,17.0,247100.0
LOPE,2012-02-09,17.510000228881836,17.010000228881836,17.469999313354492,492400.0
LOPE,2012-02-10,17.829999923706055,17.34000015258789,17.709999084472656,353600.0
LOPE,2012-02-13,17.989999771118164,17.709999084472656,17.8700008392334,270000.0
LOPE,2012-02-14,17.860000610351562,17.389999389648438,17.559999465942383,279200.0
LOPE,2012-02-15,17.760000228881836,17.229999542236328,17.280000686645508,338500.0
LOPE,2012-02-16,18.0,17.780000686645508,18.0,384700.0
LOPE,2012-02-17,18.170000076293945,17.8799991607666,18.020000457763672,332400.0
LOPE,2012-02-21,18.43000030517578,17.559999465942383,17.84000015258789,379800.0
LOPE,2012-02-22,18.260000228881836,17.459999084472656,17.479999542236328,456100.0
LOPE,2012-02-23,17.850000381469727,17.15999984741211,17.829999923706055,322200.0
LOPE,2012-02-24,18.549999237060547,17.829999923706055,18.510000228881836,611600.0
LOPE,2012-02-27,18.600000381469727,18.209999084472656,18.520000457763672,521200.0
LOPE,2012-02-28,18.049999237060547,17.43000030517578,17.440000534057617,870500.0
LOPE,2012-02-29,17.700000762939453,17.110000610351562,17.110000610351562,541900.0
LOPE,2012-03-01,17.40999984741211,17.010000228881836,17.100000381469727,355500.0
LOPE,2012-03-02,17.260000228881836,16.770000457763672,16.90999984741211,333800.0
LOPE,2012-03-05,17.079999923706055,16.670000076293945,16.959999084472656,246700.0
LOPE,2012-03-06,17.440000534057617,16.520000457763672,16.690000534057617,317300.0
LOPE,2012-03-07,17.09000015258789,16.610000610351562,16.899999618530273,267800.0
LOPE,2012-03-08,17.049999237060547,16.760000228881836,16.959999084472656,257900.0
LOPE,2012-03-09,17.520000457763672,16.959999084472656,17.229999542236328,145000.0
LOPE,2012-03-12,17.299999237060547,16.860000610351562,17.030000686645508,187100.0
LOPE,2012-03-13,17.399999618530273,17.06999969482422,17.329999923706055,227700.0
LOPE,2012-03-14,17.889999389648438,16.93000030517578,17.079999923706055,201700.0
LOPE,2012-03-15,17.639999389648438,16.899999618530273,17.639999389648438,306400.0
LOPE,2012-03-16,17.75,17.450000762939453,17.510000228881836,276700.0
LOPE,2012-03-19,17.93000030517578,17.5,17.639999389648438,220700.0
LOPE,2012-03-20,17.75,17.40999984741211,17.639999389648438,122300.0
LOPE,2012-03-21,17.850000381469727,17.520000457763672,17.65999984741211,156600.0
LOPE,2012-03-22,18.0,17.329999923706055,17.59000015258789,160400.0
LOPE,2012-03-23,17.84000015258789,17.530000686645508,17.809999465942383,163400.0
LOPE,2012-03-26,18.31999969482422,17.920000076293945,18.170000076293945,262900.0
LOPE,2012-03-27,18.030000686645508,17.670000076293945,17.899999618530273,363800.0
LOPE,2012-03-28,18.1299991607666,17.709999084472656,18.020000457763672,290100.0
LOPE,2012-03-29,18.010000228881836,17.68000030517578,17.989999771118164,250000.0
LOPE,2012-03-30,18.100000381469727,17.709999084472656,17.760000228881836,289600.0
LOPE,2012-04-02,18.459999084472656,17.6299991607666,17.760000228881836,271000.0
LOPE,2012-04-03,18.139999389648438,17.579999923706055,17.59000015258789,177100.0
LOPE,2012-04-04,17.559999465942383,17.040000915527344,17.209999084472656,136400.0
LOPE,2012-04-05,17.25,16.959999084472656,17.1299991607666,177800.0
LOPE,2012-04-09,16.940000534057617,16.3700008392334,16.6200008392334,178000.0
LOPE,2012-04-10,16.59000015258789,16.110000610351562,16.270000457763672,503500.0
LOPE,2012-04-11,16.6299991607666,16.209999084472656,16.56999969482422,262000.0
LOPE,2012-04-12,16.709999084472656,16.440000534057617,16.639999389648438,183100.0
