,,high,low,adjclose,volume
LPT,2012-01-03,31.739999771118164,30.639999389648438,20.92864227294922,750800.0
LPT,2012-01-04,31.190000534057617,30.75,20.99635124206543,1886200.0
LPT,2012-01-05,31.68000030517578,30.8700008392334,21.43645477294922,1448600.0
LPT,2012-01-06,32.029998779296875,31.399999618530273,21.53125,1468100.0
LPT,2012-01-09,31.959999084472656,31.600000381469727,21.51770782470703,924000.0
LPT,2012-01-10,32.40999984741211,31.969999313354492,21.781770706176758,857800.0
LPT,2012-01-11,32.5,32.11000061035156,21.991661071777344,1211100.0
LPT,2012-01-12,32.61000061035156,32.27000045776367,22.059371948242188,899000.0
LPT,2012-01-13,32.58000183105469,31.969999313354492,21.80884552001953,911100.0
LPT,2012-01-17,32.68000030517578,32.279998779296875,21.910417556762695,746500.0
LPT,2012-01-18,32.970001220703125,32.369998931884766,22.316661834716797,779000.0
LPT,2012-01-19,33.18000030517578,32.81999969482422,22.276042938232422,682800.0
LPT,2012-01-20,33.25,32.630001068115234,22.513015747070312,2590300.0
LPT,2012-01-23,33.720001220703125,33.16999816894531,22.810930252075195,1133400.0
LPT,2012-01-24,34.06999969482422,33.41999816894531,22.912498474121094,1124300.0
LPT,2012-01-25,34.369998931884766,33.75,23.244266510009766,796000.0
LPT,2012-01-26,34.560001373291016,33.91999816894531,23.03437614440918,980700.0
LPT,2012-01-27,34.130001068115234,33.529998779296875,22.898956298828125,942700.0
LPT,2012-01-30,33.689998626708984,33.130001068115234,22.47916603088379,1388600.0
LPT,2012-01-31,33.459999084472656,33.150001525878906,22.54010581970215,2192600.0
LPT,2012-02-01,33.84000015258789,33.36000061035156,22.858322143554688,1116000.0
LPT,2012-02-02,34.029998779296875,33.529998779296875,22.763538360595703,1134500.0
LPT,2012-02-03,33.959999084472656,33.709999084472656,22.94635009765625,1525800.0
LPT,2012-02-06,34.04999923706055,33.61000061035156,22.817705154418945,755900.0
LPT,2012-02-07,33.939998626708984,33.220001220703125,22.64166259765625,1104700.0
LPT,2012-02-08,33.849998474121094,33.45000076293945,22.865097045898438,877300.0
LPT,2012-02-09,33.90999984741211,33.290000915527344,22.628116607666016,632400.0
LPT,2012-02-10,33.52000045776367,32.83000183105469,22.411453247070312,819300.0
LPT,2012-02-13,33.880001068115234,33.349998474121094,22.919267654418945,668400.0
LPT,2012-02-14,33.70000076293945,33.16999816894531,22.567188262939453,471700.0
LPT,2012-02-15,33.56999969482422,33.18000030517578,22.553646087646484,609600.0
LPT,2012-02-16,34.119998931884766,33.310001373291016,23.047914505004883,1059500.0
LPT,2012-02-17,34.29999923706055,33.81999969482422,23.081762313842773,1179100.0
LPT,2012-02-21,34.25,33.81999969482422,23.0411434173584,1242400.0
LPT,2012-02-22,34.08000183105469,33.459999084472656,22.75,1538900.0
LPT,2012-02-23,34.060001373291016,33.540000915527344,23.027599334716797,913700.0
LPT,2012-02-24,34.040000915527344,33.529998779296875,22.986984252929688,901000.0
LPT,2012-02-27,33.93000030517578,33.349998474121094,22.858322143554688,647900.0
LPT,2012-02-28,33.84000015258789,33.459999084472656,22.777080535888672,1022700.0
LPT,2012-02-29,34.20000076293945,33.709999084472656,22.966663360595703,1105500.0
LPT,2012-03-01,34.369998931884766,33.88999938964844,23.095308303833008,574700.0
LPT,2012-03-02,34.290000915527344,33.84000015258789,23.0411434173584,671600.0
LPT,2012-03-05,34.25,33.70000076293945,23.183330535888672,512300.0
LPT,2012-03-06,34.11000061035156,33.529998779296875,22.763538360595703,448300.0
LPT,2012-03-07,33.849998474121094,33.209999084472656,22.919267654418945,515300.0
LPT,2012-03-08,34.0,33.4900016784668,22.82447624206543,603300.0
LPT,2012-03-09,34.22999954223633,33.689998626708984,22.858322143554688,685500.0
LPT,2012-03-12,34.20000076293945,33.849998474121094,23.074995040893555,457500.0
LPT,2012-03-13,34.939998626708984,34.06999969482422,23.630207061767578,801800.0
LPT,2012-03-14,34.97999954223633,34.04999923706055,23.203641891479492,1442900.0
LPT,2012-03-15,34.599998474121094,34.130001068115234,23.30521011352539,930200.0
LPT,2012-03-16,34.79999923706055,34.41999816894531,23.400001525878906,1424200.0
LPT,2012-03-19,34.7400016784668,34.34000015258789,23.3593692779541,942900.0
LPT,2012-03-20,34.560001373291016,34.29999923706055,23.325519561767578,809700.0
LPT,2012-03-21,34.59000015258789,34.310001373291016,23.23749351501465,833300.0
LPT,2012-03-22,34.099998474121094,33.59000015258789,22.858322143554688,951900.0
LPT,2012-03-23,34.38999938964844,33.70000076293945,23.223953247070312,1090800.0
LPT,2012-03-26,34.97999954223633,34.61000061035156,23.67759895324707,866700.0
LPT,2012-03-27,35.540000915527344,34.95000076293945,23.968751907348633,1087600.0
LPT,2012-03-28,35.650001525878906,35.119998931884766,23.989059448242188,997600.0
LPT,2012-03-29,35.150001525878906,34.689998626708984,24.04738998413086,834800.0
LPT,2012-03-30,35.75,35.11000061035156,24.514062881469727,1521900.0
LPT,2012-04-02,36.220001220703125,35.47999954223633,24.829755783081055,1154800.0
LPT,2012-04-03,36.279998779296875,35.939998626708984,24.816024780273438,1175200.0
LPT,2012-04-04,35.970001220703125,35.459999084472656,24.527790069580078,604300.0
LPT,2012-04-05,35.91999816894531,35.5099983215332,24.411128997802734,799000.0
LPT,2012-04-09,35.61000061035156,35.0,24.253278732299805,987100.0
LPT,2012-04-10,35.61000061035156,34.619998931884766,23.814058303833008,1374500.0
LPT,2012-04-11,35.09000015258789,34.810001373291016,24.02680015563965,1009000.0
LPT,2012-04-12,35.720001220703125,35.09000015258789,24.43170928955078,1437100.0
LPT,2012-04-13,35.720001220703125,35.349998474121094,24.27386474609375,837000.0
LPT,2012-04-16,36.09000015258789,35.439998626708984,24.678770065307617,935600.0
LPT,2012-04-17,36.5,35.900001525878906,24.918975830078125,512200.0
LPT,2012-04-18,36.33000183105469,36.0099983215332,24.74053382873535,484800.0
LPT,2012-04-19,36.310001373291016,35.70000076293945,24.864076614379883,832500.0
