,,high,low,adjclose,volume
MAT,2012-01-03,28.989999771118164,27.729999542236328,21.3239803314209,3353500.0
MAT,2012-01-04,28.299999237060547,27.81999969482422,21.646604537963867,2587800.0
MAT,2012-01-05,28.5,27.90999984741211,21.869369506835938,2948000.0
MAT,2012-01-06,28.5,28.110000610351562,21.631240844726562,3046000.0
MAT,2012-01-09,28.56999969482422,28.280000686645508,21.91545867919922,5016300.0
MAT,2012-01-10,28.93000030517578,28.690000534057617,22.15358543395996,2260900.0
MAT,2012-01-11,29.139999389648438,28.829999923706055,22.29185676574707,1966000.0
MAT,2012-01-12,29.1200008392334,28.770000457763672,22.199674606323242,2525800.0
MAT,2012-01-13,28.889999389648438,28.059999465942383,21.615880966186523,3737300.0
MAT,2012-01-17,28.559999465942383,27.989999771118164,21.66965103149414,3728800.0
MAT,2012-01-18,28.81999969482422,28.040000915527344,22.13054084777832,2179500.0
MAT,2012-01-19,28.760000228881836,28.1200008392334,22.023006439208984,3669100.0
MAT,2012-01-20,28.709999084472656,28.43000030517578,21.91545867919922,2893300.0
MAT,2012-01-23,29.09000015258789,28.520000457763672,22.199674606323242,4033000.0
MAT,2012-01-24,29.15999984741211,28.770000457763672,22.345626831054688,2078000.0
MAT,2012-01-25,29.6299991607666,28.799999237060547,22.683612823486328,2550800.0
MAT,2012-01-26,29.75,29.40999984741211,22.698972702026367,2191100.0
MAT,2012-01-27,29.739999771118164,29.31999969482422,22.545345306396484,2953100.0
MAT,2012-01-30,29.709999084472656,28.969999313354492,22.683612823486328,3745200.0
MAT,2012-01-31,31.489999771118164,30.030000686645508,23.812801361083984,11850800.0
MAT,2012-02-01,31.690000534057617,30.31999969482422,23.812801361083984,7179400.0
MAT,2012-02-02,31.360000610351562,30.920000076293945,23.8588924407959,4883900.0
MAT,2012-02-03,31.75,31.15999984741211,24.219924926757812,3614900.0
MAT,2012-02-06,31.760000228881836,31.18000030517578,24.388914108276367,2731900.0
MAT,2012-02-07,32.209999084472656,31.389999389648438,24.58095932006836,3877400.0
MAT,2012-02-08,32.150001525878906,31.709999084472656,24.388914108276367,3343700.0
MAT,2012-02-09,32.22999954223633,31.799999237060547,24.726911544799805,3377800.0
MAT,2012-02-10,32.209999084472656,31.860000610351562,24.7115421295166,7522100.0
MAT,2012-02-13,32.59000015258789,32.27000045776367,24.888216018676758,7738200.0
MAT,2012-02-14,32.540000915527344,32.27000045776367,24.957359313964844,2886200.0
MAT,2012-02-15,32.689998626708984,32.310001373291016,24.880537033081055,4024500.0
MAT,2012-02-16,32.790000915527344,32.439998626708984,25.034164428710938,3712600.0
MAT,2012-02-17,32.7400016784668,32.220001220703125,24.918943405151367,5398300.0
MAT,2012-02-21,32.290000915527344,31.899999618530273,24.833635330200195,3510600.0
MAT,2012-02-22,32.20000076293945,31.709999084472656,24.825876235961914,3176800.0
MAT,2012-02-23,32.470001220703125,31.90999984741211,25.05854606628418,3018800.0
MAT,2012-02-24,32.38999938964844,32.09000015258789,24.942214965820312,4679600.0
MAT,2012-02-27,32.470001220703125,31.84000015258789,25.07406234741211,1939400.0
MAT,2012-02-28,32.689998626708984,32.290000915527344,25.275707244873047,2440900.0
MAT,2012-02-29,32.70000076293945,32.43000030517578,25.159366607666016,2816100.0
MAT,2012-03-01,32.95000076293945,32.470001220703125,25.454086303710938,2510000.0
MAT,2012-03-02,32.88999938964844,32.400001525878906,25.345510482788086,2431200.0
MAT,2012-03-05,33.099998474121094,32.599998474121094,25.61695671081543,2555300.0
MAT,2012-03-06,33.130001068115234,32.209999084472656,24.99650001525879,4139500.0
MAT,2012-03-07,32.560001373291016,32.189998626708984,25.205904006958008,2061300.0
MAT,2012-03-08,33.150001525878906,32.619998931884766,25.640222549438477,1689600.0
MAT,2012-03-09,33.400001525878906,32.970001220703125,25.89615821838379,1503200.0
MAT,2012-03-12,33.540000915527344,33.279998779296875,25.89615821838379,1462200.0
MAT,2012-03-13,33.650001525878906,33.25,26.004735946655273,3258400.0
MAT,2012-03-14,33.58000183105469,33.310001373291016,25.91942596435547,1885300.0
MAT,2012-03-15,33.47999954223633,33.040000915527344,25.87289047241211,1869000.0
MAT,2012-03-16,33.459999084472656,32.970001220703125,25.640222549438477,3768200.0
MAT,2012-03-19,33.70000076293945,33.0,26.004735946655273,1719500.0
MAT,2012-03-20,33.619998931884766,33.25,25.98147201538086,1654200.0
MAT,2012-03-21,33.54999923706055,33.29999923706055,25.84186363220215,1619400.0
MAT,2012-03-22,33.70000076293945,33.029998779296875,26.090051651000977,1715200.0
MAT,2012-03-23,33.81999969482422,33.27000045776367,26.18311882019043,1733400.0
MAT,2012-03-26,34.47999954223633,33.810001373291016,26.663972854614258,2376500.0
MAT,2012-03-27,34.619998931884766,34.2400016784668,26.663972854614258,1561400.0
MAT,2012-03-28,34.45000076293945,33.83000183105469,26.446809768676758,1475200.0
MAT,2012-03-29,34.06999969482422,33.66999816894531,26.392520904541016,1303000.0
MAT,2012-03-30,34.369998931884766,33.63999938964844,26.105558395385742,2367400.0
MAT,2012-04-02,34.22999954223633,33.619998931884766,26.470081329345703,3420000.0
MAT,2012-04-03,34.560001373291016,34.04999923706055,26.555391311645508,2883400.0
MAT,2012-04-04,34.25,33.83000183105469,26.276187896728516,3045400.0
MAT,2012-04-05,34.06999969482422,33.66999816894531,26.307207107543945,3576100.0
MAT,2012-04-09,33.72999954223633,33.25,26.090051651000977,2199400.0
MAT,2012-04-10,33.75,32.939998626708984,25.59368324279785,2527600.0
MAT,2012-04-11,33.75,33.08000183105469,26.121074676513672,1980300.0
MAT,2012-04-12,34.5,33.7599983215332,26.6019229888916,2659200.0
MAT,2012-04-13,34.34000015258789,33.959999084472656,26.470081329345703,2738100.0
MAT,2012-04-16,32.66999816894531,30.549999237060547,24.050312042236328,16693100.0
MAT,2012-04-17,31.8799991607666,31.18000030517578,24.66301155090332,5541500.0
MAT,2012-04-18,32.40999984741211,31.670000076293945,24.90343475341797,4167600.0
MAT,2012-04-19,32.349998474121094,31.739999771118164,24.631988525390625,4060200.0
MAT,2012-04-20,32.439998626708984,31.760000228881836,24.864656448364258,2725900.0
MAT,2012-04-23,31.829999923706055,31.31999969482422,24.67076301574707,2786500.0
MAT,2012-04-24,32.43000030517578,31.850000381469727,25.07406234741211,3042600.0
MAT,2012-04-25,32.97999954223633,32.29999923706055,25.500621795654297,2625200.0
MAT,2012-04-26,33.33000183105469,32.5099983215332,25.779821395874023,3088500.0
MAT,2012-04-27,33.650001525878906,33.13999938964844,25.996984481811523,2045400.0
MAT,2012-04-30,33.709999084472656,33.31999969482422,26.059024810791016,2526100.0
MAT,2012-05-01,34.06999969482422,33.630001068115234,26.214143753051758,2391000.0
MAT,2012-05-02,33.95000076293945,33.33000183105469,26.268430709838867,5600300.0
MAT,2012-05-03,33.88999938964844,33.349998474121094,26.051279067993164,2682500.0
MAT,2012-05-04,33.439998626708984,32.849998474121094,25.578174591064453,2327100.0
MAT,2012-05-07,33.02000045776367,32.720001220703125,25.539400100708008,2720600.0
MAT,2012-05-08,32.689998626708984,31.950000762939453,25.221418380737305,2772900.0
MAT,2012-05-09,32.22999954223633,31.68000030517578,24.887924194335938,2660200.0
MAT,2012-05-10,32.720001220703125,32.279998779296875,25.143857955932617,11600000.0
MAT,2012-05-11,32.81999969482422,32.20000076293945,25.18263816833496,3321800.0
MAT,2012-05-14,32.27000045776367,31.700000762939453,24.71729850769043,7603100.0
MAT,2012-05-15,32.40999984741211,31.75,24.802610397338867,1888300.0
MAT,2012-05-16,32.349998474121094,31.959999084472656,24.88016700744629,2964100.0
MAT,2012-05-17,32.150001525878906,31.049999237060547,24.096845626831055,3292700.0
MAT,2012-05-18,31.6200008392334,31.040000915527344,24.14337921142578,3997200.0
MAT,2012-05-21,31.329999923706055,30.579999923706055,24.480228424072266,2178600.0
MAT,2012-05-22,31.549999237060547,31.190000534057617,24.56639862060547,2526100.0
MAT,2012-05-23,31.34000015258789,30.719999313354492,24.417556762695312,3400000.0
MAT,2012-05-24,31.260000228881836,30.729999542236328,24.31572151184082,4139300.0
MAT,2012-05-25,31.40999984741211,30.799999237060547,24.48805809020996,2631400.0
MAT,2012-05-29,31.770000457763672,31.209999084472656,24.68390655517578,1825900.0
MAT,2012-05-30,31.3799991607666,30.940000534057617,24.417556762695312,1640100.0
MAT,2012-05-31,31.34000015258789,30.84000015258789,24.386226654052734,2339300.0
MAT,2012-06-01,31.020000457763672,30.40999984741211,23.939708709716797,3368200.0
MAT,2012-06-04,30.790000915527344,30.149999618530273,23.955373764038086,2234300.0
MAT,2012-06-05,30.829999923706055,30.280000686645508,24.112043380737305,2215000.0
MAT,2012-06-06,31.649999618530273,31.020000457763672,24.730905532836914,5318500.0
MAT,2012-06-07,32.04999923706055,31.459999084472656,24.70740509033203,2826700.0
MAT,2012-06-08,31.889999389648438,31.260000228881836,24.824909210205078,2025600.0
MAT,2012-06-11,32.0,31.3700008392334,24.589900970458984,2477900.0
MAT,2012-06-12,32.150001525878906,31.450000762939453,25.153921127319336,2196800.0
MAT,2012-06-13,32.22999954223633,31.6299991607666,24.879745483398438,2012500.0
MAT,2012-06-14,32.33000183105469,31.799999237060547,25.169591903686523,1949000.0
MAT,2012-06-15,32.689998626708984,32.11000061035156,25.381101608276367,2721800.0
MAT,2012-06-18,32.619998931884766,32.029998779296875,25.39676284790039,1486500.0
MAT,2012-06-19,32.77000045776367,32.349998474121094,25.40460205078125,2262700.0
MAT,2012-06-20,32.630001068115234,32.16999816894531,25.412433624267578,1725500.0
MAT,2012-06-21,32.7400016784668,31.940000534057617,25.08342170715332,1555500.0
MAT,2012-06-22,32.369998931884766,32.0,25.232263565063477,1645200.0
