,,high,low,adjclose,volume
MIC,2012-01-03,28.389999389648438,28.010000228881836,16.578149795532227,226800.0
MIC,2012-01-04,28.389999389648438,27.850000381469727,16.589916229248047,193900.0
MIC,2012-01-05,28.809999465942383,27.959999084472656,16.742870330810547,224000.0
MIC,2012-01-06,29.139999389648438,28.239999771118164,16.884063720703125,74600.0
MIC,2012-01-09,29.18000030517578,28.56999969482422,17.084083557128906,68300.0
MIC,2012-01-10,29.31999969482422,28.549999237060547,16.91347885131836,133000.0
MIC,2012-01-11,29.020000457763672,28.399999618530273,17.00172233581543,34600.0
MIC,2012-01-12,29.100000381469727,28.360000610351562,17.1193790435791,110200.0
MIC,2012-01-13,29.209999084472656,28.610000610351562,17.095848083496094,73900.0
MIC,2012-01-17,29.3700008392334,28.540000915527344,16.919357299804688,111600.0
MIC,2012-01-18,29.09000015258789,28.739999771118164,16.91347885131836,65400.0
MIC,2012-01-19,28.860000610351562,28.440000534057617,16.789926528930664,420400.0
MIC,2012-01-20,28.59000015258789,27.8799991607666,16.501665115356445,153300.0
MIC,2012-01-23,28.139999389648438,27.719999313354492,16.360475540161133,88200.0
MIC,2012-01-24,28.15999984741211,27.59000015258789,16.542850494384766,87100.0
MIC,2012-01-25,28.149999618530273,27.780000686645508,16.489904403686523,140400.0
MIC,2012-01-26,28.479999542236328,27.479999542236328,16.284000396728516,177600.0
MIC,2012-01-27,27.899999618530273,27.549999237060547,16.260467529296875,97000.0
MIC,2012-01-30,27.899999618530273,27.25,16.336946487426758,312200.0
MIC,2012-01-31,27.799999237060547,27.489999771118164,16.21928596496582,202300.0
MIC,2012-02-01,28.770000457763672,27.81999969482422,16.878177642822266,157000.0
MIC,2012-02-02,28.920000076293945,28.6200008392334,16.989957809448242,73400.0
MIC,2012-02-03,29.100000381469727,28.729999542236328,17.048784255981445,97600.0
MIC,2012-02-06,29.309999465942383,28.850000381469727,17.031129837036133,86000.0
MIC,2012-02-07,29.030000686645508,28.760000228881836,17.060550689697266,59900.0
MIC,2012-02-08,29.059999465942383,28.68000030517578,16.96642303466797,62300.0
MIC,2012-02-09,29.059999465942383,28.75,17.042896270751953,51100.0
MIC,2012-02-10,29.09000015258789,28.510000228881836,16.901710510253906,78200.0
MIC,2012-02-13,29.25,28.799999237060547,16.99583625793457,106400.0
MIC,2012-02-14,28.950000762939453,28.700000762939453,16.919357299804688,54600.0
MIC,2012-02-15,29.06999969482422,28.579999923706055,17.019371032714844,84300.0
MIC,2012-02-16,29.309999465942383,28.950000762939453,17.2135066986084,76900.0
MIC,2012-02-17,29.65999984741211,29.200000762939453,17.389991760253906,89800.0
MIC,2012-02-21,29.559999465942383,28.729999542236328,17.025251388549805,150200.0
MIC,2012-02-22,29.079999923706055,28.670000076293945,17.00172233581543,221500.0
MIC,2012-02-23,31.31999969482422,29.969999313354492,17.684139251708984,517800.0
MIC,2012-02-24,30.34000015258789,29.75,17.51941680908203,376100.0
MIC,2012-02-27,30.040000915527344,29.469999313354492,17.548839569091797,231500.0
MIC,2012-02-28,30.1200008392334,29.6200008392334,17.62531280517578,184200.0
MIC,2012-02-29,30.110000610351562,29.809999465942383,17.601776123046875,291700.0
MIC,2012-03-01,30.59000015258789,29.549999237060547,17.74392318725586,362400.0
MIC,2012-03-02,30.3700008392334,29.729999542236328,17.74984359741211,97400.0
MIC,2012-03-05,30.68000030517578,29.719999313354492,18.111116409301758,176400.0
MIC,2012-03-06,30.809999465942383,29.700000762939453,18.247337341308594,260600.0
MIC,2012-03-07,31.18000030517578,30.270000457763672,18.442779541015625,117900.0
MIC,2012-03-08,31.81999969482422,31.170000076293945,18.655994415283203,169700.0
MIC,2012-03-09,31.75,31.040000915527344,18.5316219329834,150900.0
MIC,2012-03-12,31.600000381469727,30.950000762939453,18.419090270996094,84300.0
MIC,2012-03-13,31.600000381469727,31.040000915527344,18.638221740722656,146000.0
MIC,2012-03-14,31.690000534057617,31.450000762939453,18.750751495361328,154900.0
MIC,2012-03-15,32.0099983215332,31.5,18.958044052124023,160100.0
MIC,2012-03-16,32.689998626708984,31.860000610351562,19.33708381652832,425300.0
MIC,2012-03-19,33.0,32.310001373291016,19.295625686645508,249600.0
MIC,2012-03-20,33.349998474121094,32.130001068115234,19.69835662841797,313600.0
MIC,2012-03-21,33.290000915527344,32.84000015258789,19.526607513427734,199800.0
MIC,2012-03-22,32.810001373291016,32.2599983215332,19.307466506958008,158800.0
MIC,2012-03-23,32.61000061035156,32.29999923706055,19.17717742919922,135000.0
MIC,2012-03-26,32.869998931884766,32.47999954223633,19.449609756469727,134200.0
MIC,2012-03-27,32.79999923706055,32.43000030517578,19.301546096801758,85800.0
MIC,2012-03-28,32.619998931884766,32.2599983215332,19.194942474365234,75800.0
MIC,2012-03-29,32.63999938964844,32.08000183105469,19.307466506958008,115700.0
MIC,2012-03-30,33.2599983215332,32.61000061035156,19.538450241088867,127500.0
MIC,2012-04-02,35.0,33.2599983215332,20.373523712158203,764300.0
MIC,2012-04-03,34.72999954223633,34.0,20.320226669311523,121500.0
MIC,2012-04-04,34.02000045776367,33.7599983215332,20.10108757019043,66400.0
MIC,2012-04-05,33.9900016784668,33.5,20.03594207763672,55800.0
MIC,2012-04-09,33.56999969482422,33.0099983215332,19.816804885864258,46700.0
MIC,2012-04-10,33.38999938964844,32.27000045776367,19.18902015686035,241100.0
MIC,2012-04-11,33.150001525878906,32.63999938964844,19.491069793701172,90400.0
MIC,2012-04-12,33.65999984741211,32.95000076293945,19.65097999572754,147500.0
MIC,2012-04-13,33.38999938964844,32.790000915527344,19.662822723388672,184400.0
