,,high,low,adjclose,volume
MKC,2012-01-03,51.060001373291016,50.31999969482422,43.342796325683594,511900.0
MKC,2012-01-04,50.529998779296875,49.970001220703125,43.342796325683594,374800.0
MKC,2012-01-05,50.56999969482422,50.040000915527344,43.394466400146484,525500.0
MKC,2012-01-06,50.47999954223633,50.189998626708984,43.394466400146484,454000.0
MKC,2012-01-09,50.810001373291016,50.400001525878906,43.62703323364258,294700.0
MKC,2012-01-10,51.189998626708984,50.84000015258789,44.092166900634766,362000.0
MKC,2012-01-11,51.2400016784668,50.7599983215332,44.023250579833984,434900.0
MKC,2012-01-12,51.41999816894531,51.040000915527344,44.13523483276367,263400.0
MKC,2012-01-13,51.36000061035156,50.95000076293945,44.10939025878906,356800.0
MKC,2012-01-17,51.86000061035156,51.349998474121094,44.273048400878906,349900.0
MKC,2012-01-18,51.97999954223633,51.099998474121094,44.72955322265625,427000.0
MKC,2012-01-19,52.209999084472656,51.4900016784668,44.85014724731445,469600.0
MKC,2012-01-20,52.02000045776367,51.0,44.36777877807617,666000.0
MKC,2012-01-23,51.70000076293945,51.0099983215332,44.195518493652344,505500.0
MKC,2012-01-24,51.470001220703125,51.029998779296875,43.99741744995117,528300.0
MKC,2012-01-25,51.91999816894531,50.90999984741211,44.66926193237305,473500.0
MKC,2012-01-26,51.58000183105469,50.47999954223633,43.98879623413086,892200.0
MKC,2012-01-27,50.97999954223633,50.06999969482422,43.420318603515625,743100.0
MKC,2012-01-30,50.75,50.0,43.60118865966797,490400.0
MKC,2012-01-31,50.869998931884766,50.279998779296875,43.532291412353516,452100.0
MKC,2012-02-01,51.33000183105469,50.560001373291016,43.99741744995117,614200.0
MKC,2012-02-02,51.63999938964844,50.97999954223633,44.229976654052734,581200.0
MKC,2012-02-03,51.709999084472656,51.119998931884766,44.13523483276367,527400.0
MKC,2012-02-06,51.380001068115234,50.93000030517578,44.057708740234375,337600.0
MKC,2012-02-07,51.029998779296875,50.4900016784668,43.48922348022461,560100.0
MKC,2012-02-08,50.790000915527344,50.459999084472656,43.5839729309082,415000.0
MKC,2012-02-09,50.779998779296875,50.290000915527344,43.60118865966797,659700.0
MKC,2012-02-10,50.52000045776367,50.20000076293945,43.45477294921875,382400.0
MKC,2012-02-13,50.810001373291016,50.290000915527344,43.3858642578125,461700.0
MKC,2012-02-14,50.560001373291016,50.2599983215332,43.342796325683594,615100.0
MKC,2012-02-15,50.66999816894531,50.15999984741211,43.2480354309082,493900.0
MKC,2012-02-16,50.599998474121094,49.869998931884766,43.47200393676758,533700.0
MKC,2012-02-17,50.880001068115234,50.40999984741211,43.739017486572266,627000.0
MKC,2012-02-21,50.83000183105469,50.06999969482422,43.25666809082031,567100.0
MKC,2012-02-22,50.369998931884766,49.95000076293945,43.07577896118164,428900.0
MKC,2012-02-23,50.22999954223633,49.88999938964844,43.17914581298828,499900.0
MKC,2012-02-24,50.369998931884766,49.9900016784668,43.30833435058594,677900.0
MKC,2012-02-27,50.58000183105469,49.93000030517578,43.532291412353516,694600.0
MKC,2012-02-28,50.939998626708984,50.29999923706055,43.36001968383789,531200.0
MKC,2012-02-29,50.86000061035156,50.150001525878906,43.45477294921875,788000.0
MKC,2012-03-01,50.70000076293945,50.2599983215332,43.43753433227539,690200.0
MKC,2012-03-02,51.0,50.279998779296875,43.75623321533203,779000.0
MKC,2012-03-05,51.0,50.66999816894531,43.773468017578125,450900.0
MKC,2012-03-06,50.90999984741211,50.400001525878906,43.43753433227539,552200.0
MKC,2012-03-07,50.790000915527344,50.16999816894531,43.661476135253906,603600.0
MKC,2012-03-08,51.0,50.619998931884766,43.739017486572266,406500.0
MKC,2012-03-09,51.150001525878906,50.56999969482422,43.91127395629883,499300.0
MKC,2012-03-12,51.45000076293945,50.88999938964844,44.23858642578125,372900.0
MKC,2012-03-13,51.83000183105469,51.33000183105469,44.600345611572266,517700.0
MKC,2012-03-14,51.79999923706055,51.34000015258789,44.273048400878906,511800.0
MKC,2012-03-15,51.709999084472656,51.33000183105469,44.51422119140625,361900.0
MKC,2012-03-16,52.2599983215332,51.72999954223633,44.557281494140625,885700.0
MKC,2012-03-19,52.0,51.599998474121094,44.74678039550781,463100.0
MKC,2012-03-20,51.95000076293945,51.599998474121094,44.557281494140625,453100.0
MKC,2012-03-21,51.95000076293945,51.689998626708984,44.72955322265625,395800.0
MKC,2012-03-22,52.15999984741211,51.52000045776367,44.85014724731445,416500.0
MKC,2012-03-23,52.2400016784668,51.970001220703125,44.91904830932617,647700.0
MKC,2012-03-26,53.060001373291016,52.34000015258789,45.66841506958008,759700.0
MKC,2012-03-27,54.54999923706055,53.20000076293945,46.70204162597656,1187200.0
MKC,2012-03-28,54.47999954223633,53.95000076293945,46.71925354003906,797900.0
MKC,2012-03-29,54.36000061035156,53.93000030517578,46.59866714477539,1227400.0
MKC,2012-03-30,54.630001068115234,54.209999084472656,46.88291549682617,605700.0
MKC,2012-04-02,55.22999954223633,54.380001068115234,47.425559997558594,927100.0
MKC,2012-04-03,55.11000061035156,54.439998626708984,47.27913284301758,665700.0
MKC,2012-04-04,54.72999954223633,54.16999816894531,47.079891204833984,727400.0
MKC,2012-04-05,54.4900016784668,53.93000030517578,47.12321090698242,806900.0
MKC,2012-04-09,53.9900016784668,53.709999084472656,46.66410446166992,507500.0
MKC,2012-04-10,53.970001220703125,53.36000061035156,46.248313903808594,567500.0
MKC,2012-04-11,53.959999084472656,53.310001373291016,46.61213684082031,532900.0
MKC,2012-04-12,54.0099983215332,53.619998931884766,46.785369873046875,413200.0
MKC,2012-04-13,54.45000076293945,53.689998626708984,46.516849517822266,446000.0
MKC,2012-04-16,54.220001220703125,53.72999954223633,46.82002258300781,420300.0
MKC,2012-04-17,54.959999084472656,54.130001068115234,47.32244110107422,589700.0
MKC,2012-04-18,54.70000076293945,54.31999969482422,47.34843444824219,376800.0
MKC,2012-04-19,54.9900016784668,54.380001068115234,47.59097671508789,525400.0
MKC,2012-04-20,55.599998474121094,55.040000915527344,47.99810028076172,638400.0
MKC,2012-04-23,55.11000061035156,54.29999923706055,47.313777923583984,536500.0
MKC,2012-04-24,55.2400016784668,54.619998931884766,47.53900146484375,296500.0
MKC,2012-04-25,55.279998779296875,54.91999816894531,47.73823928833008,364800.0
MKC,2012-04-26,55.75,54.959999084472656,48.1453742980957,436200.0
MKC,2012-04-27,56.16999816894531,55.59000015258789,48.49186706542969,448100.0
MKC,2012-04-30,55.93000030517578,55.66999816894531,48.43122482299805,470500.0
MKC,2012-05-01,56.2599983215332,55.45000076293945,48.422569274902344,554900.0
MKC,2012-05-02,55.90999984741211,55.560001373291016,48.33594512939453,427700.0
MKC,2012-05-03,56.060001373291016,55.56999969482422,48.26664352416992,400300.0
MKC,2012-05-04,55.95000076293945,55.560001373291016,48.327274322509766,452000.0
MKC,2012-05-07,56.31999969482422,55.630001068115234,48.73440170288086,425900.0
MKC,2012-05-08,56.5,55.90999984741211,48.916316986083984,481000.0
MKC,2012-05-09,56.68000030517578,56.099998474121094,48.77771759033203,614800.0
MKC,2012-05-10,57.130001068115234,56.41999816894531,49.27147674560547,515500.0
MKC,2012-05-11,57.06999969482422,56.599998474121094,49.02892303466797,560400.0
MKC,2012-05-14,56.880001068115234,56.16999816894531,49.11555099487305,525800.0
MKC,2012-05-15,57.20000076293945,56.369998931884766,49.2628173828125,827000.0
MKC,2012-05-16,57.5099983215332,56.91999816894531,49.72191619873047,517700.0
MKC,2012-05-17,57.58000183105469,56.709999084472656,49.12419891357422,382700.0
MKC,2012-05-18,57.25,56.25,48.881675720214844,758000.0
MKC,2012-05-21,56.88999938964844,56.16999816894531,49.18484115600586,610100.0
MKC,2012-05-22,57.15999984741211,56.630001068115234,49.21949005126953,355800.0
MKC,2012-05-23,56.93000030517578,56.34000015258789,49.05491256713867,608000.0
MKC,2012-05-24,57.06999969482422,56.54999923706055,49.21949005126953,586000.0
MKC,2012-05-25,57.130001068115234,56.68000030517578,49.2628173828125,573800.0
MKC,2012-05-29,57.459999084472656,56.95000076293945,49.669944763183594,473100.0
MKC,2012-05-30,57.36000061035156,56.56999969482422,49.002933502197266,514200.0
MKC,2012-05-31,56.81999969482422,56.16999816894531,48.82102584838867,784400.0
MKC,2012-06-01,56.189998626708984,55.099998474121094,47.816200256347656,910200.0
MKC,2012-06-04,55.560001373291016,54.810001373291016,47.92013931274414,983400.0
MKC,2012-06-05,55.34000015258789,54.86000061035156,47.79888153076172,450000.0
MKC,2012-06-06,55.79999923706055,55.16999816894531,48.33594512939453,635900.0
MKC,2012-06-07,56.189998626708984,55.369998931884766,48.0933952331543,2295000.0
MKC,2012-06-08,55.79999923706055,55.29999923706055,48.33594512939453,961300.0
MKC,2012-06-11,56.43000030517578,55.81999969482422,48.379249572753906,689800.0
MKC,2012-06-12,56.310001373291016,55.90999984741211,48.70841979980469,511500.0
MKC,2012-06-13,56.779998779296875,56.09000015258789,48.74306869506836,532300.0
MKC,2012-06-14,56.779998779296875,56.310001373291016,49.063568115234375,403300.0
MKC,2012-06-15,57.84000015258789,56.70000076293945,50.03376388549805,822600.0
MKC,2012-06-18,58.439998626708984,57.41999816894531,50.54483413696289,516100.0
MKC,2012-06-19,59.029998779296875,58.150001525878906,51.003944396972656,611000.0
MKC,2012-06-20,59.2400016784668,58.16999816894531,50.856689453125,580300.0
MKC,2012-06-21,58.93000030517578,57.689998626708984,50.01643753051758,526000.0
MKC,2012-06-22,58.15999984741211,57.7599983215332,50.12905502319336,1034600.0
MKC,2012-06-25,57.70000076293945,57.099998474121094,49.652618408203125,593700.0
MKC,2012-06-26,57.650001525878906,57.04999923706055,49.739234924316406,619500.0
MKC,2012-06-27,59.40999984741211,57.0099983215332,51.185855865478516,1076600.0
MKC,2012-06-28,59.18000030517578,58.439998626708984,51.159873962402344,1046400.0
MKC,2012-06-29,60.650001525878906,59.34000015258789,52.53717803955078,950900.0
MKC,2012-07-02,61.20000076293945,60.43000030517578,52.79704666137695,805400.0
MKC,2012-07-03,61.790000915527344,60.7599983215332,53.43806076049805,520200.0
MKC,2012-07-05,61.689998626708984,61.06999969482422,53.69054412841797,994500.0
MKC,2012-07-06,61.20000076293945,60.81999969482422,53.04627990722656,415500.0
MKC,2012-07-09,61.040000915527344,60.13999938964844,52.52392578125,598900.0
MKC,2012-07-10,61.150001525878906,60.470001220703125,52.9853515625,961800.0
MKC,2012-07-11,61.09000015258789,60.599998474121094,52.97665023803711,557800.0
MKC,2012-07-12,60.900001525878906,60.2599983215332,52.724159240722656,696600.0
MKC,2012-07-13,61.20000076293945,60.560001373291016,53.020172119140625,515500.0
MKC,2012-07-16,61.0,60.279998779296875,52.56745529174805,402100.0
MKC,2012-07-17,60.68000030517578,60.0,52.680625915527344,481300.0
MKC,2012-07-18,61.02000045776367,60.40999984741211,53.01146697998047,552700.0
MKC,2012-07-19,61.41999816894531,60.77000045776367,53.34230041503906,719600.0
MKC,2012-07-20,61.41999816894531,60.709999084472656,53.00275421142578,1483000.0
MKC,2012-07-23,60.58000183105469,59.709999084472656,52.10601806640625,516500.0
MKC,2012-07-24,59.970001220703125,59.0,52.10601806640625,695100.0
MKC,2012-07-25,60.369998931884766,59.470001220703125,51.92320251464844,360600.0
MKC,2012-07-26,60.81999969482422,60.13999938964844,52.77639389038086,378800.0
MKC,2012-07-27,61.38999938964844,60.630001068115234,53.34230041503906,547600.0
MKC,2012-07-30,61.369998931884766,60.880001068115234,53.42935562133789,489700.0
MKC,2012-07-31,61.470001220703125,60.869998931884766,53.00275421142578,371500.0
