,,high,low,adjclose,volume
MMC,2012-01-03,32.2599983215332,31.770000457763672,26.636240005493164,3360900.0
MMC,2012-01-04,31.850000381469727,31.34000015258789,26.334890365600586,4133600.0
MMC,2012-01-05,31.329999923706055,30.989999771118164,26.07538604736328,2980200.0
MMC,2012-01-06,31.329999923706055,30.709999084472656,25.715438842773438,3355200.0
MMC,2012-01-09,31.079999923706055,30.690000534057617,25.774038314819336,2817200.0
MMC,2012-01-10,31.06999969482422,30.790000915527344,25.974945068359375,2587000.0
MMC,2012-01-11,31.309999465942383,30.75,26.108882904052734,2635400.0
MMC,2012-01-12,31.479999542236328,31.1200008392334,26.25955581665039,7930700.0
MMC,2012-01-13,31.40999984741211,30.93000030517578,26.25955581665039,10252000.0
MMC,2012-01-17,31.860000610351562,31.270000457763672,26.22606658935547,9129700.0
MMC,2012-01-18,31.489999771118164,31.25,26.360000610351562,1842100.0
MMC,2012-01-19,31.6200008392334,31.170000076293945,26.360000610351562,3017700.0
MMC,2012-01-20,31.639999389648438,31.31999969482422,26.477190017700195,2334600.0
MMC,2012-01-23,31.6200008392334,31.270000457763672,26.284664154052734,1520300.0
MMC,2012-01-24,31.420000076293945,31.06999969482422,26.07538604736328,2053200.0
MMC,2012-01-25,31.540000915527344,31.06999969482422,26.376745223999023,2308400.0
MMC,2012-01-26,31.799999237060547,31.299999237060547,26.781368255615234,2646000.0
MMC,2012-01-27,31.940000534057617,31.489999771118164,26.781368255615234,2914100.0
MMC,2012-01-30,31.68000030517578,31.280000686645508,26.6380615234375,2261800.0
MMC,2012-01-31,31.940000534057617,31.43000030517578,26.6296329498291,2417100.0
MMC,2012-02-01,32.4900016784668,31.739999771118164,27.059553146362305,3863300.0
MMC,2012-02-02,32.220001220703125,31.829999923706055,26.907821655273438,2233100.0
MMC,2012-02-03,32.54999923706055,32.040000915527344,27.422033309936523,3624400.0
MMC,2012-02-06,32.369998931884766,32.02000045776367,27.17757225036621,2381600.0
MMC,2012-02-07,32.720001220703125,32.04999923706055,27.497896194458008,2909800.0
MMC,2012-02-08,32.66999816894531,32.31999969482422,27.337732315063477,2560400.0
MMC,2012-02-09,32.650001525878906,32.310001373291016,27.35459327697754,2303200.0
MMC,2012-02-10,32.33000183105469,31.959999084472656,27.008974075317383,3019800.0
MMC,2012-02-13,32.470001220703125,32.220001220703125,27.185998916625977,3652100.0
MMC,2012-02-14,32.20000076293945,31.5,26.882524490356445,3895100.0
MMC,2012-02-15,31.969999313354492,31.15999984741211,26.326162338256836,4139200.0
MMC,2012-02-16,31.729999542236328,31.290000915527344,26.55376625061035,2897700.0
MMC,2012-02-17,32.2400016784668,31.610000610351562,27.160709381103516,4568600.0
MMC,2012-02-21,32.33000183105469,31.81999969482422,27.211288452148438,4111500.0
MMC,2012-02-22,32.279998779296875,31.68000030517578,26.7729434967041,2690200.0
MMC,2012-02-23,32.130001068115234,31.639999389648438,26.97525405883789,2321400.0
MMC,2012-02-24,32.09000015258789,31.729999542236328,26.781368255615234,1514000.0
MMC,2012-02-27,31.780000686645508,31.459999084472656,26.595916748046875,1723100.0
MMC,2012-02-28,31.649999618530273,31.299999237060547,26.469472885131836,2147700.0
MMC,2012-02-29,31.770000457763672,31.190000534057617,26.300874710083008,3277400.0
MMC,2012-03-01,32.04999923706055,31.239999771118164,26.992116928100586,4179000.0
MMC,2012-03-02,32.0,31.6299991607666,26.722368240356445,1908900.0
MMC,2012-03-05,31.950000762939453,31.450000762939453,26.882524490356445,2365500.0
MMC,2012-03-06,31.559999465942383,31.270000457763672,26.52847671508789,3784800.0
MMC,2012-03-07,31.809999465942383,31.450000762939453,26.815088272094727,2238100.0
MMC,2012-03-08,32.2599983215332,31.84000015258789,27.185998916625977,3677900.0
MMC,2012-03-09,32.33000183105469,32.11000061035156,27.185998916625977,2268100.0
MMC,2012-03-12,32.33000183105469,32.040000915527344,27.0679874420166,1756000.0
MMC,2012-03-13,32.720001220703125,32.11000061035156,27.58220100402832,2580800.0
MMC,2012-03-14,33.060001373291016,32.560001373291016,27.784513473510742,2941900.0
MMC,2012-03-15,33.310001373291016,32.72999954223633,28.07955551147461,2732100.0
MMC,2012-03-16,33.400001525878906,32.95000076293945,27.784513473510742,4148600.0
MMC,2012-03-19,32.9900016784668,32.689998626708984,27.590627670288086,2042600.0
MMC,2012-03-20,32.84000015258789,32.54999923706055,27.514760971069336,1694100.0
MMC,2012-03-21,33.04999923706055,32.7599983215332,27.700218200683594,2766700.0
MMC,2012-03-22,32.7400016784668,32.34000015258789,27.278728485107422,2122200.0
MMC,2012-03-23,32.599998474121094,32.31999969482422,27.396743774414062,1412200.0
MMC,2012-03-26,33.040000915527344,32.630001068115234,27.85194969177246,2508900.0
MMC,2012-03-27,33.06999969482422,32.86000061035156,27.750791549682617,1656200.0
MMC,2012-03-28,33.13999938964844,32.7400016784668,27.936250686645508,2137200.0
MMC,2012-03-29,32.93000030517578,32.58000183105469,27.624345779418945,1974700.0
MMC,2012-03-30,32.95000076293945,32.59000015258789,27.641202926635742,1983700.0
MMC,2012-04-02,32.959999084472656,32.560001373291016,27.691787719726562,2296700.0
MMC,2012-04-03,32.88999938964844,32.279998779296875,27.531620025634766,2482200.0
MMC,2012-04-04,32.66999816894531,32.45000076293945,27.413606643676758,1769700.0
MMC,2012-04-05,32.33000183105469,32.09000015258789,27.422090530395508,1388600.0
MMC,2012-04-09,32.060001373291016,31.719999313354492,27.03168296813965,1691200.0
MMC,2012-04-10,31.8799991607666,31.40999984741211,26.658246994018555,2189900.0
MMC,2012-04-11,31.90999984741211,31.469999313354492,27.03168296813965,1834900.0
MMC,2012-04-12,32.060001373291016,31.760000228881836,27.175966262817383,2050800.0
MMC,2012-04-13,32.33000183105469,31.899999618530273,27.091089248657227,2211200.0
MMC,2012-04-16,32.279998779296875,31.8799991607666,27.328733444213867,1844800.0
MMC,2012-04-17,32.939998626708984,32.279998779296875,27.888885498046875,2652700.0
MMC,2012-04-18,32.70000076293945,32.5,27.65973472595215,1701900.0
MMC,2012-04-19,32.91999816894531,32.540000915527344,27.914348602294922,2600300.0
MMC,2012-04-20,32.61000061035156,32.349998474121094,27.481502532958984,4355700.0
MMC,2012-04-23,32.119998931884766,31.770000457763672,27.108068466186523,3167800.0
