,,high,low,adjclose,volume
MORN,2012-01-03,60.119998931884766,59.130001068115234,55.04286193847656,52300.0
MORN,2012-01-04,59.380001068115234,56.22999954223633,54.367435455322266,44400.0
MORN,2012-01-05,58.880001068115234,58.04999923706055,54.47846603393555,33500.0
MORN,2012-01-06,59.560001373291016,58.349998474121094,55.04286193847656,141900.0
MORN,2012-01-09,59.63999938964844,59.2400016784668,55.0521240234375,58000.0
MORN,2012-01-10,59.959999084472656,59.38999938964844,54.996604919433594,74300.0
MORN,2012-01-11,59.5,59.20000076293945,55.144893646240234,38600.0
MORN,2012-01-12,59.68000030517578,58.95000076293945,55.144893646240234,37200.0
MORN,2012-01-13,59.310001373291016,58.689998626708984,54.59807205200195,39700.0
MORN,2012-01-17,59.25,58.369998931884766,54.26441955566406,28100.0
MORN,2012-01-18,59.45000076293945,58.18000030517578,55.08927917480469,46700.0
MORN,2012-01-19,59.58000183105469,59.2599983215332,55.08927917480469,62700.0
MORN,2012-01-20,59.61000061035156,58.88999938964844,55.107826232910156,53400.0
MORN,2012-01-23,59.560001373291016,59.13999938964844,55.052207946777344,27800.0
MORN,2012-01-24,59.5,59.040000915527344,55.052207946777344,23800.0
MORN,2012-01-25,59.52000045776367,59.16999816894531,55.144893646240234,23100.0
MORN,2012-01-26,60.09000015258789,59.34000015258789,55.58049392700195,88300.0
MORN,2012-01-27,60.0,59.5099983215332,55.39512634277344,48900.0
MORN,2012-01-30,59.70000076293945,59.220001220703125,55.16342544555664,27600.0
MORN,2012-01-31,59.869998931884766,59.27000045776367,55.39512634277344,25400.0
MORN,2012-02-01,60.41999816894531,59.63999938964844,55.82146072387695,65800.0
MORN,2012-02-02,60.41999816894531,59.66999816894531,55.385860443115234,23500.0
MORN,2012-02-03,60.88999938964844,60.11000061035156,56.42388153076172,54300.0
MORN,2012-02-06,61.2400016784668,59.7599983215332,56.488765716552734,61400.0
MORN,2012-02-07,61.060001373291016,60.369998931884766,56.312660217285156,44000.0
MORN,2012-02-08,60.959999084472656,60.34000015258789,56.071693420410156,49100.0
MORN,2012-02-09,61.18000030517578,60.2599983215332,56.65558624267578,27900.0
MORN,2012-02-10,61.0099983215332,60.13999938964844,56.35900115966797,28700.0
MORN,2012-02-13,61.38999938964844,60.7599983215332,56.89655303955078,39300.0
MORN,2012-02-14,61.34000015258789,60.869998931884766,56.76680374145508,31300.0
MORN,2012-02-15,61.900001525878906,60.77000045776367,56.47948455810547,99400.0
MORN,2012-02-16,62.0,60.63999938964844,57.23019790649414,123900.0
MORN,2012-02-17,61.84000015258789,61.279998779296875,57.1004524230957,57700.0
MORN,2012-02-21,61.2599983215332,59.38999938964844,55.543418884277344,99200.0
MORN,2012-02-22,61.119998931884766,59.400001525878906,55.367332458496094,95400.0
MORN,2012-02-23,60.41999816894531,59.720001220703125,55.6082878112793,72500.0
MORN,2012-02-24,60.099998474121094,59.52000045776367,55.70096206665039,71200.0
MORN,2012-02-27,59.970001220703125,57.970001220703125,55.543418884277344,40800.0
MORN,2012-02-28,59.790000915527344,58.709999084472656,55.32099151611328,43500.0
MORN,2012-02-29,60.029998779296875,59.58000183105469,55.48780822753906,112200.0
MORN,2012-03-01,60.060001373291016,59.7400016784668,55.64536666870117,60000.0
MORN,2012-03-02,60.11000061035156,59.72999954223633,55.506343841552734,123300.0
MORN,2012-03-05,60.08000183105469,59.689998626708984,55.66389465332031,134100.0
MORN,2012-03-06,59.86000061035156,58.720001220703125,54.625877380371094,131300.0
MORN,2012-03-07,59.40999984741211,58.97999954223633,54.92245101928711,67200.0
MORN,2012-03-08,59.959999084472656,59.34000015258789,55.413658142089844,72900.0
MORN,2012-03-09,59.97999954223633,59.400001525878906,55.42293167114258,85200.0
MORN,2012-03-12,60.029998779296875,59.5,55.34878921508789,121600.0
MORN,2012-03-13,60.4900016784668,59.75,56.05315017700195,91900.0
MORN,2012-03-14,60.540000915527344,59.97999954223633,55.589759826660156,80800.0
MORN,2012-03-15,60.72999954223633,59.790000915527344,56.22925567626953,74900.0
