,,high,low,adjclose,volume
MRK,2012-01-03,38.560001373291016,37.810001373291016,29.941421508789062,17271400.0
MRK,2012-01-04,38.34000015258789,37.900001525878906,29.97269630432129,13716300.0
MRK,2012-01-05,39.0,38.040000915527344,30.285398483276367,20987600.0
MRK,2012-01-06,38.75,38.43000030517578,30.074325561523438,16727700.0
MRK,2012-01-09,38.470001220703125,37.88999938964844,30.01178550720215,13906900.0
MRK,2012-01-10,38.79999923706055,38.400001525878906,30.113401412963867,11366200.0
MRK,2012-01-11,38.52000045776367,38.2400016784668,30.02741813659668,11945800.0
MRK,2012-01-12,38.68000030517578,38.41999816894531,30.18377113342285,9931200.0
MRK,2012-01-13,38.5,38.02000045776367,29.957056045532227,9677400.0
MRK,2012-01-17,38.88999938964844,38.369998931884766,30.347932815551758,16554700.0
MRK,2012-01-18,38.95000076293945,38.63999938964844,30.387022018432617,14710600.0
MRK,2012-01-19,39.43000030517578,38.72999954223633,30.691911697387695,16546800.0
MRK,2012-01-20,39.400001525878906,38.91999816894531,30.645004272460938,15333900.0
MRK,2012-01-23,39.099998474121094,38.68000030517578,30.30885124206543,13499900.0
MRK,2012-01-24,39.209999084472656,38.650001525878906,30.316659927368164,13144700.0
MRK,2012-01-25,38.790000915527344,38.2599983215332,30.238481521606445,14475200.0
MRK,2012-01-26,38.95000076293945,38.540000915527344,30.316659927368164,12388800.0
MRK,2012-01-27,38.79999923706055,38.220001220703125,30.113401412963867,12120600.0
MRK,2012-01-30,38.900001525878906,38.27000045776367,30.402658462524414,12714300.0
MRK,2012-01-31,38.9900016784668,38.189998626708984,29.917970657348633,16477600.0
MRK,2012-02-01,39.0099983215332,38.31999969482422,30.19940185546875,14577100.0
MRK,2012-02-02,38.970001220703125,38.0,30.05086898803711,20780700.0
MRK,2012-02-03,38.59000015258789,38.08000183105469,29.996143341064453,15010200.0
MRK,2012-02-06,38.400001525878906,38.130001068115234,30.019601821899414,11032300.0
MRK,2012-02-07,38.779998779296875,38.25,30.19940185546875,12447400.0
MRK,2012-02-08,38.599998474121094,38.220001220703125,30.035234451293945,11333200.0
MRK,2012-02-09,38.52000045776367,38.13999938964844,29.824153900146484,9597700.0
MRK,2012-02-10,38.0099983215332,37.779998779296875,29.636533737182617,10521100.0
MRK,2012-02-13,38.2400016784668,37.97999954223633,29.79289436340332,11621600.0
MRK,2012-02-14,38.2400016784668,37.95000076293945,29.871063232421875,11168300.0
MRK,2012-02-15,38.279998779296875,37.88999938964844,29.722537994384766,12184800.0
MRK,2012-02-16,38.150001525878906,37.79999923706055,29.816333770751953,10432800.0
MRK,2012-02-17,38.880001068115234,38.31999969482422,30.14468765258789,17964300.0
MRK,2012-02-21,38.630001068115234,38.08000183105469,29.80851936340332,10852200.0
MRK,2012-02-22,38.22999954223633,37.900001525878906,29.878887176513672,9833000.0
MRK,2012-02-23,38.52000045776367,38.099998474121094,30.105594635009766,10328200.0
MRK,2012-02-24,38.5,38.13999938964844,29.86325454711914,8489500.0
MRK,2012-02-27,38.2599983215332,37.83000183105469,29.824153900146484,16511500.0
MRK,2012-02-28,38.4900016784668,38.0,30.003969192504883,9461900.0
MRK,2012-02-29,38.4900016784668,38.119998931884766,29.839797973632812,15240000.0
MRK,2012-03-01,38.15999984741211,37.65999984741211,29.542726516723633,18053500.0
MRK,2012-03-02,38.09000015258789,37.560001373291016,29.652172088623047,13050400.0
MRK,2012-03-05,38.52000045776367,37.9900016784668,30.058679580688477,18663100.0
MRK,2012-03-06,38.380001068115234,37.29999923706055,29.269107818603516,18595300.0
MRK,2012-03-07,37.43000030517578,36.90999984741211,29.16748046875,16870000.0
MRK,2012-03-08,37.810001373291016,37.349998474121094,29.237842559814453,40922000.0
MRK,2012-03-09,37.900001525878906,37.459999084472656,29.394195556640625,44521000.0
MRK,2012-03-12,38.11000061035156,37.650001525878906,29.785070419311523,10873400.0
MRK,2012-03-13,38.29999923706055,37.70000076293945,30.259349822998047,15002600.0
MRK,2012-03-14,38.400001525878906,38.09000015258789,30.21192741394043,11758000.0
MRK,2012-03-15,38.25,37.95000076293945,30.08545684814453,12246000.0
MRK,2012-03-16,38.33000183105469,37.970001220703125,30.061731338500977,18555500.0
MRK,2012-03-19,38.040000915527344,37.84000015258789,29.951066970825195,9747400.0
MRK,2012-03-20,37.91999816894531,37.619998931884766,29.848310470581055,13851000.0
MRK,2012-03-21,37.880001068115234,37.630001068115234,29.800884246826172,11497000.0
MRK,2012-03-22,37.93000030517578,37.529998779296875,29.721834182739258,12991500.0
MRK,2012-03-23,38.04999923706055,37.61000061035156,30.045930862426758,10766500.0
MRK,2012-03-26,38.70000076293945,38.150001525878906,30.559738159179688,12000700.0
MRK,2012-03-27,39.0,38.68000030517578,30.670400619506836,12689500.0
MRK,2012-03-28,38.93000030517578,38.22999954223633,30.28306007385254,16284800.0
MRK,2012-03-29,38.29999923706055,37.779998779296875,30.045930862426758,17588200.0
MRK,2012-03-30,38.41999816894531,38.04999923706055,30.35420799255371,14116700.0
MRK,2012-04-02,38.560001373291016,38.209999084472656,30.44116973876953,11440900.0
MRK,2012-04-03,38.720001220703125,38.459999084472656,30.607160568237305,10948100.0
MRK,2012-04-04,38.95000076293945,38.5,30.74944496154785,15210800.0
MRK,2012-04-05,38.90999984741211,38.59000015258789,30.733640670776367,13880800.0
MRK,2012-04-09,38.97999954223633,38.560001373291016,30.615068435668945,11724300.0
MRK,2012-04-10,38.88999938964844,38.45000076293945,30.39373207092285,13984100.0
MRK,2012-04-11,38.70000076293945,38.400001525878906,30.41744613647461,10710600.0
MRK,2012-04-12,38.709999084472656,38.189998626708984,30.251453399658203,12806400.0
MRK,2012-04-13,38.099998474121094,37.77000045776367,29.864120483398438,20858100.0
MRK,2012-04-16,38.060001373291016,37.880001068115234,29.99849510192871,13938100.0
MRK,2012-04-17,38.540000915527344,37.9900016784668,30.44116973876953,11200400.0
MRK,2012-04-18,38.599998474121094,38.380001068115234,30.35420799255371,7665400.0
MRK,2012-04-19,38.619998931884766,38.15999984741211,30.322601318359375,10740800.0
MRK,2012-04-20,38.880001068115234,38.29999923706055,30.615068435668945,14877200.0
MRK,2012-04-23,38.560001373291016,38.20000076293945,30.251453399658203,10671300.0
MRK,2012-04-24,38.43000030517578,38.16999816894531,30.251453399658203,12485400.0
MRK,2012-04-25,38.4900016784668,38.130001068115234,30.3779239654541,12840700.0
MRK,2012-04-26,38.560001373291016,38.290000915527344,30.40955352783203,10194400.0
MRK,2012-04-27,38.939998626708984,38.34000015258789,30.401636123657227,15514500.0
MRK,2012-04-30,39.459999084472656,38.59000015258789,31.018217086791992,19808600.0
MRK,2012-05-01,39.5,38.86000061035156,31.1209659576416,14590000.0
MRK,2012-05-02,39.43000030517578,39.09000015258789,31.05773162841797,11528800.0
MRK,2012-05-03,39.380001068115234,39.060001373291016,30.962873458862305,10569400.0
MRK,2012-05-04,39.11000061035156,38.61000061035156,30.702022552490234,11932400.0
MRK,2012-05-07,38.810001373291016,38.5,30.464881896972656,11573700.0
MRK,2012-05-08,38.65999984741211,38.279998779296875,30.536026000976562,8762600.0
MRK,2012-05-09,38.4900016784668,38.09000015258789,30.109159469604492,11965500.0
MRK,2012-05-10,38.619998931884766,38.25,30.346302032470703,9452700.0
MRK,2012-05-11,38.34000015258789,37.95000076293945,30.061731338500977,12111400.0
MRK,2012-05-14,38.38999938964844,37.709999084472656,30.21192741394043,16272700.0
MRK,2012-05-15,38.20000076293945,37.58000183105469,29.83249855041504,10652700.0
MRK,2012-05-16,38.349998474121094,37.77000045776367,30.21983528137207,15367600.0
MRK,2012-05-17,38.45000076293945,38.0,30.061731338500977,13906000.0
MRK,2012-05-18,38.209999084472656,37.630001068115234,29.895742416381836,18690600.0
MRK,2012-05-21,37.88999938964844,37.54999923706055,29.721834182739258,9300000.0
MRK,2012-05-22,37.7400016784668,37.349998474121094,29.611169815063477,12327600.0
MRK,2012-05-23,37.630001068115234,37.02000045776367,29.516313552856445,11236800.0
MRK,2012-05-24,37.66999816894531,37.279998779296875,29.721834182739258,8651700.0
MRK,2012-05-25,37.75,37.369998931884766,29.68231964111328,6591600.0
MRK,2012-05-29,37.75,37.43000030517578,29.713924407958984,8792400.0
MRK,2012-05-30,37.650001525878906,37.290000915527344,29.563737869262695,9668200.0
MRK,2012-05-31,37.869998931884766,37.25,29.706022262573242,13443100.0
MRK,2012-06-01,37.4900016784668,37.02000045776367,29.38983154296875,13371600.0
MRK,2012-06-04,37.470001220703125,37.119998931884766,29.611169815063477,10915800.0
MRK,2012-06-05,37.54999923706055,37.2599983215332,29.642789840698242,10560500.0
MRK,2012-06-06,37.900001525878906,37.529998779296875,29.958984375,12613900.0
MRK,2012-06-07,38.470001220703125,38.0099983215332,30.298877716064453,53370900.0
MRK,2012-06-08,38.54999923706055,38.25,30.401636123657227,50924300.0
MRK,2012-06-11,38.77000045776367,38.439998626708984,30.40955352783203,46814300.0
MRK,2012-06-12,38.849998474121094,38.38999938964844,30.70992660522461,10467000.0
MRK,2012-06-13,38.790000915527344,38.27000045776367,30.685951232910156,11566500.0
MRK,2012-06-14,38.939998626708984,38.349998474121094,30.997604370117188,12909600.0
MRK,2012-06-15,39.099998474121094,38.869998931884766,31.117473602294922,16053000.0
MRK,2012-06-18,39.060001373291016,38.720001220703125,31.045547485351562,8254900.0
MRK,2012-06-19,39.41999816894531,38.86000061035156,31.349214553833008,11901100.0
MRK,2012-06-20,39.380001068115234,39.0,31.333242416381836,11392200.0
MRK,2012-06-21,39.790000915527344,39.290000915527344,31.52501106262207,17334700.0
MRK,2012-06-22,40.310001373291016,39.54999923706055,32.10837936401367,24147900.0
MRK,2012-06-25,40.040000915527344,39.70000076293945,31.796724319458008,15348000.0
MRK,2012-06-26,40.79999923706055,39.720001220703125,32.012474060058594,11439100.0
MRK,2012-06-27,40.75,39.970001220703125,32.3880615234375,13127500.0
MRK,2012-06-28,40.70000076293945,40.189998626708984,32.5079345703125,12562500.0
MRK,2012-06-29,41.75,40.88999938964844,33.36298751831055,23675500.0
MRK,2012-07-02,41.849998474121094,41.22999954223633,33.44289016723633,14334100.0
MRK,2012-07-03,41.959999084472656,41.560001373291016,33.410926818847656,7550500.0
MRK,2012-07-05,41.79999923706055,41.29999923706055,33.26708984375,9251400.0
MRK,2012-07-06,41.54999923706055,41.290000915527344,33.17118453979492,10060600.0
MRK,2012-07-09,42.2599983215332,41.529998779296875,33.666648864746094,20219800.0
MRK,2012-07-10,42.209999084472656,41.2599983215332,33.059322357177734,16710400.0
MRK,2012-07-11,41.470001220703125,41.060001373291016,32.931461334228516,12362200.0
MRK,2012-07-12,43.18000030517578,42.7599983215332,34.28995895385742,45955100.0
MRK,2012-07-13,43.56999969482422,42.93000030517578,34.737457275390625,16968500.0
MRK,2012-07-16,43.529998779296875,43.0,34.641563415527344,15233400.0
MRK,2012-07-17,44.369998931884766,43.15999984741211,35.31282043457031,20143800.0
MRK,2012-07-18,44.11000061035156,43.68000030517578,35.113040924072266,16211100.0
MRK,2012-07-19,44.029998779296875,43.540000915527344,35.113040924072266,13990100.0
MRK,2012-07-20,43.65999984741211,43.310001373291016,34.68951416015625,13016800.0
