,,high,low,adjclose,volume
NBIX,2012-01-03,8.920000076293945,8.5,8.550000190734863,414300.0
NBIX,2012-01-04,8.510000228881836,8.289999961853027,8.319999694824219,255300.0
NBIX,2012-01-05,8.359999656677246,8.039999961853027,8.260000228881836,264800.0
NBIX,2012-01-06,8.460000038146973,8.170000076293945,8.170000076293945,290300.0
NBIX,2012-01-09,8.369999885559082,8.020000457763672,8.329999923706055,263200.0
NBIX,2012-01-10,8.430000305175781,8.329999923706055,8.420000076293945,204000.0
NBIX,2012-01-11,8.630000114440918,8.329999923706055,8.569999694824219,264700.0
NBIX,2012-01-12,8.770000457763672,8.430000305175781,8.65999984741211,208600.0
NBIX,2012-01-13,8.710000038146973,8.449999809265137,8.609999656677246,238900.0
NBIX,2012-01-17,8.729999542236328,8.5,8.529999732971191,201000.0
NBIX,2012-01-18,8.670000076293945,8.510000228881836,8.640000343322754,209200.0
NBIX,2012-01-19,8.5,8.09000015258789,8.109999656677246,3523300.0
NBIX,2012-01-20,8.1899995803833,8.100000381469727,8.140000343322754,862300.0
NBIX,2012-01-23,8.270000457763672,7.949999809265137,8.09000015258789,731800.0
NBIX,2012-01-24,8.210000038146973,8.039999961853027,8.100000381469727,521000.0
NBIX,2012-01-25,8.319999694824219,8.050000190734863,8.170000076293945,454000.0
NBIX,2012-01-26,8.520000457763672,8.109999656677246,8.430000305175781,978200.0
NBIX,2012-01-27,8.800000190734863,8.369999885559082,8.779999732971191,883000.0
NBIX,2012-01-30,9.25,8.779999732971191,9.229999542236328,1134400.0
NBIX,2012-01-31,9.430000305175781,9.069999694824219,9.300000190734863,1195900.0
NBIX,2012-02-01,9.6899995803833,9.359999656677246,9.649999618530273,683500.0
NBIX,2012-02-02,9.850000381469727,9.600000381469727,9.789999961853027,548200.0
NBIX,2012-02-03,9.979999542236328,9.380000114440918,9.479999542236328,698800.0
NBIX,2012-02-06,9.739999771118164,9.359999656677246,9.649999618530273,395400.0
NBIX,2012-02-07,9.680000305175781,9.300000190734863,9.460000038146973,357500.0
NBIX,2012-02-08,9.510000228881836,9.210000038146973,9.369999885559082,336200.0
NBIX,2012-02-09,9.119999885559082,8.050000190734863,8.550000190734863,1919600.0
NBIX,2012-02-10,8.619999885559082,8.359999656677246,8.619999885559082,475500.0
NBIX,2012-02-13,8.880000114440918,8.350000381469727,8.770000457763672,501600.0
NBIX,2012-02-14,8.779999732971191,8.569999694824219,8.619999885559082,247500.0
NBIX,2012-02-15,8.819999694824219,8.510000228881836,8.729999542236328,657900.0
NBIX,2012-02-16,8.960000038146973,8.670000076293945,8.880000114440918,624100.0
NBIX,2012-02-17,8.920000076293945,8.5,8.569999694824219,491600.0
NBIX,2012-02-21,8.760000228881836,8.369999885559082,8.470000267028809,499200.0
NBIX,2012-02-22,8.399999618530273,8.039999961853027,8.079999923706055,530200.0
NBIX,2012-02-23,8.239999771118164,8.069999694824219,8.149999618530273,400100.0
NBIX,2012-02-24,8.220000267028809,8.100000381469727,8.119999885559082,359300.0
NBIX,2012-02-27,8.210000038146973,7.940000057220459,8.039999961853027,433700.0
NBIX,2012-02-28,8.069999694824219,7.949999809265137,7.949999809265137,472900.0
NBIX,2012-02-29,8.069999694824219,7.800000190734863,7.869999885559082,336500.0
NBIX,2012-03-01,8.130000114440918,7.849999904632568,7.949999809265137,775500.0
NBIX,2012-03-02,8.09000015258789,7.699999809265137,7.760000228881836,443400.0
