,,high,low,adjclose,volume
NCR,2012-01-03,17.1200008392334,16.6200008392334,16.850000381469727,1382800.0
NCR,2012-01-04,16.889999389648438,16.6299991607666,16.780000686645508,780100.0
NCR,2012-01-05,16.799999237060547,16.489999771118164,16.709999084472656,757900.0
NCR,2012-01-06,16.850000381469727,16.600000381469727,16.68000030517578,490300.0
NCR,2012-01-09,16.829999923706055,16.5,16.709999084472656,700600.0
NCR,2012-01-10,16.90999984741211,16.700000762939453,16.75,389700.0
NCR,2012-01-11,16.81999969482422,16.389999389648438,16.739999771118164,878800.0
NCR,2012-01-12,16.829999923706055,16.489999771118164,16.6200008392334,1028300.0
NCR,2012-01-13,16.729999542236328,16.450000762939453,16.540000915527344,708500.0
NCR,2012-01-17,16.709999084472656,16.389999389648438,16.479999542236328,1169000.0
NCR,2012-01-18,17.18000030517578,16.489999771118164,17.1200008392334,1333500.0
NCR,2012-01-19,17.8799991607666,17.229999542236328,17.649999618530273,1954100.0
NCR,2012-01-20,17.8799991607666,17.520000457763672,17.790000915527344,1068400.0
NCR,2012-01-23,17.989999771118164,17.670000076293945,17.780000686645508,695500.0
NCR,2012-01-24,17.8799991607666,17.520000457763672,17.81999969482422,516300.0
NCR,2012-01-25,18.040000915527344,17.5,17.989999771118164,844000.0
NCR,2012-01-26,18.170000076293945,17.81999969482422,17.959999084472656,1020200.0
NCR,2012-01-27,18.360000610351562,17.850000381469727,18.299999237060547,813600.0
NCR,2012-01-30,18.420000076293945,18.0,18.290000915527344,847300.0
NCR,2012-01-31,18.780000686645508,18.239999771118164,18.729999542236328,1174900.0
NCR,2012-02-01,19.170000076293945,18.610000610351562,19.09000015258789,1852000.0
NCR,2012-02-02,19.200000762939453,18.75,18.829999923706055,1125400.0
NCR,2012-02-03,19.200000762939453,18.93000030517578,18.979999542236328,1594000.0
NCR,2012-02-06,19.030000686645508,18.6299991607666,19.030000686645508,2391400.0
NCR,2012-02-07,21.489999771118164,19.829999923706055,21.190000534057617,8652300.0
NCR,2012-02-08,21.549999237060547,21.190000534057617,21.440000534057617,2667100.0
NCR,2012-02-09,21.549999237060547,21.09000015258789,21.25,2281400.0
NCR,2012-02-10,21.170000076293945,20.719999313354492,21.139999389648438,2288300.0
NCR,2012-02-13,21.989999771118164,21.190000534057617,21.920000076293945,2360700.0
NCR,2012-02-14,22.0,21.59000015258789,21.989999771118164,1212400.0
NCR,2012-02-15,22.1200008392334,21.479999542236328,21.579999923706055,1085100.0
NCR,2012-02-16,22.110000610351562,21.469999313354492,21.860000610351562,1315200.0
NCR,2012-02-17,22.0,21.6200008392334,21.799999237060547,993600.0
NCR,2012-02-21,21.920000076293945,21.40999984741211,21.6299991607666,1272000.0
NCR,2012-02-22,21.93000030517578,21.450000762939453,21.579999923706055,1283200.0
NCR,2012-02-23,21.709999084472656,21.209999084472656,21.459999084472656,1298400.0
NCR,2012-02-24,21.920000076293945,21.479999542236328,21.75,924900.0
NCR,2012-02-27,21.93000030517578,21.219999313354492,21.739999771118164,1009500.0
NCR,2012-02-28,21.8700008392334,21.3700008392334,21.610000610351562,795600.0
NCR,2012-02-29,21.989999771118164,21.309999465942383,21.719999313354492,1836900.0
NCR,2012-03-01,21.780000686645508,21.229999542236328,21.459999084472656,2421100.0
NCR,2012-03-02,21.829999923706055,21.34000015258789,21.399999618530273,830700.0
NCR,2012-03-05,21.43000030517578,21.110000610351562,21.170000076293945,929900.0
NCR,2012-03-06,20.8700008392334,20.299999237060547,20.600000381469727,1241200.0
NCR,2012-03-07,20.950000762939453,20.510000228881836,20.889999389648438,920200.0
NCR,2012-03-08,21.209999084472656,20.8700008392334,21.09000015258789,838200.0
NCR,2012-03-09,21.610000610351562,21.030000686645508,21.40999984741211,811400.0
NCR,2012-03-12,21.40999984741211,21.079999923706055,21.100000381469727,637200.0
NCR,2012-03-13,21.440000534057617,20.90999984741211,21.25,1499100.0
NCR,2012-03-14,21.290000915527344,20.770000457763672,20.950000762939453,1407000.0
NCR,2012-03-15,21.510000228881836,20.959999084472656,21.450000762939453,1205900.0
NCR,2012-03-16,21.540000915527344,21.15999984741211,21.260000228881836,1051800.0
NCR,2012-03-19,21.639999389648438,21.1200008392334,21.530000686645508,1133100.0
NCR,2012-03-20,21.450000762939453,21.200000762939453,21.309999465942383,998600.0
NCR,2012-03-21,21.309999465942383,20.979999542236328,21.100000381469727,1030100.0
NCR,2012-03-22,21.09000015258789,20.729999542236328,20.81999969482422,925100.0
NCR,2012-03-23,21.010000228881836,20.56999969482422,20.959999084472656,775400.0
NCR,2012-03-26,21.420000076293945,21.079999923706055,21.40999984741211,682900.0
NCR,2012-03-27,22.190000534057617,21.399999618530273,21.6200008392334,2199000.0
NCR,2012-03-28,21.979999542236328,21.299999237060547,21.540000915527344,1206200.0
NCR,2012-03-29,21.799999237060547,21.270000457763672,21.700000762939453,1225300.0
NCR,2012-03-30,21.920000076293945,21.309999465942383,21.709999084472656,1360500.0
NCR,2012-04-02,21.8799991607666,21.229999542236328,21.709999084472656,1538400.0
NCR,2012-04-03,21.950000762939453,21.6299991607666,21.850000381469727,1066900.0
NCR,2012-04-04,21.690000534057617,21.31999969482422,21.530000686645508,1106900.0
NCR,2012-04-05,21.639999389648438,21.360000610351562,21.600000381469727,1459300.0
NCR,2012-04-09,21.40999984741211,21.079999923706055,21.40999984741211,970600.0
NCR,2012-04-10,21.3799991607666,20.799999237060547,20.969999313354492,1743200.0
NCR,2012-04-11,21.219999313354492,20.399999618530273,20.40999984741211,2968100.0
NCR,2012-04-12,21.690000534057617,20.43000030517578,21.649999618530273,1415900.0
NCR,2012-04-13,21.719999313354492,21.360000610351562,21.43000030517578,1223600.0
NCR,2012-04-16,22.530000686645508,21.5,21.950000762939453,4006500.0
NCR,2012-04-17,22.440000534057617,22.079999923706055,22.15999984741211,1578500.0
NCR,2012-04-18,22.31999969482422,21.950000762939453,22.270000457763672,1559500.0
NCR,2012-04-19,22.59000015258789,22.0,22.260000228881836,1346900.0
NCR,2012-04-20,23.549999237060547,22.329999923706055,23.309999465942383,2932400.0
NCR,2012-04-23,23.149999618530273,22.690000534057617,23.149999618530273,1978800.0
NCR,2012-04-24,23.209999084472656,22.889999389648438,23.06999969482422,1581300.0
NCR,2012-04-25,23.850000381469727,23.170000076293945,23.31999969482422,2101200.0
NCR,2012-04-26,23.389999389648438,23.079999923706055,23.200000762939453,1812800.0
NCR,2012-04-27,23.559999465942383,23.1299991607666,23.520000457763672,2222800.0
NCR,2012-04-30,23.540000915527344,23.270000457763672,23.5,1104900.0
NCR,2012-05-01,23.850000381469727,23.43000030517578,23.600000381469727,1448100.0
NCR,2012-05-02,23.889999389648438,23.3799991607666,23.770000457763672,1254800.0
NCR,2012-05-03,23.90999984741211,23.299999237060547,23.440000534057617,1412600.0
NCR,2012-05-04,23.299999237060547,22.850000381469727,23.270000457763672,1078500.0
NCR,2012-05-07,23.329999923706055,23.040000915527344,23.309999465942383,1185300.0
NCR,2012-05-08,23.09000015258789,22.34000015258789,22.700000762939453,1507300.0
NCR,2012-05-09,23.010000228881836,22.34000015258789,22.959999084472656,1534900.0
NCR,2012-05-10,23.280000686645508,22.75,22.989999771118164,1714600.0
NCR,2012-05-11,23.350000381469727,22.81999969482422,22.93000030517578,727700.0
NCR,2012-05-14,22.959999084472656,22.43000030517578,22.639999389648438,1447400.0
NCR,2012-05-15,22.84000015258789,22.25,22.3799991607666,1611300.0
NCR,2012-05-16,22.68000030517578,22.149999618530273,22.170000076293945,1037200.0
NCR,2012-05-17,22.309999465942383,21.639999389648438,21.670000076293945,1415500.0
NCR,2012-05-18,21.979999542236328,21.260000228881836,21.309999465942383,1457700.0
NCR,2012-05-21,21.6200008392334,21.0,21.579999923706055,1996300.0
NCR,2012-05-22,21.8799991607666,21.360000610351562,21.5,1465200.0
NCR,2012-05-23,21.68000030517578,20.969999313354492,21.6200008392334,1037100.0
NCR,2012-05-24,21.670000076293945,20.93000030517578,21.040000915527344,954800.0
NCR,2012-05-25,21.229999542236328,20.829999923706055,21.09000015258789,1098500.0
NCR,2012-05-29,21.549999237060547,21.049999237060547,21.200000762939453,1291600.0
NCR,2012-05-30,21.329999923706055,20.649999618530273,21.25,1811800.0
NCR,2012-05-31,21.559999465942383,20.899999618530273,21.420000076293945,2736000.0
NCR,2012-06-01,21.1200008392334,20.450000762939453,20.6299991607666,1371600.0
NCR,2012-06-04,20.690000534057617,20.18000030517578,20.530000686645508,719900.0
NCR,2012-06-05,20.709999084472656,20.280000686645508,20.579999923706055,946100.0
NCR,2012-06-06,21.010000228881836,20.690000534057617,20.989999771118164,836700.0
NCR,2012-06-07,21.34000015258789,20.65999984741211,20.709999084472656,851200.0
NCR,2012-06-08,20.979999542236328,20.600000381469727,20.90999984741211,660200.0
NCR,2012-06-11,21.209999084472656,20.329999923706055,20.350000381469727,795300.0
NCR,2012-06-12,20.739999771118164,20.360000610351562,20.65999984741211,575600.0
NCR,2012-06-13,20.770000457763672,20.139999389648438,20.25,649200.0
NCR,2012-06-14,20.600000381469727,20.049999237060547,20.280000686645508,897600.0
NCR,2012-06-15,21.010000228881836,20.350000381469727,20.959999084472656,1173500.0
