,,high,low,adjclose,volume
NDSN,2012-01-03,42.709999084472656,41.45000076293945,38.25798034667969,412100.0
NDSN,2012-01-04,41.75,40.81999969482422,38.267173767089844,470100.0
NDSN,2012-01-05,42.349998474121094,41.04999923706055,38.67192459106445,378500.0
NDSN,2012-01-06,42.209999084472656,41.630001068115234,38.49714279174805,336400.0
NDSN,2012-01-09,42.18000030517578,41.2400016784668,38.00962448120117,444300.0
NDSN,2012-01-10,42.130001068115234,41.619998931884766,38.64432907104492,314900.0
NDSN,2012-01-11,42.34000015258789,41.91999816894531,38.62593078613281,692400.0
NDSN,2012-01-12,42.59000015258789,41.709999084472656,39.02147674560547,621600.0
NDSN,2012-01-13,42.279998779296875,41.7400016784668,38.782318115234375,283000.0
NDSN,2012-01-17,43.31999969482422,42.77000045776367,39.42622756958008,306000.0
NDSN,2012-01-18,43.939998626708984,42.65999984741211,40.21733856201172,341700.0
NDSN,2012-01-19,45.18000030517578,43.7599983215332,41.3947868347168,381700.0
NDSN,2012-01-20,45.099998474121094,44.43000030517578,41.32120132446289,336100.0
NDSN,2012-01-23,45.56999969482422,44.810001373291016,41.76272964477539,239300.0
NDSN,2012-01-24,45.77000045776367,44.63999938964844,41.90071105957031,202900.0
NDSN,2012-01-25,46.0099983215332,45.0099983215332,42.25946807861328,196200.0
NDSN,2012-01-26,46.58000183105469,45.720001220703125,42.15828323364258,298200.0
NDSN,2012-01-27,46.13999938964844,45.470001220703125,42.41585922241211,189000.0
NDSN,2012-01-30,45.81999969482422,44.790000915527344,42.00189971923828,162400.0
NDSN,2012-01-31,46.15999984741211,44.9900016784668,41.70753479003906,230100.0
NDSN,2012-02-01,46.68000030517578,45.5,42.63663101196289,199100.0
NDSN,2012-02-02,46.689998626708984,46.150001525878906,42.765411376953125,230700.0
NDSN,2012-02-03,47.959999084472656,46.709999084472656,44.06245040893555,415000.0
NDSN,2012-02-06,48.529998779296875,47.25,44.623573303222656,335900.0
NDSN,2012-02-07,49.029998779296875,48.02000045776367,45.08352279663086,286800.0
NDSN,2012-02-08,49.349998474121094,48.689998626708984,45.12950897216797,306800.0
NDSN,2012-02-09,50.650001525878906,48.93000030517578,46.49094772338867,527400.0
NDSN,2012-02-10,50.060001373291016,49.099998474121094,45.89301681518555,438200.0
NDSN,2012-02-13,50.58000183105469,49.59000015258789,46.224178314208984,313600.0
NDSN,2012-02-14,50.77000045776367,49.689998626708984,46.61972427368164,210300.0
NDSN,2012-02-15,51.459999084472656,50.470001220703125,47.07965850830078,396900.0
NDSN,2012-02-16,52.29999923706055,51.02000045776367,48.02714157104492,332600.0
NDSN,2012-02-17,52.900001525878906,51.97999954223633,48.25711441040039,250500.0
NDSN,2012-02-21,52.959999084472656,52.290000915527344,48.67106628417969,313000.0
NDSN,2012-02-22,52.790000915527344,51.689998626708984,47.7051887512207,476400.0
NDSN,2012-02-23,51.97999954223633,50.540000915527344,46.86808776855469,753400.0
