,,high,low,adjclose,volume
NEE,2012-01-03,61.15999984741211,58.70000076293945,46.22317123413086,4812600.0
NEE,2012-01-04,59.06999969482422,58.689998626708984,46.10554504394531,2919900.0
NEE,2012-01-05,59.66999816894531,58.56999969482422,46.69363784790039,3407000.0
NEE,2012-01-06,59.52000045776367,58.900001525878906,46.19964599609375,4548400.0
NEE,2012-01-09,59.25,58.56999969482422,46.254539489746094,2339300.0
NEE,2012-01-10,59.4900016784668,58.91999816894531,46.458412170410156,1899600.0
NEE,2012-01-11,59.36000061035156,58.79999923706055,46.42704391479492,1769600.0
NEE,2012-01-12,59.54999923706055,58.959999084472656,46.56819152832031,1940600.0
NEE,2012-01-13,59.400001525878906,58.83000183105469,46.35646438598633,2066100.0
NEE,2012-01-17,59.869998931884766,59.0,46.380001068115234,1903100.0
NEE,2012-01-18,59.599998474121094,59.06999969482422,46.6544303894043,1768700.0
NEE,2012-01-19,59.68000030517578,58.75,46.09772491455078,2307300.0
NEE,2012-01-20,59.310001373291016,58.77000045776367,46.50546646118164,2419500.0
NEE,2012-01-23,59.75,59.18000030517578,46.54466247558594,2115000.0
NEE,2012-01-24,59.369998931884766,58.81999969482422,46.41136169433594,1488600.0
NEE,2012-01-25,60.130001068115234,58.709999084472656,47.085697174072266,2486000.0
NEE,2012-01-26,60.2400016784668,59.380001068115234,46.78773880004883,2973200.0
NEE,2012-01-27,60.040000915527344,59.08000183105469,46.9837646484375,2650500.0
NEE,2012-01-30,60.369998931884766,59.369998931884766,46.99159240722656,2705400.0
NEE,2012-01-31,60.040000915527344,59.54999923706055,46.92886734008789,2184200.0
NEE,2012-02-01,60.36000061035156,59.880001068115234,47.00728225708008,2165600.0
NEE,2012-02-02,60.4900016784668,59.869998931884766,47.13273620605469,2011900.0
NEE,2012-02-03,60.599998474121094,59.86000061035156,47.211158752441406,1849800.0
NEE,2012-02-06,60.310001373291016,59.81999969482422,47.02296447753906,1318600.0
NEE,2012-02-07,60.45000076293945,59.59000015258789,47.1876220703125,1762500.0
NEE,2012-02-08,60.41999816894531,59.849998474121094,47.3209228515625,1681600.0
NEE,2012-02-09,60.41999816894531,59.95000076293945,47.27387619018555,1613800.0
NEE,2012-02-10,60.45000076293945,60.029998779296875,47.328765869140625,1349400.0
NEE,2012-02-13,60.5,59.810001373291016,47.07784652709961,1803700.0
NEE,2012-02-14,60.380001068115234,59.77000045776367,47.34444808959961,1345100.0
NEE,2012-02-15,60.58000183105469,59.66999816894531,47.02296447753906,1886200.0
NEE,2012-02-16,60.7599983215332,59.97999954223633,47.3836555480957,2067500.0
NEE,2012-02-17,60.720001220703125,60.11000061035156,47.218990325927734,1886900.0
NEE,2012-02-21,60.560001373291016,60.209999084472656,47.36796188354492,1996300.0
NEE,2012-02-22,60.70000076293945,60.029998779296875,47.1876220703125,1300300.0
NEE,2012-02-23,60.380001068115234,59.7599983215332,47.211158752441406,5975700.0
NEE,2012-02-24,60.88999938964844,60.150001525878906,47.65025329589844,6440900.0
NEE,2012-02-27,61.0,60.45000076293945,47.689453125,10245000.0
NEE,2012-02-28,60.970001220703125,60.40999984741211,47.42286682128906,1503500.0
NEE,2012-02-29,60.11000061035156,59.099998474121094,47.12983703613281,2452600.0
NEE,2012-03-01,60.060001373291016,59.529998779296875,47.36741638183594,2006700.0
NEE,2012-03-02,59.959999084472656,59.52000045776367,47.35950469970703,1519000.0
NEE,2012-03-05,59.9900016784668,59.5,47.39118194580078,1311700.0
NEE,2012-03-06,59.689998626708984,59.25,47.14566421508789,1199500.0
NEE,2012-03-07,59.810001373291016,59.189998626708984,47.31990432739258,1298200.0
NEE,2012-03-08,60.0099983215332,59.650001525878906,47.327823638916016,1407700.0
NEE,2012-03-09,60.29999923706055,59.63999938964844,47.525814056396484,1762300.0
NEE,2012-03-12,60.900001525878906,60.02000045776367,48.127708435058594,1714300.0
NEE,2012-03-13,60.970001220703125,60.52000045776367,48.238582611083984,1841100.0
NEE,2012-03-14,61.029998779296875,59.9900016784668,47.5654182434082,1878200.0
NEE,2012-03-15,60.349998474121094,59.70000076293945,47.715885162353516,2101400.0
NEE,2012-03-16,60.279998779296875,59.90999984741211,47.64460754394531,2738400.0
NEE,2012-03-19,60.650001525878906,59.880001068115234,47.54165267944336,1869700.0
NEE,2012-03-20,60.5099983215332,59.88999938964844,47.67629623413086,1083500.0
NEE,2012-03-21,60.61000061035156,60.150001525878906,47.76340103149414,1043800.0
NEE,2012-03-22,60.34000015258789,59.939998626708984,47.74756622314453,1373800.0
NEE,2012-03-23,60.56999969482422,60.22999954223633,47.834678649902344,1216400.0
NEE,2012-03-26,61.0099983215332,60.59000015258789,48.254432678222656,1136800.0
NEE,2012-03-27,61.209999084472656,60.81999969482422,48.27818298339844,1129300.0
NEE,2012-03-28,61.060001373291016,60.27000045776367,47.87428283691406,1225100.0
NEE,2012-03-29,60.630001068115234,59.880001068115234,47.99306106567383,1063500.0
NEE,2012-03-30,61.09000015258789,60.54999923706055,48.37321472167969,1650600.0
NEE,2012-04-02,62.099998474121094,61.20000076293945,48.96719741821289,2127500.0
NEE,2012-04-03,62.060001373291016,61.689998626708984,49.070152282714844,1425700.0
NEE,2012-04-04,62.59000015258789,61.7599983215332,49.450286865234375,2184400.0
NEE,2012-04-05,62.95000076293945,62.15999984741211,49.79875564575195,2979800.0
NEE,2012-04-09,62.75,62.31999969482422,49.60076141357422,1825900.0
NEE,2012-04-10,62.70000076293945,61.86000061035156,49.29982376098633,2224300.0
NEE,2012-04-11,62.70000076293945,62.15999984741211,49.41862106323242,2179400.0
NEE,2012-04-12,62.52000045776367,61.970001220703125,49.513648986816406,1866800.0
NEE,2012-04-13,62.77000045776367,62.04999923706055,49.16518783569336,3935400.0
NEE,2012-04-16,62.880001068115234,62.11000061035156,49.672035217285156,1436000.0
NEE,2012-04-17,63.119998931884766,62.310001373291016,49.909629821777344,1287800.0
NEE,2012-04-18,63.060001373291016,62.310001373291016,49.73540496826172,1652200.0
NEE,2012-04-19,62.9900016784668,62.34000015258789,49.672035217285156,1608900.0
NEE,2012-04-20,63.630001068115234,62.54999923706055,50.25809097290039,1772300.0
NEE,2012-04-23,63.4900016784668,63.150001525878906,50.163063049316406,1376900.0
NEE,2012-04-24,64.05000305175781,63.279998779296875,50.606563568115234,1858800.0
NEE,2012-04-25,64.68000030517578,63.720001220703125,51.01046371459961,2092500.0
NEE,2012-04-26,64.8499984741211,64.19999694824219,51.02629852294922,2256400.0
NEE,2012-04-27,64.66000366210938,64.23999786376953,51.11341857910156,1080700.0
NEE,2012-04-30,64.51000213623047,64.19999694824219,50.96294021606445,1937500.0
NEE,2012-05-01,63.9900016784668,62.619998931884766,50.51943588256836,5454900.0
NEE,2012-05-02,63.849998474121094,63.599998474121094,50.51943588256836,1881300.0
NEE,2012-05-03,64.0999984741211,63.560001373291016,50.36896896362305,1685400.0
NEE,2012-05-04,63.97999954223633,63.400001525878906,50.34519958496094,1969100.0
NEE,2012-05-07,64.2300033569336,63.5,50.7966194152832,2292900.0
NEE,2012-05-08,64.37999725341797,63.900001525878906,50.84415054321289,1674100.0
NEE,2012-05-09,64.45999908447266,63.7400016784668,50.80454635620117,1979600.0
NEE,2012-05-10,65.2699966430664,64.37999725341797,51.54899978637695,2450500.0
NEE,2012-05-11,65.43000030517578,64.81999969482422,51.61235809326172,1393600.0
NEE,2012-05-14,66.0,64.79000091552734,52.03208923339844,2480800.0
NEE,2012-05-15,66.0,65.37000274658203,51.98457336425781,2276700.0
NEE,2012-05-16,65.93000030517578,65.23999786376953,51.92121887207031,1657200.0
NEE,2012-05-17,65.6500015258789,65.05000305175781,51.51730728149414,1528800.0
NEE,2012-05-18,65.75,64.9000015258789,51.47771453857422,2283900.0
NEE,2012-05-21,65.2699966430664,64.75,51.636112213134766,1812700.0
