,,high,low,adjclose,volume
NWL,2012-01-03,16.6299991607666,16.219999313354492,13.42533016204834,3210400.0
NWL,2012-01-04,16.389999389648438,16.100000381469727,13.458418846130371,1919200.0
NWL,2012-01-05,16.709999084472656,15.930000305175781,13.781023025512695,2988700.0
NWL,2012-01-06,17.09000015258789,16.479999542236328,14.062270164489746,3509300.0
NWL,2012-01-09,17.200000762939453,16.8700008392334,14.211162567138672,2422600.0
NWL,2012-01-10,17.329999923706055,17.100000381469727,14.219435691833496,1913000.0
NWL,2012-01-11,17.3799991607666,17.149999618530273,14.360058784484863,2325500.0
NWL,2012-01-12,17.459999084472656,17.100000381469727,14.417963027954102,3878700.0
NWL,2012-01-13,17.31999969482422,17.049999237060547,14.219435691833496,2690700.0
NWL,2012-01-17,17.440000534057617,16.899999618530273,14.012639045715332,2728300.0
NWL,2012-01-18,17.200000762939453,16.850000381469727,14.219435691833496,4996800.0
NWL,2012-01-19,17.600000381469727,17.170000076293945,14.442776679992676,3241700.0
NWL,2012-01-20,17.56999969482422,17.200000762939453,14.310425758361816,1879900.0
NWL,2012-01-23,17.399999618530273,17.110000610351562,14.219435691833496,1326700.0
NWL,2012-01-24,17.1200008392334,16.940000534057617,14.120172500610352,4014900.0
NWL,2012-01-25,17.389999389648438,16.969999313354492,14.335243225097656,3024700.0
NWL,2012-01-26,17.43000030517578,17.079999923706055,14.417963027954102,4094000.0
NWL,2012-01-27,18.950000762939453,17.610000610351562,15.56775951385498,13534200.0
NWL,2012-01-30,18.809999465942383,18.389999389648438,15.385777473449707,4646900.0
NWL,2012-01-31,18.799999237060547,18.3799991607666,15.278240203857422,3193400.0
NWL,2012-02-01,18.84000015258789,18.440000534057617,15.34442138671875,4701300.0
NWL,2012-02-02,18.610000610351562,18.3700008392334,15.212064743041992,2666900.0
NWL,2012-02-03,18.860000610351562,18.549999237060547,15.485039710998535,1729700.0
NWL,2012-02-06,18.93000030517578,18.559999465942383,15.633934020996094,2289300.0
NWL,2012-02-07,19.229999542236328,18.780000686645508,15.857278823852539,4672200.0
NWL,2012-02-08,19.190000534057617,18.889999389648438,15.741470336914062,3182300.0
NWL,2012-02-09,19.350000381469727,18.809999465942383,15.964811325073242,3037500.0
NWL,2012-02-10,19.100000381469727,18.75,15.617388725280762,3821700.0
NWL,2012-02-13,19.0,18.6200008392334,15.691841125488281,4549100.0
NWL,2012-02-14,18.940000534057617,18.6299991607666,15.642207145690918,2274000.0
