,,high,low,adjclose,volume
NWSA,2013-06-19,16.25,15.199999809265137,14.8547945022583,31981500.0
NWSA,2013-06-20,16.3700008392334,15.25,14.3847074508667,9274200.0
NWSA,2013-06-21,15.800000190734863,15.399999618530273,14.685562133789062,8323500.0
NWSA,2013-06-24,15.84000015258789,15.199999809265137,14.600946426391602,4279700.0
NWSA,2013-06-25,15.739999771118164,15.350000381469727,14.779580116271973,3577300.0
NWSA,2013-06-26,15.6899995803833,15.180000305175781,14.478723526000977,14755100.0
NWSA,2013-06-27,15.869999885559082,14.850000381469727,14.572741508483887,12121700.0
NWSA,2013-06-28,15.770000457763672,15.25,14.337695121765137,16988100.0
NWSA,2013-07-01,15.59000015258789,14.75,13.905216217041016,25839400.0
NWSA,2013-07-02,15.119999885559082,14.6899995803833,14.102653503417969,30520100.0
NWSA,2013-07-03,15.09000015258789,14.729999542236328,13.980429649353027,8542600.0
NWSA,2013-07-05,15.949999809265137,14.890000343322754,14.723169326782227,12427000.0
NWSA,2013-07-08,16.040000915527344,15.5,15.00522232055664,15345100.0
NWSA,2013-07-09,15.970000267028809,15.5,14.770177841186523,9936400.0
NWSA,2013-07-10,15.569999694824219,15.149999618530273,14.469322204589844,16327000.0
NWSA,2013-07-11,15.600000381469727,14.960000038146973,14.224876403808594,17029600.0
NWSA,2013-07-12,15.119999885559082,14.899999618530273,14.036840438842773,10426300.0
NWSA,2013-07-15,15.029999732971191,14.390000343322754,13.79239559173584,20636400.0
NWSA,2013-07-16,15.34000015258789,14.569999694824219,14.365900039672852,9328500.0
NWSA,2013-07-17,15.960000038146973,15.289999961853027,14.939411163330078,13411100.0
NWSA,2013-07-18,16.100000381469727,15.329999923706055,14.544537544250488,10825700.0
NWSA,2013-07-19,16.079999923706055,15.260000228881836,15.014625549316406,11658700.0
NWSA,2013-07-22,16.1299991607666,15.609999656677246,14.788981437683105,6141600.0
NWSA,2013-07-23,15.869999885559082,15.539999961853027,14.713767051696777,9298400.0
NWSA,2013-07-24,15.890000343322754,15.420000076293945,14.770177841186523,6205200.0
NWSA,2013-07-25,15.869999885559082,15.449999809265137,14.63855266571045,7069700.0
NWSA,2013-07-26,15.970000267028809,15.3100004196167,14.939411163330078,5884800.0
NWSA,2013-07-29,15.869999885559082,15.399999618530273,14.58214282989502,9020200.0
NWSA,2013-07-30,15.960000038146973,15.460000038146973,14.995821952819824,12798200.0
NWSA,2013-07-31,16.209999084472656,15.829999923706055,14.97701644897461,7681500.0
NWSA,2013-08-01,16.280000686645508,15.9399995803833,15.240265846252441,10303300.0
NWSA,2013-08-02,16.469999313354492,16.1200008392334,15.36248779296875,8258600.0
NWSA,2013-08-05,16.329999923706055,15.890000343322754,15.042828559875488,8754100.0
