,,high,low,adjclose,volume
NYCB,2012-01-03,12.729999542236328,12.510000228881836,7.9895806312561035,3317100.0
NYCB,2012-01-04,12.850000381469727,12.510000228881836,8.135422706604004,10237800.0
NYCB,2012-01-05,13.09000015258789,12.619999885559082,8.211512565612793,5017000.0
NYCB,2012-01-06,13.300000190734863,12.869999885559082,8.255899429321289,5471900.0
NYCB,2012-01-09,13.270000457763672,13.0600004196167,8.37637710571289,5707900.0
NYCB,2012-01-10,13.399999618530273,13.130000114440918,8.382719993591309,4104500.0
NYCB,2012-01-11,13.270000457763672,13.020000457763672,8.389060020446777,4055200.0
NYCB,2012-01-12,13.390000343322754,13.109999656677246,8.452468872070312,3900000.0
NYCB,2012-01-13,13.34000015258789,13.079999923706055,8.446128845214844,3920900.0
NYCB,2012-01-17,13.449999809265137,13.109999656677246,8.312966346740723,3520500.0
NYCB,2012-01-18,13.15999984741211,12.890000343322754,8.344673156738281,4719300.0
NYCB,2012-01-19,13.279999732971191,13.0,8.249558448791504,5801100.0
NYCB,2012-01-20,13.239999771118164,12.949999809265137,8.325652122497559,7643900.0
NYCB,2012-01-23,13.300000190734863,13.029999732971191,8.268583297729492,5884000.0
NYCB,2012-01-24,13.170000076293945,13.0,8.300288200378418,6710900.0
NYCB,2012-01-25,13.119999885559082,12.770000457763672,8.160784721374512,8042000.0
NYCB,2012-01-26,12.970000267028809,12.649999618530273,8.065671920776367,5519700.0
NYCB,2012-01-27,12.739999771118164,12.520000457763672,8.052990913391113,5517100.0
NYCB,2012-01-30,12.84000015258789,12.550000190734863,8.116399765014648,5609600.0
NYCB,2012-01-31,12.949999809265137,12.680000305175781,8.046647071838379,4898300.0
NYCB,2012-02-01,12.899999618530273,12.760000228881836,8.129080772399902,4067000.0
NYCB,2012-02-02,13.0,12.829999923706055,8.224197387695312,7759200.0
NYCB,2012-02-03,12.949999809265137,12.65999984741211,8.204797744750977,8535200.0
NYCB,2012-02-06,12.739999771118164,12.470000267028809,8.069022178649902,12854300.0
NYCB,2012-02-07,12.630000114440918,12.470000267028809,8.107815742492676,6094100.0
NYCB,2012-02-08,12.720000267028809,12.600000381469727,8.172472953796387,5858300.0
NYCB,2012-02-09,12.739999771118164,12.5600004196167,8.159540176391602,4388300.0
NYCB,2012-02-10,12.569999694824219,12.449999809265137,8.069022178649902,3616700.0
NYCB,2012-02-13,12.619999885559082,12.40999984741211,8.081953048706055,3581700.0
NYCB,2012-02-14,12.430000305175781,12.260000228881836,7.965572834014893,4171000.0
NYCB,2012-02-15,12.550000190734863,12.329999923706055,8.107815742492676,4517000.0
NYCB,2012-02-16,12.819999694824219,12.539999961853027,8.282386779785156,4761500.0
NYCB,2012-02-17,12.949999809265137,12.8100004196167,8.372902870178223,4233300.0
NYCB,2012-02-21,13.0,12.800000190734863,8.347041130065918,10668100.0
