,,high,low,adjclose,volume
O,2012-01-03,35.63999938964844,34.29999923706055,24.59213638305664,1296400.0
O,2012-01-04,34.81999969482422,34.5099983215332,24.3802490234375,872700.0
O,2012-01-05,35.060001373291016,34.400001525878906,24.634519577026367,696100.0
O,2012-01-06,35.209999084472656,34.70000076293945,24.57094383239746,751200.0
O,2012-01-09,35.029998779296875,34.75,24.733383178710938,621000.0
O,2012-01-10,35.470001220703125,35.11000061035156,24.938196182250977,586300.0
O,2012-01-11,35.709999084472656,35.220001220703125,25.058263778686523,788000.0
O,2012-01-12,35.65999984741211,35.209999084472656,25.00174331665039,540600.0
O,2012-01-13,35.66999816894531,35.13999938964844,25.19245147705078,646200.0
O,2012-01-17,36.040000915527344,35.70000076293945,25.29840087890625,860600.0
O,2012-01-18,36.25,35.810001373291016,25.34076690673828,1039400.0
O,2012-01-19,36.08000183105469,35.61000061035156,25.27720832824707,1305900.0
O,2012-01-20,35.650001525878906,35.34000015258789,25.15008544921875,1020600.0
O,2012-01-23,35.91999816894531,35.63999938964844,25.206579208374023,785500.0
O,2012-01-24,35.970001220703125,35.54999923706055,25.354896545410156,589000.0
O,2012-01-25,36.33000183105469,35.79999923706055,25.63740348815918,629600.0
O,2012-01-26,36.599998474121094,36.29999923706055,25.799837112426758,598900.0
O,2012-01-27,36.66999816894531,36.380001068115234,25.856353759765625,558500.0
O,2012-01-30,36.45000076293945,36.08000183105469,25.768056869506836,801200.0
O,2012-01-31,36.650001525878906,36.2400016784668,25.810598373413086,709800.0
O,2012-02-01,36.900001525878906,36.5099983215332,26.12261962890625,783200.0
O,2012-02-02,37.060001373291016,36.70000076293945,26.236064910888672,550600.0
O,2012-02-03,37.349998474121094,36.95000076293945,26.44878387451172,645500.0
O,2012-02-06,37.29999923706055,36.88999938964844,26.314056396484375,474800.0
O,2012-02-07,37.400001525878906,37.0,26.434600830078125,536000.0
O,2012-02-08,37.4900016784668,37.099998474121094,26.49131965637207,570500.0
O,2012-02-09,37.63999938964844,36.900001525878906,26.335325241088867,733300.0
O,2012-02-10,37.189998626708984,36.75,26.207700729370117,539200.0
O,2012-02-13,37.22999954223633,36.810001373291016,26.20061492919922,590800.0
O,2012-02-14,36.90999984741211,36.45000076293945,25.952421188354492,549400.0
O,2012-02-15,36.83000183105469,36.31999969482422,25.888601303100586,582600.0
O,2012-02-16,37.040000915527344,36.5099983215332,26.009145736694336,660100.0
O,2012-02-17,36.93000030517578,36.41999816894531,26.080060958862305,595800.0
O,2012-02-21,36.91999816894531,36.34000015258789,25.91697883605957,667800.0
O,2012-02-22,36.70000076293945,36.25,25.83188247680664,654500.0
O,2012-02-23,36.939998626708984,36.45000076293945,26.193513870239258,569100.0
O,2012-02-24,37.349998474121094,36.86000061035156,26.370790481567383,755400.0
O,2012-02-27,37.150001525878906,36.77000045776367,26.115520477294922,678100.0
O,2012-02-28,36.86000061035156,36.34000015258789,26.019779205322266,557600.0
O,2012-02-29,37.0,36.560001373291016,26.261808395385742,752400.0
O,2012-03-01,37.06999969482422,36.68000030517578,26.290279388427734,650300.0
O,2012-03-02,36.959999084472656,36.619998931884766,26.219104766845703,491700.0
O,2012-03-05,37.18000030517578,36.7599983215332,26.45402717590332,585400.0
O,2012-03-06,37.18000030517578,36.810001373291016,26.32587432861328,630800.0
O,2012-03-07,37.27000045776367,36.79999923706055,26.52519989013672,486500.0
O,2012-03-08,37.349998474121094,36.86000061035156,26.268930435180664,781500.0
O,2012-03-09,37.150001525878906,36.810001373291016,26.311643600463867,663100.0
O,2012-03-12,37.52000045776367,37.0,26.632001876831055,508800.0
O,2012-03-13,38.040000915527344,37.47999954223633,27.080486297607422,852100.0
O,2012-03-14,38.189998626708984,37.68000030517578,26.945232391357422,548300.0
O,2012-03-15,38.0,37.630001068115234,27.030670166015625,505300.0
O,2012-03-16,38.029998779296875,37.75,27.00218963623047,745400.0
O,2012-03-19,38.220001220703125,37.810001373291016,27.123201370239258,598200.0
O,2012-03-20,38.22999954223633,37.88999938964844,27.10896110534668,437900.0
O,2012-03-21,38.2400016784668,38.0,27.087621688842773,420300.0
O,2012-03-22,38.099998474121094,37.56999969482422,27.023534774780273,587300.0
O,2012-03-23,38.369998931884766,37.77000045776367,27.158803939819336,500500.0
O,2012-03-26,38.58000183105469,38.189998626708984,27.400846481323242,566200.0
O,2012-03-27,38.900001525878906,38.43000030517578,27.593050003051758,648900.0
O,2012-03-28,38.95000076293945,38.5,27.706960678100586,718800.0
O,2012-03-29,38.790000915527344,38.310001373291016,27.646791458129883,473800.0
O,2012-03-30,39.029998779296875,38.70000076293945,27.675376892089844,580300.0
O,2012-04-02,39.099998474121094,38.709999084472656,27.753976821899414,652200.0
O,2012-04-03,38.97999954223633,38.68000030517578,27.825439453125,582300.0
O,2012-04-04,38.84000015258789,38.400001525878906,27.511032104492188,783200.0
O,2012-04-05,37.86000061035156,37.29999923706055,26.796449661254883,1390200.0
O,2012-04-09,37.33000183105469,36.900001525878906,26.66068458557129,788900.0
O,2012-04-10,37.59000015258789,36.869998931884766,26.38200569152832,725800.0
O,2012-04-11,37.709999084472656,37.11000061035156,26.92508888244629,679000.0
O,2012-04-12,37.83000183105469,37.52000045776367,26.967958450317383,644900.0
O,2012-04-13,38.060001373291016,37.5,26.803606033325195,616800.0
O,2012-04-16,38.22999954223633,37.619998931884766,27.182321548461914,733600.0
O,2012-04-17,38.45000076293945,37.9900016784668,27.318099975585938,592300.0
O,2012-04-18,38.369998931884766,38.060001373291016,27.210905075073242,485200.0
O,2012-04-19,38.45000076293945,37.900001525878906,27.13945960998535,864800.0
O,2012-04-20,38.77000045776367,38.119998931884766,27.60392189025879,599300.0
O,2012-04-23,38.540000915527344,38.20000076293945,27.52532958984375,590600.0
O,2012-04-24,39.06999969482422,38.58000183105469,27.868314743041992,635200.0
O,2012-04-25,39.560001373291016,39.15999984741211,28.197025299072266,713900.0
O,2012-04-26,39.59000015258789,39.2400016784668,28.161283493041992,747600.0
O,2012-04-27,39.5099983215332,39.08000183105469,28.151107788085938,617100.0
O,2012-04-30,39.40999984741211,39.029998779296875,28.215662002563477,497500.0
O,2012-05-01,39.81999969482422,39.34000015258789,28.287384033203125,590200.0
O,2012-05-02,39.540000915527344,39.060001373291016,28.165454864501953,642500.0
O,2012-05-03,39.599998474121094,39.38999938964844,28.287384033203125,776500.0
