,,high,low,adjclose,volume
OGE,2012-01-03,28.770000457763672,27.790000915527344,21.19193458557129,607000.0
OGE,2012-01-04,28.024999618530273,27.815000534057617,21.29090690612793,630800.0
OGE,2012-01-05,28.084999084472656,27.75,21.298519134521484,869400.0
OGE,2012-01-06,27.93000030517578,27.655000686645508,21.222997665405273,883600.0
OGE,2012-01-09,27.9950008392334,27.56999969482422,21.376340866088867,917800.0
OGE,2012-01-10,28.135000228881836,27.860000610351562,21.430017471313477,826000.0
OGE,2012-01-11,28.06999969482422,27.829999923706055,21.36484718322754,482600.0
OGE,2012-01-12,28.0049991607666,27.68000030517578,21.276670455932617,914600.0
OGE,2012-01-13,27.799999237060547,27.479999542236328,21.226831436157227,1416200.0
OGE,2012-01-17,28.03499984741211,27.545000076293945,21.222997665405273,1041600.0
OGE,2012-01-18,27.815000534057617,27.565000534057617,21.292007446289062,1033600.0
OGE,2012-01-19,27.834999084472656,27.684999465942383,21.276670455932617,1012600.0
OGE,2012-01-20,27.895000457763672,27.639999389648438,21.276670455932617,729800.0
OGE,2012-01-23,28.174999237060547,27.709999084472656,21.30733871459961,664600.0
OGE,2012-01-24,27.75,27.510000228881836,21.19999885559082,450400.0
OGE,2012-01-25,27.510000228881836,26.665000915527344,20.851131439208984,3199600.0
OGE,2012-01-26,27.325000762939453,26.75,20.724628448486328,1551800.0
OGE,2012-01-27,27.165000915527344,26.760000228881836,20.578950881958008,870400.0
OGE,2012-01-30,26.774999618530273,26.200000762939453,20.157251358032227,2286200.0
OGE,2012-01-31,26.5,26.364999771118164,20.264589309692383,1085400.0
OGE,2012-02-01,26.875,26.5,20.605783462524414,1079400.0
OGE,2012-02-02,26.895000457763672,26.530000686645508,20.38343620300293,888800.0
OGE,2012-02-03,26.844999313354492,26.565000534057617,20.406436920166016,665600.0
OGE,2012-02-06,26.719999313354492,26.459999084472656,20.421770095825195,800800.0
OGE,2012-02-07,26.905000686645508,26.415000915527344,20.52911376953125,1153400.0
OGE,2012-02-08,26.889999389648438,26.440000534057617,20.410266876220703,739800.0
OGE,2012-02-09,26.780000686645508,26.415000915527344,20.398771286010742,1079200.0
OGE,2012-02-10,26.5049991607666,26.170000076293945,20.256919860839844,761400.0
OGE,2012-02-13,26.690000534057617,26.264999389648438,20.276090621948242,1787800.0
OGE,2012-02-14,26.415000915527344,26.05500030517578,20.076744079589844,1106400.0
OGE,2012-02-15,26.399999618530273,26.049999237060547,20.118913650512695,1391000.0
OGE,2012-02-16,26.829999923706055,26.149999618530273,20.456270217895508,1397400.0
OGE,2012-02-17,27.235000610351562,26.364999771118164,20.299097061157227,1935400.0
OGE,2012-02-21,26.5049991607666,26.0049991607666,19.98090362548828,1512000.0
OGE,2012-02-22,26.200000762939453,25.78499984741211,19.95406723022461,1182400.0
OGE,2012-02-23,26.34000015258789,25.954999923706055,20.138076782226562,965400.0
OGE,2012-02-24,26.985000610351562,26.225000381469727,20.490774154663086,1493000.0
OGE,2012-02-27,26.704999923706055,26.334999084472656,20.268428802490234,1018600.0
OGE,2012-02-28,26.469999313354492,26.014999389648438,20.0422420501709,906600.0
OGE,2012-02-29,26.290000915527344,25.93000030517578,20.118913650512695,1026600.0
OGE,2012-03-01,26.34000015258789,26.024999618530273,20.072908401489258,919400.0
OGE,2012-03-02,26.209999084472656,26.0,20.061410903930664,832600.0
OGE,2012-03-05,26.145000457763672,25.899999618530273,20.000076293945312,909800.0
OGE,2012-03-06,25.969999313354492,25.6200008392334,19.804555892944336,1175800.0
OGE,2012-03-07,26.100000381469727,25.655000686645508,19.961732864379883,1084400.0
OGE,2012-03-08,26.174999237060547,25.90999984741211,20.03456687927246,615000.0
OGE,2012-03-09,26.3700008392334,25.96500015258789,20.180252075195312,620200.0
OGE,2012-03-12,26.469999313354492,26.2450008392334,20.28375816345215,547000.0
OGE,2012-03-13,26.59000015258789,26.40999984741211,20.368093490600586,950800.0
OGE,2012-03-14,26.69499969482422,26.34000015258789,20.23392677307129,857000.0
OGE,2012-03-15,26.475000381469727,26.170000076293945,20.295259475708008,982000.0
OGE,2012-03-16,26.665000915527344,26.354999542236328,20.30293083190918,2331200.0
OGE,2012-03-19,26.790000915527344,26.344999313354492,20.230085372924805,1484600.0
OGE,2012-03-20,26.364999771118164,26.174999237060547,20.180252075195312,642200.0
OGE,2012-03-21,26.405000686645508,26.094999313354492,20.0422420501709,665200.0
OGE,2012-03-22,26.114999771118164,25.790000915527344,19.862062454223633,1061200.0
OGE,2012-03-23,26.31999969482422,25.854999542236328,20.115079879760742,755600.0
OGE,2012-03-26,26.614999771118164,26.395000457763672,20.30293083190918,1121000.0
OGE,2012-03-27,26.649999618530273,26.399999618530273,20.414106369018555,714600.0
OGE,2012-03-28,26.625,26.225000381469727,20.256919860839844,588400.0
OGE,2012-03-29,26.684999465942383,26.049999237060547,20.417932510375977,1043600.0
OGE,2012-03-30,26.854999542236328,26.56999969482422,20.509939193725586,1030800.0
OGE,2012-04-02,27.014999389648438,26.59000015258789,20.513778686523438,853400.0
OGE,2012-04-03,26.825000762939453,26.489999771118164,20.513778686523438,954600.0
OGE,2012-04-04,26.649999618530273,26.385000228881836,20.30293083190918,757600.0
OGE,2012-04-05,26.28499984741211,25.9950008392334,20.184350967407227,534400.0
OGE,2012-04-09,26.03499984741211,25.815000534057617,20.056901931762695,674200.0
OGE,2012-04-10,25.899999618530273,25.434999465942383,19.670669555664062,648600.0
OGE,2012-04-11,25.690000534057617,25.489999771118164,19.763368606567383,1036000.0
OGE,2012-04-12,25.885000228881836,25.5049991607666,19.948755264282227,717800.0
OGE,2012-04-13,25.934999465942383,25.625,19.813575744628906,648200.0
OGE,2012-04-16,25.924999237060547,25.625,19.979656219482422,627800.0
OGE,2012-04-17,26.184999465942383,25.760000228881836,20.2191162109375,516200.0
OGE,2012-04-18,26.135000228881836,25.889999389648438,20.0800724029541,700000.0
OGE,2012-04-19,26.094999313354492,25.75,20.041446685791016,664000.0
OGE,2012-04-20,26.385000228881836,26.020000457763672,20.311811447143555,719800.0
OGE,2012-04-23,26.184999465942383,25.790000915527344,20.153457641601562,705600.0
OGE,2012-04-24,26.399999618530273,26.1299991607666,20.350431442260742,588600.0
OGE,2012-04-25,26.739999771118164,26.415000915527344,20.56672477722168,831600.0
OGE,2012-04-26,26.780000686645508,26.424999237060547,20.613067626953125,646800.0
OGE,2012-04-27,26.915000915527344,26.6200008392334,20.73280143737793,1165400.0
OGE,2012-04-30,26.9950008392334,26.760000228881836,20.8409423828125,855800.0
OGE,2012-05-01,27.21500015258789,26.6299991607666,20.829355239868164,953400.0
OGE,2012-05-02,26.844999313354492,26.635000228881836,20.601482391357422,621800.0
OGE,2012-05-03,27.655000686645508,26.739999771118164,21.196279525756836,1742200.0
OGE,2012-05-04,27.610000610351562,27.274999618530273,21.215591430664062,1138000.0
OGE,2012-05-07,27.3799991607666,27.040000915527344,20.922054290771484,1005600.0
OGE,2012-05-08,27.174999237060547,26.760000228881836,20.81777000427246,1153800.0
OGE,2012-05-09,27.084999084472656,26.704999923706055,20.736661911010742,1027200.0
OGE,2012-05-10,27.264999389648438,26.969999313354492,20.979990005493164,594800.0
OGE,2012-05-11,27.30500030517578,26.979999542236328,20.8834285736084,644600.0
OGE,2012-05-14,27.155000686645508,26.739999771118164,20.860260009765625,574400.0
OGE,2012-05-15,27.19499969482422,26.809999465942383,20.81004524230957,996600.0
OGE,2012-05-16,27.079999923706055,26.895000457763672,20.81777000427246,532800.0
OGE,2012-05-17,27.010000228881836,26.440000534057617,20.53196144104004,728000.0
OGE,2012-05-18,26.704999923706055,26.334999084472656,20.365882873535156,534400.0
OGE,2012-05-21,26.69499969482422,26.235000610351562,20.613067626953125,566000.0
OGE,2012-05-22,26.8799991607666,26.655000686645508,20.70576286315918,970400.0
OGE,2012-05-23,26.81999969482422,26.399999618530273,20.493343353271484,636000.0
OGE,2012-05-24,26.774999618530273,26.454999923706055,20.620790481567383,779000.0
OGE,2012-05-25,26.774999618530273,26.649999618530273,20.651695251464844,815400.0
OGE,2012-05-29,26.905000686645508,26.565000534057617,20.636245727539062,822800.0
OGE,2012-05-30,26.725000381469727,26.3700008392334,20.389057159423828,747800.0
OGE,2012-05-31,26.709999084472656,26.200000762939453,20.56285858154297,1140800.0
OGE,2012-06-01,26.764999389648438,26.260000228881836,20.547412872314453,1398400.0
OGE,2012-06-04,26.725000381469727,26.264999389648438,20.423816680908203,710600.0
OGE,2012-06-05,26.844999313354492,26.299999237060547,20.601482391357422,1448200.0
OGE,2012-06-06,26.905000686645508,26.639999389648438,20.771421432495117,1478600.0
OGE,2012-06-07,27.1200008392334,26.8799991607666,20.77914810180664,1417400.0
OGE,2012-06-08,26.969999313354492,26.614999771118164,20.79459571838379,1139800.0
OGE,2012-06-11,27.229999542236328,26.940000534057617,20.83322525024414,753200.0
OGE,2012-06-12,27.030000686645508,26.690000534057617,20.767562866210938,1076000.0
