,,high,low,adjclose,volume
OHI,2012-01-03,19.989999771118164,19.610000610351562,11.461045265197754,771900.0
OHI,2012-01-04,19.639999389648438,19.170000076293945,11.107954025268555,920900.0
OHI,2012-01-05,19.739999771118164,19.030000686645508,11.391586303710938,663900.0
OHI,2012-01-06,19.780000686645508,19.459999084472656,11.304760932922363,475000.0
OHI,2012-01-09,19.75,19.510000228881836,11.380009651184082,564100.0
OHI,2012-01-10,20.1299991607666,19.8700008392334,11.55945110321045,570400.0
OHI,2012-01-11,20.020000457763672,19.75,11.547876358032227,368100.0
OHI,2012-01-12,20.0,19.670000076293945,11.547876358032227,523900.0
OHI,2012-01-13,20.0,19.700000762939453,11.53050708770752,412000.0
OHI,2012-01-17,20.530000686645508,20.040000915527344,11.744680404663086,892900.0
OHI,2012-01-18,20.6200008392334,20.290000915527344,11.912544250488281,686400.0
OHI,2012-01-19,21.0,20.610000610351562,12.034101486206055,931000.0
OHI,2012-01-20,21.0,20.610000610351562,12.039887428283691,1188700.0
OHI,2012-01-23,20.989999771118164,20.510000228881836,11.94148063659668,782200.0
OHI,2012-01-24,20.700000762939453,20.399999618530273,11.95306396484375,657500.0
OHI,2012-01-25,20.850000381469727,20.540000915527344,11.95306396484375,1174800.0
OHI,2012-01-26,20.969999313354492,20.700000762939453,12.109349250793457,1008700.0
OHI,2012-01-27,20.979999542236328,20.520000457763672,12.35141658782959,717700.0
OHI,2012-01-30,21.0,20.719999313354492,12.35141658782959,734100.0
OHI,2012-01-31,21.020000457763672,20.649999618530273,12.304183959960938,633100.0
OHI,2012-02-01,21.100000381469727,20.889999389648438,12.43997859954834,880900.0
OHI,2012-02-02,21.280000686645508,20.989999771118164,12.392745018005371,924600.0
OHI,2012-02-03,21.360000610351562,21.110000610351562,12.587578773498535,729600.0
OHI,2012-02-06,21.530000686645508,21.280000686645508,12.628912925720215,539600.0
OHI,2012-02-07,22.079999923706055,21.40999984741211,12.935927391052246,1131500.0
OHI,2012-02-08,22.049999237060547,21.719999313354492,13.01858139038086,666900.0
OHI,2012-02-09,22.229999542236328,21.8700008392334,12.947734832763672,717500.0
OHI,2012-02-10,21.989999771118164,21.700000762939453,12.8945951461792,502400.0
OHI,2012-02-13,22.219999313354492,21.829999923706055,12.95363712310791,837700.0
OHI,2012-02-14,21.850000381469727,21.389999389648438,12.729284286499023,1088100.0
OHI,2012-02-15,21.75,21.260000228881836,12.68795108795166,850800.0
OHI,2012-02-16,21.899999618530273,21.479999542236328,12.817843437194824,864200.0
OHI,2012-02-17,21.780000686645508,21.530000686645508,12.81193733215332,662200.0
OHI,2012-02-21,21.799999237060547,21.3700008392334,12.623005867004395,873900.0
OHI,2012-02-22,21.3799991607666,21.110000610351562,12.481308937072754,487300.0
OHI,2012-02-23,21.489999771118164,21.09000015258789,12.682048797607422,541400.0
OHI,2012-02-24,21.3799991607666,20.8700008392334,12.416364669799805,1241700.0
OHI,2012-02-27,21.059999465942383,20.579999923706055,12.416364669799805,644200.0
OHI,2012-02-28,21.139999389648438,20.530000686645508,12.192007064819336,937700.0
OHI,2012-02-29,20.760000228881836,20.3700008392334,12.026691436767578,1203300.0
OHI,2012-03-01,20.799999237060547,20.329999923706055,12.162487030029297,879500.0
OHI,2012-03-02,20.600000381469727,20.139999389648438,11.938129425048828,849700.0
OHI,2012-03-05,20.670000076293945,20.149999618530273,12.203813552856445,514700.0
OHI,2012-03-06,20.68000030517578,20.34000015258789,12.038496971130371,508300.0
OHI,2012-03-07,20.540000915527344,20.229999542236328,12.091633796691895,687000.0
OHI,2012-03-08,20.59000015258789,20.229999542236328,12.079829216003418,702500.0
OHI,2012-03-09,20.790000915527344,20.40999984741211,12.168387413024902,728300.0
OHI,2012-03-12,20.920000076293945,20.59000015258789,12.31009292602539,500000.0
OHI,2012-03-13,21.3700008392334,20.8700008392334,12.61710262298584,719400.0
OHI,2012-03-14,21.510000228881836,20.940000534057617,12.457693099975586,640100.0
OHI,2012-03-15,21.15999984741211,20.860000610351562,12.469499588012695,536900.0
OHI,2012-03-16,21.209999084472656,20.920000076293945,12.504926681518555,860500.0
OHI,2012-03-19,21.389999389648438,21.1200008392334,12.51673698425293,552100.0
OHI,2012-03-20,21.280000686645508,21.079999923706055,12.481308937072754,432200.0
OHI,2012-03-21,21.25,21.079999923706055,12.499018669128418,572900.0
OHI,2012-03-22,21.1299991607666,20.75,12.398650169372559,719200.0
OHI,2012-03-23,21.25,20.8799991607666,12.510831832885742,665900.0
OHI,2012-03-26,21.549999237060547,21.25,12.61710262298584,646800.0
OHI,2012-03-27,21.6299991607666,21.360000610351562,12.658431053161621,549400.0
OHI,2012-03-28,21.43000030517578,21.15999984741211,12.581677436828613,604900.0
OHI,2012-03-29,21.309999465942383,20.940000534057617,12.451789855957031,741000.0
OHI,2012-03-30,21.549999237060547,21.15999984741211,12.552155494689941,1500300.0
OHI,2012-04-02,21.540000915527344,21.1200008392334,12.640721321105957,954400.0
OHI,2012-04-03,21.510000228881836,21.280000686645508,12.623005867004395,691200.0
OHI,2012-04-04,21.309999465942383,21.020000457763672,12.534443855285645,498400.0
OHI,2012-04-05,21.260000228881836,20.969999313354492,12.410459518432617,413000.0
OHI,2012-04-09,20.850000381469727,20.65999984741211,12.221526145935059,443100.0
OHI,2012-04-10,20.799999237060547,20.200000762939453,11.938129425048828,948700.0
OHI,2012-04-11,20.760000228881836,20.239999771118164,12.22743034362793,1056500.0
OHI,2012-04-12,21.079999923706055,20.639999389648438,12.43997859954834,648300.0
OHI,2012-04-13,21.1299991607666,20.850000381469727,12.315994262695312,674100.0
OHI,2012-04-16,21.229999542236328,20.920000076293945,12.43997859954834,684300.0
OHI,2012-04-17,21.40999984741211,21.059999465942383,12.587578773498535,946800.0
OHI,2012-04-18,21.399999618530273,21.06999969482422,12.43997859954834,882800.0
OHI,2012-04-19,21.190000534057617,20.8700008392334,12.463594436645508,877700.0
OHI,2012-04-20,21.530000686645508,20.989999771118164,12.504926681518555,1238300.0
OHI,2012-04-23,21.020000457763672,20.6200008392334,12.375033378601074,1131400.0
OHI,2012-04-24,21.450000762939453,21.030000686645508,12.658431053161621,828300.0
OHI,2012-04-25,21.969999313354492,21.450000762939453,12.965445518493652,1457800.0
OHI,2012-04-26,21.549999237060547,21.190000534057617,12.899238586425781,757000.0
OHI,2012-04-27,21.559999465942383,21.25,12.905255317687988,693700.0
OHI,2012-04-30,21.489999771118164,21.229999542236328,12.887198448181152,662800.0
OHI,2012-05-01,21.860000610351562,21.34000015258789,12.86913776397705,1007800.0
OHI,2012-05-02,21.3799991607666,21.100000381469727,12.86913776397705,637700.0
OHI,2012-05-03,21.459999084472656,21.219999313354492,12.833020210266113,521000.0
OHI,2012-05-04,21.239999771118164,20.93000030517578,12.610313415527344,687800.0
OHI,2012-05-07,21.309999465942383,20.799999237060547,12.814967155456543,486400.0
