,,high,low,adjclose,volume
PAG,2012-01-03,20.0,19.520000457763672,16.329439163208008,444500.0
PAG,2012-01-04,19.6299991607666,19.149999618530273,16.078990936279297,239500.0
PAG,2012-01-05,19.18000030517578,18.469999313354492,15.870280265808105,638500.0
PAG,2012-01-06,19.139999389648438,18.530000686645508,15.511299133300781,419900.0
PAG,2012-01-09,19.329999923706055,18.56999969482422,16.112384796142578,350600.0
PAG,2012-01-10,20.1299991607666,19.670000076293945,16.613285064697266,401200.0
PAG,2012-01-11,20.0,19.670000076293945,16.538148880004883,238500.0
PAG,2012-01-12,20.209999084472656,19.809999465942383,16.855392456054688,333200.0
PAG,2012-01-13,21.1299991607666,19.809999465942383,17.565006256103516,783300.0
PAG,2012-01-17,21.260000228881836,20.920000076293945,17.62343978881836,388400.0
PAG,2012-01-18,22.149999618530273,20.940000534057617,18.449934005737305,524200.0
PAG,2012-01-19,22.299999237060547,21.81999969482422,18.4749755859375,737800.0
PAG,2012-01-20,22.200000762939453,21.65999984741211,18.2829647064209,280300.0
PAG,2012-01-23,22.200000762939453,21.780000686645508,18.4749755859375,252400.0
PAG,2012-01-24,22.5,21.84000015258789,18.399843215942383,497500.0
PAG,2012-01-25,22.469999313354492,21.920000076293945,18.708738327026367,366300.0
PAG,2012-01-26,22.8799991607666,22.3700008392334,18.859004974365234,552400.0
PAG,2012-01-27,23.280000686645508,22.34000015258789,19.259727478027344,512400.0
PAG,2012-01-30,23.100000381469727,22.68000030517578,19.13449478149414,290200.0
PAG,2012-01-31,23.139999389648438,22.299999237060547,18.683683395385742,285200.0
PAG,2012-02-01,23.3700008392334,22.600000381469727,19.126150131225586,452400.0
PAG,2012-02-02,23.389999389648438,22.809999465942383,19.126150131225586,439700.0
PAG,2012-02-03,24.030000686645508,23.25,19.960987091064453,381200.0
PAG,2012-02-06,24.299999237060547,23.540000915527344,20.102914810180664,222300.0
PAG,2012-02-07,24.450000762939453,23.93000030517578,20.061166763305664,299300.0
PAG,2012-02-08,24.450000762939453,23.770000457763672,20.069555282592773,179000.0
PAG,2012-02-09,24.299999237060547,23.65999984741211,20.228837966918945,190800.0
PAG,2012-02-10,23.93000030517578,23.43000030517578,19.85997200012207,208100.0
PAG,2012-02-13,24.239999771118164,23.90999984741211,20.25398826599121,213100.0
PAG,2012-02-14,24.780000686645508,23.729999542236328,20.765365600585938,666100.0
PAG,2012-02-15,25.0,23.270000457763672,19.767757415771484,1136200.0
PAG,2012-02-16,24.190000534057617,23.5,20.2455997467041,433700.0
PAG,2012-02-17,24.469999313354492,24.020000457763672,20.145004272460938,358700.0
PAG,2012-02-21,24.270000457763672,23.760000228881836,19.935426712036133,578500.0
PAG,2012-02-22,23.969999313354492,23.56999969482422,19.952186584472656,540300.0
PAG,2012-02-23,24.350000381469727,23.760000228881836,20.145004272460938,510400.0
PAG,2012-02-24,24.520000457763672,23.81999969482422,20.237220764160156,443400.0
PAG,2012-02-27,24.6200008392334,23.950000762939453,20.56417465209961,643200.0
PAG,2012-02-28,24.889999389648438,24.360000610351562,20.656383514404297,714400.0
PAG,2012-02-29,24.90999984741211,24.049999237060547,20.186920166015625,535000.0
PAG,2012-03-01,24.68000030517578,24.139999389648438,20.555788040161133,777100.0
PAG,2012-03-02,24.860000610351562,24.200000762939453,20.54739761352539,678300.0
PAG,2012-03-05,24.469999313354492,24.149999618530273,20.48033332824707,338200.0
PAG,2012-03-06,24.110000610351562,23.68000030517578,19.99410057067871,504200.0
PAG,2012-03-07,23.989999771118164,23.43000030517578,19.952186584472656,314600.0
PAG,2012-03-08,24.15999984741211,23.649999618530273,20.21207046508789,248700.0
PAG,2012-03-09,24.43000030517578,24.010000228881836,20.404884338378906,341500.0
PAG,2012-03-12,24.360000610351562,23.739999771118164,20.01925277709961,337800.0
PAG,2012-03-13,24.40999984741211,23.850000381469727,20.45518684387207,339200.0
PAG,2012-03-14,25.149999618530273,24.420000076293945,21.033632278442383,686900.0
PAG,2012-03-15,25.899999618530273,24.979999542236328,21.293516159057617,757600.0
PAG,2012-03-16,25.350000381469727,24.489999771118164,20.580934524536133,568400.0
PAG,2012-03-19,24.75,23.969999313354492,20.51386260986328,417800.0
PAG,2012-03-20,24.559999465942383,23.93000030517578,20.56417465209961,302600.0
PAG,2012-03-21,24.75,24.239999771118164,20.622848510742188,318600.0
PAG,2012-03-22,24.549999237060547,24.049999237060547,20.48033332824707,276400.0
PAG,2012-03-23,24.469999313354492,23.760000228881836,20.488723754882812,292600.0
PAG,2012-03-26,25.280000686645508,24.68000030517578,21.167760848999023,410000.0
PAG,2012-03-27,25.280000686645508,24.969999313354492,20.98333168029785,644200.0
PAG,2012-03-28,25.200000762939453,24.770000457763672,21.050397872924805,376300.0
PAG,2012-03-29,25.040000915527344,24.520000457763672,20.924646377563477,443400.0
PAG,2012-03-30,25.229999542236328,24.40999984741211,20.648000717163086,625300.0
PAG,2012-04-02,24.920000076293945,24.420000076293945,20.706684112548828,862100.0
PAG,2012-04-03,25.979999542236328,25.09000015258789,21.70429039001465,1306500.0
