,,high,low,adjclose,volume
PE,2014-05-23,22.639999389648438,21.190000534057617,22.200000762939453,22290800.0
PE,2014-05-27,23.420000076293945,22.309999465942383,22.68000030517578,2196900.0
PE,2014-05-28,23.615999221801758,22.799999237060547,23.329999923706055,2236000.0
PE,2014-05-29,24.049999237060547,22.770000457763672,23.889999389648438,1708600.0
PE,2014-05-30,24.18000030517578,23.530000686645508,23.770000457763672,687800.0
PE,2014-06-02,24.350000381469727,23.5,24.31999969482422,1146800.0
PE,2014-06-03,25.450000762939453,24.0,24.729999542236328,1236900.0
PE,2014-06-04,25.350000381469727,24.530000686645508,24.829999923706055,1001900.0
PE,2014-06-05,25.219999313354492,24.770000457763672,25.15999984741211,657300.0
PE,2014-06-06,25.406999588012695,24.600000381469727,25.0,1425900.0
PE,2014-06-09,25.100000381469727,24.06999969482422,24.729999542236328,1039500.0
PE,2014-06-10,25.0,24.610000610351562,24.760000228881836,529600.0
PE,2014-06-11,25.020000457763672,24.6200008392334,24.959999084472656,549700.0
PE,2014-06-12,25.700000762939453,24.799999237060547,24.989999771118164,1340600.0
PE,2014-06-13,25.174999237060547,24.5,24.600000381469727,686600.0
PE,2014-06-16,25.360000610351562,23.5,23.6200008392334,1427000.0
PE,2014-06-17,24.020000457763672,22.299999237060547,22.59000015258789,2404400.0
PE,2014-06-18,23.459999084472656,22.5,23.1200008392334,1597700.0
PE,2014-06-19,24.06999969482422,22.950000762939453,23.540000915527344,1525200.0
PE,2014-06-20,24.010000228881836,23.139999389648438,23.229999542236328,1426100.0
PE,2014-06-23,23.860000610351562,22.549999237060547,22.690000534057617,1550400.0
PE,2014-06-24,23.190000534057617,21.799999237060547,22.110000610351562,1869900.0
PE,2014-06-25,23.200000762939453,22.100000381469727,23.100000381469727,1263500.0
PE,2014-06-26,24.0,22.90999984741211,23.920000076293945,1006500.0
PE,2014-06-27,24.329999923706055,23.280000686645508,23.729999542236328,5331600.0
PE,2014-06-30,24.149999618530273,23.549999237060547,24.06999969482422,874700.0
PE,2014-07-01,24.059999465942383,23.360000610351562,23.389999389648438,1252500.0
PE,2014-07-02,23.600000381469727,22.799999237060547,23.1200008392334,1081200.0
PE,2014-07-03,23.049999237060547,22.540000915527344,22.6200008392334,464200.0
PE,2014-07-07,23.155000686645508,22.399999618530273,22.950000762939453,2047600.0
PE,2014-07-08,23.6200008392334,22.389999389648438,23.43000030517578,983900.0
PE,2014-07-09,24.0,23.260000228881836,23.780000686645508,1001400.0
PE,2014-07-10,24.0,23.06999969482422,23.739999771118164,761500.0
PE,2014-07-11,23.75,23.139999389648438,23.209999084472656,1040000.0
PE,2014-07-14,23.479999542236328,23.030000686645508,23.190000534057617,391200.0
PE,2014-07-15,23.190000534057617,22.440000534057617,22.610000610351562,2021400.0
PE,2014-07-16,22.90999984741211,22.510000228881836,22.709999084472656,462500.0
PE,2014-07-17,23.690000534057617,22.59000015258789,23.350000381469727,1011400.0
PE,2014-07-18,23.47100067138672,22.865999221801758,23.290000915527344,895500.0
PE,2014-07-21,24.15999984741211,23.06999969482422,23.850000381469727,633700.0
PE,2014-07-22,24.100000381469727,23.6299991607666,23.809999465942383,596100.0
PE,2014-07-23,24.0,23.459999084472656,23.950000762939453,445600.0
PE,2014-07-24,24.059999465942383,23.5,23.809999465942383,483700.0
PE,2014-07-25,23.7810001373291,23.020000457763672,23.309999465942383,511500.0
PE,2014-07-28,23.610000610351562,22.93000030517578,23.3799991607666,969600.0
PE,2014-07-29,24.229999542236328,23.100000381469727,23.860000610351562,1072600.0
PE,2014-07-30,24.079999923706055,23.25,23.309999465942383,868500.0
PE,2014-07-31,23.280000686645508,22.520000457763672,22.56999969482422,978000.0
PE,2014-08-01,22.759000778198242,21.260000228881836,21.549999237060547,2206100.0
PE,2014-08-04,22.520000457763672,21.371000289916992,22.209999084472656,766400.0
PE,2014-08-05,22.200000762939453,21.642000198364258,21.90999984741211,596200.0
PE,2014-08-06,22.350000381469727,21.68000030517578,21.760000228881836,383400.0
PE,2014-08-07,22.013999938964844,21.270000457763672,21.420000076293945,1029200.0
PE,2014-08-08,21.729999542236328,21.059999465942383,21.149999618530273,895600.0
PE,2014-08-11,22.479999542236328,21.25,22.219999313354492,1912500.0
PE,2014-08-12,22.219999313354492,21.600000381469727,21.969999313354492,729300.0
PE,2014-08-13,23.0,20.860000610351562,20.959999084472656,2438800.0
PE,2014-08-14,21.1299991607666,19.290000915527344,19.889999389648438,2804300.0
PE,2014-08-15,20.469999313354492,19.6299991607666,20.43000030517578,1640200.0
PE,2014-08-18,21.18000030517578,20.219999313354492,20.950000762939453,871800.0
PE,2014-08-19,21.229999542236328,20.190000534057617,20.31999969482422,1315200.0
PE,2014-08-20,20.440000534057617,19.799999237060547,20.34000015258789,826300.0
PE,2014-08-21,20.406999588012695,19.56999969482422,20.079999923706055,1818300.0
PE,2014-08-22,20.34000015258789,19.850000381469727,20.020000457763672,872600.0
PE,2014-08-25,20.25,19.950000762939453,20.15999984741211,578900.0
PE,2014-08-26,21.600000381469727,20.524999618530273,20.989999771118164,2221000.0
PE,2014-08-27,21.09000015258789,20.62700080871582,20.93000030517578,613100.0
PE,2014-08-28,22.0,20.780000686645508,21.549999237060547,1492900.0
PE,2014-08-29,21.940000534057617,21.34000015258789,21.920000076293945,992500.0
PE,2014-09-02,22.40999984741211,21.639999389648438,21.93000030517578,1685100.0
PE,2014-09-03,22.302000045776367,21.4950008392334,21.579999923706055,647400.0
PE,2014-09-04,21.8700008392334,20.799999237060547,20.829999923706055,841200.0
PE,2014-09-05,21.239999771118164,20.729999542236328,20.950000762939453,1037500.0
PE,2014-09-08,21.0,20.489999771118164,20.700000762939453,1011600.0
PE,2014-09-09,21.170000076293945,20.6200008392334,20.780000686645508,1613000.0
PE,2014-09-10,20.799999237060547,20.540000915527344,20.6299991607666,1260300.0
PE,2014-09-11,20.8700008392334,20.280000686645508,20.760000228881836,1426000.0
PE,2014-09-12,20.760000228881836,20.450000762939453,20.510000228881836,784100.0
PE,2014-09-15,20.860000610351562,20.309999465942383,20.690000534057617,1187400.0
PE,2014-09-16,21.350000381469727,20.520000457763672,21.200000762939453,1049900.0
PE,2014-09-17,22.030000686645508,21.079999923706055,21.280000686645508,1645100.0
PE,2014-09-18,21.53499984741211,20.809999465942383,21.0,1605500.0
PE,2014-09-19,21.290000915527344,20.604999542236328,20.739999771118164,3894000.0
PE,2014-09-22,20.770000457763672,20.149999618530273,20.260000228881836,1191000.0
PE,2014-09-23,20.565000534057617,20.010000228881836,20.40999984741211,874500.0
PE,2014-09-24,20.709999084472656,20.030000686645508,20.65999984741211,495000.0
PE,2014-09-25,20.6200008392334,20.010000228881836,20.31999969482422,846600.0
PE,2014-09-26,20.729999542236328,20.09000015258789,20.510000228881836,763700.0
PE,2014-09-29,21.700000762939453,20.809999465942383,21.3700008392334,1825300.0
PE,2014-09-30,21.56999969482422,20.770000457763672,21.329999923706055,2134200.0
PE,2014-10-01,21.850000381469727,20.790000915527344,21.030000686645508,1546600.0
PE,2014-10-02,20.850000381469727,19.6299991607666,20.350000381469727,2565100.0
PE,2014-10-03,20.56999969482422,19.209999084472656,19.299999237060547,1136500.0
PE,2014-10-06,19.770000457763672,18.950000762939453,19.479999542236328,1089400.0
PE,2014-10-07,20.049999237060547,19.239999771118164,19.280000686645508,980100.0
PE,2014-10-08,19.81999969482422,18.540000915527344,19.790000915527344,1194600.0
PE,2014-10-09,19.68000030517578,18.610000610351562,18.8700008392334,887300.0
PE,2014-10-10,19.59000015258789,18.520000457763672,18.690000534057617,1140100.0
PE,2014-10-13,18.90999984741211,16.799999237060547,16.8799991607666,1918100.0
PE,2014-10-14,17.768999099731445,16.209999084472656,16.399999618530273,1674600.0
PE,2014-10-15,17.489999771118164,15.15999984741211,17.18000030517578,2308600.0
PE,2014-10-16,18.239999771118164,16.559999465942383,17.989999771118164,1685000.0
PE,2014-10-17,18.889999389648438,17.639999389648438,18.030000686645508,2424600.0
PE,2014-10-20,18.25,17.75,17.940000534057617,812900.0
PE,2014-10-21,18.389999389648438,17.3799991607666,18.25,1364900.0
PE,2014-10-22,18.479999542236328,17.030000686645508,17.06999969482422,1329900.0
PE,2014-10-23,17.700000762939453,16.763999938964844,17.489999771118164,1588400.0
PE,2014-10-24,17.524999618530273,17.1200008392334,17.309999465942383,688600.0
PE,2014-10-27,16.479999542236328,14.875,16.010000228881836,2225400.0
PE,2014-10-28,16.844999313354492,16.0,16.709999084472656,891000.0
PE,2014-10-29,17.31999969482422,16.670000076293945,17.1299991607666,905300.0
PE,2014-10-30,17.219999313354492,16.520999908447266,16.889999389648438,1023500.0
PE,2014-10-31,17.1299991607666,16.43000030517578,16.969999313354492,1244300.0
PE,2014-11-03,17.690000534057617,16.479999542236328,16.600000381469727,1260900.0
PE,2014-11-04,16.360000610351562,15.09000015258789,15.460000038146973,1055800.0
PE,2014-11-05,15.880000114440918,15.199999809265137,15.829999923706055,1180200.0
PE,2014-11-06,15.890000343322754,15.34000015258789,15.819999694824219,722200.0
PE,2014-11-07,16.774999618530273,15.819999694824219,16.420000076293945,1391000.0
PE,2014-11-10,16.959999084472656,16.309999465942383,16.459999084472656,1035700.0
PE,2014-11-11,16.670000076293945,16.079999923706055,16.440000534057617,1401300.0
PE,2014-11-12,18.719999313354492,16.940000534057617,17.90999984741211,4460900.0
PE,2014-11-13,18.18000030517578,17.360000610351562,17.649999618530273,1627100.0
PE,2014-11-14,18.40999984741211,17.649999618530273,17.950000762939453,1444300.0
PE,2014-11-17,18.0,16.691999435424805,16.860000610351562,1205200.0
PE,2014-11-18,17.219999313354492,16.260000228881836,16.510000228881836,1426900.0
PE,2014-11-19,16.940000534057617,16.18000030517578,16.549999237060547,1370000.0
PE,2014-11-20,17.760000228881836,16.389999389648438,17.700000762939453,1384800.0
PE,2014-11-21,18.2549991607666,17.829999923706055,17.899999618530273,1490900.0
PE,2014-11-24,17.889999389648438,17.100000381469727,17.5,1451100.0
PE,2014-11-25,17.780000686645508,17.15999984741211,17.329999923706055,1182800.0
PE,2014-11-26,17.450000762939453,16.690000534057617,16.829999923706055,709200.0
PE,2014-11-28,15.489999771118164,12.600000381469727,12.640000343322754,2269800.0
PE,2014-12-01,12.770000457763672,12.3100004196167,12.699999809265137,3437000.0
PE,2014-12-02,13.220000267028809,12.460000038146973,12.960000038146973,1897000.0
PE,2014-12-03,14.050000190734863,12.899999618530273,13.720000267028809,1863200.0
PE,2014-12-04,13.75,13.020000457763672,13.140000343322754,1470800.0
PE,2014-12-05,13.260000228881836,12.5,12.630000114440918,1142800.0
PE,2014-12-08,12.630000114440918,11.109999656677246,11.260000228881836,1301000.0
PE,2014-12-09,12.550000190734863,11.149999618530273,12.489999771118164,1829700.0
PE,2014-12-10,12.369999885559082,11.760000228881836,11.899999618530273,2089800.0
PE,2014-12-11,12.239999771118164,11.670000076293945,11.75,2161700.0
PE,2014-12-12,11.869999885559082,11.239999771118164,11.510000228881836,2664000.0
PE,2014-12-15,11.850000381469727,11.510000228881836,11.640000343322754,1310000.0
PE,2014-12-16,12.550000190734863,11.399999618530273,12.369999885559082,1960500.0
PE,2014-12-17,14.75,12.279999732971191,13.710000038146973,2112500.0
PE,2014-12-18,14.78499984741211,13.529999732971191,14.59000015258789,2662500.0
PE,2014-12-19,15.989999771118164,13.899999618530273,15.920000076293945,3682900.0
PE,2014-12-22,16.3700008392334,15.149999618530273,15.930000305175781,1737000.0
PE,2014-12-23,16.466999053955078,15.770000457763672,16.389999389648438,1398100.0
PE,2014-12-24,16.229999542236328,15.529999732971191,16.020000457763672,586800.0
PE,2014-12-26,16.475000381469727,15.90999984741211,16.270000457763672,505600.0
PE,2014-12-29,16.68000030517578,15.96500015258789,16.40999984741211,1161100.0
PE,2014-12-30,16.3700008392334,15.378999710083008,15.630000114440918,1189000.0
PE,2014-12-31,16.0,15.0,15.960000038146973,1167400.0
PE,2015-01-02,16.5,15.390000343322754,16.020000457763672,1092500.0
PE,2015-01-05,15.84000015258789,14.350000381469727,14.890000343322754,1588600.0
PE,2015-01-06,15.130000114440918,13.90999984741211,14.0600004196167,1483600.0
PE,2015-01-07,14.619999885559082,13.5,13.630000114440918,1727300.0
PE,2015-01-08,14.875,13.710000038146973,14.5,1650600.0
PE,2015-01-09,14.694000244140625,13.6899995803833,14.300000190734863,1613100.0
PE,2015-01-12,14.479999542236328,13.430000305175781,13.729999542236328,1261600.0
PE,2015-01-13,14.324999809265137,13.380000114440918,13.859999656677246,1559000.0
PE,2015-01-14,15.039999961853027,13.4399995803833,14.970000267028809,2074700.0
PE,2015-01-15,15.619999885559082,14.600000381469727,14.65999984741211,1651100.0
PE,2015-01-16,15.8100004196167,14.670000076293945,15.720000267028809,1298700.0
PE,2015-01-20,15.720000267028809,15.0,15.649999618530273,1201800.0
PE,2015-01-21,17.06999969482422,15.628000259399414,16.6200008392334,2414400.0
PE,2015-01-22,16.93000030517578,15.960000038146973,16.690000534057617,1336300.0
PE,2015-01-23,17.03499984741211,16.34000015258789,16.829999923706055,1164800.0
PE,2015-01-26,17.139999389648438,15.800000190734863,17.110000610351562,1938200.0
PE,2015-01-27,17.709999084472656,16.329999923706055,17.09000015258789,1793700.0
PE,2015-01-28,16.90999984741211,15.850000381469727,16.010000228881836,1259100.0
PE,2015-01-29,16.610000610351562,14.895000457763672,16.549999237060547,1808600.0
PE,2015-01-30,17.100000381469727,15.65999984741211,16.770000457763672,1564000.0
PE,2015-02-02,17.389999389648438,16.040000915527344,17.110000610351562,2125700.0
PE,2015-02-03,18.34000015258789,16.989999771118164,18.290000915527344,2721100.0
PE,2015-02-04,17.799999237060547,16.8700008392334,17.709999084472656,1837900.0
PE,2015-02-05,18.260000228881836,17.3799991607666,17.6200008392334,1057600.0
PE,2015-02-06,18.219999313354492,15.880000114440918,17.59000015258789,7686800.0
PE,2015-02-09,17.729999542236328,16.610000610351562,16.649999618530273,1594900.0
PE,2015-02-10,16.795000076293945,15.5,16.309999465942383,2686400.0
PE,2015-02-11,16.899999618530273,15.390000343322754,16.200000762939453,2586700.0
PE,2015-02-12,17.25,16.1200008392334,16.479999542236328,2032700.0
PE,2015-02-13,17.329999923706055,16.489999771118164,17.280000686645508,1375400.0
PE,2015-02-17,17.3700008392334,16.190000534057617,16.969999313354492,944500.0
PE,2015-02-18,17.239999771118164,16.40999984741211,16.469999313354492,725000.0
PE,2015-02-19,17.15999984741211,15.829999923706055,16.75,1066200.0
PE,2015-02-20,16.985000610351562,16.229999542236328,16.360000610351562,724100.0
PE,2015-02-23,16.649999618530273,15.949999809265137,16.15999984741211,712800.0
PE,2015-02-24,16.389999389648438,15.614999771118164,15.90999984741211,835300.0
PE,2015-02-25,16.399999618530273,15.640000343322754,16.25,1038200.0
PE,2015-02-26,16.1299991607666,15.350000381469727,15.710000038146973,2854400.0
PE,2015-02-27,16.0,14.75,14.890000343322754,1933800.0
PE,2015-03-02,14.835000038146973,14.010000228881836,14.649999618530273,1865100.0
PE,2015-03-03,14.890000343322754,14.399999618530273,14.520000457763672,916200.0
PE,2015-03-04,14.680000305175781,14.050000190734863,14.489999771118164,1427300.0
PE,2015-03-05,14.729999542236328,14.100000381469727,14.25,1031600.0
PE,2015-03-06,14.390000343322754,13.390000343322754,13.5,1436600.0
PE,2015-03-09,14.380000114440918,13.413000106811523,13.90999984741211,2032400.0
PE,2015-03-10,14.449999809265137,13.680000305175781,14.3100004196167,1149600.0
PE,2015-03-11,14.539999961853027,13.90999984741211,14.329999923706055,2160200.0
PE,2015-03-12,14.9399995803833,14.180000305175781,14.569999694824219,1429800.0
PE,2015-03-13,14.6899995803833,13.859999656677246,14.609999656677246,1515100.0
PE,2015-03-16,15.069999694824219,14.0600004196167,14.989999771118164,1455100.0
PE,2015-03-17,15.609999656677246,14.960000038146973,15.020000457763672,1544700.0
PE,2015-03-18,15.420000076293945,14.399999618530273,15.050000190734863,1636100.0
PE,2015-03-19,14.899999618530273,13.899999618530273,14.600000381469727,2556000.0
PE,2015-03-20,15.0600004196167,14.460000038146973,14.84000015258789,1134800.0
PE,2015-03-23,15.25,14.460000038146973,14.539999961853027,864200.0
PE,2015-03-24,15.199999809265137,14.5,15.149999618530273,1610400.0
PE,2015-03-25,16.459999084472656,15.479999542236328,15.869999885559082,2183800.0
PE,2015-03-26,16.5,15.739999771118164,16.239999771118164,1660300.0
PE,2015-03-27,16.25,15.579999923706055,15.899999618530273,1508500.0
PE,2015-03-30,16.110000610351562,15.520000457763672,16.049999237060547,1184000.0
PE,2015-03-31,16.280000686645508,15.6899995803833,15.979999542236328,1091800.0
PE,2015-04-01,16.940000534057617,15.869999885559082,16.559999465942383,3570200.0
PE,2015-04-02,17.260000228881836,16.399999618530273,16.770000457763672,2449100.0
PE,2015-04-06,17.649999618530273,16.950000762939453,17.450000762939453,3208100.0
PE,2015-04-07,17.690000534057617,17.190000534057617,17.440000534057617,3602300.0
PE,2015-04-08,17.469999313354492,16.55500030517578,16.670000076293945,2502200.0
PE,2015-04-09,17.450000762939453,16.670000076293945,17.209999084472656,1979700.0
PE,2015-04-10,17.440000534057617,16.799999237060547,17.360000610351562,1668000.0
PE,2015-04-13,17.479999542236328,16.790000915527344,16.989999771118164,1882400.0
PE,2015-04-14,17.600000381469727,16.979999542236328,17.3799991607666,1469800.0
PE,2015-04-15,18.1299991607666,16.950000762939453,17.68000030517578,2543600.0
PE,2015-04-16,17.6200008392334,16.760000228881836,16.850000381469727,2400400.0
PE,2015-04-17,16.790000915527344,16.139999389648438,16.43000030517578,1566200.0
PE,2015-04-20,16.81999969482422,16.25,16.540000915527344,1164400.0
PE,2015-04-21,16.729999542236328,15.920000076293945,16.09000015258789,1241400.0
PE,2015-04-22,16.399999618530273,15.789999961853027,16.06999969482422,880200.0
PE,2015-04-23,16.969999313354492,16.049999237060547,16.700000762939453,1018800.0
PE,2015-04-24,16.93000030517578,16.3799991607666,16.719999313354492,870000.0
PE,2015-04-27,17.225000381469727,16.68000030517578,16.719999313354492,1220200.0
PE,2015-04-28,17.049999237060547,16.670000076293945,16.760000228881836,544900.0
PE,2015-04-29,17.790000915527344,16.610000610351562,17.3700008392334,1608600.0
PE,2015-04-30,18.0,17.0,17.34000015258789,2547900.0
PE,2015-05-01,17.440000534057617,16.790000915527344,16.84000015258789,1400500.0
PE,2015-05-04,17.260000228881836,16.489999771118164,17.18000030517578,1428100.0
PE,2015-05-05,17.75,16.420000076293945,16.5,1124300.0
PE,2015-05-06,17.229999542236328,16.3439998626709,16.829999923706055,1216700.0
PE,2015-05-07,16.770000457763672,15.779999732971191,16.350000381469727,1330200.0
PE,2015-05-08,16.739999771118164,15.800000190734863,16.5,1686300.0
PE,2015-05-11,16.950000762939453,15.859999656677246,15.920000076293945,1702500.0
PE,2015-05-12,16.440000534057617,15.789999961853027,16.0,1522300.0
PE,2015-05-13,17.040000915527344,15.520000457763672,16.670000076293945,4217800.0
PE,2015-05-14,18.030000686645508,16.559999465942383,17.299999237060547,2319600.0
PE,2015-05-15,17.844999313354492,16.84000015258789,17.6200008392334,1004500.0
PE,2015-05-18,18.040000915527344,17.489999771118164,18.010000228881836,1251600.0
PE,2015-05-19,18.219999313354492,17.43000030517578,17.579999923706055,1862900.0
PE,2015-05-20,17.6299991607666,16.93000030517578,17.100000381469727,1603200.0
PE,2015-05-21,17.770000457763672,17.15999984741211,17.549999237060547,1405000.0
PE,2015-05-22,17.829999923706055,17.270000457763672,17.510000228881836,928100.0
PE,2015-05-26,17.6299991607666,16.969999313354492,17.280000686645508,1783900.0
PE,2015-05-27,17.65999984741211,17.040000915527344,17.459999084472656,1993900.0
PE,2015-05-28,17.360000610351562,16.15999984741211,16.719999313354492,2826900.0
PE,2015-05-29,17.719999313354492,16.610000610351562,17.489999771118164,2312200.0
PE,2015-06-01,17.639999389648438,16.989999771118164,17.360000610351562,1903900.0
PE,2015-06-02,17.920000076293945,17.200000762939453,17.829999923706055,1324200.0
PE,2015-06-03,18.209999084472656,17.559999465942383,18.030000686645508,1582300.0
PE,2015-06-04,18.190000534057617,17.479999542236328,17.690000534057617,1490700.0
PE,2015-06-05,18.5,17.510000228881836,18.059999465942383,1764400.0
PE,2015-06-08,18.600000381469727,17.780000686645508,18.0,1870700.0
PE,2015-06-09,18.780000686645508,18.040000915527344,18.520000457763672,1584700.0
PE,2015-06-10,19.0,18.354999542236328,18.8700008392334,2085700.0
PE,2015-06-11,19.020000457763672,18.520000457763672,18.81999969482422,1123300.0
PE,2015-06-12,18.889999389648438,18.030000686645508,18.219999313354492,1935500.0
PE,2015-06-15,18.649999618530273,18.0,18.34000015258789,1695100.0
PE,2015-06-16,18.610000610351562,17.950000762939453,18.420000076293945,1670200.0
PE,2015-06-17,18.770000457763672,17.780000686645508,18.010000228881836,1735000.0
PE,2015-06-18,18.549999237060547,17.68000030517578,17.850000381469727,2043200.0
PE,2015-06-19,18.020000457763672,17.43000030517578,17.940000534057617,3053900.0
PE,2015-06-22,18.530000686645508,17.540000915527344,18.360000610351562,1430000.0
PE,2015-06-23,18.59000015258789,18.2189998626709,18.450000762939453,1284900.0
PE,2015-06-24,18.600000381469727,18.235000610351562,18.43000030517578,1354600.0
PE,2015-06-25,18.739999771118164,17.950000762939453,18.579999923706055,1759500.0
PE,2015-06-26,18.549999237060547,17.81999969482422,18.010000228881836,3346500.0
PE,2015-06-29,17.860000610351562,17.18000030517578,17.260000228881836,1691400.0
PE,2015-06-30,17.6200008392334,16.979999542236328,17.420000076293945,2399100.0
PE,2015-07-01,17.75,16.799999237060547,17.020000457763672,1765200.0
PE,2015-07-02,17.3799991607666,16.920000076293945,17.0,963900.0
PE,2015-07-06,16.719999313354492,15.9399995803833,16.030000686645508,2100600.0
PE,2015-07-07,16.857999801635742,15.4399995803833,16.75,2661000.0
PE,2015-07-08,16.860000610351562,16.114999771118164,16.360000610351562,1339800.0
PE,2015-07-09,17.280000686645508,16.540000915527344,16.940000534057617,1456800.0
PE,2015-07-10,17.280000686645508,16.5,16.649999618530273,1217900.0
PE,2015-07-13,16.899999618530273,16.139999389648438,16.860000610351562,1321800.0
PE,2015-07-14,17.579999923706055,16.809999465942383,17.420000076293945,1599500.0
PE,2015-07-15,17.420000076293945,16.43000030517578,16.709999084472656,1259900.0
PE,2015-07-16,17.440000534057617,16.299999237060547,16.450000762939453,1038600.0
PE,2015-07-17,16.600000381469727,15.789999961853027,16.200000762939453,1602900.0
PE,2015-07-20,16.1299991607666,15.380000114440918,15.510000228881836,1036300.0
PE,2015-07-21,16.190000534057617,15.1899995803833,15.4399995803833,1709100.0
PE,2015-07-22,15.539999961853027,14.899999618530273,15.390000343322754,1739000.0
PE,2015-07-23,15.819999694824219,15.180000305175781,15.420000076293945,1583600.0
PE,2015-07-24,15.628999710083008,14.569999694824219,14.859999656677246,1831200.0
PE,2015-07-27,14.699999809265137,13.949999809265137,14.0600004196167,2134200.0
PE,2015-07-28,14.460000038146973,13.84000015258789,14.329999923706055,2988800.0
PE,2015-07-29,14.899999618530273,14.140000343322754,14.760000228881836,1875600.0
PE,2015-07-30,14.979999542236328,14.300000190734863,14.510000228881836,2168600.0
PE,2015-07-31,14.670000076293945,14.180000305175781,14.460000038146973,1506700.0
PE,2015-08-03,14.802000045776367,14.0,14.220000267028809,2093400.0
PE,2015-08-04,14.829999923706055,14.020000457763672,14.149999618530273,2470600.0
PE,2015-08-05,14.949999809265137,13.694999694824219,14.260000228881836,2556600.0
PE,2015-08-06,15.300000190734863,13.850000381469727,15.25,2515300.0
PE,2015-08-07,15.75,14.390000343322754,14.420000076293945,2378800.0
