,,high,low,adjclose,volume
PFPT,2012-04-20,17.110000610351562,13.25,14.079999923706055,7461800.0
PFPT,2012-04-23,13.989999771118164,13.520000457763672,13.75,284900.0
PFPT,2012-04-24,14.140000343322754,13.579999923706055,13.779999732971191,217900.0
PFPT,2012-04-25,13.979999542236328,13.619999885559082,13.819999694824219,262300.0
PFPT,2012-04-26,13.84000015258789,13.199999809265137,13.59000015258789,95600.0
PFPT,2012-04-27,13.640000343322754,13.029999732971191,13.130000114440918,251000.0
PFPT,2012-04-30,13.180000305175781,13.0,13.100000381469727,138600.0
PFPT,2012-05-01,13.520000457763672,13.100000381469727,13.100000381469727,63000.0
PFPT,2012-05-02,13.319999694824219,12.899999618530273,13.149999618530273,74000.0
PFPT,2012-05-03,13.380000114440918,13.050000190734863,13.180000305175781,80500.0
PFPT,2012-05-04,13.819999694824219,13.020000457763672,13.510000228881836,79600.0
PFPT,2012-05-07,14.369999885559082,13.300000190734863,14.220000267028809,149600.0
PFPT,2012-05-08,14.720000267028809,14.100000381469727,14.489999771118164,114100.0
PFPT,2012-05-09,14.550000190734863,13.59000015258789,13.84000015258789,58400.0
PFPT,2012-05-10,14.1899995803833,13.649999618530273,13.770000457763672,63000.0
PFPT,2012-05-11,14.069999694824219,13.5,13.59000015258789,35900.0
PFPT,2012-05-14,14.069999694824219,13.399999618530273,13.539999961853027,57000.0
PFPT,2012-05-15,14.899999618530273,13.75,14.34000015258789,160400.0
PFPT,2012-05-16,14.819999694824219,13.949999809265137,14.09000015258789,244000.0
PFPT,2012-05-17,13.84000015258789,13.039999961853027,13.420000076293945,46200.0
PFPT,2012-05-18,13.9399995803833,12.949999809265137,13.100000381469727,129000.0
PFPT,2012-05-21,13.119999885559082,12.949999809265137,13.0,33000.0
PFPT,2012-05-22,13.4399995803833,12.9399995803833,13.069999694824219,32200.0
PFPT,2012-05-23,13.050000190734863,12.079999923706055,12.920000076293945,82200.0
PFPT,2012-05-24,12.979999542236328,12.300000190734863,12.449999809265137,26400.0
PFPT,2012-05-25,12.65999984741211,12.289999961853027,12.579999923706055,262800.0
PFPT,2012-05-29,14.90999984741211,13.34000015258789,13.760000228881836,173100.0
