,,high,low,adjclose,volume
PH,2012-01-03,79.76000213623047,78.16999816894531,68.38883972167969,1767300.0
PH,2012-01-04,79.23999786376953,78.37000274658203,68.10255432128906,1715300.0
PH,2012-01-05,79.25,76.9800033569336,68.48426818847656,2157500.0
PH,2012-01-06,79.41000366210938,76.91999816894531,67.35643768310547,3096500.0
PH,2012-01-09,79.02999877929688,77.18000030517578,68.38014221191406,1467800.0
PH,2012-01-10,81.33000183105469,79.81999969482422,70.46227264404297,1553400.0
PH,2012-01-11,81.94999694824219,80.41000366210938,70.89604187011719,1033800.0
PH,2012-01-12,83.19999694824219,81.36000061035156,72.075927734375,1034100.0
PH,2012-01-13,82.79000091552734,81.33000183105469,71.52069854736328,803200.0
PH,2012-01-17,84.5999984741211,82.94000244140625,72.41425323486328,1647100.0
PH,2012-01-18,85.11000061035156,82.58999633789062,73.79365539550781,1389000.0
PH,2012-01-19,86.5999984741211,84.5,73.715576171875,2856600.0
PH,2012-01-20,82.0,80.48999786376953,70.7225341796875,4973600.0
PH,2012-01-23,82.0,80.30999755859375,70.8786849975586,1899500.0
PH,2012-01-24,81.9000015258789,80.87000274658203,70.50566101074219,1532400.0
PH,2012-01-25,82.68000030517578,80.33000183105469,71.45995330810547,1434400.0
PH,2012-01-26,82.70999908447266,81.0,70.70519256591797,1484500.0
PH,2012-01-27,81.81999969482422,80.86000061035156,70.70519256591797,1032200.0
PH,2012-01-30,81.72000122070312,80.51000213623047,70.6705093383789,961400.0
PH,2012-01-31,82.12000274658203,79.87999725341797,69.99378967285156,2045000.0
PH,2012-02-01,82.9800033569336,81.31999969482422,71.66816711425781,1318000.0
PH,2012-02-02,82.97000122070312,81.80000305175781,71.58142852783203,1108000.0
PH,2012-02-03,85.80000305175781,83.62000274658203,74.36627197265625,1821000.0
PH,2012-02-06,87.41999816894531,85.1500015258789,75.19908142089844,1678800.0
PH,2012-02-07,88.37000274658203,86.05000305175781,76.12737274169922,2194700.0
PH,2012-02-08,88.2699966430664,87.31999969482422,76.82450866699219,2179200.0
PH,2012-02-09,88.52999877929688,87.62999725341797,76.84193420410156,1150300.0
PH,2012-02-10,87.58999633789062,86.27999877929688,76.25806427001953,1121200.0
PH,2012-02-13,90.37000274658203,88.01000213623047,78.64579772949219,1921200.0
PH,2012-02-14,89.69000244140625,88.27999877929688,77.53907775878906,1511100.0
PH,2012-02-15,89.41000366210938,87.22000122070312,76.33650970458984,1896200.0
PH,2012-02-16,89.55000305175781,87.56999969482422,77.78307342529297,1357700.0
PH,2012-02-17,89.91999816894531,88.52999877929688,77.18177032470703,1311100.0
PH,2012-02-21,91.0,88.63999938964844,78.42791748046875,2193600.0
PH,2012-02-22,90.44000244140625,89.20999908447266,78.42791748046875,1210900.0
PH,2012-02-23,90.6500015258789,89.27999877929688,78.79391479492188,1425000.0
PH,2012-02-24,91.0,89.51000213623047,78.10549926757812,854900.0
PH,2012-02-27,90.68000030517578,88.62000274658203,78.63704681396484,1008900.0
PH,2012-02-28,90.69000244140625,89.38999938964844,78.63704681396484,1331600.0
PH,2012-02-29,91.47000122070312,89.73999786376953,78.26234436035156,1379800.0
PH,2012-03-01,90.68000030517578,88.36000061035156,77.85279083251953,1471000.0
PH,2012-03-02,89.66000366210938,88.41999816894531,77.1556396484375,831000.0
PH,2012-03-05,88.7699966430664,87.37999725341797,76.81578826904297,1007400.0
PH,2012-03-06,86.91999816894531,85.30000305175781,74.54138946533203,1912600.0
PH,2012-03-07,86.66999816894531,85.58000183105469,75.10780334472656,1107800.0
PH,2012-03-08,87.97000122070312,86.56999969482422,76.55437469482422,978200.0
PH,2012-03-09,89.19999694824219,87.47000122070312,76.87679290771484,637500.0
PH,2012-03-12,89.20999908447266,87.97000122070312,77.66976165771484,1553900.0
PH,2012-03-13,89.94000244140625,88.79000091552734,78.16648864746094,1296800.0
PH,2012-03-14,90.11000061035156,88.95999908447266,77.765625,835300.0
PH,2012-03-15,90.87999725341797,88.91000366210938,79.08150482177734,924800.0
PH,2012-03-16,91.0,90.08999633789062,78.5586166381836,870400.0
PH,2012-03-19,90.18000030517578,88.68000030517578,78.0619125366211,1001600.0
PH,2012-03-20,89.01000213623047,87.3499984741211,76.59793853759766,966300.0
PH,2012-03-21,88.2699966430664,87.19000244140625,76.10991668701172,667800.0
PH,2012-03-22,86.33000183105469,83.69999694824219,73.97493743896484,1879800.0
PH,2012-03-23,85.94999694824219,84.04000091552734,74.61979675292969,1037100.0
PH,2012-03-26,87.30999755859375,86.08000183105469,75.78752136230469,1232900.0
PH,2012-03-27,87.30999755859375,85.95999908447266,74.93350982666016,1097400.0
PH,2012-03-28,86.02999877929688,83.75,73.57411193847656,1269100.0
PH,2012-03-29,84.76000213623047,83.72000122070312,73.7135238647461,1130100.0
PH,2012-03-30,85.43000030517578,83.80000305175781,73.67868041992188,987500.0
PH,2012-04-02,86.33999633789062,83.83999633789062,74.9683609008789,1011400.0
PH,2012-04-03,86.0999984741211,84.68000030517578,74.32354736328125,1117300.0
PH,2012-04-04,84.66999816894531,83.33000183105469,72.737548828125,1487000.0
PH,2012-04-05,83.8499984741211,82.95999908447266,72.41512298583984,875900.0
PH,2012-04-09,82.87000274658203,81.52999877929688,71.9793701171875,1008100.0
PH,2012-04-10,82.58999633789062,80.98999786376953,70.96854400634766,1513700.0
PH,2012-04-11,83.06999969482422,81.2300033569336,71.46525573730469,1255900.0
PH,2012-04-12,84.08000183105469,82.16999816894531,72.92925262451172,1303100.0
PH,2012-04-13,83.56999969482422,81.95999908447266,71.48270416259766,1007300.0
PH,2012-04-16,83.1500015258789,81.68000030517578,71.42169189453125,808500.0
PH,2012-04-17,83.97000122070312,82.19000244140625,72.5545425415039,935500.0
PH,2012-04-18,83.16000366210938,82.25,72.06653594970703,910200.0
PH,2012-04-19,82.77999877929688,80.94999694824219,71.09054565429688,938400.0
PH,2012-04-20,83.12000274658203,81.54000091552734,72.14496612548828,1065600.0
PH,2012-04-23,81.81999969482422,80.44000244140625,70.53285217285156,1875700.0
PH,2012-04-24,88.25,82.91999816894531,76.65023803710938,5323800.0
PH,2012-04-25,89.44999694824219,86.12999725341797,75.88336944580078,2874000.0
PH,2012-04-26,87.91999816894531,86.6500015258789,76.0925064086914,1280400.0
PH,2012-04-27,89.20999908447266,87.62000274658203,77.54777526855469,1747100.0
PH,2012-04-30,89.0,87.08000183105469,76.4149169921875,1269700.0
PH,2012-05-01,88.72000122070312,86.02999877929688,76.319091796875,1893000.0
PH,2012-05-02,88.37999725341797,87.13999938964844,76.83322143554688,1449300.0
PH,2012-05-03,88.5199966430664,86.3499984741211,75.60450744628906,1439100.0
PH,2012-05-04,86.45999908447266,84.2699966430664,74.19279479980469,1401700.0
PH,2012-05-07,86.08000183105469,84.45999908447266,73.81809997558594,1718600.0
PH,2012-05-08,85.69000244140625,82.80999755859375,74.77257537841797,2938800.0
PH,2012-05-09,87.70999908447266,83.9000015258789,74.9039306640625,2427100.0
PH,2012-05-10,87.16999816894531,85.91000366210938,75.49060821533203,2053200.0
PH,2012-05-11,87.98999786376953,85.47000122070312,76.05103302001953,1579500.0
PH,2012-05-14,86.06999969482422,85.02999877929688,74.5273666381836,1882300.0
PH,2012-05-15,85.31999969482422,83.91000366210938,73.75679779052734,1081300.0
PH,2012-05-16,84.86000061035156,83.05999755859375,72.83736419677734,1729300.0
PH,2012-05-17,83.38999938964844,80.37000274658203,71.10355377197266,2409400.0
PH,2012-05-18,82.31999969482422,80.01000213623047,70.58690643310547,2206500.0
PH,2012-05-21,83.18000030517578,81.12000274658203,72.4696044921875,1716500.0
PH,2012-05-22,83.98999786376953,82.33000183105469,73.2138900756836,1549300.0
PH,2012-05-23,84.98999786376953,81.83000183105469,74.25592803955078,1477300.0
PH,2012-05-24,85.13999938964844,83.29000091552734,73.95819854736328,1488800.0
PH,2012-05-25,84.88999938964844,83.66000366210938,73.87063598632812,1208700.0
PH,2012-05-29,87.0,84.93000030517578,75.72704315185547,1542000.0
PH,2012-05-30,85.27999877929688,84.25,73.9844741821289,1094400.0
PH,2012-05-31,83.58999633789062,81.0,71.576416015625,2607600.0
PH,2012-06-01,80.18000030517578,77.63999938964844,68.18761444091797,3441100.0
PH,2012-06-04,78.33999633789062,75.6500015258789,68.15258026123047,2830300.0
PH,2012-06-05,78.58999633789062,76.75,68.61669158935547,1538900.0
PH,2012-06-06,80.30000305175781,78.8499984741211,70.27166748046875,1461800.0
PH,2012-06-07,82.97000122070312,80.55999755859375,70.74451446533203,1546100.0
PH,2012-06-08,81.66999816894531,79.87000274658203,71.16483306884766,948800.0
PH,2012-06-11,82.47000122070312,80.19999694824219,70.31546020507812,1650800.0
PH,2012-06-12,82.0999984741211,80.5999984741211,71.62020111083984,1765200.0
PH,2012-06-13,81.13999938964844,78.6500015258789,69.11580657958984,2738800.0
PH,2012-06-14,79.5999984741211,77.77999877929688,68.7042465209961,1731900.0
PH,2012-06-15,78.86000061035156,78.05999755859375,68.94068908691406,1614800.0
PH,2012-06-18,79.43000030517578,77.80999755859375,69.27342224121094,865300.0
PH,2012-06-19,81.97000122070312,79.5999984741211,71.28743743896484,1341300.0
PH,2012-06-20,81.52999877929688,79.22000122070312,69.71126556396484,1699000.0
PH,2012-06-21,80.30999755859375,77.0,67.50459289550781,1694500.0
PH,2012-06-22,77.68000030517578,75.68000030517578,67.14556121826172,2750800.0
PH,2012-06-25,75.66999816894531,73.76000213623047,65.14029693603516,1959800.0
PH,2012-06-26,74.77999877929688,72.80000305175781,64.56239318847656,2596900.0
PH,2012-06-27,75.05999755859375,73.8499984741211,65.56937408447266,1366400.0
PH,2012-06-28,74.5199966430664,71.9000015258789,64.0107192993164,2525600.0
PH,2012-06-29,77.08000183105469,74.51000213623047,67.32070922851562,1908000.0
PH,2012-07-02,77.23999786376953,74.95999908447266,66.27867889404297,1399700.0
PH,2012-07-03,77.18000030517578,74.69000244140625,67.58338928222656,854100.0
